text,sense,label,ind,new_label
"the host gave them another chamber , and served them with fresh eggs and some water , which athos went himself to draw at the fountain .","('host', 'hôte', 'hostelero')",0,1,0
""" you will ask for the host , and will repeat to him the word ’ forward ! ’ ""","('host', 'hôte', 'hostelero')",0,6,0
"but at the same moment , his two auditors , accompanied by the host , fell upon d’artagnan with sticks , shovels and tongs .","('host', 'hôte', 'hostelero')",0,13,0
"the host , fearful of consequences , with the help of his servants carried the wounded man into the kitchen , where some trifling attentions were bestowed upon him .","('host', 'hôte', 'hostelero')",0,1,0
"without waiting for the permission of his host , d’artagnan went quickly into the house , and cast a rapid glance at the bed .","('host', 'hôte', 'huésped')",1,7,1
""" well , how is it with this madman ? "" exclaimed he , turning round as the noise of the door announced the entrance of the host , who came in to inquire if he was unhurt .","('host', 'hôte', 'hostelero')",0,27,0
""" your excellency is safe and sound ? "" asked the host .","('host', 'hôte', 'hostelero')",0,11,0
""" he is better , "" said the host , "" he fainted quite away . ""","('host', 'hôte', 'hostelero')",0,8,0
"d’artagnan made his way through the crowd , advanced toward the host , and pronounced the word "" forward ! ""","('host', 'hôte', 'hostelero')",0,11,0
"the host instantly made him a sign to follow , went out with him by a door which opened into a yard , led him to the stable , where a saddled horse awaited him , and asked him if he stood in need of anything else .","('host', 'hôte', 'huésped')",1,1,1
"at our entrance the host , as if he had never seen us , greeted us with the word "" _ sællvertu , _ "" which means "" be happy , "" and came and kissed us on the cheek .","('host', 'hôte', 'huésped')",1,4,1
""" oh , no , your excellency , he is not the devil , "" replied the host , with a grin of contempt ; "" for during his fainting we rummaged his valise and found nothing but a clean shirt and eleven crowns -- which however , did not prevent his saying , as he was fainting , that if such a thing had happened in paris , you should have cause to repent of it at a later period . ""","('host', 'hôte', 'hostelero')",0,17,0
""" i have told you this , good sir , "" resumed the host , "" in order that you may be on your guard . ""","('host', 'hôte', 'hostelero')",0,13,0
""" everything is paid , "" replied the host , "" and liberally .","('host', 'hôte', 'hostelero')",0,8,0
"the host , who was not endowed with great perspicacity , did not observe the expression which his words had given to the physiognomy of the stranger .","('host', 'hôte', 'hostelero')",0,1,0
"at eccuis , the same scene was repeated . he found as provident a host and a fresh horse . he left his address as he had done before , and set off again at the same pace for pontoise .","('host', 'hôte', 'hostelero')",0,14,0
""" captain nemo , "" i told my host , who had just stretched out on a couch , "" this is a library that would do credit to more than one continental palace , and i truly marvel to think it can go with you into the deepest seas . ""","('host', 'hôte', 'huésped')",1,8,1
""" what the devil ! "" said the host to himself . "" can he be afraid of this boy ? ""","('host', 'hôte', 'hostelero')",0,8,0
"in the meantime , the host , who entertained no doubt that it was the presence of the young man that drove the stranger from his hostelry , re - ascended to his wife ’s chamber , and found d’artagnan just recovering his senses .","('host', 'hôte', 'huésped')",1,5,1
giving him to understand that the police would deal with him pretty severely for having sought a quarrel with a great lord -- for the opinion of the host the stranger could be nothing less than a great lord -- he insisted that notwithstanding his weakness d’artagnan should get up and depart as quickly as possible .,"('host', 'hôte', 'huésped')",1,28,1
"d’artagnan , half stupefied , without his doublet , and with his head bound up in a linen cloth , arose then , and urged by the host , began to descend the stairs ; but on arriving at the kitchen , the first thing he saw was his antagonist talking calmly at the step of a heavy carriage , drawn by two large norman horses .","('host', 'hôte', 'hostelero')",0,27,0
"by the way , planchet , i think you are right with respect to our host , and that he is decidedly a frightfully low wretch . ""","('host', 'hôte', 'huésped')",1,15,1
"possessed by one single thought -- that of the promise he had made , and of the responsibility he had taken -- he retired last to his chamber , begged the host to procure him a map of the province , bent over it , examined every line traced upon it , perceived that there were four different roads from bethune to armentieres , and summoned the lackeys .","('host', 'hôte', 'hostelero')",0,31,0
"the host , on seeing a young man followed by a lackey with two extra horses , advanced respectfully to the door .","('host', 'hôte', 'hostelero')",0,1,0
i could only thank my host .,"('host', 'hôte', 'huésped')",1,5,1
"the result of these reflections was that d’artagnan , without asking information of any kind , alighted , commended the horses to the care of his lackey , entered a small room destined to receive those who wished to be alone , and desired the host to bring him a bottle of his best wine and as good a breakfast as possible -- a desire which further corroborated the high opinion the innkeeper had formed of the traveler at first sight .","('host', 'hôte', 'hostelero')",0,45,0
""" pay him , booby ! "" cried the stranger to his servant , without checking the speed of his horse ; and the man , after throwing two or three silver pieces at the foot of mine host , galloped after his master .","('host', 'hôte', 'hostelero')",0,38,0
"the host desired himself to serve him ; which d’artagnan perceiving , ordered two glasses to be brought , and commenced the following conversation .","('host', 'hôte', 'hostelero')",0,1,0
""" he is a coward , indeed , "" grumbled the host , drawing near to d’artagnan , and endeavoring by this little flattery to make up matters with the young man , as the heron of the fable did with the snail he had despised the evening before .","('host', 'hôte', 'hostelero')",0,11,0
""" what she ? "" demanded the host .","('host', 'hôte', 'hostelero')",0,7,0
""" your lordship does me much honor , "" said the host , "" and i thank you sincerely for your kind wish . ""","('host', 'hôte', 'hostelero')",0,11,0
""" ah , it ’s all one , "" said the host ; "" i have lost two customers , but this one remains , of whom i am pretty certain for some days to come .","('host', 'hôte', 'hostelero')",0,11,0
""" exactly so , "" said the host ; "" i remember it perfectly .","('host', 'hôte', 'hostelero')",0,7,0
"the host had reckoned upon eleven days of confinement at a crown a day , but he had reckoned without his guest .","('host', 'hôte', 'hostelero')",0,1,0
