text,ind
"passepartout , who had been purchasing several dozen mangoes -- a fruit as large as good - sized apples , of a dark - brown colour outside and a bright red within , and whose white pulp , melting in the mouth , affords gourmands a delicious sensation -- was waiting for them on deck . he was only too glad to offer some mangoes to aouda , who thanked him very gracefully for them .",41
""" i swear it , "" came in hoarse echo from her flat mouth . "" but do n't give me away to him , "" she whined ; "" i am afraid of him . let me have some money for my night 's lodging . """,13
"he threw himself into a chair and began to think . suddenly there flashed across his mind what he had said in basil hallward 's studio the day the picture had been finished . yes , he remembered it perfectly . he had uttered a mad wish that he himself might remain young , and the portrait grow old ; that his own beauty might be untarnished , and the face on the canvas bear the burden of his passions and his sins ; that the painted image might be seared with the lines of suffering and thought , and that he might keep all the delicate bloom and loveliness of his then just conscious boyhood . surely his wish had not been fulfilled ? such things were impossible . it seemed monstrous even to think of them . and , yet , there was the picture before him , with the touch of cruelty in the mouth .",157
"and so we arrived at a place where the shore was much narrowed . here the sea came to lap the foot of the steep cliff , leaving a passage no wider than a couple of yards . between two boldly projecting rocks appeared the mouth of a dark tunnel .",45
"after our position had been marked on the chart , i saw that we were passing into the mouth of the english channel , that our heading would take us to the northernmost seas with incomparable speed .",18
"then cyrus harding , having ended his survey , re - ascended , drew up the ladder , covered the mouth of the well , and returned thoughtfully to the diningroom , saying to himself,-- "" i have seen nothing , and yet there is something there ! """,20
"the old man , wrapped in a large black doublet , in which the whole of his slender body was concealed , was brisk and dry . his little gray eyes shone like carbuncles , and appeared , with his grinning mouth , to be the only part of his face in which life survived .",41
""" who could have believed it ? "" i said , with my mouth full .",13
"all the other candidates complained that candide had done them great injustice , but he stopped their mouths by a present of a hundred piastres to each .",17
""" our good genius , neb , our good genius , who will shut his mouth for him , if he so much as pretends to open it ! """,15
"fix , as he bowed , had a stifled feeling , and , going forward , where he ensconced himself , did not open his mouth for the rest of the day .",25
""" can you picture , "" i asked them , "" what this funnel must have been like when it was filled with boiling lava , and the level of that incandescent liquid rose right to the mountain 's mouth , like cast iron up the insides of a furnace ? """,39
"but there was no other place in the house so secure from prying eyes as this . he had the key , and no one else could enter it . beneath its purple pall , the face painted on the canvas could grow bestial , sodden , and unclean . what did it matter ? no one could see it . he himself would not see it . why should he watch the hideous corruption of his soul ? he kept his youth-- that was enough . and , besides , might not his nature grow finer , after all ? there was no reason that the future should be so full of shame . some love might come across his life , and purify him , and shield him from those sins that seemed to be already stirring in spirit and in flesh-- those curious unpictured sins whose very mystery lent them their subtlety and their charm . perhaps , some day , the cruel look would have passed away from the scarlet sensitive mouth , and he might show to the world basil hallward 's masterpiece .",175
""" well said , "" cried aramis ; "" you do n’t often speak , athos , but when you do speak , it is like st . john of the golden mouth .",32
""" i mean that we have only reached the level of the island , long vertical tube , which terminates at the mouth of the crater , has its lower end only at the level of the sea . """,22
"all on board feared that it could not be done , and every one -- phileas fogg , no doubt , excepted -- felt his heart beat with impatience . the boat must keep up an average of nine miles an hour , and the wind was becoming calmer every moment ! it was a capricious breeze , coming from the coast , and after it passed the sea became smooth . still , the tankadere was so light , and her fine sails caught the fickle zephyrs so well , that , with the aid of the currents john bunsby found himself at six o'clock not more than ten miles from the mouth of shanghai river . shanghai itself is situated at least twelve miles up the stream . at seven they were still three miles from shanghai . the pilot swore an angry oath ; the reward of two hundred pounds was evidently on the point of escaping him . he looked at mr . fogg . mr . fogg was perfectly tranquil ; and yet his whole fortune was at this moment at stake .",113
"nevertheless , when the name of the king was now and then uttered unthinkingly amid all these cardinal jests , a sort of gag seemed to close for a moment on all these jeering mouths . they looked hesitatingly around them , and appeared to doubt the thickness of the partition between them and the office of m. de treville ; but a fresh allusion soon brought back the conversation to his eminence , and then the laughter recovered its loudness and the light was not withheld from any of his actions .",34
"often , on returning home from one of those mysterious and prolonged absences that gave rise to such strange conjecture among those who were his friends , or thought that they were so , he himself would creep upstairs to the locked room , open the door with the key that never left him now , and stand , with a mirror , in front of the portrait that basil hallward had painted of him , looking now at the evil and aging face on the canvas , and now at the fair young face that laughed back at him from the polished glass . the very sharpness of the contrast used to quicken his sense of pleasure . he grew more and more enamoured of his own beauty , more and more interested in the corruption of his own soul . he would examine with minute care , and sometimes with a monstrous and terrible delight , the hideous lines that seared the wrinkling forehead or crawled around the heavy sensual mouth , wondering sometimes which were the more horrible , the signs of sin or the signs of age . he would place his white hands beside the coarse bloated hands of the picture , and smile . he mocked the misshapen body and the failing limbs .",172
"finally , to conclude , conseil classified a large number of flying fish . nothing could have made a more unusual sight than the marvelous timing with which dolphins hunt these fish . whatever the range of its flight , however evasive its trajectory ( even up and over the nautilus ) , the hapless flying fish always found a dolphin to welcome it with open mouth . these were either flying gurnards or kitelike sea robins , whose lips glowed in the dark , at night scrawling fiery streaks in the air before plunging into the murky waters like so many shooting stars .",66
""" monsieur has promised me not to open his mouth about the procurator ’s wife , and not to say a word of the wound ? """,9
""" they must interest you , dorian . every gentleman is interested in his good name . you do n't want people to talk of you as something vile and degraded . of course , you have your position , and your wealth , and all that kind of thing . but position and wealth are not everything . mind you , i do n't believe these rumours at all . at least , i ca n't believe them when i see you . sin is a thing that writes itself across a man 's face . it can not be concealed . people talk sometimes of secret vices . there are no such things . if a wretched man has a vice , it shows itself in the lines of his mouth , the droop of his eyelids , the moulding of his hands even .",132
"between the river 's mouth and the end of the cliff , eddies of wind whirled and gusts from this maelstrom lashed the water which ran through the narrow valley .",4
""" right into its mouth , my honest neb ! "" replied herbert , "" but you are not afraid that it will shut upon us , are you ? """,4
"' hush ! hush ! ' said the rabbit in a low , hurried tone . he looked anxiously over his shoulder as he spoke , and then raised himself upon tiptoe , put his mouth close to her ear , and whispered ' she 's under sentence of execution . '",35
"during the course of the next day , april 12 , the nautilus drew near the coast of dutch guiana , by the mouth of the maroni river . there several groups of sea cows were living in family units . these were manatees , which belong to the order sirenia , like the dugong and steller 's sea cow . harmless and unaggressive , these fine animals were six to seven meters long and must have weighed at least 4,000 kilograms each . i told ned land and conseil that farseeing nature had given these mammals a major role to play . in essence , manatees , like seals , are designed to graze the underwater prairies , destroying the clusters of weeds that obstruct the mouths of tropical rivers .",127
"' how are you getting on ? ' said the cat , as soon as there was mouth enough for it to speak with .",17
"while i was in view of the moor that was swimming , i stood out directly to sea with the boat , rather stretching to windward , that they might think me gone towards the straits ’ mouth ( as indeed any one that had been in their wits must have been supposed to do ) : for who would have supposed we were sailed on to the southward , to the truly barbarian coast , where whole nations of negroes were sure to surround us with their canoes and destroy us ; where we could not go on shore but we should be devoured by savage beasts , or more merciless savages of human kind .",37
"yet such was the fright i had taken of the moors , and the dreadful apprehensions i had of falling into their hands , that i would not stop , or go on shore , or come to an anchor ; the wind continuing fair till i had sailed in that manner five days ; and then the wind shifting to the southward , i concluded also that if any of our vessels were in chase of me , they also would now give over ; so i ventured to make to the coast , and came to an anchor in the mouth of a little river , i knew not what , nor where , neither what latitude , what country , what nation , or what river . i neither saw , nor desired to see any people ; the principal thing i wanted was fresh water . we came into this creek in the evening , resolving to swim on shore as soon as it was dark , and discover the country ; but as soon as it was quite dark , we heard such dreadful noises of the barking , roaring , and howling of wild creatures , of we knew not what kinds , that the poor boy was ready to die with fear , and begged of me not to go on shore till day .",102
""" supernatural ! "" exclaimed the sailor , emitting a volume of smoke from his mouth .",15
"athos talked of the discretion of grimaud , who never spoke a word but when his master unlocked his mouth .",19
"being armed with muskets alone , they could do no harm to the settlers , in ambush at the chimneys and the mouth of the mercy ; but , not knowing the latter to be supplied with long - range rifles , they on their side did not believe themselves to be exposed .",22
"for two hours a whole aquatic army escorted the nautilus . in the midst of their leaping and cavorting , while they competed with each other in beauty , radiance , and speed , i could distinguish some green wrasse , bewhiskered mullet marked with pairs of black lines , white gobies from the genus eleotris with curved caudal fins and violet spots on the back , wonderful japanese mackerel from the genus scomber with blue bodies and silver heads , glittering azure goldfish whose name by itself gives their full description , several varieties of porgy or gilthead ( some banded gilthead with fins variously blue and yellow , some with horizontal heraldic bars and enhanced by a black strip around their caudal area , some with color zones and elegantly corseted in their six waistbands ) , trumpetfish with flutelike beaks that looked like genuine seafaring woodcocks and were sometimes a meter long , japanese salamanders , serpentine moray eels from the genus echidna that were six feet long with sharp little eyes and a huge mouth bristling with teeth ; etc .",178
"they had explored , though only in an imperfect manner , the vast shore of washington bay from claw cape to reptile end , the woody and marshy border of the west coast , and the interminable downs , ending at the open mouth of shark gulf .",43
""" finally , the naturalists of antiquity mention some monsters with mouths as big as a gulf , which were too huge to get through the strait of gibraltar . """,11
"soon the "" speedy "" reached the point of the islet ; she rounded it with ease ; the mainsail was braced up , and the brig hugging the wind , stood across the mouth of the mercy .",34
oh ! infinite pleasure ! a slender sip of water came to moisten my burning mouth . it was but one sip but it was enough to recall my ebbing life .,15
"it was a squid of colossal dimensions , fully eight meters long . it was traveling backward with tremendous speed in the same direction as the nautilus . it gazed with enormous , staring eyes that were tinted sea green . its eight arms ( or more accurately , feet ) were rooted in its head , which has earned these animals the name cephalopod ; its arms stretched a distance twice the length of its body and were writhing like the serpentine hair of the furies . you could plainly see its 250 suckers , arranged over the inner sides of its tentacles and shaped like semispheric capsules . sometimes these suckers fastened onto the lounge window by creating vacuums against it . the monster 's mouth -- a beak made of horn and shaped like that of a parrot -- opened and closed vertically . its tongue , also of horn substance and armed with several rows of sharp teeth , would flicker out from between these genuine shears . what a freak of nature ! a bird 's beak on a mollusk ! its body was spindle - shaped and swollen in the middle , a fleshy mass that must have weighed 20,000 to 25,000 kilograms . its unstable color would change with tremendous speed as the animal grew irritated , passing successively from bluish gray to reddish brown .",127
obliquely to the oval of the island ran a stream through a wide meadow falling into the sea on the west by a narrow mouth .,24
"this homeric slaughter dragged on for an hour , and the long - skulled predators could n't get away . several times ten or twelve of them teamed up , trying to crush the nautilus with their sheer mass . through the windows you could see their enormous mouths paved with teeth , their fearsome eyes . losing all self - control , ned land hurled threats and insults at them . you could feel them clinging to the submersible like hounds atop a wild boar in the underbrush . but by forcing the pace of its propeller , the nautilus carried them off , dragged them under , or brought them back to the upper level of the waters , untroubled by their enormous weight or their powerful grip .",48
"pillars of smoke and flame escaped from the crater ; a hail of scoriae fell on the ground ; but no current of lava burst from the mouth of the volcano , which proved that the volcanic matter had not yet attained the level of the superior orifice of the central shaft .",27
"ten days went by in this way . it was only on may 1 that the nautilus openly resumed its northbound course , after raising the bahamas at the mouth of old bahama channel . we then went with the current of the sea 's greatest river , which has its own banks , fish , and temperature . i mean the gulf stream .",29
""" well , "" replied d’artagnan , bending his mouth to athos ’s ear , and lowering his voice , "" milady is marked with a fleur - de - lis upon her shoulder ! """,9
"they were then careful to cover their eyes and mouths with handkerchiefs , for they ran the risk of being blinded and suffocated .",9
""" i keep coming back to my idea . we 've got to talk to the captain . when we were in your own country 's seas , you did n't say a word . now that we 're in mine , i intend to speak up . before a few days are out , i figure the nautilus will lie abreast of nova scotia , and from there to newfoundland is the mouth of a large gulf , and the st . lawrence empties into that gulf , and the st . lawrence is my own river , the river running by quebec , my hometown-- and when i think about all this , my gorge rises and my hair stands on end ! honestly , sir , i 'd rather jump overboard ! i ca n't stay here any longer ! i 'm suffocating ! """,73
"he had now come to the mouth of the very defile in which he had left them . even in the darkness he could recognize the outline of the cliffs which bounded it . they must , he reflected , be awaiting him anxiously , for he had been absent nearly five hours . in the gladness of his heart he put his hands to his mouth and made the glen re - echo to a loud halloo as a signal that he was coming . he paused and listened for an answer . none came save his own cry , which clattered up the dreary silent ravines , and was borne back to his ears in countless repetitions . again he shouted , even louder than before , and again no whisper came back from the friends whom he had left such a short time ago . a vague , nameless dread came over him , and he hurried onwards frantically , dropping the precious food in his agitation .",6
twenty - five minutes after entering the mouth of the grotto the boat reached the extreme end .,7
"she made her brother talk of himself , his hopes , his prospects . he spoke slowly and with effort . they passed words to each other as players at a game pass counters . sibyl felt oppressed . she could not communicate her joy . a faint smile curving that sullen mouth was all the echo she could win . after some time she became silent . suddenly she caught a glimpse of golden hair and laughing lips , and in an open carriage with two ladies dorian gray drove past .",52
"for three days we have never been able to make each other hear a word . our mouths open , our lips move , but not a word can be heard . we can not even make ourselves heard by approaching our mouth close to the ear .",17
"for three days we have never been able to make each other hear a word . our mouths open , our lips move , but not a word can be heard . we can not even make ourselves heard by approaching our mouth close to the ear .",42
