text,ind
"our last evening was spent in intimate conversation with m. fridrikssen , with whom i felt the liveliest sympathy ; then , after the talk , succeeded , for me , at any rate , a disturbed and restless night .",26
"she wept abundantly ; and -- let us speak it to the praise of m. d’artagnan the younger -- notwithstanding the efforts he made to remain firm , as a future musketeer ought , nature prevailed , and he shed many tears , of which he succeeded with great difficulty in concealing the half .",46
"all falsehood is a mask ; and however well made the mask may be , with a little attention we may always succeed in distinguishing it from the true face .",22
"and i believe that centuries succeeding to centuries , and insects to insects , this pacific may one day be changed into a vast continent , which new generations will inhabit and civilize in their turn . """,5
"the experiment , therefore , did not succeed .",7
the conclusions drawn from this scrutiny he partially expressed in his succeeding observations .,11
the hardy sailor could not restrain a burst of laughter on seeing the efforts of the lad to succeed where he had failed .,18
"the engineer hurried away his companion , whose confidence in harding was such that he did not doubt the enterprise would succeed .",21
""" certainly , "" returned ralph . "" i agree with mr . fogg . the world has grown smaller , since a man can now go round it ten times more quickly than a hundred years ago . and that is why the search for this thief will be more likely to succeed . """,53
"but alas , if he was the friend of d’artagnan , he must have lent him his assistance in all the proceedings by whose aid the queen had defeated the project of his eminence ; if he was the friend of d’artagnan , he was the enemy of the cardinal ; and she doubtless would succeed in involving him in the vengeance by which she hoped to destroy the young musketeer .",55
"even a few feet from the wall i could hear distinctly . i succeeded in catching uncertain , strange , undistinguishable words . they came as if pronounced in low murmured whispers . the word ' _ forlorad _ ' was several times repeated in a tone of sympathy and sorrow .",13
"one day , the 22nd of june , 1867 , these three men , who knew nothing of the past history of captain nemo , succeeded in escaping in one of the "" nautilus 's "" boats .",25
"his plan was bold , but it might succeed , thanks to the darkness of the night .",8
""" you hope , then , cyrus , to succeed in reforming the man ? "" asked the reporter .",9
"having stifled my sobs , wiped my eyes , and muttered something about not being very well that morning , i resumed my task , and succeeded in completing it .",26
""" anyhow , "" he said , "" it 's not over yet ! my first harpoon missed , that 's all ! we 'll succeed the next time , and as soon as this evening , if need be . . . """,25
"they had perched by thousands on the islet and on the shore , and they disappeared in the distance , leaving the colonists amazed as if they had been present at some transformation scene , in which summer succeeded winter at the touch of a fairy 's wand .",38
"you are going now to pay your court to her again , and if this time you succeed in pleasing her in your own name and with your own face , it will be much worse than before . """,17
"then the carpenters became basket - makers , and they did not succeed badly in this new manufacture .",12
"porthos succeeded him ; and thanks to one of those disappearances to which he was accustomed , he was able to provide for the wants of all for a fortnight . at last it became aramis ’s turn , who performed it with a good grace and who succeeded -- as he said , by selling some theological books -- in procuring a few pistoles .",1
"porthos succeeded him ; and thanks to one of those disappearances to which he was accustomed , he was able to provide for the wants of all for a fortnight . at last it became aramis ’s turn , who performed it with a good grace and who succeeded -- as he said , by selling some theological books -- in procuring a few pistoles .",48
"the operation lasted forty - eight hours , and succeeded perfectly .",9
"cyrus harding 's project had succeeded , but , according to his usual habit he showed no satisfaction ; with closed lips and a fixed look , he remained motionless .",5
"he was thinking by himself , and even seriously racking his brain to find a direction for this single force four times multiplied , with which he did not doubt , as with the lever for which archimedes sought , they should succeed in moving the world , when someone tapped gently at his door .",42
"the succeeding week seemed long : it came to an end at last , however , like all sublunary things , and once more , towards the close of a pleasant autumn day , i found myself afoot on the road to lowton .",1
""" no , my dear martha , he will eat no more . no one in the house is to eat anything at all . uncle liedenbrock is going to make us all fast until he has succeeded in deciphering an undecipherable scrawl . """,37
"but this work did not succeed in absorbing all my attention . that old document kept working in my brain . my head throbbed with excitement , and i felt an undefined uneasiness . i was possessed with a presentiment of coming evil .",5
"there was no doubt that they might be killed , but on the other hand they might succeed , and without this storm!--without this storm the balloon would have started already and the looked - for opportunity would not have then presented itself .",17
"the son , who had been his father 's secretary , had resigned along with his chief , somewhat foolishly as was thought at the time , and on succeeding some months later to the title , had set himself to the serious study of the great aristocratic art of doing absolutely nothing . he had two large town houses , but preferred to live in chambers as it was less trouble , and took most of his meals at his club . he paid some attention to the management of his collieries in the midland counties , excusing himself for this taint of industry on the ground that the one advantage of having coal was that it enabled a gentleman to afford the decency of burning wood on his own hearth .",29
"captain nemo 's first concern was to revive this unfortunate man . i was n't sure he would succeed . i hoped so , since the poor devil had n't been under very long . but that stroke from the shark 's tail could have been his deathblow .",18
"the storm increased , the flashes succeeded one another more rapidly , the thunder began to growl , and the wind , the precursor of a hurricane , whistled in the plumes and the hair of the horsemen .",6
""" dirty weather ! "" exclaimed pencroft , fixing his hat firmly on his head with a blow of his fist ; "" but pshaw , we shall succeed all the same ! """,28
"the prisoners had been trying to overthrow the palisade , but of course had not succeeded , and were not long in becoming more tranquil .",15
