text,sense,label,ind,new_label
""" the weather is clearing a bit , "" he told me . "" i have high hopes . after breakfast we 'll make our way ashore and choose an observation post . ""","('post', 'poste', 'poner')",0,31,0
"m de treville received him as if he had seen him that same morning ; only , when pressing his hand a little more warmly than usual , he informed him that the company of dessessart was on duty at the louvre , and that he might repair at once to his post .","('post', 'poste', 'poner')",0,52,0
"the colonists were on the qui vive , and did not leave their post at the chimneys .","('post', 'poste', 'poner')",0,13,0
""" i was to take your dispatches , written or verbal , and return by post ; and when he shall know what you have done , he will advise what you have to do . ""","('post', 'poste', 'poner')",0,15,0
"the brig immediately sent a second ball on the post betrayed by the smoke , but without any other result than that of splintering the rock .","('post', 'poste', 'poner')",0,9,0
"ned land made his way to his post . the furnaces were urged into greater activity ; our propeller did forty - three revolutions per minute , and steam shot from the valves . heaving the log , we verified that the abraham lincoln was going at the rate of 18.5 miles per hour .","('post', 'poste', 'poner')",0,7,0
"at the name of lord de winter , who was known to be one of his grace ’s most intimate friends , the officer of the post gave orders to let felton pass , who , besides , wore the uniform of a naval officer .","('post', 'poste', 'poner')",0,26,0
"what a chase ! no , i ca n't describe the excitement that shook my very being . ned land stayed at his post , harpoon in hand . several times the animal let us approach .","('post', 'poste', 'poner')",0,23,0
""" listen , "" said the young man to the sentinel . "" on no pretense leave the door , for you know that last night my lord punished a soldier for having quit his post for an instant , although i , during his absence , watched in his place . ""","('post', 'poste', 'poner')",0,35,0
""" then it is understood , "" said d’artagnan ; "" you would rather be killed than desert your post ? ""","('post', 'poste', 'poner')",0,19,0
"the officer who commanded the post of the red cross was sent for , and by successive inquiries they learned that athos was then lodged in the fort l’eveque .","('post', 'poste', 'poner')",0,5,0
"i leaped up on the rock ; my uncle lightly followed , while our hunter remained at his post , like a man too wise ever to be astonished .","('post', 'poste', 'poner')",0,18,0
