text,sense,label,ind,new_label
"in the event of this , the cart would have been of more use than the light canoe , but it was heavy and clumsy to drag , and therefore more difficult to use ; this led pencroft to express his regret that the chest had not contained , besides "" his halfpound of tobacco , "" a pair of strong new jersey horses , which would have been very useful to the colony !","('chest', 'caisse', 'cajón')",0,44,0
"the one which had been seized in the hall of granite house was a great fellow , six feet high , with an admirably poportioned frame , a broad chest , head of a moderate size , the facial angle reaching sixty - five degrees , round skull , projecting nose , skin covered with soft glossy hair , in short , a fine specimen of the anthropoids .","('chest', 'poitrine', 'pechar')",1,29,1
""" and the pain in your chest ? ""","('chest', 'poitrine', 'pechar')",1,6,1
""" you are right , captain , "" replied pencroft , his chest swelling with sullen anger .","('chest', 'poitrine', 'pechar')",1,12,1
"only , after carefully examining them , pencroft found on the forehead of one , on the chest of another , on the back of this one , on the shoulder of that , a little red spot , a sort of scarcely visible bruise , the cause of which it was impossible to conjecture .","('chest', 'poitrine', 'pechar')",1,17,1
"with this announcement he rose from his chair , and stood , leaning his arm on the marble mantelpiece : in that attitude his shape was seen plainly as well as his face ; his unusual breadth of chest , disproportionate almost to his length of limb .","('chest', 'poitrine', 'pechar')",1,38,1
""" i am afraid so , "" rejoined lord henry . "" he got the whole charge of shot in his chest . he must have died almost instantaneously . come ; let us go home . ""","('chest', 'poitrine', 'pechar')",1,21,1
"poor jup still held in his hand the stump of his broken cudgel , but deprived of his weapon he had been overpowered by numbers , and his chest was covered with severe wounds .","('chest', 'poitrine', 'pechar')",1,28,1
"arrived at the spot on which grew the first beautiful trees of the forest , their foliage slightly agitated by the breeze , the stranger appeared greedily to drink in the penetrating odor which filled the atmosphere , and a long sigh escaped from his chest .","('chest', 'poitrine', 'pechar')",1,45,1
"with one vigorous stroke of its fins , the voracious animal shot toward the indian , who jumped aside and avoided the shark 's bite but not the thrashing of its tail , because that tail struck him across the chest and stretched him out on the seafloor .","('chest', 'poitrine', 'pechar')",1,40,1
"if one of the settlers approached him , he drew back , and his chest heaved with sobs , as if overburdened !","('chest', 'poitrine', 'pechar')",1,14,1
"thus pressed by us all , holmes showed signs of irresolution . he continued to walk up and down the room with his head sunk on his chest and his brows drawn down , as was his habit when lost in thought .","('chest', 'poitrine', 'pechar')",1,27,1
"nothing therefore which threw any light on the supposed wreck could be found on this shore , yet an object of any importance , such as the hull of a ship , would have been seen directly , or any of her masts and spars would have been washed on shore , just as the chest had been , which was found twenty miles from here .","('chest', 'caisse', 'cajón')",0,55,0
"herbert 's chest was laid bare , and the blood having been stanched with handkerchiefs , it was bathed with cold water .","('chest', 'poitrine', 'pechar')",1,2,1
"the contusion , or rather the contused wound appeared,--an oval below the chest between the third and fourth ribs .","('chest', 'poitrine', 'pechar')",1,12,1
""" but pray , sir , "" continued aramis , who , seeing his captain become appeased , ventured to risk a prayer , "" do not say that athos is wounded . he would be in despair if that should come to the ears of the king ; and as the wound is very serious , seeing that after crossing the shoulder it penetrates into the chest , it is to be feared-- ""","('chest', 'poitrine', 'pechar')",1,67,1
"pale and trembling , milady repulsed d’artagnan ’s attempted embrace by a violent blow on the chest , as she sprang out of bed .","('chest', 'poitrine', 'pechar')",1,16,1
"and as herbert endeavored to seize the hand which had just saved him , the stranger folded his arms , his chest heaved , his look darkened , and he appeared to wish to escape , but making a violent effort over himself , and in an abrupt tone,--","('chest', 'poitrine', 'pechar')",1,21,1
""" he is in the most favorable position for the wounds in his back and chest to suppurate easily , and absolute rest is necessary . ""","('chest', 'poitrine', 'pechar')",1,15,1
"the reporter knelt down beside the motionless body , and placed his ear to the engineer 's chest , having first torn open his clothes .","('chest', 'poitrine', 'pechar')",1,17,1
"spilett then explained to cyrus harding that he thought he ought first of all to stop the hemorrhage , but not close the two wounds , or cause their immediate cicatrization , for there had been internal perforation , and the suppuration must not be allowed to accumulate in the chest .","('chest', 'poitrine', 'pechar')",1,50,1
"motionless , with her burning and fixed glances , in her solitary apartment , how well the outbursts of passion which at times escape from the depths of her chest with her respiration , accompany the sound of the surf which rises , growls , roars , and breaks itself like an eternal and powerless despair against the rocks on which is built this dark and lofty castle !","('chest', 'poitrine', 'pechar')",1,29,1
his chest heaved and he seemed to try to speak .,"('chest', 'poitrine', 'pechar')",1,1,1
"in the meanwhile night came on , and it was already dark when the settlers reached flotsam point , where they had found the precious chest .","('chest', 'caisse', 'cajón')",0,25,0
"meanwhile captain nemo strolled from one end of the platform to the other , not glancing at me , perhaps not even seeing me . his step was firm but less regular than usual . sometimes he would stop , cross his arms over his chest , and observe the sea . what could he be looking for over that immense expanse ? by then the nautilus lay hundreds of miles from the nearest coast !","('chest', 'poitrine', 'pechar')",1,45,1
""" it is the ball that went through herbert 's chest , and i promise you it wo n't miss its mark ! ""","('chest', 'poitrine', 'pechar')",1,10,1
"he was bareheaded , his arms folded across his chest , and it was in this posture that in a hoarse voice , speaking like some one who obliges himself to speak , he gave the following recital , which his auditors did not once interrupt:--","('chest', 'poitrine', 'pechar')",1,9,1
""" then put your hand here , "" he said , with a smile , motioning with his manacled wrists towards his chest .","('chest', 'poitrine', 'pechar')",1,22,1
"two barrels were there , half buried in the sand , but still firmly attached to a large chest , which , sustained by them , had floated to the moment when it stranded on the beach .","('chest', 'caisse', 'cajón')",0,18,0
""" but what 's in this chest ? "" cried pencroft , with very natural impatience .","('chest', 'caisse', 'cajón')",0,6,0
"and the sailor , raising a heavy block , was about to break in one of the sides of the chest , when the engineer arrested his hand .","('chest', 'caisse', 'cajón')",0,20,0
""" we shall find that out , pencroft , "" replied the engineer ; "" but trust to me , and do not break the chest , which may be useful to us .","('chest', 'caisse', 'cajón')",0,25,0
"in fact , the canoe probably would not have been able to contain the articles possibly enclosed in the chest , which doubtless was heavy , since two empty barrels were required to buoy it up .","('chest', 'caisse', 'cajón')",0,19,0
"all the party returned to the chest , which was of an unusually large size .","('chest', 'caisse', 'cajón')",0,6,0
"it was evident that this chest had been thrown overboard from some dismasted vessel driven towards the island , and that , in the hope that it would reach the land , where they might afterwards find it , the passengers had taken the precaution to buoy it up by means of this floating apparatus .","('chest', 'caisse', 'cajón')",0,5,0
"pencroft and neb then dug away the sand with their oars , so as to facilitate the moving of the chest , towing which the boat soon began to double the point , to which the name of flotsam point was given .","('chest', 'caisse', 'cajón')",0,20,0
"the covering of zinc was torn off and thrown back over the sides of the chest , and by degrees numerous articles of very varied character were produced and strewn about on the sand .","('chest', 'caisse', 'cajón')",0,15,0
"shaggy hair , untrimmed beard descending to the chest , the body almost naked except a rag round the waist , wild eyes , enormous hands with immensely long nails , skin the color of mahogany , feet as hard as if made of horn , such was the miserable creature who yet had a claim to be called a man .","('chest', 'poitrine', 'pechar')",1,8,1
"then the pallbearers approached . wrapped in white fabric made from filaments of the fan mussel , the body was lowered into its watery grave . captain nemo , arms crossed over his chest , knelt in a posture of prayer , as did all the friends of him who had loved them . . . . my two companions and i bowed reverently .","('chest', 'poitrine', 'pechar')",1,33,1
""" it must be allowed , "" said the reporter , after the inventory had been made , "" that the owner of this chest was a practical man !","('chest', 'caisse', 'cajón')",0,24,0
""" it is more probable that an american or european vessel has been driven into this quarter , and that her passengers , wishing to save necessaries at least , prepared this chest and threw it overboard . ""","('chest', 'caisse', 'cajón')",0,32,0
"the same peculiarity marked the tools and utensils ; all were new , which proved that the articles had not been taken by chance and thrown into the chest , but , on the contrary , that the choice of things had been well considered and arranged with care .","('chest', 'caisse', 'cajón')",0,28,0
what 's a ball through the chest ?,"('chest', 'poitrine', 'pechar')",1,6,1
"but , wherever the chest might have come from , it was a treasure to the settlers on lincoln island .","('chest', 'caisse', 'cajón')",0,4,0
"it appeared that the chest did not contain something which he evidently held in great esteem , for in proportion as they approached the bottom of the box , his hurrahs diminished in heartiness , and , the inventory finished , he was heard to mutter these words:--""that 's all very fine , but you can see that there is nothing for me in that box ! ""","('chest', 'caisse', 'cajón')",0,4,0
