text,ind,sense,label
"towards eleven o'clock , the lower region of the air was sensibly clearer .",5,"('low', 'inférieur', 'inferior')",0
"two guards attended the mercer who made him traverse a court and enter a corridor in which were three sentinels , opened a door and pushed him unceremoniously into a low room , where the only furniture was a table , a chair , and a commissary .",30,"('low', 'bas', 'bajo')",1
"the engineer corked them by means of a stopper through which passed a glass tube , bored at its lower extremity , and intended to be plunged into the acid by means of a clay stopper secured by a rag .",19,"('low', 'inférieur', 'inferior')",0
""" let us tie its lower end down firmly , "" replied cyrus harding .",5,"('low', 'inférieur', 'inferior')",0
"and yet , at the very door the musketeer began to entertain some doubts . the approach was not such as to prepossess people -- an ill - smelling , dark passage , a staircase half - lighted by bars through which stole a glimmer from a neighboring yard ; on the first floor a low door studded with enormous nails , like the principal gate of the grand chatelet .",55,"('low', 'bas', 'bajo')",1
"when the atmosphere was calm , the low temperature was easily borne , but when the wind blew , the poor settlers , insufficiently clothed , felt it severely .",7,"('low', 'bas', 'bajo')",1
"it was a library . tall , black - rosewood bookcases , inlaid with copperwork , held on their wide shelves a large number of uniformly bound books . these furnishings followed the contours of the room , their lower parts leading to huge couches upholstered in maroon leather and curved for maximum comfort . light , movable reading stands , which could be pushed away or pulled near as desired , allowed books to be positioned on them for easy study . in the center stood a huge table covered with pamphlets , among which some newspapers , long out of date , were visible . electric light flooded this whole harmonious totality , falling from four frosted half globes set in the scrollwork of the ceiling . i stared in genuine wonderment at this room so ingeniously laid out , and i could n't believe my eyes .",39,"('low', 'inférieur', 'inferior')",0
""" that you must not fail to call upon him in the course of the day ; and then he added in a low voice , ’ tell your master that his eminence is very well disposed toward him , and that his fortune perhaps depends upon this interview . ’ """,23,"('low', 'bas', 'bajo')",1
""" and what then ? "" she demanded , in a low voice .",11,"('low', 'bas', 'bajo')",1
"one morning -- whose date i 'm unable to specify -- i was slumbering near the first hours of daylight , a painful , sickly slumber . waking up , i saw ned land leaning over me , and i heard him tell me in a low voice :",46,"('low', 'bas', 'bajo')",1
"she , with a still - smiling countenance , took his arm , and passed with him under a low arched door , which by a vaulted passage , lighted only at the farther end , led to a stone staircase around an angle of stone . they then came to a massive door , which after the introduction into the lock of a key which the young man carried with him , turned heavily upon its hinges , and disclosed the chamber destined for milady .",19,"('low', 'bas', 'bajo')",1
"the cardinal was speaking to him in a low voice , and the king was very pale .",8,"('low', 'bas', 'bajo')",1
"the footman who brought the coal , in going out , stopped near mr . eshton 's chair , and said something to him in a low voice , of which i heard only the words , "" old woman,""--""quite troublesome . """,26,"('low', 'bas', 'bajo')",1
"everybody had remarked that something had passed between the king and queen ; but both of them had spoken so low that everybody , out of respect , withdrew several steps , so that nobody had heard anything .",20,"('low', 'bas', 'bajar')",2
"athos and he exchanged some words in a low voice , then the tall man made a sign to the musketeer that he might come in .",8,"('low', 'bas', 'bajo')",1
"the crater of snæfell resembled an inverted cone , the opening of which might be half a league in diameter . its depth appeared to be about two thousand feet . imagine the aspect of such a reservoir , brim full and running over with liquid fire amid the rolling thunder . the bottom of the funnel was about 250 feet in circuit , so that the gentle slope allowed its lower brim to be reached without much difficulty . involuntarily i compared the whole crater to an enormous erected mortar , and the comparison put me in a terrible fright .",71,"('low', 'inférieur', 'inferior')",0
"in a few minutes the settlers had reached the lower point of the lake , and a glance showed them that the object had been attained .",9,"('low', 'inférieur', 'inferior')",0
""" borings will tell us that . i 'm going to ground the nautilus on the lower shelf , then my men will put on their diving suits and attack the thinnest of these ice walls . """,16,"('low', 'inférieur', 'inferior')",0
"the carriage , which had been stopped for a minute , resumed its way , passed through the crowd , threaded the rue st . honore , turned into the rue des bons enfants , and stopped before a low door .",39,"('low', 'bas', 'bajo')",1
"the sailor and the lad , creeping among the grass , arrived at the foot of a tree , whose lower branches were covered with little birds .",20,"('low', 'bas', 'bajo')",1
"but it is probable that at the lower part of the chimney , time may have accumulated rocks , cinders , hardened lava , and that this valve of which i spoke , may at any time become overcharged .",7,"('low', 'inférieur', 'inferior')",0
""" yes , monsieur , "" replied the terrified citizen , in a tone so low that he was scarcely audible .",15,"('low', 'bas', 'bajar')",2
""" good evening ! "" he repeated , in a voice low and hollow as an echo .",11,"('low', 'bas', 'bajo')",1
"his countenance , i thought , wore a mingled expression of low cunning and perplexity .",11,"('low', 'bas', 'bajo')",1
"a few trees here and there rose above a low , marshy ground , which the colonists had already surveyed , and in violent contrast to the other desert shore , life was again manifested by the presence of myriads of water - fowl .",9,"('low', 'bas', 'bajo')",1
"john bunsby long examined the threatening aspect of the heavens , muttering indistinctly between his teeth . at last he said in a low voice to mr . fogg , "" shall i speak out to your honour ? """,23,"('low', 'bas', 'bajo')",1
"they must have remembered that during the attack by the brig numerous shot had been fired both from the lower and upper rocks , and no doubt they did not wish to expose themselves .",19,"('low', 'inférieur', 'inferior')",0
""" here is the lower jaw of a mastodon , "" [ 1 ] i said . "" these are the molar teeth of the deinotherium ; this femur must have belonged to the greatest of those beasts , the megatherium . it certainly is a menagerie , for these remains were not brought here by a deluge . the animals to which they belonged roamed on the shores of this subterranean sea , under the shade of those arborescent trees . here are entire skeletons . and yet i can not understand the appearance of these quadrupeds in a granite cavern . """,4,"('low', 'inférieur', 'inferior')",0
"entering the gate and passing the shrubs , the silhouette of a house rose to view , black , low , and rather long ; but the guiding light shone nowhere . all was obscurity .",19,"('low', 'bas', 'bajo')",1
""" you see the address , "" said the queen , speaking so low that mme . bonacieux could hardly hear what she said , "" to my lord duke of buckingham , london . """,13,"('low', 'bas', 'bajar')",2
""" just this , captain . in going toward the ocean 's lower strata , we know that vegetable life disappears more quickly than animal life . we know that moving creatures can still be encountered where water plants no longer grow . we know that oysters and pilgrim scallops live in 2,000 meters of water , and that admiral mcclintock , england 's hero of the polar seas , pulled in a live sea star from a depth of 2,500 meters . we know that the crew of the royal navy 's bulldog fished up a starfish from 2,620 fathoms , hence from a depth of more than one vertical league . would you still say , captain nemo , that we really know nothing ? """,12,"('low', 'bas', 'bajo')",1
"clumps of australian cedars rose on the sloping banks , which were also covered with the high grass called "" tussac "" in new holland ; but the cocoanut , so abundant in the archipelagoes of the pacific , seemed to be wanting in the island , the latitude , doubtless , being too low .",54,"('low', 'bas', 'bajo')",1
"in approaching the first plateau formed by the truncating of the lower cone , the difficulties of the ascent were very great .",11,"('low', 'inférieur', 'inferior')",0
"i climbed onto the platform . night had already fallen , because in this low latitude the sun sets quickly , without any twilight . i could see gueboroa island only dimly . but numerous fires had been kindled on the beach , attesting that the natives had no thoughts of leaving it .",14,"('low', 'bas', 'bajo')",1
""" listen , "" replied felton , in a low voice . "" i have just sent away the sentinel that i might remain here without anybody knowing it , in order to speak to you without being overheard .",9,"('low', 'bas', 'bajo')",1
"when they reached the top landing , dorian set the lamp down on the floor , and taking out the key , turned it in the lock . "" you insist on knowing , basil ? "" he asked in a low voice .",41,"('low', 'bas', 'bajo')",1
""" hush ! "" said athos , speaking in a low voice . "" we have heard all it was necessary we should hear ; besides , i do n’t prevent you from listening , but i must be gone . """,10,"('low', 'bas', 'bajo')",1
"' hush ! hush ! ' said the rabbit in a low , hurried tone . he looked anxiously over his shoulder as he spoke , and then raised himself upon tiptoe , put his mouth close to her ear , and whispered ' she 's under sentence of execution . '",11,"('low', 'bas', 'bajo')",1
