text,ind,sense,label
"with the brief dialogue that follows , were spoken in a thoroughly artificial manner . the voice was exquisite , but from the point of view of tone it was absolutely false . it was wrong in colour . it took away all the life from the verse . it made the passion unreal .",52,"('passion', 'passion', 'pasión')",0
""" poets are not so scrupulous as you are . they know how useful passion is for publication . nowadays a broken heart will run to many editions . """,14,"('passion', 'passion', 'pasión')",0
"meantime milady , drunk with passion , roaring on the deck like a lioness that has been embarked , had been tempted to throw herself into the sea that she might regain the coast , for she could not get rid of the thought that she had been insulted by d’artagnan , threatened by athos , and that she had quit france without being revenged on them .",5,"('passion', 'colère', 'cólera')",1
"there was a rustle of chirruping sparrows in the green lacquer leaves of the ivy , and the blue cloud - shadows chased themselves across the grass like swallows . how pleasant it was in the garden ! and how delightful other people 's emotions were!-- much more delightful than their ideas , it seemed to him . one 's own soul , and the passions of one 's friends -- those were the fascinating things in life . he pictured to himself with silent amusement the tedious luncheon that he had missed by staying so long with basil hallward .",65,"('passion', 'passion', 'pasión')",0
"he threw himself into a chair and began to think . suddenly there flashed across his mind what he had said in basil hallward 's studio the day the picture had been finished . yes , he remembered it perfectly . he had uttered a mad wish that he himself might remain young , and the portrait grow old ; that his own beauty might be untarnished , and the face on the canvas bear the burden of his passions and his sins ; that the painted image might be seared with the lines of suffering and thought , and that he might keep all the delicate bloom and loveliness of his then just conscious boyhood . surely his wish had not been fulfilled ? such things were impossible . it seemed monstrous even to think of them . and , yet , there was the picture before him , with the touch of cruelty in the mouth .",79,"('passion', 'passion', 'pasión')",0
"on entering this holy place , the poor penitent was unable to shut the door so close as to prevent the passions he fled from entering with him .",21,"('passion', 'passion', 'pasión')",0
""" because to influence a person is to give him one 's own soul . he does not think his natural thoughts , or burn with his natural passions . his virtues are not real to him . his sins , if there are such things as sins , are borrowed . he becomes an echo of some one else 's music , an actor of a part that has not been written for him . the aim of life is self - development . to realize one 's nature perfectly -- that is what each of us is here for .",28,"('passion', 'passion', 'pasión')",0
"one thing , however , he felt that it had done for him . it had made him conscious how unjust , how cruel , he had been to sibyl vane . it was not too late to make reparation for that . she could still be his wife . his unreal and selfish love would yield to some higher influence , would be transformed into some nobler passion , and the portrait that basil hallward had painted of him would be a guide to him through life , would be to him what holiness is to some , and conscience to others , and the fear of god to us all . there were opiates for remorse , drugs that could lull the moral sense to sleep . but here was a visible symbol of the degradation of sin . here was an ever - present sign of the ruin men brought upon their souls .",68,"('passion', 'passion', 'pasión')",0
""" did he name no one in his passion ? """,8,"('passion', 'colère', 'cólera')",1
"you , mr . gray , you yourself , with your rose - red youth and your rose - white boyhood , you have had passions that have made you afraid , thoughts that have fined you with terror , day - dreams and sleeping dreams whose mere memory might stain your cheek with shame-- """,25,"('passion', 'passion', 'pasión')",0
""" my dear gladys ! "" cried lord henry . "" how can you say that ? romance lives by repetition , and repetition converts an appetite into an art . besides , each time that one loves is the only time one has ever loved . difference of object does not alter singleness of passion . it merely intensifies it . we can have in life but one great experience at best , and the secret of life is to reproduce that experience as often as possible . """,55,"('passion', 'passion', 'pasión')",0
""" no , you do n't feel it now . some day , when you are old and wrinkled and ugly , when thought has seared your forehead with its lines , and passion branded your lips with its hideous fires , you will feel it , you will feel it terribly . now , wherever you go , you charm the world . will it always be so ? . . . you have a wonderfully beautiful face , mr . gray . do n't frown . you have . and beauty is a form of genius-- is higher , indeed , than genius , as it needs no explanation . it is of the great facts of the world , like sunlight , or spring - time , or the reflection in dark waters of that silver shell we call the moon . it can not be questioned . it has its divine right of sovereignty . it makes princes of those who have it .",33,"('passion', 'passion', 'pasión')",0
""" always ! that is a dreadful word . it makes me shudder when i hear it . women are so fond of using it . they spoil every romance by trying to make it last for ever . it is a meaningless word , too . the only difference between a caprice and a lifelong passion is that the caprice lasts a little longer . """,56,"('passion', 'passion', 'pasión')",0
"he felt that the time had really come for making his choice . or had his choice already been made ? yes , life had decided that for him -- life , and his own infinite curiosity about life . eternal youth , infinite passion , pleasures subtle and secret , wild joys and wilder sins -- he was to have all these things . the portrait was to bear the burden of his shame : that was all .",44,"('passion', 'passion', 'pasión')",0
love is the most selfish of all the passions .,8,"('passion', 'passion', 'pasión')",0
""" monsieur porthos may imagine you belong to the house , and in a fit of passion might run his sword through you or blow out your brains . "" "" what have you done to him , then ? """,16,"('passion', 'colère', 'cólera')",1
"even now i can not help feeling that it is a mistake to think that the passion one feels in creation is ever really shown in the work one creates . art is always more abstract than we fancy . form and colour tell us of form and colour -- that is all . it often seems to me that art conceals the artist far more completely than it ever reveals him . and so when i got this offer from paris , i determined to make your portrait the principal thing in my exhibition . it never occurred to me that you would refuse . i see now that you were right . the picture can not be shown . you must not be angry with me , dorian , for what i have told you . as i said to harry , once , you are made to be worshipped . """,16,"('passion', 'passion', 'pasión')",0
"she felt by intuition the flame of the opposing passions which burned with the blood in the veins of the young fanatic . as a skillful general , seeing the enemy ready to surrender , marches toward him with a cry of victory , she rose , beautiful as an antique priestess , inspired like a christian virgin , her arms extended , her throat uncovered , her hair disheveled , holding with one hand her robe modestly drawn over her breast , her look illumined by that fire which had already created such disorder in the veins of the young puritan , and went toward him , crying out with a vehement air , and in her melodious voice , to which on this occasion she communicated a terrible energy :",9,"('passion', 'passion', 'pasión')",0
"so that was the story of dorian gray 's parentage . crudely as it had been told to him , it had yet stirred him by its suggestion of a strange , almost modern romance . a beautiful woman risking everything for a mad passion . a few wild weeks of happiness cut short by a hideous , treacherous crime . months of voiceless agony , and then a child born in pain . the mother snatched away by death , the boy left to solitude and the tyranny of an old and loveless man .",44,"('passion', 'passion', 'pasión')",0
""" because she flew into a great passion on receiving the letter , saying that monsieur porthos was a weathercock , and that she was sure it was for some woman he had received this wound . """,7,"('passion', 'colère', 'cólera')",1
"there was something terribly enthralling in the exercise of influence . no other activity was like it . to project one 's soul into some gracious form , and let it tarry there for a moment ; to hear one 's own intellectual views echoed back to one with all the added music of passion and youth ; to convey one 's temperament into another as though it were a subtle fluid or a strange perfume : there was a real joy in that -- perhaps the most satisfying joy left to us in an age so limited and vulgar as our own , an age grossly carnal in its pleasures , and grossly common in its aims ....",54,"('passion', 'passion', 'pasión')",0
"captain nemo spoke with winning eloquence . the fire in his eyes and the passion in his gestures transfigured him . yes , he loved his ship the same way a father loves his child !",14,"('passion', 'passion', 'pasión')",0
"the worship of the senses has often , and with much justice , been decried , men feeling a natural instinct of terror about passions and sensations that seem stronger than themselves , and that they are conscious of sharing with the less highly organized forms of existence . but it appeared to dorian gray that the true nature of the senses had never been understood , and that they had remained savage and animal merely because the world had sought to starve them into submission or to kill them by pain , instead of aiming at making them elements of a new spirituality , of which a fine instinct for beauty was to be the dominant characteristic .",24,"('passion', 'passion', 'pasión')",0
"yet one had ancestors in literature as well as in one 's own race , nearer perhaps in type and temperament , many of them , and certainly with an influence of which one was more absolutely conscious . there were times when it appeared to dorian gray that the whole of history was merely the record of his own life , not as he had lived it in act and circumstance , but as his imagination had created it for him , as it had been in his brain and in his passions . he felt that he had known them all , those strange terrible figures that had passed across the stage of the world and made sin so marvellous and evil so full of subtlety . it seemed to him that in some mysterious way their lives had been his own .",93,"('passion', 'passion', 'pasión')",0
"jealousy , fury , offended pride , all the passions in short that dispute the heart of an outraged woman in love , urged her to make a revelation ; but she reflected that she would be totally lost if she confessed having assisted in such a machination , and above all , that d’artagnan would also be lost to her forever .",9,"('passion', 'passion', 'pasión')",0
"sense would resist delirium : judgment would warn passion . too feverish to rest , i rose as soon as day dawned .",8,"('passion', 'passion', 'pasión')",0
"i should be enamored of the spirit of the english nation , did it not utterly frustrate the good effects it would produce by passion and the spirit of party . """,24,"('passion', 'passion', 'pasión')",0
""" my dear boy , the people who love only once in their lives are really the shallow people . what they call their loyalty , and their fidelity , i call either the lethargy of custom or their lack of imagination . faithfulness is to the emotional life what consistency is to the life of the intellect -- simply a confession of failure . faithfulness ! i must analyse it some day . the passion for property is in it . there are many things that we would throw away if we were not afraid that others might pick them up . but i do n't want to interrupt you . go on with your story . """,75,"('passion', 'passion', 'pasión')",0
"but juliet ! harry , imagine a girl , hardly seventeen years of age , with a little , flowerlike face , a small greek head with plaited coils of dark - brown hair , eyes that were violet wells of passion , lips that were like the petals of a rose . she was the loveliest thing i had ever seen in my life . you said to me once that pathos left you unmoved , but that beauty , mere beauty , could fill your eyes with tears . i tell you , harry , i could hardly see this girl for the mist of tears that came across me .",41,"('passion', 'passion', 'pasión')",0
"he felt that if he brooded on what he had gone through he would sicken or grow mad . there were sins whose fascination was more in the memory than in the doing of them , strange triumphs that gratified the pride more than the passions , and gave to the intellect a quickened sense of joy , greater than any joy they brought , or could ever bring , to the senses . but this was not one of them . it was a thing to be driven out of the mind , to be drugged with poppies , to be strangled lest it might strangle one itself .",45,"('passion', 'passion', 'pasión')",0
"and yet , notwithstanding this want of respect , he felt an uncontrollable passion for this woman boiling in his veins -- passion drunk with contempt ; but passion or thirst , as the reader pleases .",13,"('passion', 'passion', 'pasión')",0
"and yet , notwithstanding this want of respect , he felt an uncontrollable passion for this woman boiling in his veins -- passion drunk with contempt ; but passion or thirst , as the reader pleases .",22,"('passion', 'passion', 'pasión')",0
"and yet , notwithstanding this want of respect , he felt an uncontrollable passion for this woman boiling in his veins -- passion drunk with contempt ; but passion or thirst , as the reader pleases .",28,"('passion', 'passion', 'pasión')",0
"the sailor could rely upon herbert ; the young boy was well up in natural history , and always had had quite a passion for the science .",23,"('passion', 'passion', 'pasión')",0
"yes , the lad was premature . he was gathering his harvest while it was yet spring . the pulse and passion of youth were in him , but he was becoming self - conscious . it was delightful to watch him . with his beautiful face , and his beautiful soul , he was a thing to wonder at . it was no matter how it all ended , or was destined to end . he was like one of those gracious figures in a pageant or a play , whose joys seem to be remote from one , but whose sorrows stir one 's sense of beauty , and whose wounds are like red roses .",21,"('passion', 'passion', 'pasión')",0
i felt cold and dismayed : my worst fears then were probably true : he had in all probability left england and rushed in reckless desperation to some former haunt on the continent . and what opiate for his severe sufferings -- what object for his strong passions -- had he sought there ?,47,"('passion', 'passion', 'pasión')",0
"how many magnificent projects of vengeance she conceives by the light of the flashes which her tempestuous passion casts over her mind against mme . bonacieux , against buckingham , but above all against d’artagnan -- projects lost in the distance of the future .",17,"('passion', 'colère', 'cólera')",1
"sibyl vane tossed her head and laughed . "" we do n't want him any more , mother . prince charming rules life for us now . "" then she paused . a rose shook in her blood and shadowed her cheeks . quick breath parted the petals of her lips . they trembled . some southern wind of passion swept over her and stirred the dainty folds of her dress . "" i love him , "" she said simply .",59,"('passion', 'passion', 'pasión')",0
"but by degrees she overcame the outbursts of her mad passion ; and nervous tremblings which agitated her frame disappeared , and she remained folded within herself like a fatigued serpent in repose . "" go to , go to !",10,"('passion', 'colère', 'cólera')",1
"thin - lipped wisdom spoke at her from the worn chair , hinted at prudence , quoted from that book of cowardice whose author apes the name of common sense . she did not listen . she was free in her prison of passion . her prince , prince charming , was with her . she had called on memory to remake him . she had sent her soul to search for him , and it had brought him back . his kiss burned again upon her mouth . her eyelids were warm with his breath .",43,"('passion', 'passion', 'pasión')",0
""" you arrive in good time , monsieur , "" said the king , who , when his passions were raised to a certain point , could not dissemble ; "" i have learned some fine things concerning your musketeers . """,18,"('passion', 'passion', 'pasión')",0
