text,sense,label,ind,new_label
""" i could not get rid of her . she brought me up to royalties , and people with stars and garters , and elderly ladies with gigantic tiaras and parrot noses . she spoke of me as her dearest friend . i had only met her once before , but she took it into her head to lionize me . i believe some picture of mine had made a great success at the time , at least had been chattered about in the penny newspapers , which is the nineteenth - century standard of immortality .","('lady', 'dame', 'señor')",0,25,0
""" poor lady brandon ! you are hard on her , harry ! "" said hallward listlessly .","('lady', 'lady', 'lady')",1,2,1
"and still further , it is very probable i should not have done anything of this , if it had not been to make myself agreeable to someone who is my lady , as the queen is yours . ""","('lady', 'dame', 'dama')",2,31,2
"then , on the anniversary of the day on which i had been insulted , i hung my cassock on a peg , assumed the costume of a cavalier , and went to a ball given by a lady friend of mine and to which i knew my man was invited .","('lady', 'dame', 'dama')",2,38,2
"as i expected , my officer was there . i went up to him as he was singing a love ditty and looking tenderly at a lady , and interrupted him exactly in the middle of the second couplet . ’ monsieur , ’ said i , ’ does it still displease you that i should frequent a certain house of la rue payenne ?","('lady', 'femme', 'mujer')",3,26,3
""" you say , watson , that the lady is not there ? "" holmes asked , when i had finished my report .","('lady', 'dame', 'señor')",0,8,0
""" to see a sick lady who has sent for me . ""","('lady', 'dame', 'señor')",0,5,0
""" now , "" continued aramis , "" as the ladies did not see the singer come back , and as he was found in the rue payenne with a great sword wound through his body , it was supposed that i had accommodated him thus ; and the matter created some scandal which obliged me to renounce the cassock for a time .","('lady', 'dame', 'dama')",2,10,2
"the reader hushed herself instantly . all the ladies rose , and there was a profound silence .","('lady', 'dame', 'dama')",2,8,2
"i would never think of running a hundred miles to see an old lady who will , perhaps , be dead before you reach her : besides , you say she cast you off . ""","('lady', 'femme', 'mujer')",3,13,3
"thank god , i am not a bravo ! and being a musketeer but for a time , i only fight when i am forced to do so , and always with great repugnance ; but this time the affair is serious , for here is a lady compromised by you . ""","('lady', 'dame', 'dama')",2,47,2
""" and when can i see this young lady , for whom i already feel so great a sympathy ? "" asked milady .","('lady', 'dame', 'dama')",2,8,2
"candide sat down at the table with his majesty , his valet cacambo , and several ladies of the court . never was entertainment more elegant , nor could any one possibly show more wit than his majesty displayed while they were at supper .","('lady', 'dame', 'señor')",0,16,0
""" but i am not a foreigner , sir , "" said she , with an accent as pure as ever was heard between portsmouth and manchester ; "" my name is lady clarik , and this measure-- ""","('lady', 'lady', 'lady')",1,32,1
"while mr . rochester and the other gentlemen directed these alterations , the ladies were running up and down stairs ringing for their maids .","('lady', 'dame', 'dama')",2,13,2
"meantime , mr . rochester had again summoned the ladies round him , and was selecting certain of their number to be of his party .","('lady', 'dame', 'señor')",0,9,0
"one of the gentlemen , mr . eshton , observing me , seemed to propose that i should be asked to join them ; but lady ingram instantly negatived the notion .","('lady', 'lady', 'lady')",1,25,1
""" my gallant ned , "" i replied , "" for poets a pearl is a tear from the sea ; for orientals it 's a drop of solidified dew ; for the ladies it 's a jewel they can wear on their fingers , necks , and ears that 's oblong in shape , glassy in luster , and formed from mother - of - pearl ; for chemists it 's a mixture of calcium phosphate and calcium carbonate with a little gelatin protein ; and finally , for naturalists it 's a simple festering secretion from the organ that produces mother - of - pearl in certain bivalves . ""","('lady', 'dame', 'dama')",2,33,2
"mme . coquenard therefore entered the office from the house at the same moment her guest entered from the stairs , and the appearance of the worthy lady relieved him from an awkward embarrassment .","('lady', 'dame', 'dama')",2,27,2
"the city carpenters had erected scaffolds upon which the invited ladies were to be placed ; the city grocer had ornamented the chambers with two hundred flambeaux of white wax , a piece of luxury unheard of at that period ; and twenty violins were ordered , and the price for them fixed at double the usual rate , upon condition , said the report , that they should be played all night .","('lady', 'dame', 'dama')",2,10,2
