text,ind,sense,label
"finally , as the hour for her interview with the count approached , milady had everything about her darkened , and ordered kitty to return to her own chamber , and introduce de wardes whenever he presented himself .",36,"('present', 'présenter', 'presentar')",0
""" no , jane , "" he returned : "" what necessity is there to dwell on the past , when the present is so much surer -- the future so much brighter ? """,22,"('present', 'présent', 'presentar')",1
"hallward got up from the seat and walked up and down the garden . after some time he came back . "" harry , "" he said , "" dorian gray is to me simply a motive in art . you might see nothing in him . i see everything in him . he is never more present in my work than when no image of him is there . he is a suggestion , as i have said , of a new manner . i find him in the curves of certain lines , in the loveliness and subtleties of certain colours . that is all . """,57,"('present', 'présent', 'presentar')",1
""" you see , "" said lord de winter , presenting d’artagnan to his sister , "" a young gentleman who has held my life in his hands , and who has not abused his advantage , although we have been twice enemies , although it was i who insulted him , and although i am an englishman .",10,"('present', 'présenter', 'presentar')",0
"christmas and the new year had been celebrated at gateshead with the usual festive cheer ; presents had been interchanged , dinners and evening parties given .",16,"('present', 'présent', 'regalo')",2
"their anxiety about their outfits had all disappeared , and each countenance only preserved the expression of its own secret disquiet -- for behind all present happiness is concealed a fear for the future .",25,"('present', 'présent', 'presentar')",1
"he had resolved , therefore , to attempt the exploration of the well during the absence of his companions , and an opportunity for doing so had now presented itself .",28,"('present', 'présenter', 'presentar')",0
""" it is a formidable difficulty , and i fear that you ask too much when you expect me to solve it . the past and the present are within the field of my inquiry , but what a man may do in the future is a hard question to answer . mrs . stapleton has heard her husband discuss the problem on several occasions . there were three possible courses . he might claim the property from south america , establish his identity before the british authorities there and so obtain the fortune without ever coming to england at all ; or he might adopt an elaborate disguise during the short time that he need be in london ; or , again , he might furnish an accomplice with the proofs and papers , putting him in as heir , and retaining a claim upon some proportion of his income . we can not doubt from what we know of him that he would have found some way out of the difficulty . and now , my dear watson , we have had some weeks of severe work , and for one evening , i think , we may turn our thoughts into more pleasant channels . i have a box for ' les huguenots . ' have you heard the de reszkes ? might i trouble you then to be ready in half an hour , and we can stop at marcini 's for a little dinner on the way ? """,27,"('present', 'présent', 'presentar')",1
"the carriage passed under two arched gateways , and at length stopped in a court large , dark , and square . almost immediately the door of the carriage was opened , the young man sprang lightly out and presented his hand to milady , who leaned upon it , and in her turn alighted with tolerable calmness .",39,"('present', 'présenter', 'presentar')",0
"milady replied that she was too weak at present , and that her only desire was to be left alone .",8,"('present', 'moment', 'momento')",3
"planchet , grimaud , bazin , and mousqueton presented themselves , and received clear , positive , and serious orders from athos .",8,"('present', 'présenter', 'presentar')",0
""" why , it must have been the king who made you such a present . """,14,"('present', 'cadeau', 'regalar')",4
"after we had passed the basaltic wall of the fiord of stapi we passed over a vegetable fibrous peat bog , left from the ancient vegetation of this peninsula . the vast quantity of this unworked fuel would be sufficient to warm the whole population of iceland for a century ; this vast turbary measured in certain ravines had in many places a depth of seventy feet , and presented layers of carbonized remains of vegetation alternating with thinner layers of tufaceous pumice .",69,"('present', 'présenter', 'presentar')",0
if i made you that present it was that you might adorn yourself therewith .,5,"('present', 'cadeau', 'regalar')",4
"the next morning , when kitty presented herself at d’artagnan ’s , she was no longer joyous and alert as on the two preceding days ; but on the contrary sad as death .",6,"('present', 'présenter', 'presentar')",0
"then athos took from his pocket a small paper , on which two lines were written , accompanied by a signature and a seal , and presented them to him who had made too prematurely these signs of repugnance .",26,"('present', 'présenter', 'presentar')",0
