text,ind,sense,label
"a great part of the distance would thus be traversed without fatigue , and the explorers could transport their provisions and arms to an advanced point in the west of the island .",21,"('arm', 'arme', 'armar')",0
"the handkerchief was indeed richly embroidered , and had a coronet and arms at one of its corners .",12,"('arm', 'arme', 'armar')",0
"so saying , he pulled out his own handkerchief , likewise a very elegant handkerchief , and of fine cambric -- though cambric was dear at the period -- but a handkerchief without embroidery and without arms , only ornamented with a single cipher , that of its proprietor .",36,"('arm', 'arme', 'armar')",0
""" i could sooner light my arms by rubbing them against each other ! """,6,"('arm', 'bras', 'brazo')",1
""" what nonsense you talk ! "" said lord henry , smiling , and taking hallward by the arm , he almost led him into the house .",18,"('arm', 'bras', 'brazo')",1
"the other was a large square epistle , resplendent with the terrible arms of his eminence the cardinal duke .",12,"('arm', 'arme', 'armar')",0
"then , feeling somewhat refreshed , cyrus harding crossed his arms , and said,--",10,"('arm', 'bras', 'brazo')",1
""" but suppose we all go , "" said d’artagnan ; "" what the devil ! they wo n’t devour us all four , four lackeys , horses , arms , and all ! """,29,"('arm', 'arme', 'armar')",0
""" he is right , "" said porthos ; "" battle . besides , we must try our own arms . """,19,"('arm', 'arme', 'armar')",0
""" on this arm , i have neither hand nor nails , "" he said , drawing the mutilated limb from his breast , and showing it to me . "" it is a mere stump -- a ghastly sight ! do n't you think so , jane ? """,3,"('arm', 'bras', 'brazo')",1
""" i thought you would be revolted , jane , when you saw my arm , and my cicatrised visage . """,14,"('arm', 'bras', 'brazo')",1
"the door was scarcely closed upon him , when the queen sank , half fainting , into the arms of her women .",18,"('arm', 'bras', 'brazo')",1
"as they entered the studio , dorian gray put his hand upon lord henry 's arm . "" in that case , let our friendship be a caprice , "" he murmured , flushing at his own boldness , then stepped up on the platform and resumed his pose .",15,"('arm', 'bras', 'brazo')",1
"mr . fogg was quite ready . under his arm might have been observed a red - bound copy of bradshaw 's continental railway steam transit and general guide , with its timetables showing the arrival and departure of steamers and railways . he took the carpet - bag , opened it , and slipped into it a goodly roll of bank of england notes , which would pass wherever he might go .",9,"('arm', 'bras', 'brazo')",1
when i awoke it was day : an unusual movement roused me ; i looked up ; i was in somebody 's arms ; the nurse held me ; she was carrying me through the passage back to the dormitory .,22,"('arm', 'bras', 'brazo')",1
