text,ind,sense,label
""" twenty - two minutes after eleven , "" returned passepartout , drawing an enormous silver watch from the depths of his pocket .",12,"('draw', 'tirer', 'sacar')",0
""" well , here it is at last ! "" said d’artagnan , as he drew the letter from his pocket .",15,"('draw', 'tirer', 'sacar')",0
""" not too much so , "" replied d’artagnan , with a bow that was not deficient in dignity , "" since you do me the honor to draw a sword with me while suffering from a wound which is very inconvenient . """,28,"('draw', 'tirer', 'sacar')",0
"thus encouraged , our scientific friend drew his papers from his pocket , and presented the whole case as he had done upon the morning before . sir henry baskerville listened with the deepest attention , and with an occasional exclamation of surprise .",6,"('draw', 'tirer', 'sacar')",0
"anne of austria took one step backward , became so pale that it might be said she was dying , and leaning with her left hand upon a table behind her to keep herself from falling , she with her right hand drew the paper from her bosom and held it out to the keeper of the seals .",42,"('draw', 'tirer', 'sacar')",0
"at these words , with the most gallant air possible , d’artagnan drew his sword .",12,"('draw', 'tirer', 'sacar')",0
"the blood had mounted to the head of d’artagnan , and at that moment he would have drawn his sword against all the musketeers in the kingdom as willingly as he now did against athos , porthos , and aramis .",17,"('draw', 'tirer', 'sacar')",0
""" it is very hot , "" said athos , drawing his sword in its turn , "" and yet i can not take off my doublet ; for i just now felt my wound begin to bleed again , and i should not like to annoy monsieur with the sight of blood which he has not drawn from me himself . """,10,"('draw', 'tirer', 'sacar')",0
""" it is very hot , "" said athos , drawing his sword in its turn , "" and yet i can not take off my doublet ; for i just now felt my wound begin to bleed again , and i should not like to annoy monsieur with the sight of blood which he has not drawn from me himself . """,57,"('draw', 'tirer', 'sacar')",0
"athos , porthos , and aramis instantly drew near one another , while jussac drew up his soldiers .",7,"('draw', 'rapprocher', 'acercar')",1
""" we are about to have the honor of charging you , "" replied aramis , lifting his hat with one hand and drawing his sword with the other .",23,"('draw', 'tirer', 'sacar')",0
"he recalled , all at once , the warnings of lord de winter , the seductions of milady , her first attempts after her arrival . he drew back a step , and hung down his head , without , however , ceasing to look at her , as if , fascinated by this strange creature , he could not detach his eyes from her eyes .",27,"('draw', 'reculer', 'retroceder')",2
"we had risen to depart when baskerville gave a cry , of triumph , and diving into one of the corners of the room he drew a brown boot from under a cabinet .",25,"('draw', 'retirer', 'sacar')",3
""" softly , gentlemen ! "" said d’artagnan , drawing his pistols from his belt , "" you will kill nobody , if you please ! """,9,"('draw', 'tirer', 'sacar')",0
"my heart really warmed to the worthy lady as i heard her talk ; and i drew my chair a little nearer to her , and expressed my sincere wish that she might find my company as agreeable as she anticipated .",16,"('draw', 'rapprocher', 'acercar')",1
the host drew back and burst into tears .,2,"('draw', 'reculer', 'retroceder')",2
""" here is the knife , "" said felton , drawing from his pocket the weapon which he had brought , according to his promise , but which he hesitated to give to his prisoner .",10,"('draw', 'tirer', 'sacar')",0
"d’artagnan drew near the window , and lent his ear .",1,"('draw', 'rapprocher', 'acercar')",1
""" but he will draw upon his head the punishment reserved for the damned ! "" said felton , with increasing exultation . "" he wills that human vengeance should precede celestial justice . """,4,"('draw', 'attirer', 'atraer')",4
"cyrus harding drew near the captain , and gideon spilett took his hand -- it was of a feverish heat .",2,"('draw', 'approcher', 'acercar')",5
"the repast at length terminated ; at the moment when each one was about to give himself up to sleep , cyrus harding drew from his pocket little specimens of different sorts of minerals , and just said,--",23,"('draw', 'tirer', 'sacar')",0
"herbert , who had drawn near the captain , fell on his knees and kissed his hand .",4,"('draw', 'rapprocher', 'acercar')",1
"the cardinal made a sign to his attendant , who drew near .",10,"('draw', 'rapprocher', 'acercar')",1
"breakfast over , my uncle drew from his pocket a small notebook , intended for scientific observations . he consulted his instruments , and recorded :",5,"('draw', 'tirer', 'sacar')",0
"drawing his sword from its scabbard , he rushed out of the apartment .",0,"('draw', 'tirer', 'sacar')",0
""" i have that permission , "" said the gentleman , drawing the paper from his pocket ; "" here it is . """,11,"('draw', 'tirer', 'sacar')",0
"milady made one step forward , and then drew back as if she had seen a serpent .",8,"('draw', 'reculer', 'retroceder')",2
""" your affair is not bad , "" said athos , after having tasted like a connoisseur and indicated by a nod of his head that he thought the wine good ; "" and one may draw fifty or sixty pistoles from this good man .",36,"('draw', 'tirer', 'sacar')",0
""" no , my lord , i still plead . and i say to you : one drop of water suffices to make the full vase overflow ; one slight fault may draw down punishment upon the head spared , despite many crimes . """,32,"('draw', 'attirer', 'atraer')",4
"seeing this , the gentleman drew his sword , and sprang upon d’artagnan ; but he had too strong an adversary .",5,"('draw', 'tirer', 'sacar')",0
"milady saw by the contraction of his countenance that the trigger was about to be pulled ; she reached her hand quickly to her bosom , drew out a paper , and held it toward athos .",26,"('draw', 'tirer', 'sacar')",0
""" it is here , captain harding , "" replied ayrton , drawing towards him the fragile craft , which was protected by the arch of the vault .",12,"('draw', 'attirer', 'atraer')",4
""" which you please , monsieur ! "" said the light - horseman , drawing from his fob a very handsome watch , studded with diamonds ; "" half past seven . """,14,"('draw', 'tirer', 'sacar')",0
""" there , "" said he , drawing from the casket a large bow of blue ribbon all sparkling with diamonds , "" there are the precious studs which i have taken an oath should be buried with me .",7,"('draw', 'tirer', 'sacar')",0
"porthos drew his sword from the scabbard , and made passes at the wall , springing back from time to time , and making contortions like a dancer .",1,"('draw', 'tirer', 'sacar')",0
""" if he had been one there was no reason to believe that he had ceased to be . on the contrary , from his point of view , any sudden change would be likely to draw attention to himself . he would , probably , for a time at least , continue to perform his duties . there was no reason to suppose that he was going under an assumed name . why should he change his name in a country where no one knew his original one ? i therefore organized my street arab detective corps , and sent them systematically to every cab proprietor in london until they ferreted out the man that i wanted . how well they succeeded , and how quickly i took advantage of it , are still fresh in your recollection . the murder of stangerson was an incident which was entirely unexpected , but which could hardly in any case have been prevented . through it , as you know , i came into possession of the pills , the existence of which i had already surmised . you see the whole thing is a chain of logical sequences without a break or flaw . """,36,"('draw', 'attirer', 'atraer')",4
""" i have come prepared to do so , "" said holmes , drawing several papers from his pocket . "" here is a photograph of the couple taken in york four years ago . it is indorsed ' mr . and mrs . vandeleur , ' but you will have no difficulty in recognizing him , and her also , if you know her by sight . here are three written descriptions by trustworthy witnesses of mr . and mrs . vandeleur , who at that time kept st . oliver 's private school . read them and see if you can doubt the identity of these people . """,13,"('draw', 'tirer', 'sacar')",0
"she is some emissary of the cardinal ; a woman who will draw you into a snare in which you will leave your head . """,12,"('draw', 'attirer', 'atraer')",4
"then , swallowing the contents of his glass , which he put down close to him , athos arose carelessly , took the musket next to him , and drew near to one of the loopholes .",29,"('draw', 'approcher', 'acercar')",5
he therefore drew near to the table and took the second glass .,2,"('draw', 'approcher', 'acercar')",5
"this awakening you have given me ; allow me , then , to enjoy it at my ease , "" and taking her hand , she drew her toward the armchair by the bedside .",26,"('draw', 'attirer', 'atraer')",4
"by then it was three o'clock in the afternoon . the current was slacking off , it was almost full tide . the nautilus drew near this island , which i can see to this day with its remarkable fringe of screw pines . we hugged it from less than two miles out . a sudden jolt threw me down . the nautilus had just struck a reef , and it remained motionless , listing slightly to port .",24,"('draw', 'approcher', 'acercar')",5
"the young woman drew back , filled with surprise and terror .",3,"('draw', 'reculer', 'retroceder')",2
"the cardinal drew near to the king , and placed in his hand a small casket .",2,"('draw', 'approcher', 'acercar')",5
"nevertheless , whether the cough had been answered by a similar signal which had fixed the irresolution of the nocturnal seeker , or whether without this aid she saw that she had arrived at the end of her journey , she resolutely drew near to aramis ’s shutter , and tapped , at three equal intervals , with her bent finger .",42,"('draw', 'approcher', 'acercar')",5
"at the same instant the woman inside drew a second handkerchief from her pocket , and exchanged it for that which had just been shown to her .",7,"('draw', 'tirer', 'sacar')",0
"the suspicion that it was she had crossed the mind of d’artagnan when she drew the handkerchief from her pocket ; but what probability was there that mme . bonacieux , who had sent for m. laporte in order to be reconducted to the louvre , should be running about the streets of paris at half past eleven at night , at the risk of being abducted a second time ?",14,"('draw', 'tirer', 'sacar')",0
"milady remained alone , with her eyes fixed upon the door . an instant later , the jingling of spurs was heard upon the stairs , steps drew near , the door opened , and a man appeared .",27,"('draw', 'rapprocher', 'acercar')",1
kitty drew a little note from her bosom .,1,"('draw', 'tirer', 'sacar')",0
d’artagnan made a spring backward and drew his sword .,6,"('draw', 'tirer', 'sacar')",0
"bazin gone , the mendicant cast a rapid glance around him in order to be sure that nobody could either see or hear him , and opening his ragged vest , badly held together by a leather strap , he began to rip the upper part of his doublet , from which he drew a letter .",53,"('draw', 'tirer', 'sacar')",0
""" you mean to say we have lost , "" said athos , quietly , drawing four pistoles from his pocket and throwing them upon the table .",15,"('draw', 'tirer', 'sacar')",0
"besides , as m. de treville saw the queen almost daily , he might be able to draw from her majesty some intelligence of the poor young woman , whom they were doubtless making pay very dearly for her devotedness to her mistress .",17,"('draw', 'tirer', 'sacar')",0
"d’artagnan , seeing him approach , drew his sword a foot out of the scabbard .",6,"('draw', 'tirer', 'sacar')",0
"he drew his sword entirely from the scabbard , and followed him , crying , "" turn , turn , master joker , lest i strike you behind ! """,1,"('draw', 'tirer', 'sacar')",0
"the stranger , then perceiving that the matter went beyond raillery , drew his sword , saluted his adversary , and seriously placed himself on guard .",12,"('draw', 'tirer', 'sacar')",0
"nearly five minutes passed thus , top rummaging , the reporter following him prudently when , all at once , the dog rushed towards a thick bush , and drew out a rag .",29,"('draw', 'tirer', 'sacar')",0
""" why , there are nothing but foxes in this country ! "" cried pencroft , when for the third time he drew one of the animals out of the pit .",22,"('draw', 'retirer', 'sacar')",3
"however flattering this compliment , the officer made no reply ; but drawing from his belt a little silver whistle , such as boatswains use in ships of war , he whistled three times , with three different modulations . immediately several men appeared , who unharnessed the smoking horses , and put the carriage into a coach house .",12,"('draw', 'tirer', 'sacar')",0
""" my boy , "" replied the sailor , bending over the trap and drawing out one of these representatives of the family of sus by the little appendage which served it as a tail . "" let me believe that these are pigs . """,14,"('draw', 'retirer', 'sacar')",3
"d’artagnan asked the poor girl what was the matter with her ; but she , as her only reply , drew a letter from her pocket and gave it to him .",20,"('draw', 'tirer', 'sacar')",0
"then he explained to him the cause of his visit , and the service he required of him . but scarcely had he expressed his request when the unknown , who remained standing before the musketeer , drew back with signs of terror , and refused .",37,"('draw', 'reculer', 'retroceder')",2
"these steps drew near to his dungeon , the door was thrown open , and the guards appeared .",2,"('draw', 'rapprocher', 'acercar')",1
""" yes , let us chat , brother , "" said she , with a kind of cheerfulness , decided as she was to draw from the conversation , in spite of all the dissimulation lord de winter could bring , the revelations of which she stood in need to regulate her future conduct .",24,"('draw', 'tirer', 'sacar')",0
d’artagnan rapidly drew his seat nearer to milady ’s .,2,"('draw', 'rapprocher', 'acercar')",1
""" well , now let us talk a little seriously , "" said milady , in her turn drawing her armchair nearer to d’artagnan ’s chair .",18,"('draw', 'rapprocher', 'acercar')",1
"the stranger tried to avoid his look , and cyrus harding having endeavored to take his hand , he drew back quickly .",19,"('draw', 'reculer', 'retroceder')",2
and he drew nearer to her .,2,"('draw', 'attirer', 'atraer')",4
""" she said that the cardinal de richelieu had drawn the duke of buckingham to paris to ruin him and to ruin the queen . """,9,"('draw', 'attirer', 'atraer')",4
"d’artagnan , believing she might have means of flight and fearing she should escape , drew a pistol from his belt ; but athos raised his hand .",15,"('draw', 'tirer', 'sacar')",0
"' what did they draw ? ' said alice , quite forgetting her promise .",4,"('draw', 'tirer', 'sacar')",0
""" i suppose so , "" replied pencroft , drawing from his lips the object which had cost him a grinder-- !",9,"('draw', 'retirer', 'sacar')",3
"harding wishing to calm him , approached him , but he hastily drew back .",12,"('draw', 'reculer', 'retroceder')",2
pencroft was as a man who has been drawn up from the bottom of an abyss .,8,"('draw', 'retirer', 'sacar')",3
"but what was still more inexplicable was , that top was neither tired , nor exhausted , nor even soiled with mud or sand!--herbert had drawn him towards him , and was patting his head , the dog rubbing his neck against the lad 's hands .",25,"('draw', 'attirer', 'atraer')",4
"aramis drew the letter from his pocket ; the three friends surrounded him , and the three lackeys grouped themselves again near the wine jar .",1,"('draw', 'tirer', 'sacar')",0
""" well , my captain , "" said porthos , quite beside himself , "" the truth is that we were six against six . but we were not captured by fair means ; and before we had time to draw our swords , two of our party were dead , and athos , grievously wounded , was very little better . for you know athos .",40,"('draw', 'tirer', 'sacar')",0
"but athos rose likewise , drew his sword , and placed himself in the way .",5,"('draw', 'tirer', 'sacar')",0
