text,ind,sense,label
"with the winter , work had been resumed in the interior of granite house , mending clothes and different occupations , among others making the sails for their vessel , which were cut from the inexhaustible balloon - case .",25,"('sail', 'voile', 'velar')",0
"soon the canadian announced that the craft was a big battleship , a double - decker ironclad complete with ram . dark , dense smoke burst from its two funnels . its furled sails merged with the lines of its yardarms . the gaff of its fore - and - aft sail flew no flag . its distance still kept us from distinguishing the colors of its pennant , which was fluttering like a thin ribbon .",33,"('sail', 'voile', 'velar')",0
""" no ; on a sledge , "" replied fix . "" on a sledge with sails . a man has proposed such a method to me . """,16,"('sail', 'voile', 'velar')",0
"all this crazy talk was going on still when we met the hunter . everything was made ready for our instant departure . every bit of cordage was put on board . we took our places , and with our sail set , hans steered us along the coast to cape saknussemm .",40,"('sail', 'voile', 'velar')",0
"during this week , pencroft , aided by herbert , who handled the sailmaker 's needle with much skill , worked with such energy that the sails of the vessel were finished . there was no want of cordage .",26,"('sail', 'voile', 'velar')",0
"no more shore in sight . nothing but the immenseness of the sea . a few sails were on the horizon , no doubt ships going as far as cape são roque to find favorable winds for doubling the cape of good hope . the sky was overcast . a squall was on the way .",16,"('sail', 'voile', 'velar')",0
"herbert and the sailor then re - embarked on board the "" bonadventure , "" the anchor was weighed , the sail hoisted , and the wind drove her rapidly towards claw cape .",21,"('sail', 'voile', 'velar')",0
"during these two years not a vessel had passed in sight of the island ; or , at least , not a sail had been seen .",22,"('sail', 'voile', 'velar')",0
"during the first days , they went along smoothly enough . the sea was not very unpropitious , the wind seemed stationary in the north - east , the sails were hoisted , and the henrietta ploughed across the waves like a real trans - atlantic steamer .",29,"('sail', 'voile', 'velar')",0
"this was a misfortune . mr . fogg , in order not to deviate from his course , furled his sails and increased the force of the steam ; but the vessel 's speed slackened , owing to the state of the sea , the long waves of which broke against the stern . she pitched violently , and this retarded her progress . the breeze little by little swelled into a tempest , and it was to be feared that the henrietta might not be able to maintain herself upright on the waves .",20,"('sail', 'voile', 'velar')",0
"it was agreed also that as they were anxious for a minute exploration of the coast they should not sail during the night , but would always , when the weather permitted it , be at anchor near the shore .",19,"('sail', 'naviguer', 'navegar')",1
