text,sense,label,ind,new_label
"it was not without difficulty that they broke a path through the thickets and brushwood which had never been put aside by the hand of men , and they thus went towards the shore , so as to arrive at the north of prospect heights .","('prospect', 'plateau', 'meseta')",0,43,0
"according to him , a cavity , more or less considerable , must exist in the mass of granite which supported prospect heights , and he intended to penetrate into it .","('prospect', 'plateau', 'meseta')",0,21,0
"happily , this enclosure , sheltered by the southeastern spur of mount franklin , did not greatly suffer from the violence of the hurricanes , which spared its trees , sheds , and palisades ; but the poultry - yard on prospect heights , being directly exposed to the gusts of wind from the east , suffered considerable damage .","('prospect', 'plateau', 'meseta')",0,41,0
"the road between prospect heights and the sources of the stream was already partly beaten , and with a better cart than the first , the material could be easily conveyed to the spot , especially if they could manage to capture some animals to draw it .","('prospect', 'plateau', 'meseta')",0,3,0
"in the meanwhile , herbert , pencroft , and the reporter occupied themselves with making traps on prospect heights and at the border of the forest .","('prospect', 'plateau', 'meseta')",0,17,0
"also , neb and pencroft having gone to examine into the state of things at port balloon , and reported that the stock of cloth would suffer no damage in the grotto where it was stored , it was decided that the work at prospect heights should not be discontinued .","('prospect', 'plateau', 'meseta')",0,44,0
"by the end of the first fortnight of december these works were finished , and prospect heights -- that is to say , a sort of irregular pentagon , having a perimeter of nearly four miles , surrounded by a liquid belt -- was completely protected from depredators of every description .","('prospect', 'plateau', 'meseta')",0,15,0
"they therefore followed the bank of the mercy , traversed prospect heights , and after a walk of five miles or more they reached a glade , situated two hundred feet from lake grant .","('prospect', 'plateau', 'meseta')",0,10,0
"the convicts on prospect heights ! that was disaster , devastation , ruin .","('prospect', 'plateau', 'meseta')",0,3,0
"if they had constructed a house of bricks and wood on prospect heights , it certainly would not have resisted the fury of this storm .","('prospect', 'plateau', 'meseta')",0,11,0
cyrus harding and his companions climbed prospect heights .,"('prospect', 'plateau', 'meseta')",0,6,0
the forest here was composed for the most part of trees which had already been met with near the lake and on prospect heights .,"('prospect', 'plateau', 'meseta')",0,22,0
"during the nine days which preceded their departure , it was agreed that the work on prospect heights should be finished off .","('prospect', 'plateau', 'meseta')",0,16,0
"the latter was then led towards the mouth of the mercy , and all climbing the left bank of the river , reached prospect heights .","('prospect', 'plateau', 'meseta')",0,23,0
""" we mean , captain , "" answered pencroft , "" that on board the ' bonadventure ' we were very anxious during the few hours before our return , and we should have passed to windward of the island , if it had not been for the precaution you took of lighting a fire the night of the 19th of october , on prospect heights . ""","('prospect', 'plateau', 'meseta')",0,64,0
""" if there is one thing certain in this world , spilett , it is that i never lighted any fire during the night of the 19th of october , neither on prospect heights nor on any other part of the island ! ""","('prospect', 'plateau', 'meseta')",0,32,0
"in the meanwhile , works of all sorts were continued , as well on prospect heights as at the corral , where harding intended to build a farm .","('prospect', 'plateau', 'meseta')",0,14,0
"it was well worth while , besides , to turn prospect heights into a kitchen - garden , defended by its deep belt of creeks , and to remove them to the meadows , which had no need of protection against the depredations of quadrumana and quadrapeds .","('prospect', 'plateau', 'meseta')",0,10,0
"this mode of communication obliged them first to climb prospect heights , making a detour by the river 's bank , and then to descend two hundred feet through the passage , having to climb as far when they wished to return to the plateau .","('prospect', 'plateau', 'meseta')",0,9,0
"in consequence , therefore , a few days after , on the 25th of april , in the evening , when the settlers were all collected on prospect heights , cyrus harding began by saying,--","('prospect', 'plateau', 'meseta')",0,27,0
"at the back of this creek some violent convulsion had torn up the rocky border , and a cutting , by a gentle slope , gave access to an upper plateau , which might be situated at least ten miles from claw cape , and consequently four miles in a straight line from prospect heights .","('prospect', 'plateau', 'meseta')",0,53,0
"neither the islet nor prospect heights was visible , and could not be from thence , for the rising ground and the curtain of trees closed the northern horizon .","('prospect', 'plateau', 'meseta')",0,4,0
"there were no longer high cliffs as at prospect heights , but a strange and capricious border which surrounded the narrow gulf between the two capes , formed of mineral matter , thrown up by the volcano .","('prospect', 'plateau', 'meseta')",0,8,0
"towards the end of the month , herbert was already walking about on prospect heights , and the beach .","('prospect', 'plateau', 'meseta')",0,13,0
"it was necessary to beat a path , which would in the future form the most direct road to prospect heights and mount franklin .","('prospect', 'plateau', 'meseta')",0,19,0
"in fact , the waterfall created by the explosion rendered the construction of two bridges necessary , one on prospect heights , the other on the shore .","('prospect', 'plateau', 'meseta')",0,19,0
"this was formed of granite rocks , capriciously distributed , very different from the cliff at prospect heights , and of an extremely wild aspect .","('prospect', 'plateau', 'meseta')",0,16,0
"as to the points of the compass , the engineer had roughly fixed them by the height and position of the sun , which placed union bay and prospect heights to the east .","('prospect', 'plateau', 'meseta')",0,28,0
"it will be impossible to lose ourselves , my boy , since , whether we follow the way to lake grant , or whether we join the mercy through the woods of the far west , we shall be certain to arrive at prospect heights , and , consequently , at union bay ! ""","('prospect', 'plateau', 'meseta')",0,43,0
"half an hour after they had all arrived at the southeast angle of the lake , on prospect heights .","('prospect', 'plateau', 'meseta')",0,17,0
"as to the trees , which some hundred feet downwards shaded the banks of the creek , they belonged , for the most part , to the species which abound in the temperate zone of america and tasmania , and no longer to those coniferae observed in that portion of the island already explored to some miles from prospect heights .","('prospect', 'plateau', 'meseta')",0,58,0
the windmill on prospect heights is too easily seen .,"('prospect', 'plateau', 'meseta')",0,3,0
"the next day , the 7th of may , harding and gideon spilett , leaving neb to prepare breakfast , climbed prospect heights , while herbert and pencroft ascended by the river , to renew their store of wood .","('prospect', 'plateau', 'meseta')",0,21,0
