text,ind,sense,label
"unfortunately , as he advanced , his anger increased at every step ; and instead of the proper and lofty speech he had prepared as a prelude to his challenge , he found nothing at the tip of his tongue but a gross personality , which he accompanied with a furious gesture .",23,"('prepare', 'préparer', 'preparar')",0
"during the days which followed , herbert and spilett having gone in the direction of the corral , ascertained that ayrton had taken possession of the habitation which had been prepared for him .",30,"('prepare', 'préparer', 'preparar')",0
"the iron , prepared previously in long thin rods , the ends of which were sharpened with the file , having been introduced into the largest hole of the drawplate , was drawn out by the beam which wound it round itself , to a length of twenty - five or thirty feet , then unrolled , and the same operation was performed successively through the holes of a less size .",3,"('prepare', 'préparer', 'preparar')",0
"besides , there were fewer to feed ; the sick could eat little ; our breakfast - basins were better filled ; when there was no time to prepare a regular dinner , which often happened , she would give us a large piece of cold pie , or a thick slice of bread and cheese , and this we carried away with us to the wood , where we each chose the spot we liked best , and dined sumptuously .",28,"('prepare', 'préparer', 'preparar')",0
pencroft 's first thought was to use the fire by preparing a more nourishing supper than a dish of shell - fish .,10,"('prepare', 'préparer', 'preparar')",0
"and on this assurance , the four friends , who had finished their modest repast , separated , with the promise of meeting again that evening . d’artagnan returned to less important affairs , and the three musketeers repaired to the king ’s quarters , where they had to prepare their lodging .",49,"('prepare', 'préparer', 'preparar')",0
"but as m. de toiras gave information that everything was preparing in the enemy ’s camp for a fresh assault , the king judged that it would be best to put an end to the affair , and gave the necessary orders for a decisive action .",10,"('prepare', 'préparer', 'preparar')",0
"substances necessary for the photographic reproduction , collodion for preparing the glass plate , nitrate of silver to render it sensitive , hyposulfate of soda to fix the prints obtained , chloride of ammonium in which to soak the paper destined to give the positive proof , acetate of soda and chloride of gold in which to immerse the paper , nothing was wanting .",9,"('prepare', 'préparer', 'preparar')",0
""" and prepare our second corn - field ! "" cried the sailor with a triumphant air .",2,"('prepare', 'préparer', 'preparar')",0
"the field was prepared , then surrounded with a strong palisade , high and pointed , which quadrupeds would have found difficulty in leaping .",3,"('prepare', 'préparer', 'preparar')",0
i was terribly excited . whilst hans was at work i was actively helping my uncle to prepare a slow match of wetted powder encased in linen .,17,"('prepare', 'préparer', 'preparar')",0
