text,ind
"the next day bessie was sent for home to the deathbed of her little sister . of late i had often recalled this saying and this incident ; for during the past week scarcely a night had gone over my couch that had not brought with it a dream of an infant , which i sometimes hushed in my arms , sometimes dandled on my knee , sometimes watched playing with daisies on a lawn , or again , dabbling its hands in running water .",69
"take advantage of all , and live happily and long . i have but one word to add , and that is to propose an example to you -- not mine , for i myself have never appeared at court , and have only taken part in religious wars as a volunteer ; i speak of monsieur de treville , who was formerly my neighbor , and who had the honor to be , as a child , the play - fellow of our king , louis xiii , whom god preserve !",79
"sometimes their play degenerated into battles , and in these battles the king was not always the stronger .",2
"the next day i observed you -- myself unseen -- for half - an- hour , while you played with adele in the gallery .",18
"not that i ever suffered much from them ; i took care to turn the tables . what tricks theodore and i used to play on our miss wilsons , and mrs . greys , and madame jouberts ! mary was always too sleepy to join in a plot with spirit .",24
""" exactly . i fancy the yew alley , though not marked under that name , must stretch along this line , with the moor , as you perceive , upon the right of it . this small clump of buildings here is the hamlet of grimpen , where our friend dr . mortimer has his headquarters . within a radius of five miles there are , as you see , only a very few scattered dwellings . here is lafter hall , which was mentioned in the narrative . there is a house indicated here which may be the residence of the naturalist -- stapleton , if i remember right , was his name . here are two moorland farm - houses , high tor and foulmire . then fourteen miles away the great convict prison of princetown . between and around these scattered points extends the desolate , lifeless moor . this , then , is the stage upon which tragedy has been played , and upon which we may help to play it again . """,165
""" exactly . i fancy the yew alley , though not marked under that name , must stretch along this line , with the moor , as you perceive , upon the right of it . this small clump of buildings here is the hamlet of grimpen , where our friend dr . mortimer has his headquarters . within a radius of five miles there are , as you see , only a very few scattered dwellings . here is lafter hall , which was mentioned in the narrative . there is a house indicated here which may be the residence of the naturalist -- stapleton , if i remember right , was his name . here are two moorland farm - houses , high tor and foulmire . then fourteen miles away the great convict prison of princetown . between and around these scattered points extends the desolate , lifeless moor . this , then , is the stage upon which tragedy has been played , and upon which we may help to play it again . """,174
""" i am going to see the play through , "" answered the lad , in a hard bitter voice . "" i am awfully sorry that i have made you waste an evening , harry . i apologize to you both . """,7
"in fact , in addition to that yellow , sickly paleness which indicates the insinuation of the bile in the blood , and which might , besides , be accidental , d’artagnan remarked something perfidiously significant in the play of the wrinkled features of his countenance .",38
"mr . rochester , now sing , and i will play for you . """,10
"and now what did you learn at lowood ? can you play ? """,11
