text,ind
"fix looked intently at his companion , whose countenance was as serene as possible , and laughed with him . but passepartout persisted in chaffing him by asking him if he made much by his present occupation .",8
"this commissary was a man of very repulsive mien , with a pointed nose , with yellow and salient cheek bones , with eyes small but keen and penetrating , and an expression of countenance resembling at once the polecat and the fox .",34
"they were stiff with their long and jolting drive from whitcross , and chilled with the frosty night air ; but their pleasant countenances expanded to the cheerful firelight .",23
"phileas fogg gazed at the tempestuous sea , which seemed to be struggling especially to delay him , with his habitual tranquillity . he never changed countenance for an instant , though a delay of twenty hours , by making him too late for the yokohama boat , would almost inevitably cause the loss of the wager . but this man of nerve manifested neither impatience nor annoyance ; it seemed as if the storm were a part of his programme , and had been foreseen . aouda was amazed to find him as calm as he had been from the first time she saw him .",26
"now that she believed herself to be no longer observed , a sentiment resembling ferocity animated her countenance .",17
""" oh , "" cried herbert , his countenance full of animation , "" how i should like to thank him , he who saved you first , and who has now saved us ! """,8
"mr . rochester , reading my countenance , saw i had done so .",6
"porthos knocked with his hand . a tall , pale clerk , his face shaded by a forest of virgin hair , opened the door , and bowed with the air of a man forced at once to respect in another lofty stature , which indicated strength , the military dress , which indicated rank , and a ruddy countenance , which indicated familiarity with good living .",59
"the name of porthos produced its effect upon the clerks , who began to laugh ; but porthos turned sharply round , and every countenance quickly recovered its gravity .",24
"and if master jup had not been satisfied , he would have been very difficult to please ; but he was quite contented and contemplated his own countenance with a sentimental air which expressed some small amount of conceit .",27
"at this athos would smile , with his charming , melancholy smile , which so became his noble countenance , and porthos would drink , swearing that aramis would never be anything but a village cure .",18
"the queen cast a glance around her , and saw the cardinal behind , with a diabolical smile on his countenance .",20
"but the clerks were not the dupes of this deceit , and their lugubrious looks settled down into resigned countenances .",19
the countenance of milady was illumined by so savage a joy that under any other circumstances mme . bonacieux would have fled in terror ; but she was absorbed by jealousy .,1
""" i can not possibly countenance any such inconsistent proceeding , "" chimed in the dowager ingram .",5
"at this moment hans came , he saw my hand in my uncle 's , and i may safely say that there was joy in his countenance .",26
"d’artagnan approached her with his usual gallantry . she then made an extraordinary effort to receive him , but never did a more distressed countenance give the lie to a more amiable smile .",24
"his countenance reminded one of a lamp quenched , waiting to be re - lit -- and alas ! it was not himself that could now kindle the lustre of animated expression : he was dependent on another for that office !",1
"monseigneur , i was furnished with a description of your horses , your lackeys , your countenances -- nothing was omitted . """,16
"yet the character of his face had been at all times remarkable . a cadaverousness of complexion ; an eye large , liquid , and luminous beyond comparison ; lips somewhat thin and very pallid , but of a surpassingly beautiful curve ; a nose of a delicate hebrew model , but with a breadth of nostril unusual in similar formations ; a finely moulded chin , speaking , in its want of prominence , of a want of moral energy ; hair of a more than web - like softness and tenuity;—these features , with an inordinate expansion above the regions of the temple , made up altogether a countenance not easily to be forgotten .",110
"he looked at me fixedly , compressing his well - cut lips while he did so . whether he was incensed or surprised , or what , it was not easy to tell : he could command his countenance thoroughly .",38
wild was the wrestle which should be paramount ; but another feeling rose and triumphed : something hard and cynical : self - willed and resolute : it settled his passion and petrified his countenance : he went on--,34
""" my lord , "" said the young officer , summoning to his mild countenance all the hatred he could find in his heart , "" my lord , i swear all shall be done as you desire . """,14
"the center of the most animated group was a musketeer of great height and haughty countenance , dressed in a costume so peculiar as to attract general attention .",15
"i sought in her countenance and features a likeness to mr . rochester , but found none : no trait , no turn of expression announced relationship .",4
"amid all this , d’artagnan remarked also that not one countenance responded to the gallantries of porthos .",10
"this other musketeer formed a perfect contrast to his interrogator , who had just designated him by the name of aramis . he was a stout man , of about two- or three - and - twenty , with an open , ingenuous countenance , a black , mild eye , and cheeks rosy and downy as an autumn peach . his delicate mustache marked a perfectly straight line upon his upper lip ; he appeared to dread to lower his hands lest their veins should swell , and he pinched the tips of his ears from time to time to preserve their delicate pink transparency .",43
""" and we are going to be recompensed for our diligence ? "" continued the mercer , with a trifling alteration in his voice -- so trifling , indeed , that d’artagnan did not perceive it any more than he had the momentary shade which , an instant before , had darkened the countenance of the worthy man .",53
"miss miller was more ordinary ; ruddy in complexion , though of a careworn countenance ; hurried in gait and action , like one who had always a multiplicity of tasks on hand : she looked , indeed , what i afterwards found she really was , an under - teacher .",14
""" what man is that ? what man is that ? "" cried milady , suffocated by terror , her hair loosening itself , and rising above her livid countenance as if alive .",29
"i was one of the last to go out , and in passing the tables , i saw one teacher take a basin of the porridge and taste it ; she looked at the others ; all their countenances expressed displeasure , and one of them , the stout one , whispered--",38
"at that moment , if he did not share our natural emotion , at least his countenance expanded in a manner very unusual with him , and while with the ends of his fingers he lightly pressed our hands , i believe he smiled .",16
""" well ! "" cried the three musketeers all together , on seeing d’artagnan enter with his brow covered with perspiration and his countenance upset with anger .",23
"passepartout did not change countenance on hearing this name . he thought that the time had not yet arrived to divulge to his master what had taken place between the detective and himself ; and , in the account he gave of his absence , he simply excused himself for having been overtaken by drunkenness , in smoking opium at a tavern in hong kong .",4
"the countenances of all gave evidence of terror , for notwithstanding the friendly adieu of his eminence , they plainly perceived that the cardinal went away with rage in his heart .",1
"i will not deny that when i called to mind the sinister countenance of the person whom i met upon the staircase , on the day of my arrival at the house , i had no desire to oppose what i regarded as at best but a harmless , and by no means an unnatural , precaution .",12
i came out of my room . i thought my pale countenance and my red and sleepless eyes would work upon gräuben 's sympathies and change her mind .,11
she found milady with a smiling countenance .,6
"sir francis watched the procession with a sad countenance , and , turning to the guide , said , "" a suttee . """,8
"i looked at her . she had , i thought , a remarkable countenance , instinct both with power and goodness .",13
"passepartout was waiting for his master , armed with half a dozen six - barrelled revolvers . when he perceived fix , he knit his brows ; but aouda having , in a few words , told him of their adventure , his countenance resumed its placid expression . fix evidently was no longer an enemy , but an ally ; he was faithfully keeping his word .",43
"at these words the stranger 's face flushed , his head sunk on his breast , and confusion was depicted on his countenance .",22
"she for a moment contemplated with fright that stupid countenance , impressed with the invincible resolution of a fool that is overcome by fear .",9
"this time it was not a host but a hostess who received him . d’artagnan was a physiognomist . his eye took in at a glance the plump , cheerful countenance of the mistress of the place , and he at once perceived there was no occasion for dissembling with her , or of fearing anything from one blessed with such a joyous physiognomy .",30
"although the young man was brave , as we know , he was terrified at that wild countenance , those terribly dilated pupils , those pale cheeks , and those bleeding lips . he recoiled to the other side of the room as he would have done from a serpent which was crawling toward him , and his sword coming in contact with his nervous hand , he drew it almost unconsciously from the scabbard .",17
"informed of what had passed by the presence of the cardinal and the alteration in the king ’s countenance , m. de treville felt himself something like samson before the philistines .",18
""" where ? down below ! "" i understood it all . i seized the hunter 's hands , and pressed them while he looked on me without moving a muscle of his countenance .",33
"mrs . fairfax surprised me by looking out of the window with a sad countenance , and saying gravely--""miss eyre , will you come to breakfast ? """,14
""" this is what captain nemo feared , "" murmured cyrus harding , changing countenance .",14
"mary 's countenance was equally intelligent -- her features equally pretty ; but her expression was more reserved , and her manners , though gentle , more distant .",2
""" speak ! but if you look up and smile with that countenance , i shall swear concession before i know to what , and that will make a fool of me . """,12
