text,sense,label,ind,new_label
"and he let his head sink upon his hands , while two large tears rolled down his cheeks .","('sink', 'tomber', 'caer')",0,5,0
"at that moment the countenance of mme . bonacieux became livid ; a fearful agony pervaded her frame , and she sank panting into the arms of porthos and aramis .","('sink', 'tomber', 'caer')",0,21,0
"the door was scarcely closed upon him , when the queen sank , half fainting , into the arms of her women .","('sink', 'tomber', 'caer')",0,11,0
"in an instant all the strength of mind of this creature , though drawn from the most vigorous sources , abandoned her ; she sank into a large easy chair , with her arms crossed , her head lowered , and expecting every instant to see a judge enter to interrogate her .","('sink', 'tomber', 'caer')",0,24,0
"soon after , mrs . reed grew more composed , and sank into a dozing state . i then left her .","('sink', 'tomber', 'caer')",0,11,0
"the unfortunate woman was exhausted , not by fatigue , but by terror , and when d’artagnan placed his hand upon her shoulder , she sank upon one knee , crying in a choking voice , "" kill me , if you please , you shall know nothing ! ""","('sink', 'tomber', 'caer')",0,25,0
"it was time ; for athos , whose great courage alone supported him , sank upon his knee .","('sink', 'tomber', 'caer')",0,14,0
"milady let her head sink , as if crushed by this sentence .","('sink', 'tomber', 'caer')",0,4,0
"milady let her head sink between her two hands , and tried to recall her ideas , whirling in a mortal vertigo .","('sink', 'tomber', 'caer')",0,4,0
milady uttered a cry of terror and sank upon her knees .,"('sink', 'tomber', 'caer')",0,7,0
d’artagnan sank on his knees and prayed .,"('sink', 'tomber', 'caer')",0,1,0
""" half an hour had not passed when the same symptoms began to appear ; but as i had only drunk half a glass of the water , i contended longer , and instead of falling entirely asleep , i sank into a state of drowsiness which left me a perception of what was passing around me , while depriving me of the strength either to defend myself or to fly .","('sink', 'tomber', 'caer')",0,40,0
"athos uttered a groan , and let his head sink on his hands .","('sink', 'tomber', 'caer')",0,9,0
""" richelieu "" the cardinal , after having read these two lines , sank into a profound reverie ; but he did not return the paper to d’artagnan .","('sink', 'tomber', 'caer')",0,13,0
"mme . bonacieux tried to walk , made two steps , and sank upon her knees .","('sink', 'tomber', 'caer')",0,12,0
