text,ind,sense,label
"i had n't seen captain nemo for over a week , when , on the morning of the 27th , he entered the main lounge , as usual acting as if he 'd been gone for just five minutes . i was busy tracing the nautilus 's course on the world map . the captain approached , placed a finger over a position on the chart , and pronounced just one word :",24,"('lounge', 'salon', 'salón')",0
"on january 28 , in latitude 9 degrees 4 ' north , when the nautilus returned at noon to the surface of the sea , it lay in sight of land some eight miles to the west . right off , i observed a cluster of mountains about 2,000 feet high , whose shapes were very whimsically sculpted . after our position fix , i reentered the lounge , and when our bearings were reported on the chart , i saw that we were off the island of ceylon , that pearl dangling from the lower lobe of the indian peninsula .",67,"('lounge', 'salon', 'salón')",0
"i went looking in the library for a book about this island , one of the most fertile in the world . sure enough , i found a volume entitled ceylon and the singhalese by h. c. sirr , esq . reentering the lounge , i first noted the bearings of ceylon , on which antiquity lavished so many different names . it was located between latitude 5 degrees 55 ' and 9 degrees 49 ' north , and between longitude 79 degrees 42 ' and 82 degrees 4 ' east of the meridian of greenwich ; its length is 275 miles ; its maximum width , 150 miles ; its circumference , 900 miles ; its surface area , 24,448 square miles , in other words , a little smaller than that of ireland .",43,"('lounge', 'salon', 'salón')",0
"this said in a carefree tone , captain nemo left the lounge .",11,"('lounge', 'salon', 'salón')",0
"at 4:17 in the afternoon , during a high tea for passengers gathered in the main lounge , a collision occurred , scarcely noticeable on the whole , affecting the scotia 's hull in that quarter a little astern of its port paddle wheel .",16,"('lounge', 'salon', 'salón')",0
"crossing through the lounge , i arrived at the door , contrived in one of the canted corners , that opened into the captain 's stateroom . much to my astonishment , this door was ajar . i instinctively recoiled . if captain nemo was in his stateroom , he might see me . but , not hearing any sounds , i approached . the stateroom was deserted . i pushed the door open . i took a few steps inside . still the same austere , monastic appearance .",3,"('lounge', 'salon', 'salón')",0
"captain nemo did n't reply but signaled me to follow him to the main lounge . the nautilus sank a few meters beneath the waves , and the panels opened .",14,"('lounge', 'salon', 'salón')",0
"a few minutes before nine o'clock , i glued my ear to the captain 's door . not a sound . i left my stateroom and returned to the lounge , which was deserted and plunged in near darkness .",29,"('lounge', 'salon', 'salón')",0
"just then the door to the main lounge opened and captain nemo appeared . he saw me , and without further preamble :",7,"('lounge', 'salon', 'salón')",0
"leaning against the walls , i dragged myself down the gangways to the lounge , whose ceiling lights were on . the furniture had been knocked over . fortunately the glass cases were solidly secured at the base and had stood fast . since we were no longer vertical , the starboard pictures were glued to the tapestries , while those to port had their lower edges hanging a foot away from the wall . so the nautilus was lying on its starboard side , completely stationary to boot .",13,"('lounge', 'salon', 'salón')",0
"in its interior i heard the sound of footsteps and muffled voices . but captain nemo did n't appear . just as i was about to leave the lounge , ned land and conseil entered .",28,"('lounge', 'salon', 'salón')",0
"i returned to the lounge . the nautilus still emerged above the surface . a few morning gleams infiltrated the liquid strata . beneath the undulations of the billows , the windows were enlivened by the blushing of the rising sun . that dreadful day of june 2 had dawned .",4,"('lounge', 'salon', 'salón')",0
"i could n't hold still . frantic , going insane , i leaped out of my stateroom and rushed into the lounge .",21,"('lounge', 'salon', 'salón')",0
we left the lounge . nobody in the library . nobody by the central companionway or the crew 's quarters . i assumed that captain nemo was stationed in the pilothouse . best to wait . the three of us returned to the lounge .,3,"('lounge', 'salon', 'salón')",0
we left the lounge . nobody in the library . nobody by the central companionway or the crew 's quarters . i assumed that captain nemo was stationed in the pilothouse . best to wait . the three of us returned to the lounge .,43,"('lounge', 'salon', 'salón')",0
"the captain stood up and invited me to follow him . i 'd had time to collect myself . i did so . the lounge was dark , but the sea 's waves sparkled through the transparent windows . i stared .",24,"('lounge', 'salon', 'salón')",0
"the panels closed over this frightful view , but the lights did n't go on in the lounge . inside the nautilus all was gloom and silence . it left this place of devastation with prodigious speed , 100 feet beneath the waters . where was it going ? north or south ? where would the man flee after this horrible act of revenge ?",17,"('lounge', 'salon', 'salón')",0
"at eleven o'clock the electric lights came back on . i went into the lounge . it was deserted . i consulted the various instruments . the nautilus was fleeing northward at a speed of twenty - five miles per hour , sometimes on the surface of the sea , sometimes thirty feet beneath it .",14,"('lounge', 'salon', 'salón')",0
"suddenly a slight movement could be felt over the hull . obviously the nautilus was straightening a bit . objects hanging in the lounge were visibly returning to their normal positions . the walls were approaching the vertical . nobody said a word . hearts pounding , we could see and feel the ship righting itself . the floor was becoming horizontal beneath our feet . ten minutes went by .",23,"('lounge', 'salon', 'salón')",0
""" yes , "" captain nemo said , heading to the lounge door .",11,"('lounge', 'salon', 'salón')",0
"just then captain nemo opened a door facing the one by which i had entered the library , and i passed into an immense , splendidly lit lounge .",27,"('lounge', 'salon', 'salón')",0
""" professor , "" this strange man then said , "" you must excuse the informality with which i receive you , and the disorder reigning in this lounge . """,28,"('lounge', 'salon', 'salón')",0
""" what about these composers ? "" i said , pointing to sheet music by weber , rossini , mozart , beethoven , haydn , meyerbeer , hérold , wagner , auber , gounod , victor massé , and a number of others scattered over a full size piano - organ , which occupied one of the wall panels in this lounge .",61,"('lounge', 'salon', 'salón')",0
"the ceiling lights were off , yet the lounge was still brightly lit . this was due to the reflecting power of the walls of ice , which threw the beams of our beacon right back at us . words can not describe the effects produced by our galvanic rays on these huge , whimsically sculpted blocks , whose every angle , ridge , and facet gave off a different glow depending on the nature of the veins running inside the ice . it was a dazzling mine of gems , in particular sapphires and emeralds , whose jets of blue and green crisscrossed . here and there , opaline hues of infinite subtlety raced among sparks of light that were like so many fiery diamonds , their brilliance more than any eye could stand . the power of our beacon was increased a hundredfold , like a lamp shining through the biconvex lenses of a world - class lighthouse .",8,"('lounge', 'salon', 'salón')",0
i did n't disturb his meditations but continued to pass in review the curiosities that enriched this lounge .,17,"('lounge', 'salon', 'salón')",0
"after the works of art , natural rarities predominated . they consisted chiefly of plants , shells , and other exhibits from the ocean that must have been captain nemo 's own personal finds . in the middle of the lounge , a jet of water , electrically lit , fell back into a basin made from a single giant clam . the delicately festooned rim of this shell , supplied by the biggest mollusk in the class acephala , measured about six meters in circumference ; so it was even bigger than those fine giant clams given to king françois i by the republic of venice , and which the church of saint - sulpice in paris has made into two gigantic holy - water fonts .",40,"('lounge', 'salon', 'salón')",0
"the canadian returned to conseil 's side . as soon as i was dressed , i went into the lounge . the compass was n't encouraging . the nautilus 's course was south - southwest . we were turning our backs on europe .",19,"('lounge', 'salon', 'salón')",0
"i wanted to verify the nautilus 's heading . i made my way to the lounge . we were racing north - northeast with frightful speed , fifty meters down .",15,"('lounge', 'salon', 'salón')",0
"i followed captain nemo , who , via one of the doors cut into the lounge 's canted corners , led me back down the ship 's gangways . he took me to the bow , and there i found not just a cabin but an elegant stateroom with a bed , a washstand , and various other furnishings .",15,"('lounge', 'salon', 'salón')",0
""" your stateroom adjoins mine , "" he told me , opening a door , "" and mine leads into that lounge we 've just left . """,21,"('lounge', 'salon', 'salón')",0
"then a sudden thought terrified me . captain nemo had left his stateroom . he was in the same lounge i had to cross in order to escape . there i would encounter him one last time . he would see me , perhaps speak to me ! one gesture from him could obliterate me , a single word shackle me to his vessel !",19,"('lounge', 'salon', 'salón')",0
"i crept forward through the nautilus 's dark gangways , pausing after each step to curb the pounding of my heart . i arrived at the corner door of the lounge . i opened it gently . the lounge was plunged in profound darkness . chords from the organ were reverberating faintly . captain nemo was there . he did n't see me . even in broad daylight i doubt that he would have noticed me , so completely was he immersed in his trance .",30,"('lounge', 'salon', 'salón')",0
"i crept forward through the nautilus 's dark gangways , pausing after each step to curb the pounding of my heart . i arrived at the corner door of the lounge . i opened it gently . the lounge was plunged in profound darkness . chords from the organ were reverberating faintly . captain nemo was there . he did n't see me . even in broad daylight i doubt that he would have noticed me , so completely was he immersed in his trance .",38,"('lounge', 'salon', 'salón')",0
""" sir , "" captain nemo said , showing me the instruments hanging on the walls of his stateroom , "" these are the devices needed to navigate the nautilus . here , as in the lounge , i always have them before my eyes , and they indicate my position and exact heading in the midst of the ocean . you 're familiar with some of them , such as the thermometer , which gives the temperature inside the nautilus ; the barometer , which measures the heaviness of the outside air and forecasts changes in the weather ; the humidistat , which indicates the degree of dryness in the atmosphere ; the storm glass , whose mixture decomposes to foretell the arrival of tempests ; the compass , which steers my course ; the sextant , which takes the sun 's altitude and tells me my latitude ; chronometers , which allow me to calculate my longitude ; and finally , spyglasses for both day and night , enabling me to scrutinize every point of the horizon once the nautilus has risen to the surface of the waves . """,36,"('lounge', 'salon', 'salón')",0
"the next day at four o'clock in the morning , i was awakened by the steward whom captain nemo had placed expressly at my service . i got up quickly , dressed , and went into the lounge . captain nemo was waiting for me .",37,"('lounge', 'salon', 'salón')",0
"i strolled for a little while from the lounge into the library . my companions kept their seats and did n't move . soon i threw myself down on a couch and picked up a book , which my eyes skimmed mechanically .",8,"('lounge', 'salon', 'salón')",0
"the hours passed . i often studied the instruments hanging on the lounge wall . the pressure gauge indicated that the nautilus stayed at a constant depth of 300 meters , the compass that it kept heading south , the log that it was traveling at a speed of twenty miles per hour , an excessive speed in such a cramped area . but captain nemo knew that by this point there was no such thing as too fast , since minutes were now worth centuries .",12,"('lounge', 'salon', 'salón')",0
just then the captain entered the lounge . i went to him .,6,"('lounge', 'salon', 'salón')",0
"in essence , i was already familiar with the whole forward part of this underwater boat , and here are its exact subdivisions going from amidships to its spur : the dining room , 5 meters long and separated from the library by a watertight bulkhead , in other words , it could n't be penetrated by the sea ; the library , 5 meters long ; the main lounge , 10 meters long , separated from the captain 's stateroom by a second watertight bulkhead ; the aforesaid stateroom , 5 meters long ; mine , 2.5 meters long ; and finally , air tanks 7.5 meters long and extending to the stempost . total : a length of 35 meters . doors were cut into the watertight bulkheads and were shut hermetically by means of india - rubber seals , which insured complete safety aboard the nautilus in the event of a leak in any one section .",69,"('lounge', 'salon', 'salón')",0
""" can the panels in the lounge be left open ? """,6,"('lounge', 'salon', 'salón')",0
"after going down a fairly steep slope , our feet trod the floor of a sort of circular pit . there captain nemo stopped , and his hand indicated an object that i had n't yet noticed . it was an oyster of extraordinary dimensions , a titanic giant clam , a holy - water font that could have held a whole lake , a basin more than two meters wide , hence even bigger than the one adorning the nautilus 's lounge .",82,"('lounge', 'salon', 'salón')",0
"after ned was dressed , i reentered the lounge , whose windows had been uncovered ; stationed next to conseil , i examined the strata surrounding and supporting the nautilus .",8,"('lounge', 'salon', 'salón')",0
""" not at all , professor , "" the captain answered me after a slight hesitation , "" since you 'll never leave this underwater boat . come into the lounge . it 's actually our work room , and there you 'll learn the full story about the nautilus ! """,30,"('lounge', 'salon', 'salón')",0
"a moment later we were seated on a couch in the lounge , cigars between our lips . the captain placed before my eyes a working drawing that gave the ground plan , cross section , and side view of the nautilus . then he began his description as follows :",11,"('lounge', 'salon', 'salón')",0
"the captain understood and gave me a signal to follow him . we returned on board . my diving suit removed , i went with him to the lounge .",28,"('lounge', 'salon', 'salón')",0
"i took one last look at the sea , a little yellowish near the landing places of japan , and i went below again to the main lounge .",27,"('lounge', 'salon', 'salón')",0
"captain nemo decided to take his nautilus down to the lowest depths in order to double - check these different soundings . i got ready to record the results of this experiment . the panels in the lounge opened , and maneuvers began for reaching those strata so prodigiously far removed .",37,"('lounge', 'salon', 'salón')",0
"under this powerful thrust the nautilus 's hull quivered like a resonating chord , and the ship sank steadily under the waters . stationed in the lounge , the captain and i watched the needle swerving swiftly over the pressure gauge . soon we had gone below the livable zone where most fish reside . some of these animals can thrive only at the surface of seas or rivers , but a minority can dwell at fairly great depths . among the latter i observed a species of dogfish called the cow shark that 's equipped with six respiratory slits , the telescope fish with its enormous eyes , the armored gurnard with gray thoracic fins plus black pectoral fins and a breastplate protected by pale red slabs of bone , then finally the grenadier , living at a depth of 1,200 meters , by that point tolerating a pressure of 120 atmospheres .",26,"('lounge', 'salon', 'salón')",0
""" and now , professor , "" the captain added , "" i 'll leave you to your intellectual pursuits . i 've set our course east - northeast at a depth of fifty meters . here are some large - scale charts on which you 'll be able to follow that course . the lounge is at your disposal , and with your permission , i 'll take my leave . """,55,"('lounge', 'salon', 'salón')",0
"i went below to the lounge , from which some chords were wafting . captain nemo was there , leaning over the organ , deep in a musical trance .",5,"('lounge', 'salon', 'salón')",0
