text,ind,sense,label
"candide , in amorous transports , cut the name of miss cunegund on almost every tree he came to .",11,"('cunegund', 'cunégonde', 'cunegunda')",0
"candide , however , had one advantage over martin : he lived in the pleasing hopes of seeing miss cunegund once more ; whereas , the poor philosopher had nothing to hope for . besides , candide had money and jewels , and , not withstanding he had lost a hundred red sheep laden with the greatest treasure outside of el dorado , and though he still smarted from the reflection of the dutch skipper 's knavery , yet when he considered what he had still left , and repeated the name of cunegund , especially after meal times , he inclined to pangloss 's doctrine .",19,"('cunegund', 'cunégonde', 'cunegunda')",0
"candide , however , had one advantage over martin : he lived in the pleasing hopes of seeing miss cunegund once more ; whereas , the poor philosopher had nothing to hope for . besides , candide had money and jewels , and , not withstanding he had lost a hundred red sheep laden with the greatest treasure outside of el dorado , and though he still smarted from the reflection of the dutch skipper 's knavery , yet when he considered what he had still left , and repeated the name of cunegund , especially after meal times , he inclined to pangloss 's doctrine .",93,"('cunegund', 'cunégonde', 'cunegunda')",0
""" for my part , i have no curiosity to see france , "" said candide . "" you may easily conceive , my friend , that after spending a month in el dorado , i can desire to behold nothing upon earth but miss cunegund . i am going to wait for her at venice . i intend to pass through france , on my way to italy . will you not bear me company ? """,45,"('cunegund', 'cunégonde', 'cunegunda')",0
"candide was greatly taken with an actress , who performed the part of queen elizabeth in a dull kind of tragedy that is played sometimes . "" that actress , "" said he to martin , "" pleases me greatly ; she has some sort of resemblance to miss cunegund . i should be very glad to pay my respects to her . """,49,"('cunegund', 'cunégonde', 'cunegunda')",0
""" though i am very anxious to see miss cunegund again , "" said candide , "" yet i have a great inclination to sup with miss clairon , for i am really much taken with her . """,9,"('cunegund', 'cunégonde', 'cunegunda')",0
"candide listened attentively and believed implicitly , for he thought miss cunegund excessively handsome , though he never had the courage to tell her so .",11,"('cunegund', 'cunégonde', 'cunegunda')",0
""" well , "" said she , "" are you still so violently fond of miss cunegund of thunder - ten - tronckh ? """,16,"('cunegund', 'cunégonde', 'baronesita')",1
"he concluded that next to the happiness of being baron of thunder - ten - tronckh , the next was that of being miss cunegund , the next that of seeing her every day , and the last that of hearing the doctrine of master pangloss , the greatest philosopher of the whole province , and consequently of the whole world .",24,"('cunegund', 'cunégonde', 'cunegunda')",0
"one day when miss cunegund went to take a walk in a little neighboring wood which was called a park , she saw , through the bushes , the sage doctor pangloss giving a lecture in experimental philosophy to her mother 's chambermaid , a little brown wench , very pretty , and very tractable .",4,"('cunegund', 'cunégonde', 'cunegunda')",0
"as miss cunegund had a great disposition for the sciences , she observed with the utmost attention the experiments which were repeated before her eyes ; she perfectly well understood the force of the doctor 's reasoning upon causes and effects . she retired greatly flurried , quite pensive and filled with the desire of knowledge , imagining that she might be a sufficing reason for young candide , and he for her .",2,"('cunegund', 'cunégonde', 'cunegunda')",0
"the baron chanced to come by ; he beheld the cause and effect , and , without hesitation , saluted candide with some notable kicks on the breech and drove him out of doors . the lovely miss cunegund fainted away , and , as soon as she came to herself , the baroness boxed her ears . thus a general consternation was spread over this most magnificent and most agreeable of all possible castles .",38,"('cunegund', 'cunégonde', 'cunegunda')",0
"he talked much of miss cunegund , and candide assured him that he would heartily ask pardon of that fair one for his infidelity to her , when he saw her at venice .",5,"('cunegund', 'cunégonde', 'cunegunda')",0
""" yes , monsieur l'abbe , "" answered candide , "" i must absolutely wait upon miss cunegund , "" and then the pleasure he took in talking about the object he loved , led him insensibly to relate , according to custom , part of his adventures with that illustrious westphalian beauty .",17,"('cunegund', 'cunégonde', 'cunegunda')",0
""" o yes ! i have a great affection for the lovely miss cunegund . """,13,"('cunegund', 'cunégonde', 'cunegunda')",0
"distracted between these two passions he took his gold and his diamonds , and procured a person to conduct him and martin to the house where miss cunegund lodged . upon entering the room he felt his limbs tremble , his heart flutter , his tongue falter ; he attempted to undraw the curtain , and called for a light to the bedside .",27,"('cunegund', 'cunégonde', 'cunegunda')",0
"thence continuing to walk over palpitating limbs , or through ruined buildings , at length he arrived beyond the theater of war , with a little provision in his budget , and miss cunegund 's image in his heart .",33,"('cunegund', 'cunégonde', 'cunegunda')",0
"candide opened his eyes , and again repeated : "" dead ! is miss cunegund dead ?",14,"('cunegund', 'cunégonde', 'cunegunda')",0
""" god be praised , "" said candide , embracing martin , "" this is the place where i am to behold my beloved cunegund once again .",24,"('cunegund', 'cunégonde', 'cunegunda')",0
""" it is strange , "" said he to martin , "" very strange that i should have time to sail from surinam to bordeaux ; to travel thence to paris , to dieppe , to portsmouth ; to sail along the coast of portugal and spain , and up the mediterranean to spend some months at venice ; and that my lovely cunegund should not have arrived . instead of her , i only met with a parisian impostor , and a rascally abbe of perigord .",63,"('cunegund', 'cunégonde', 'cunegunda')",0
"cunegund is actually dead , and i have nothing to do but follow her .",0,"('cunegund', 'cunégonde', 'cunegunda')",0
"while they were disputing on this important subject , and still expecting miss cunegund , candide perceived a young theatin friar in the piazza san marco , with a girl under his arm . the theatin looked fresh - colored , plump , and vigorous ; his eyes sparkled ; his air and gait were bold and lofty . the girl was pretty , and was singing a song ; and every now and then gave her theatin an amorous ogle and wantonly pinched his ruddy cheeks .",13,"('cunegund', 'cunégonde', 'cunegunda')",0
"candide had not regarded her with any degree of attention before , being wholly occupied with the thoughts of his dear cunegund . "" ah ! is it you , child ? was it you that reduced dr . pangloss to that fine condition i saw him in ? """,21,"('cunegund', 'cunégonde', 'cunegunda')",0
""" be that as it may , "" said candide , "" one thing comforts me ; i see that one often meets with those whom one never expected to see again ; so that , perhaps , as i have found my red sheep and pacquette , i may be lucky enough to find miss cunegund also . """,56,"('cunegund', 'cunégonde', 'cunegunda')",0
what a happy moment ! what surprise ! he thought he beheld miss cunegund ; he did behold her -it was she herself .,13,"('cunegund', 'cunégonde', 'cunegunda')",0
"his strength failed him , he could not utter a word , he fell at her feet . cunegund fainted upon the sofa .",18,"('cunegund', 'cunégonde', 'cunegunda')",0
""" indeed but they did , "" replied miss cunegund ; "" but these two accidents do not always prove mortal . """,9,"('cunegund', 'cunégonde', 'cunegunda')",0
""" you shall , "" said cunegund , "" but let me proceed . """,6,"('cunegund', 'cunégonde', 'cunegunda')",0
"upon this , turning about to see from whom these words came , he beheld cacambo . nothing but the sight of miss cunegund could have given him greater joy and surprise . he was almost beside himself , and embraced this dear friend .",23,"('cunegund', 'cunégonde', 'cunegunda')",0
""" cunegund ! "" said he , "" cunegund is come with you doubtless ! where , where is she ?",1,"('cunegund', 'cunégonde', 'cunegunda')",0
""" cunegund ! "" said he , "" cunegund is come with you doubtless ! where , where is she ?",8,"('cunegund', 'cunégonde', 'cunegunda')",0
""" cunegund is not here , "" answered cacambo ; "" she is in constantinople . """,1,"('cunegund', 'cunégonde', 'cunegunda')",0
"what happened to cunegund , candide , the grand inquisitor , and the jew",3,"('cunegund', 'cunégonde', 'cunegunda')",0
"entering he discovered the flagellated candide with his drawn sword in his hand , a dead body stretched on the floor , cunegund frightened out of her wits , and the old woman giving advice .",22,"('cunegund', 'cunégonde', 'cunegunda')",0
""" here 's another fine piece of work ! "" cried cunegund . "" now there can be no mercy for us , we are excommunicated ; our last hour is come .",11,"('cunegund', 'cunégonde', 'cunegunda')",0
"candide , without any further hesitation , saddled the three horses ; and miss cunegund , the old woman , and he , set out , and traveled thirty miles without once halting .",14,"('cunegund', 'cunégonde', 'cunegunda')",0
"in what distress candide , cunegund , and the old woman arrive at cadiz , and of their embarkation",5,"('cunegund', 'cunégonde', 'cunegunda')",0
"who could it be that has robbed me of my moidores and jewels ? "" exclaimed miss cunegund , all bathed in tears . "" how shall we live ? what shall we do ? where shall i find inquisitors and jews who can give me more ? """,17,"('cunegund', 'cunégonde', 'cunegunda')",0
"have you nothing at all left , my dear miss cunegund ? """,10,"('cunegund', 'cunégonde', 'cunegunda')",0
"just as they rose from table , in came four serene highnesses , who had also been stripped of their territories by the fortune of war , and had come to spend the remainder of the carnival at venice . candide took no manner of notice of them ; for his thoughts were wholly employed on his voyage to constantinople , where he intended to go in search of his lovely miss cunegund .",72,"('cunegund', 'cunégonde', 'cunegunda')",0
"candide , cunegund , and the old woman , after passing through lucina , chellas , and letrixa , arrived at length at cadiz . a fleet was then getting ready , and troops were assembling in order to induce the reverend fathers , jesuits of paraguay , who were accused of having excited one of the indian tribes in the neighborhood of the town of the holy sacrament , to revolt against the kings of spain and portugal .",2,"('cunegund', 'cunégonde', 'cunegunda')",0
"being now made a captain , he embarked with miss cunegund , the old woman , two valets , and the two andalusian horses , which had belonged to the grand inquisitor of portugal .",10,"('cunegund', 'cunégonde', 'cunegunda')",0
""" well , "" said he , "" what news of miss cunegund ? does she still continue the paragon of beauty ? does she love me still ? how does she do ? you have , doubtless , purchased a superb palace for her at constantinople . """,12,"('cunegund', 'cunégonde', 'cunegunda')",0
""" my dear master , "" replied cacambo , "" miss cunegund washes dishes on the banks of the propontis , in the house of a prince who has very few to wash . she is at present a slave in the family of an ancient sovereign named ragotsky , whom the grand turk allows three crowns a day to maintain him in his exile ; but the most melancholy circumstance of all is , that she is turned horribly ugly . """,11,"('cunegund', 'cunégonde', 'cunegunda')",0
