text,ind,sense,label
"one would really say , that the western part of lincoln island , so rich and so fertile , is washed by the warm waters of the gulf of mexico , and that its shores to the north and the southeast extend over a sort of arctic sea . """,41,"('extend', 'étendre', 'extender')",0
"the engineer extended his hand to his companions , who pressed it warmly .",2,"('extend', 'tendre', 'tender')",1
"as to the forest , including jacamar wood , as well as the forests of the far west , it extended as far as the eye could reach .",20,"('extend', 'étendre', 'extender')",0
"stapi is a village consisting of about thirty huts , built of lava , at the south side of the base of the volcano . it extends along the inner edge of a small fiord , inclosed between basaltic walls of the strangest construction .",26,"('extend', 'étendre', 'extender')",0
"cyrus harding extended his hand to the ci - devant prince and replied gravely , "" sir , your error was in supposing that the past can be resuscitated , and in contending against inevitable progress .",2,"('extend', 'tendre', 'tender')",1
"our baggage was immediately carried to the deck of the frigate . i rushed aboard . i asked for commander farragut . one of the sailors led me to the afterdeck , where i stood in the presence of a smart - looking officer who extended his hand to me .",45,"('extend', 'tendre', 'tender')",1
"as you know , at the turn of the tide , the waters confined between the faroe and lofoten islands rush out with irresistible violence . they form a vortex from which no ship has ever been able to escape . monstrous waves race together from every point of the horizon . they form a whirlpool aptly called "" the ocean 's navel , "" whose attracting power extends a distance of fifteen kilometers . it can suck down not only ships but whales , and even polar bears from the northernmost regions .",68,"('extend', 'étendre', 'extender')",0
"it was not such a shore as is usually formed by nature , either by extending a vast carpet of sand , or by grouping masses of rock , but a beautiful border consisting of the most splendid trees .",15,"('extend', 'étendre', 'extender')",0
"all hands were extended to ayrton , who did not conceal from them that their situation was serious .",3,"('extend', 'tendre', 'tender')",1
"every caprice of nature , still more varied than those of the imagination , appeared on this grand coast , which extended over a length of eight or nine miles .",21,"('extend', 'prolonger', 'prolongar')",2
grimaud extended his hands in the direction of the lys .,1,"('extend', 'étendre', 'tender')",3
"another flash illuminated all around them . grimaud extended his arm , and by the bluish splendor of the fiery serpent they distinguished a little isolated house on the banks of the river , within a hundred paces of a ferry .",8,"('extend', 'étendre', 'extender')",0
"in consequence and in view of these future establishments , it became of much importance that they should penetrate into all the yet unknown parts of lincoln island , that is to say , through that thick forest which extended on the right bank of the mercy , from its mouth to the extremity of the serpentine peninsula , as well as on the whole of its western side .",39,"('extend', 'étendre', 'extender')",0
"the pacific ocean extends north to south between the two polar circles and east to west between america and asia over an expanse of 145 degrees of longitude . it 's the most tranquil of the seas ; its currents are wide and slow - moving , its tides moderate , its rainfall abundant . and this was the ocean that i was first destined to cross under these strangest of auspices .",3,"('extend', 'étendre', 'situar')",4
"then cyrus harding , extending his hand over the forehead of the dead , said solemnly , "" may his soul be with god ! """,4,"('extend', 'élever', 'levantar')",5
"before him was extended the sea - coast , the islet , and beyond the open sea .",3,"('extend', 'étendre', 'extender')",0
"the blowing operation had given a cylinder of glass terminated by two hemispheric caps , which were easily detached by means of a sharp iron dipped in cold water ; then , by the same proceeding , this cylinder was cut lengthways , and after having been rendered malleable by a second heating , it was extended on a plate and spread out with a wooden roller .",56,"('extend', 'étendre', 'extender')",0
"it was then perfectly dark , and their gaze could not extend over a radius of two miles .",11,"('extend', 'étendre', 'extender')",0
"they could easily distinguish a confused mass of great trees , which extended beyond the limits of their view .",12,"('extend', 'prolonger', 'prolongar')",2
"d’artagnan believed him to be dead , or at least insensible , and went toward him for the purpose of taking the order ; but the moment he extended his hand to search for it , the wounded man , who had not dropped his sword , plunged the point into d’artagnan ’s breast , crying , "" one for you ! """,28,"('extend', 'étendre', 'extender')",0
"all around , the lonely sea extended to the limits of the horizon .",6,"('extend', 'étendre', 'extender')",0
"it is true , a distance of nearly thirty miles separated the observers from the extreme points , that is , of the tail which extended to the southwest , and it would have been difficult , even to pencroft 's eyes , to discover a habitation there .",25,"('extend', 'projeter', 'proyectar')",6
"at eleven in the morning the train had reached the dividing ridge of the waters at bridger pass , seven thousand five hundred and twenty - four feet above the level of the sea , one of the highest points attained by the track in crossing the rocky mountains . after going about two hundred miles , the travellers at last found themselves on one of those vast plains which extend to the atlantic , and which nature has made so propitious for laying the iron road .",70,"('extend', 'étendre', 'llegar')",7
"we might give to that vast bay on the east the name of union bay , for example ; to that large hollow on the south , washington bay ; to the mountain upon which we are standing , that of mount franklin ; to that lake which is extended under our eyes , that of lake grant ; nothing could be better , my friends .",49,"('extend', 'étendre', 'extender')",0
"the town extends along a low and marshy level , between two hills . an immense bed of lava bounds it on one side , and falls gently towards the sea . on the other extends the vast bay of faxa , shut in at the north by the enormous glacier of the snæfell , and of which the _ valkyria _ was for the time the only occupant . usually the english and french conservators of fisheries moor in this bay , but just then they were cruising about the western coasts of the island .",2,"('extend', 'allonger', 'extender')",8
"the town extends along a low and marshy level , between two hills . an immense bed of lava bounds it on one side , and falls gently towards the sea . on the other extends the vast bay of faxa , shut in at the north by the enormous glacier of the snæfell , and of which the _ valkyria _ was for the time the only occupant . usually the english and french conservators of fisheries moor in this bay , but just then they were cruising about the western coasts of the island .",35,"('extend', 'étendre', 'extender')",0
""" of course , axel . what can be more natural ? at newcastle are there not coal mines extending far under the sea ? """,19,"('extend', 'avancer', 'avanzar')",9
this anxiety became so great that it even extended to aramis and porthos .,8,"('extend', 'gagner', 'ganar')",10
she extended her hands to him with a smile .,1,"('extend', 'tendre', 'tender')",1
