text,sense,label,ind,new_label
""" well , go quickly ! i will return soon to learn the result of your trip . ""","('result', 'résultat', 'resultar')",0,13,0
"felton had fallen ; but there was still another step to be taken . he must be retained , or rather he must be left quite alone ; and milady but obscurely perceived the means which could lead to this result .","('result', 'résultat', 'resultar')",0,40,0
and he made known to them the result of his observations .,"('result', 'résultat', 'resultar')",0,7,0
""" and you felt self - satisfied with the result of your ardent labours ? ""","('result', 'résultat', 'resultar')",0,9,0
"the result was less , but the silent arrow had the advantage of not frightening the birds , while the noise of firearms would have dispersed them to all parts of the marsh .","('result', 'résultat', 'resultar')",0,1,0
"i have , therefore , reason to believe that our guns will bear without risk the expansion of the pyroxyle gas , and will give excellent results . ""","('result', 'résultat', 'resultar')",0,26,0
"when the heap of pyrites had been entirely reduced by fire , the result of the operation , consisting of sulphate of iron , sulphate of alumina , flint , remains of coal , and cinders was placed in a basinful of water .","('result', 'résultat', 'resultar')",0,13,0
""" no violence will be offered to you , madame , and what happens to you is the result of a very simple measure which we are obliged to adopt with all who land in england . ""","('result', 'résultat', 'resultar')",0,18,0
""" good resolutions are useless attempts to interfere with scientific laws . their origin is pure vanity . their result is absolutely nil . they give us , now and then , some of those luxurious sterile emotions that have a certain charm for the weak . that is all that can be said for them . they are simply cheques that men draw on a bank where they have no account . ""","('result', 'résultat', 'resultar')",0,19,0
"the engineer had previously made known to him the result of the exploration which he had made the day before , and on this point the reporter shared harding 's opinion , that although he had found nothing , a secret still remained to be discovered !","('result', 'résultat', 'resultar')",0,9,0
"i then related the evening 's incidents to the canadian , secretly hoping he would come around to the idea of not deserting the captain ; but my narrative had no result other than ned 's voicing deep regret that he had n't strolled across the vigo battlefield on his own behalf .","('result', 'résultat', 'resultar')",0,31,0
""" at length he interrogates me ! "" said milady to herself , at the height of joy at having obtained so quickly such a great result . "" oh , know him ?","('result', 'résultat', 'resultar')",0,26,0
"as they went from the hotel des gardes , they separated , leaving the street at opposite ends , one having to quit paris by the barriere de la villette and the other by the barriere montmartre , to meet again beyond st . denis -- a strategic maneuver which , having been executed with equal punctuality , was crowned with the most fortunate results .","('result', 'résultat', 'resultar')",0,64,0
"it was he who , after the affair of the black river , determined at any cost to keep his place at the wicket of the telegraph office , and after having announced to his journal the result of the battle , telegraphed for two hours the first chapters of the bible .","('result', 'résultat', 'resultar')",0,37,0
"your error is one that we may admire , and your name has nothing to fear from the judgment of history , which does not condemn heroic folly , but its results . ""","('result', 'résultat', 'resultar')",0,31,0
""" what have been the results of your quarrel ? "" said the cardinal , knitting his brow .","('result', 'résultat', 'resultar')",0,5,0
"it was scarcely probable ; and , besides , supposing she should come there , as the colonists had not been able to deposit a notice pointing out ayrton 's change of abode , the commander of the yacht , after having explored tabor island without results , would again set sail and return to lower latitudes .","('result', 'résultat', 'resultar')",0,46,0
""" i wo n't insist , sir , and i 'll rest content with simply being flabbergasted at your results . i would ask one question , however , which you need n't answer if it 's indiscreet . the electric cells you use to generate this marvelous force must be depleted very quickly . their zinc component , for example : how do you replace it , since you no longer stay in contact with the shore ? ""","('result', 'résultat', 'resultar')",0,19,0
"cyrus harding had only at his disposal the ordinary azotic acid and not the fuming or monohydrate azotic acid , that is to say , acid which emits white vapors when it comes in contact with damp air ; but by substituting for the latter ordinary azotic acid , mixed , in the proportion of from three to five volumes of concentrated sulphuric acid , the engineer obtained the same result .","('result', 'résultat', 'resultar')",0,70,0
""" well , "" thought d’artagnan , "" poor athos is perhaps at this moment dead , and dead by my fault -- for it was i who dragged him into this affair , of which he did not know the origin , of which he is ignorant of the result , and from which he can derive no advantage . ""","('result', 'résultat', 'resultar')",0,50,0
"i followed with my eyes his trembling hands , i took count of every movement . might not some unhoped - for result come of it ? i trembled , too , very unnecessarily , since the true key was in my hands , and no other would open the secret .","('result', 'résultat', 'resultar')",0,22,0
"the courageous boy knew of the sailor 's plan , and it was not without anxiety that he awaited the result of the proposal being made to the engineer .","('result', 'résultat', 'resultar')",0,20,0
"finally , the rest of the equipment was successively debated in the same manner ; and the result of the sitting was that the procurator ’s wife should give eight hundred livres in money , and should furnish the horse and the mule which should have the honor of carrying porthos and mousqueton to glory .","('result', 'résultat', 'resultar')",0,17,0
"indeed , in these three words was summed up so much fatigue uselessly expended , so much energy producing no results , that somewhat of anger mingled with the discomfiture of cyrus harding and his companions .","('result', 'résultat', 'resultar')",0,20,0
"neglect it -- go on as heretofore , craving , whining , and idling -- and suffer the results of your idiocy , however bad and insuperable they may be .","('result', 'résultat', 'resultar')",0,18,0
"in short , the result was satisfactory , and the settlers had no reason to complain .","('result', 'résultat', 'resultar')",0,4,0
""" oh , bravo ! bravo three times over , captain ! that explains the phosphorescent glow from this so - called narwhale that so puzzled us scientists ! pertinent to this , i 'll ask you if the nautilus 's running afoul of the scotia , which caused such a great uproar , was the result of an accidental encounter ? ""","('result', 'résultat', 'resultar')",0,56,0
"we were thoroughly satisfied with the results of our hunting . a gleeful ned proposed that we return the next day to this magic island , which he planned to depopulate of its every edible quadruped . but he was reckoning without events .","('result', 'résultat', 'resultar')",0,6,0
"as he looked back upon man moving through history , he was haunted by a feeling of loss . so much had been surrendered ! and to such little purpose ! there had been mad wilful rejections , monstrous forms of self - torture and self - denial , whose origin was fear and whose result was a degradation infinitely more terrible than that fancied degradation from which , in their ignorance , they had sought to escape ; nature , in her wonderful irony , driving out the anchorite to feed with the wild animals of the desert and giving to the hermit the beasts of the field as his companions .","('result', 'résultat', 'resultar')",0,55,0
"captain nemo decided to take his nautilus down to the lowest depths in order to double - check these different soundings . i got ready to record the results of this experiment . the panels in the lounge opened , and maneuvers began for reaching those strata so prodigiously far removed .","('result', 'résultat', 'resultar')",0,28,0
"they must have been , and were , in the notes , as well as in the words of his wild fantasias ( for he not unfrequently accompanied himself with rhymed verbal improvisations ) , the result of that intense mental collectedness and concentration to which i have previously alluded as observable only in particular moments of the highest artificial excitement .","('result', 'résultat', 'resultar')",0,36,0
i shared the results of my observations with the canadian and conseil .,"('result', 'résultat', 'resultar')",0,3,0
"they had administered further doses of pounded bark , but the reporter expected no result from it .","('result', 'résultat', 'resultar')",0,14,0
he tried again : the same result .,"('result', 'résultat', 'resultar')",0,6,0
"the brig immediately sent a second ball on the post betrayed by the smoke , but without any other result than that of splintering the rock .","('result', 'résultat', 'resultar')",0,19,0
"frightful cries were heard when they returned on board with the wounded , and two or three guns were fired with no results .","('result', 'résultat', 'resultar')",0,22,0
this began to be annoying . all these successive accidents were perhaps the result of chance ; but they might be the fruits of a plot .,"('result', 'résultat', 'resultar')",0,13,0
""" well done ! our researches have evidently been running on parallel lines , and when we unite our results i expect we shall have a fairly full knowledge of the case . ""","('result', 'résultat', 'resultar')",0,19,0
""" anything which may seem to have a bearing however indirect upon the case , and especially the relations between young baskerville and his neighbours or any fresh particulars concerning the death of sir charles . i have made some inquiries myself in the last few days , but the results have , i fear , been negative . one thing only appears to be certain , and that is that mr . james desmond , who is the next heir , is an elderly gentleman of a very amiable disposition , so that this persecution does not arise from him . i really think that we may eliminate him entirely from our calculations . there remain the people who will actually surround sir henry baskerville upon the moor . ""","('result', 'résultat', 'resultar')",0,50,0
"it was by means of the shadow cast on the sand by the stick , a way which , for want of an instrument , would give him a suitable approach to the result which he wished to obtain .","('result', 'résultat', 'resultar')",0,33,0
""" that 's better , "" said he , seeing the shadow rise from my face . "" and now tell me the result of your visit to mrs . laura lyons -- it was not difficult for me to guess that it was to see her that you had gone , for i am already aware that she is the one person in coombe tracey who might be of service to us in the matter . in fact , if you had not gone to - day it is exceedingly probable that i should have gone to - morrow . ""","('result', 'résultat', 'resultar')",0,23,0
