text,sense,label,ind,new_label
"alice thought she might as well wait , as she had nothing else to do , and perhaps after all it might tell her something worth hearing . for some minutes it puffed away without speaking , but at last it unfolded its arms , took the hookah out of its mouth again , and said , ' so you think you 're changed , do you ? '","('mouth', 'bouche', 'boca')",0,51,0
"at six in the morning the canoe put off from the shore ; all had embarked , including top , and they proceeded to the mouth of the mercy .","('mouth', 'embouchure', 'desembocadura')",1,25,1
"he even opened his mouth to tell milady who he was , and with what a revengeful purpose he had come ; but she added , "" poor angel , whom that monster of a gascon barely failed to kill . ""","('mouth', 'bouche', 'boca')",0,4,0
"meanwhile the stream grew much wider , and cyrus harding supposed that they would soon reach its mouth .","('mouth', 'embouchure', 'desembocadura')",1,17,1
"they had abandoned granite house , and would not even take shelter at the chimneys , but encamped under a tent , near the mouth of the mercy .","('mouth', 'embouchure', 'desembocadura')",1,24,1
"at the same time top began to run round the mouth of the well , which opened at the extremity of the interior passage .","('mouth', 'orifice', 'boca')",2,10,2
"the next day , the 20th of october , at seven o'clock in the morning , after a voyage of four days , the "" bonadventure "" gently glided up to the beach at the mouth of the mercy .","('mouth', 'embouchure', 'desembocadura')",1,35,1
"then the vessel resumed its course , still escorted by the little cutter , which sailed side by side with it , menacing it with the mouths of its six cannon . the boat followed in the wake of the ship , a speck near the enormous mass .","('mouth', 'bouche', 'boca')",0,26,0
"the officer who had stopped in front of her and studied her with so much care might have been twenty - five or twenty - six years of age . he was of pale complexion , with clear blue eyes , rather deeply set ; his mouth , fine and well cut , remained motionless in its correct lines ; his chin , strongly marked , denoted that strength of will which in the ordinary britannic type denotes mostly nothing but obstinacy ; a brow a little receding , as is proper for poets , enthusiasts , and soldiers , was scarcely shaded by short thin hair which , like the beard which covered the lower part of his face , was of a beautiful deep chestnut color .","('mouth', 'bouche', 'boca')",0,46,0
"and at these words , as if all her strength was exhausted , milady sank , weak and languishing , into the arms of the young officer , who , intoxicated with love , anger , and voluptuous sensations hitherto unknown , received her with transport , pressed her against his heart , all trembling at the breath from that charming mouth , bewildered by the contact with that palpitating bosom .","('mouth', 'bouche', 'boca')",0,61,0
"a sigh escaped from the mouth of mme . bonacieux , and dwelt for an instant on the lips of d’artagnan . that sigh was the soul , so chaste and so loving , which reascended to heaven .","('mouth', 'bouche', 'boca')",0,5,0
"at the moment when he was about to retire , she was cheered with a ray of hope , for she thought he was about to speak ; but his lips moved without any sound leaving his mouth , and making a powerful effort to control himself , he sent back to his heart the words that were about to escape from his lips , and went out .","('mouth', 'bouche', 'boca')",0,37,0
"it might be , indeed , that their only intention was to obtain fresh water from the mercy , and it was not impossible that the bridge , thrown across a mile and a half from the mouth , and the manufactory at the chimneys might escape their notice .","('mouth', 'embouchure', 'desembocadura')",1,37,1
"it was ten o'clock in the morning when the canoe reached a second angle of the mercy , nearly five miles from its mouth .","('mouth', 'embouchure', 'desembocadura')",1,23,1
"' you 'll get used to it in time , ' said the caterpillar ; and it put the hookah into its mouth and began smoking again .","('mouth', 'bouche', 'boca')",0,22,0
"this time alice waited patiently until it chose to speak again . in a minute or two the caterpillar took the hookah out of its mouth and yawned once or twice , and shook itself . then it got down off the mushroom , and crawled away in the grass , merely remarking as it went , ' one side will make you grow taller , and the other side will make you grow shorter . '","('mouth', 'bouche', 'boca')",0,25,0
"but soon the flow completely failed them , either the tide was going down , and it was about the hour , or it could no longer be felt at this distance from the mouth of the mercy .","('mouth', 'embouchure', 'desembocadura')",1,34,1
"now this project was to minutely explore the interior well , the mouth of which was on a level with the passage of granite house , and which communicated with the sea , since it formerly supplied a way to the waters of the lake .","('mouth', 'orifice', 'boca')",2,12,2
"she was a good deal frightened by this very sudden change , but she felt that there was no time to be lost , as she was shrinking rapidly ; so she set to work at once to eat some of the other bit . her chin was pressed so closely against her foot , that there was hardly room to open her mouth ; but she did it at last , and managed to swallow a morsel of the lefthand bit .","('mouth', 'bouche', 'boca')",0,63,0
"they thus visited all the left bank of the mercy , along which ran the road from the corral to the mouth of falls river .","('mouth', 'embouchure', 'desembocadura')",1,21,1
"the sides were everywhere entire ; but points of rock jutted out here and there , and by means of these points it would have been quite possible for an active creature to climb to the mouth of the well .","('mouth', 'orifice', 'boca')",2,36,2
"neither top nor jup , who accompanied him , ever betrayed by their behavior that there was anything strange there , and yet more than once again the dog barked at the mouth of the well , which the engineer had before explored without result .","('mouth', 'orifice', 'boca')",2,32,2
"to arrive at the bottom of the well and then climb up to its mouth it was necessary to pass through the channel under the rocky subsoil of the beach , which placed it in communication with the sea , and this was only possible for marine animals .","('mouth', 'orifice', 'boca')",2,14,2
"what a face he had , now that it was almost on a level with mine ! what a great nose ! and what a mouth ! and what large prominent teeth !","('mouth', 'bouche', 'boca')",0,25,0
"he had one - of those finely - developed heads which appear made to be struck on a medal , piercing eyes , a serious mouth , the physiognomy of a clever man of the military school .","('mouth', 'bouche', 'boca')",0,25,0
""" is she not safe at the mouth of the mercy ? "" asked cyrus harding .","('mouth', 'embouchure', 'desembocadura')",1,7,1
"as to the animals in question , they were peccaries belonging to one of the four species which are included in the family , and they were also of the species of tajacu , recognizable by their deep color and the absence of those long teeth with which the mouths of their congeners are armed .","('mouth', 'bouche', 'boca')",0,49,0
"for a handsome and not an unamiable - looking man , he repelled me exceedingly : there was no power in that smooth - skinned face of a full oval shape : no firmness in that aquiline nose and small cherry mouth ; there was no thought on the low , even forehead ; no command in that blank , brown eye .","('mouth', 'bouche', 'boca')",0,41,0
"the stranger was about to reply ; but at the moment he opened his mouth , d’artagnan , who had heard all , precipitated himself over the threshold of the door .","('mouth', 'bouche', 'boca')",0,14,0
"the dog was not this time barking near the mouth of the well , but at the threshold of the door , at which he was scratching as if he wished to burst it open .","('mouth', 'orifice', 'boca')",2,9,2
""" you glutton , "" conseil replied , "" you 're making my mouth water ! ""","('mouth', 'bouche', 'boca')",0,13,0
