text,sense,label,ind,new_label
"look at aramis , now ; aramis is mildness and grace personified .","('grace', 'grâce', 'gracia')",0,10,0
"a quarter of an hour afterwards , amidst an extraordinary turmoil of applause , sibyl vane stepped on to the stage . yes , she was certainly lovely to look at-- one of the loveliest creatures , lord henry thought , that he had ever seen . there was something of the fawn in her shy grace and startled eyes . a faint blush , like the shadow of a rose in a mirror of silver , came to her cheeks as she glanced at the crowded enthusiastic house . she stepped back a few paces and her lips seemed to tremble . basil hallward leaped to his feet and began to applaud . motionless , and as one in a dream , sat dorian gray , gazing at her . lord henry peered through his glasses , murmuring , "" charming ! charming ! ""","('grace', 'grâce', 'gracia')",0,56,0
"but does your grace mean to give me the studs without the casket ? ""","('grace', 'grâce', 'gracia')",0,3,0
"what i have done , then , has been for the queen , and not at all for your grace .","('grace', 'grâce', 'gracia')",0,19,0
"miss ingram , who had now seated herself with proud grace at the piano , spreading out her snowy robes in queenly amplitude , commenced a brilliant prelude ; talking meantime .","('grace', 'grâce', 'gracia')",0,10,0
""" you have said , my lord ; for truly , at this moment when there is question of war , i confess to you that i see nothing in your grace but an englishman , and consequently an enemy whom i should have much greater pleasure in meeting on the field of battle than in the park at windsor or the corridors of the louvre -- all which , however , will not prevent me from executing to the very point my commission or from laying down my life , if there be need of it , to accomplish it ; but i repeat it to your grace , without your having personally on that account more to thank me for in this second interview than for what i did for you in the first . ""","('grace', 'grâce', 'gracia')",0,31,0
"oh , if she betrayed your majesty on the side of your honor , it would be quite another thing , and i should be the first to say , ’ no grace , sire -- no grace for the guilty ! ’","('grace', 'grâce', 'gracia')",0,32,0
"oh , if she betrayed your majesty on the side of your honor , it would be quite another thing , and i should be the first to say , ’ no grace , sire -- no grace for the guilty ! ’","('grace', 'grâce', 'gracia')",0,37,0
"dorian heaved a sigh of relief as he saw the gardener approaching . the man touched his hat , glanced for a moment at lord henry in a hesitating manner , and then produced a letter , which he handed to his master . "" her grace told me to wait for an answer , "" he murmured .","('grace', 'grâce', 'gracia')",0,46,0
"dorian put the letter into his pocket . "" tell her grace that i am coming in , "" he said , coldly . the man turned round and went rapidly in the direction of the house .","('grace', 'grâce', 'gracia')",0,11,0
