text,sense,label,ind,new_label
""" yes , sir , all the windows . ""","('window', 'fenêtre', 'ventana')",0,7,0
""" look here , barrymore , "" said sir henry , sternly ; "" we have made up our minds to have the truth out of you , so it will save you trouble to tell it sooner rather than later . come , now ! no lies ! what were you doing at that window ? ""","('window', 'fenêtre', 'ventana')",0,55,0
""" i took advantage of a moment when they left me alone ; and as i had known since morning the reason of my abduction , with the help of the sheets i let myself down from the window . then , as i believed my husband would be at home , i hastened hither . ""","('window', 'fenêtre', 'ventana')",0,38,0
""" i was doing no harm , sir . i was holding a candle to the window . ""","('window', 'fenêtre', 'ventana')",0,16,0
""" and why were you holding a candle to the window ? ""","('window', 'fenêtre', 'ventana')",0,10,0
"at five in the morning i was awoke by the neighing and pawing of four horses under my window . i dressed hastily and came down into the street . hans was finishing our packing , almost as it were without moving a limb ; and yet he did his work cleverly . my uncle made more noise than execution , and the guide seemed to pay very little attention to his energetic directions .","('window', 'fenêtre', 'ventana')",0,18,0
"i showed him the volume on the shelf : he took it down , and withdrawing to his accustomed window recess , he began to read it .","('window', 'fenêtre', 'ventana')",0,19,0
he then took up his station near the window and gazed through the foliage .,"('window', 'fenêtre', 'ventana')",0,8,0
""" move your light across the window , watson ! "" cried the baronet . "" see , the other moves also ! now , you rascal , do you deny that it is a signal ? come , speak up ! who is your confederate out yonder , and what is this conspiracy that is going on ? ""","('window', 'fenêtre', 'ventana')",0,6,0
""" yes , we shall make our little ambush here . get into this hollow , lestrade . you have been inside the house , have you not , watson ? can you tell the position of the rooms ? what are those latticed windows at this end ? ""","('window', 'fenêtre', 'ventana')",0,44,0
i tiptoed down the path and stooped behind the low wall which surrounded the stunted orchard . creeping in its shadow i reached a point whence i could look straight through the uncurtained window .,"('window', 'fenêtre', 'ventana')",0,33,0
"the stranger looked at him again with a slight smile , and retiring from the window , came out of the hostelry with a slow step , and placed himself before the horse , within two paces of d’artagnan .","('window', 'fenêtre', 'ventana')",0,15,0
"his quiet manner and the ironical expression of his countenance redoubled the mirth of the persons with whom he had been talking , and who still remained at the window .","('window', 'fenêtre', 'ventana')",0,29,0
""" this horse is decidedly , or rather has been in his youth , a buttercup , "" resumed the stranger , continuing the remarks he had begun , and addressing himself to his auditors at the window , without paying the least attention to the exasperation of d’artagnan , who , however placed himself between him and them . "" it is a color very well known in botany , but till the present time very rare among horses . ""","('window', 'fenêtre', 'ventana')",0,37,0
"this , then , was the explanation of the stealthy expeditions at night and the light at the window . sir henry and i both stared at the woman in amazement . was it possible that this stolidly respectable person was of the same blood as one of the most notorious criminals in the country ?","('window', 'fenêtre', 'ventana')",0,18,0
"when they were gone we looked out of the window again . sir henry had flung it open , and the cold night wind beat in upon our faces . far away in the black distance there still glowed that one tiny point of yellow light .","('window', 'fenêtre', 'ventana')",0,9,0
"the star of day , pale but nevertheless still splendid , was setting in the horizon , glorifying at once the heavens and the sea with bands of fire , and casting upon the towers and the old houses of the city a last ray of gold which made the windows sparkle like the reflection of a conflagration .","('window', 'vitre', 'cristal')",1,50,1
"it was long past noon when he awoke . his valet had crept several times on tiptoe into the room to see if he was stirring , and had wondered what made his young master sleep so late . finally his bell sounded , and victor came in softly with a cup of tea , and a pile of letters , on a small tray of old sevres china , and drew back the olive - satin curtains , with their shimmering blue lining , that hung in front of the three tall windows .","('window', 'fenêtre', 'ventana')",0,93,0
"as to the gentleman , he resumed his place at the window , and surveyed the crowd with a certain impatience , evidently annoyed by their remaining undispersed .","('window', 'fenêtre', 'ventana')",0,11,0
"when the settlers , leaning from their windows , gazed on the huge watery masses breaking beneath their eyes , they could not but admire the magnificent spectacle of the ocean in its impotent fury .","('window', 'fenêtre', 'ventana')",0,7,0
"milady was looking out at the window , and pretended not to hear the door as it opened .","('window', 'fenêtre', 'ventana')",0,6,0
"as soon as he was dressed , he went into the library and sat down to a light french breakfast that had been laid out for him on a small round table close to the open window . it was an exquisite day . the warm air seemed laden with spices . a bee flew in and buzzed round the blue - dragon bowl that , filled with sulphur - yellow roses , stood before him . he felt perfectly happy .","('window', 'fenêtre', 'ventana')",0,36,0
"some heavy clouds , swept from the sky by a rising wind , had left the moon bare ; and her light , streaming in through a window near , shone full both on us and on the approaching figure , which we at once recognised as miss temple .","('window', 'fenêtre', 'ventana')",0,27,0
the fog - bank lay like white wool against the window . holmes held the lamp towards it .,"('window', 'fenêtre', 'ventana')",0,10,0
"from this window were visible the porter 's lodge and the carriage - road , and just as i had dissolved so much of the silver - white foliage veiling the panes as left room to look out , i saw the gates thrown open and a carriage roll through .","('window', 'fenêtre', 'ventana')",0,2,0
"as to the guns obtained from the brig , they were pretty pieces of ordnance , which , at pencroft 's entreaty , were hoisted by means of tackle and pulleys , right up into granite house ; embrasures were made between the windows , and the shining muzzles of the guns could soon be seen through the granite cliff .","('window', 'fenêtre', 'ventana')",0,43,0
"every time he passed with a friend before his windows , at one of which mousqueton was sure to be placed in full livery , porthos raised his head and his hand , and said , "" that is my abode ! ""","('window', 'fenêtre', 'ventana')",0,9,0
"i gave another tug before i answered , for i wanted the bird to be secure of its bread : the sash yielded ; i scattered the crumbs , some on the stone sill , some on the cherry - tree bough , then , closing the window , i replied--","('window', 'fenêtre', 'ventana')",0,47,0
"paralyzed , rigid with anguish , my hair standing on end , my eyes popping out of my head , short of breath , suffocating , speechless , i stared-- i too ! i was glued to the window by an irresistible allure !","('window', 'vitre', 'cristal')",1,38,1
"the captain stood up and invited me to follow him . i 'd had time to collect myself . i did so . the lounge was dark , but the sea 's waves sparkled through the transparent windows . i stared .","('window', 'vitre', 'cristal')",1,37,1
