text,sense,label,ind,new_label
"at these words ned land stood up quickly . nearly strangled , the steward staggered out at a signal from his superior ; but such was the commander 's authority aboard his vessel , not one gesture gave away the resentment that this man must have felt toward the canadian . in silence we waited for the outcome of this scene ; conseil , in spite of himself , seemed almost fascinated , i was stunned .","('canadian', 'canadien', 'canadiense')",0,49,0
"soon the canadian announced that the craft was a big battleship , a double - decker ironclad complete with ram . dark , dense smoke burst from its two funnels . its furled sails merged with the lines of its yardarms . the gaff of its fore - and - aft sail flew no flag . its distance still kept us from distinguishing the colors of its pennant , which was fluttering like a thin ribbon .","('canadian', 'canadien', 'canadiense')",0,2,0
"i did n't reply to the canadian 's proposition but kept watching the ship , which was looming larger on the horizon . whether it was english , french , american , or russian , it would surely welcome us aboard if we could just get to it .","('canadian', 'canadien', 'canadiense')",0,6,0
""" good lads ! "" the canadian muttered .","('canadian', 'canadien', 'canadiense')",0,6,0
"the full truth dawned on me . undoubtedly people now knew where they stood on the existence of this so - called monster . undoubtedly the latter 's encounter with the abraham lincoln , when the canadian hit it with his harpoon , had led commander farragut to recognize the narwhale as actually an underwater boat , more dangerous than any unearthly cetacean !","('canadian', 'canadien', 'canadiense')",0,36,0
"the canadian then told me : "" sir , we 've got to do everything we can to get out of this jam ! let 's signal them ! damnation ! maybe they 'll realize we 're decent people ! ""","('canadian', 'canadien', 'canadiense-')",1,1,1
"i repaired to my stateroom . conseil returned to his cabin ; but the canadian , looking rather worried , followed me . our quick trip through the mediterranean had n't allowed him to put his plans into execution , and he could barely conceal his disappointment .","('canadian', 'canadien', 'canadiense')",0,14,0
"dreadful to hear , captain nemo was even more dreadful to see . his face was pale from some spasm of his heart , which must have stopped beating for an instant . his pupils were hideously contracted . his voice was no longer speaking , it was bellowing . bending from the waist , he shook the canadian by the shoulders .","('canadian', 'canadien', 'canadiense')",0,58,0
"since i did n't say anything , the canadian stood up and approached me :","('canadian', 'canadien', 'canadiense')",0,8,0
"the canadian , conseil , and i could only obey . some fifteen of the nautilus 's seamen surrounded their captain and stared with a feeling of implacable hate at the ship bearing down on them . you could feel the same spirit of vengeance enkindling their every soul .","('canadian', 'canadien', 'canadiense')",0,1,0
"just then conseil and the canadian entered with a calm , even gleeful air . little did they know what was waiting for them .","('canadian', 'canadien', 'canadiense')",0,5,0
"there my eyes fell on the compass . our heading was still northerly . the log indicated a moderate speed , the pressure gauge a depth of about sixty feet . so circumstances were in favor of the canadian 's plans .","('canadian', 'canadien', 'canadiense')",0,38,0
"captain nemo called out . a steward appeared . the captain gave him his orders in that strange language i could n't even identify . then , turning to the canadian and conseil :","('canadian', 'canadien', 'canadiense')",0,30,0
suddenly i felt a mild jolt . i realized the nautilus had come to rest on the ocean floor . my alarm increased . the canadian 's signal had n't reached me . i longed to rejoin ned land and urge him to postpone his attempt . i sensed that we were no longer navigating under normal conditions .,"('canadian', 'canadien', 'canadiense')",0,25,0
""" on the fishing , "" the canadian replied . "" before we tackle the terrain , it helps to be familiar with it . ""","('canadian', 'canadien', 'canadiense-')",1,7,1
"ned and conseil took seats on a couch , and right off the canadian said to me :","('canadian', 'canadien', 'canadiense')",0,13,0
