text,ind,sense,label
""" i could not get rid of her . she brought me up to royalties , and people with stars and garters , and elderly ladies with gigantic tiaras and parrot noses . she spoke of me as her dearest friend . i had only met her once before , but she took it into her head to lionize me . i believe some picture of mine had made a great success at the time , at least had been chattered about in the penny newspapers , which is the nineteenth - century standard of immortality .",25,"('lady', 'dame', 'señor')",0
""" poor lady brandon ! you are hard on her , harry ! "" said hallward listlessly .",2,"('lady', 'lady', 'lady')",1
"and still further , it is very probable i should not have done anything of this , if it had not been to make myself agreeable to someone who is my lady , as the queen is yours . """,31,"('lady', 'dame', 'dama')",2
"then , on the anniversary of the day on which i had been insulted , i hung my cassock on a peg , assumed the costume of a cavalier , and went to a ball given by a lady friend of mine and to which i knew my man was invited .",38,"('lady', 'dame', 'dama')",2
"as i expected , my officer was there . i went up to him as he was singing a love ditty and looking tenderly at a lady , and interrupted him exactly in the middle of the second couplet . ’ monsieur , ’ said i , ’ does it still displease you that i should frequent a certain house of la rue payenne ?",26,"('lady', 'femme', 'mujer')",3
""" you say , watson , that the lady is not there ? "" holmes asked , when i had finished my report .",8,"('lady', 'dame', 'señor')",0
""" to see a sick lady who has sent for me . """,5,"('lady', 'dame', 'señor')",0
""" now , "" continued aramis , "" as the ladies did not see the singer come back , and as he was found in the rue payenne with a great sword wound through his body , it was supposed that i had accommodated him thus ; and the matter created some scandal which obliged me to renounce the cassock for a time .",10,"('lady', 'dame', 'dama')",2
"the reader hushed herself instantly . all the ladies rose , and there was a profound silence .",8,"('lady', 'dame', 'dama')",2
"i would never think of running a hundred miles to see an old lady who will , perhaps , be dead before you reach her : besides , you say she cast you off . """,13,"('lady', 'femme', 'mujer')",3
"thank god , i am not a bravo ! and being a musketeer but for a time , i only fight when i am forced to do so , and always with great repugnance ; but this time the affair is serious , for here is a lady compromised by you . """,47,"('lady', 'dame', 'dama')",2
""" and when can i see this young lady , for whom i already feel so great a sympathy ? "" asked milady .",8,"('lady', 'dame', 'dama')",2
