text,ind,sense,label
"still further , monsieur de treville gains ten thousand crowns a year ; he is therefore a great noble . he began as you begin . go to him with this letter , and make him your model in order that you may do as he has done . """,6,"('gain', 'gagne', 'ganar')",0
"an opportunity presented itself to him in which there would be at the same time glory to be acquired , and money to be gained ; and as a far higher encouragement , it brought him into close intimacy with a woman he adored .",24,"('gain', 'gagner', 'ganar')",1
in five minutes they gained the land .,4,"('gain', 'toucher', 'tocar')",2
"it was both fatigue spared and time gained , for they would have been obliged to cut a path through the thick wood with their axes .",7,"('gain', 'gagner', 'ahorrar')",3
""" a company chartered by the spanish government to search for these sunken galleons . the company 's investors were lured by the bait of enormous gains , because this scuttled treasure is estimated to be worth 500,000,000 francs . """,26,"('gain', 'bénéfice', 'beneficiar')",4
"a fine and white stocking , a silken robe , a lace kerchief , a pretty slipper on the foot , a tasty ribbon on the head do not make an ugly woman pretty , but they make a pretty woman beautiful , without reckoning the hands , which gain by all this ; the hands , among women particularly , to be beautiful must be idle .",49,"('gain', 'gagner', 'ganar')",1
"the pilot walked away a little distance , and gazed out to sea , evidently struggling between the anxiety to gain a large sum and the fear of venturing so far . fix was in mortal suspense .",20,"('gain', 'gagner', 'ganar')",1
""" i do not understand , my lord , "" said she , in order to gain time and make her adversary speak out .",16,"('gain', 'gagner', 'ganar')",1
"two were fired -- one , aimed at bob harvey , did not wound him , or at any rate only slightly , and ayrton , profiting by the momentary retreat of his adversaries , rushed towards the companion - ladder to gain the deck .",42,"('gain', 'gagner', 'subir')",5
"these dates were inscribed in an itinerary divided into columns , indicating the month , the day of the month , and the day for the stipulated and actual arrivals at each principal point paris , brindisi , suez , bombay , calcutta , singapore , hong kong , yokohama , san francisco , new york , and london -- from the 2nd of october to the 21st of december ; and giving a space for setting down the gain made or the loss suffered on arrival at each locality . this methodical record thus contained an account of everything needed , and mr . fogg always knew whether he was behind - hand or in advance of his time . on this friday , october 9th , he noted his arrival at suez , and observed that he had as yet neither gained nor lost . he sat down quietly to breakfast in his cabin , never once thinking of inspecting the town , being one of those englishmen who are wo nt to see foreign countries through the eyes of their domestics .",79,"('gain', 'gain', 'adelantar')",6
"this affair made a great noise . m. de treville scolded his musketeers in public , and congratulated them in private ; but as no time was to be lost in gaining the king , m. de treville hastened to report himself at the louvre . it was already too late .",31,"('gain', 'prévenir', 'prevenir')",7
"this chase dragged on for about three - quarters of an hour without the frigate gaining two fathoms on the cetacean . at this rate , it was obvious that we would never catch up with it .",15,"('gain', 'gagner', 'conseguir')",8
"the mongolia had still sixteen hundred and fifty miles to traverse before reaching bombay , and was obliged to remain four hours at steamer point to coal up . but this delay , as it was foreseen , did not affect phileas fogg 's programme ; besides , the mongolia , instead of reaching aden on the morning of the 15th , when she was due , arrived there on the evening of the 14th , a gain of fifteen hours .",77,"('gain', 'gain', 'adelantar')",6
"the mongolia was due at bombay on the 22nd ; she arrived on the 20th . this was a gain to phileas fogg of two days since his departure from london , and he calmly entered the fact in the itinerary , in the column of gains .",46,"('gain', 'bénéfice', 'beneficio')",9
"there is good and holy action to be performed , monsieur , and much money to be gained at the same time . """,17,"('gain', 'gagner', 'ganar')",1
""" much money to be gained ? "" said bonacieux , protruding his lip .",5,"('gain', 'gagner', 'ganar')",1
"phileas fogg had , without suspecting it , gained one day on his journey , and this merely because he had travelled constantly eastward ; he would , on the contrary , have lost a day had he gone in the opposite direction , that is , westward .",8,"('gain', 'gagner', 'ganar')",1
""" my dear dorian , it is quite true . i am analysing women at present , so i ought to know . the subject is not so abstruse as i thought it was . i find that , ultimately , there are only two kinds of women , the plain and the coloured . the plain women are very useful . if you want to gain a reputation for respectability , you have merely to take them down to supper . the other women are very charming . they commit one mistake , however . they paint in order to try and look young . our grandmothers painted in order to try and talk brilliantly . rouge and esprit used to go together . that is all over now . as long as a woman can look ten years younger than her own daughter , she is perfectly satisfied .",66,"('gain', 'acquérir', 'conseguir')",10
""" at all events , man or devil , body or shadow , illusion or reality , this man is born for my damnation ; for his flight has caused us to miss a glorious affair , gentlemen -- an affair by which there were a hundred pistoles , and perhaps more , to be gained . """,55,"('gain', 'gagner', 'ganar')",1
"phileas fogg had won his wager , and had made his journey around the world in eighty days . to do this he had employed every means of conveyance -- steamers , railways , carriages , yachts , trading - vessels , sledges , elephants . the eccentric gentleman had throughout displayed all his marvellous qualities of coolness and exactitude . but what then ? what had he really gained by all this trouble ? what had he brought back from this long and weary journey ?",69,"('gain', 'gagner', 'ganar')",1
mr . fogg had neither gained nor lost a single day .,5,"('gain', 'gagner', 'ganar')",1
"in order to shorten the journey , the guide passed to the left of the line where the railway was still in process of being built . this line , owing to the capricious turnings of the vindhia mountains , did not pursue a straight course . the parsee , who was quite familiar with the roads and paths in the district , declared that they would gain twenty miles by striking directly through the forest .",67,"('gain', 'gagner', 'ganar')",1
"what he had clearly gained in all this was the diamond , worth five or six thousand livres , which he wore on his finger ; and even this diamond -- supposing that d’artagnan , in his projects of ambition , wished to keep it , to make it someday a pledge for the gratitude of the queen -- had not in the meanwhile , since he could not part with it , more value than the gravel he trod under his feet .",4,"('gain', 'gagner', 'ganar')",1
""" it is of no use for you to know anything about it , "" said the young woman , whom an instinctive mistrust now impelled to draw back . "" it was about one of those purchases that interest women -- a purchase by which much might have been gained . """,50,"('gain', 'gagner', 'ganar')",1
"there were still several hours to be occupied , and with one consent pencroft and herbert resolved to gain the upper plateau , so as to have a more extended view of the surrounding country .",18,"('gain', 'gagner', 'subir')",5
"there were two means of gaining his object -- to search him on the spot , or to carry him away , making a buckler of his body , and search him in the trench .",5,"('gain', 'arriver', 'alcanzar')",11
""" i _ do _ see a certain justice ; but it is contrary to all custom . besides , the entire fortune is your right : my uncle gained it by his own efforts ; he was free to leave it to whom he would : he left it to you .",29,"('gain', 'gagner', 'ganar')",1
"in this case milady would cross the garden and gain the village on foot . as we have already said , milady was admirably acquainted with this part of france .",9,"('gain', 'gagner', 'ganar')",1
all that grimaud gained by this momentary pantomime was to pass from the rear guard to the vanguard .,3,"('gain', 'gagner', 'ganar')",1
"it may be seen that the arsenal of the colony had gained by the wreck , as well as the storerooms of granite house .",11,"('gain', 'gagner', 'ganar')",1
"he was lost in these reflections when the goldsmith entered . he was an irishman -- one of the most skillful of his craft , and who himself confessed that he gained a hundred thousand livres a year by the duke of buckingham .",31,"('gain', 'gagner', 'ganar')",1
