text,sense,label,ind,new_label
"striking an average of observations taken at different times-- rejecting those timid estimates that gave the object a length of 200 feet , and ignoring those exaggerated views that saw it as a mile wide and three long -- you could still assert that this phenomenal creature greatly exceeded the dimensions of anything then known to ichthyologists , if it existed at all .","('length', 'longueur', 'longitud')",0,18,0
"the iron , prepared previously in long thin rods , the ends of which were sharpened with the file , having been introduced into the largest hole of the drawplate , was drawn out by the beam which wound it round itself , to a length of twenty - five or thirty feet , then unrolled , and the same operation was performed successively through the holes of a less size .","('length', 'longueur', 'longitud')",0,45,0
""" the common narwhale , or sea unicorn , often reaches a length of sixty feet . increase its dimensions fivefold or even tenfold , then give this cetacean a strength in proportion to its size while enlarging its offensive weapons , and you have the animal we 're looking for . it would have the proportions determined by the officers of the shannon , the instrument needed to perforate the scotia , and the power to pierce a steamer 's hull .","('length', 'longueur', 'longitud')",0,12,0
"with this announcement he rose from his chair , and stood , leaning his arm on the marble mantelpiece : in that attitude his shape was seen plainly as well as his face ; his unusual breadth of chest , disproportionate almost to his length of limb .","('length', 'longueur', 'longitud')",0,44,0
"those piles of stones just mentioned were laid out on the ocean floor with a distinct but inexplicable symmetry . i spotted gigantic furrows trailing off into the distant darkness , their length incalculable . there also were other peculiarities i could n't make sense of . it seemed to me that my heavy lead soles were crushing a litter of bones that made a dry crackling noise . so what were these vast plains we were now crossing ? i wanted to ask the captain , but i still did n't grasp that sign language that allowed him to chat with his companions when they went with him on his underwater excursions .","('length', 'longueur', 'longitud')",0,32,0
"brightly lit , the engine room measured at least 20 meters in length . it was divided , by function , into two parts : the first contained the cells for generating electricity , the second that mechanism transmitting movement to the propeller .","('length', 'longueur', 'longitud')",0,12,0
"we were in reality shut up inside an immeasurable excavation . its width could not be estimated , since the shore ran widening as far as eye could reach , nor could its length , for the dim horizon bounded the new . as for its height , it must have been several leagues . where this vault rested upon its granite base no eye could tell ; but there was a cloud hanging far above , the height of which we estimated at 12,000 feet , a greater height than that of any terrestrial vapour , and no doubt due to the great density of the air .","('length', 'longueur', 'longitud')",0,33,0
""" here , professor aronnax , are the different dimensions of this boat now transporting you . it 's a very long cylinder with conical ends . it noticeably takes the shape of a cigar , a shape already adopted in london for several projects of the same kind . the length of this cylinder from end to end is exactly seventy meters , and its maximum breadth of beam is eight meters . so it is n't quite built on the ten - to - one ratio of your high - speed steamers ; but its lines are sufficiently long , and their tapering gradual enough , so that the displaced water easily slips past and poses no obstacle to the ship 's movements .","('length', 'longueur', 'longitud')",0,51,0
"every caprice of nature , still more varied than those of the imagination , appeared on this grand coast , which extended over a length of eight or nine miles .","('length', 'longueur', 'longitud')",0,24,0
"the two horizontal distances were found out by means of the pole , whose length above the sand was exactly ten feet .","('length', 'longueur', 'longitud')",0,14,0
"the sailor was right ; they had been thrown , not on a continent , not even on an island , but on an islet which was not more than two miles in length , with even a less breadth .","('length', 'longueur', 'longitud')",0,33,0
"the keel , of good oak , measured 110 feet in length , this allowing a width of five - and - twenty feet to the midship beam .","('length', 'longueur', 'longitud')",0,11,0
"our frigate drew nearer to the cetacean . i examined it with a completely open mind . those reports from the shannon and the helvetia had slightly exaggerated its dimensions , and i put its length at only 250 feet . its girth was more difficult to judge , but all in all , the animal seemed to be wonderfully proportioned in all three dimensions .","('length', 'longueur', 'longitud')",0,35,0
"at this announcement , during which the door remained open , everyone became mute , and amid the general silence the young man crossed part of the length of the antechamber , and entered the apartment of the captain of the musketeers , congratulating himself with all his heart at having so narrowly escaped the end of this strange quarrel .","('length', 'longueur', 'longitud')",0,27,0
"in fact , the moment when this shadow would reach its minimum of length would be exactly twelve o'clock , and it would be enough to watch the extremity of the shadow , so as to ascertain the instant when , after having successively diminished , it began to lengthen .","('length', 'longueur', 'longitud')",0,13,0
"it continued thus for a length of three miles , ending suddenly on the right with a precipice which looked as if cut by the hand of man .","('length', 'longueur', 'longitud')",0,5,0
"i then remembered that the professor , before starting , had estimated the length of this underground sea at thirty leagues . now we had made three times the distance , yet still the southern coast was not in sight .","('length', 'longueur', 'longitud')",0,13,0
"the turtle , which was three feet in length , would have weighed at least four hundred pounds .","('length', 'longueur', 'longitud')",0,8,0
"they were of a medium size , for their length did not exceed six feet . they resembled a dog about the head .","('length', 'longueur', 'longitud')",0,9,0
"by measuring them one after the other , according to their length and breadth , the marks of five men 's feet were easily distinguished .","('length', 'longueur', 'longitud')",0,11,0
"and indeed , the next day the extremity of the peninsula was reached , and the whole length of the forest had been traversed ; but there was nothing to indicate the retreat in which the convicts had taken refuge , nor that , no less secret , which sheltered the mysterious unknown .","('length', 'longueur', 'longitud')",0,17,0
"meanwhile i was carefully examining these unleashed breakers . they measured up to fifteen meters in height over a length of 150 to 175 meters , and the speed of their propagation ( half that of the wind ) was fifteen meters per second . their volume and power increased with the depth of the waters . i then understood the role played by these waves , which trap air in their flanks and release it in the depths of the sea where its oxygen brings life . their utmost pressure -- it has been calculated-- can build to 3,000 kilograms on every square foot of surface they strike . it was such waves in the hebrides that repositioned a stone block weighing 84,000 pounds . it was their relatives in the tidal wave on december 23 , 1854 , that toppled part of the japanese city of tokyo , then went that same day at 700 kilometers per hour to break on the beaches of america .","('length', 'longueur', 'longitud')",0,19,0
