text,ind,sense,label
""" ah , you virtuous men ! "" said milady ; "" please to remember that he who shall touch a hair of my head is himself an assassin . """,21,"('hair', 'cheveu', 'pelar')",0
"at these words the reclining figure rose , and the electric light fell upon his countenance ; a magnificent head , the forehead high , the glance commanding , beard white , hair abundant and falling over the shoulders .",32,"('hair', 'chevelure', 'cabellera')",1
"traversing the long and matted gallery , i descended the slippery steps of oak ; then i gained the hall : i halted there a minute ; i looked at some pictures on the walls ( one , i remember , represented a grim man in a cuirass , and one a lady with powdered hair and a pearl necklace ) , at a bronze lamp pendent from the ceiling , at a great clock whose case was of oak curiously carved , and ebon black with time and rubbing .",55,"('hair', 'cheveu', 'cabellar')",2
"the jaguar advanced and gazed around him with blazing eyes , his hair bristling as if this was not the first time he had scented men .",12,"('hair', 'poil', 'pelar')",3
""" of complexion and brown hair ? """,5,"('hair', 'poil', 'pelar')",3
"the first was a tall lady with dark hair , dark eyes , and a pale and large forehead ; her figure was partly enveloped in a shawl , her countenance was grave , her bearing erect .",8,"('hair', 'cheveu', 'cabellar')",2
""" by a man of from forty to forty - five years , with black hair , a dark complexion , and a scar on his left temple . """,15,"('hair', 'cheveu', 'pelar')",0
lord de winter tore his hair .,5,"('hair', 'cheveu', 'cabello')",4
"the dowager might be between forty and fifty : her shape was still fine ; her hair ( by candle - light at least ) still black ; her teeth , too , were still apparently perfect .",16,"('hair', 'cheveu', 'cabellar')",2
"henry and frederick lynn are very dashing sparks indeed ; and colonel dent is a fine soldierly man . mr . eshton , the magistrate of the district , is gentleman - like : his hair is quite white , his eyebrows and whiskers still dark , which gives him something of the appearance of a "" pere noble de theatre . """,35,"('hair', 'cheveu', 'cabello')",4
"in a state between sleeping and waking , you noticed her entrance and her actions ; but feverish , almost delirious as you were , you ascribed to her a goblin appearance different from her own : the long dishevelled hair , the swelled black face , the exaggerated stature , were figments of imagination ; results of nightmare : the spiteful tearing of the veil was real : and it is like her .",40,"('hair', 'cheveu', 'cabellar')",2
"i pressed my lips to his once brilliant and now rayless eyes -- i swept his hair from his brow , and kissed that too .",16,"('hair', 'cheveu', 'cabellar')",2
"paralyzed , rigid with anguish , my hair standing on end , my eyes popping out of my head , short of breath , suffocating , speechless , i stared-- i too ! i was glued to the window by an irresistible allure !",7,"('hair', 'cheveu', 'cabello')",4
"then her hair assumed successively , under her skillful hands , all the undulations she thought might assist the charms of her face .",2,"('hair', 'cheveu', 'cabello')",4
"it seems to me that he must be handsome , tall , strong , with a splendid beard , radiant hair , and that he must be seated on clouds , a great ball in his hands ! """,20,"('hair', 'cheveu', 'cabello')",4
"i knew my traveller with his broad and jetty eyebrows ; his square forehead , made squarer by the horizontal sweep of his black hair .",24,"('hair', 'cheveu', 'cabellar')",2
"although this man was scarcely thirty - six or thirty - seven years of age , hair , mustaches , and royal , all began to be gray .",16,"('hair', 'cheveu', 'pelar')",0
"it was necessary , however , first to allow them to land , for with their close , short hair , and their fusiform conformation , being excellent swimmers , it is difficult to catch them in the sea , while on land their short , webbed feet prevent their having more than a slow , waddling movement .",19,"('hair', 'poil', 'pelar')",3
"wo n't i tell mama ? but first-- "" he ran headlong at me : i felt him grasp my hair and my shoulder : he had closed with a desperate thing .",20,"('hair', 'cheveu', 'cabellar')",2
""" miss temple , miss temple , what--_what _ is that girl with curled hair ? red hair , ma'am , curled -- curled all over ? """,14,"('hair', 'cheveu', 'pelar')",0
""" miss temple , miss temple , what--_what _ is that girl with curled hair ? red hair , ma'am , curled -- curled all over ? """,17,"('hair', 'cheveu', 'pelar')",0
"i have again and again intimated that i desire the hair to be arranged closely , modestly , plainly .",10,"('hair', 'cheveu', 'pelar')",0
