text,ind,sense,label
"one would really say , that the western part of lincoln island , so rich and so fertile , is washed by the warm waters of the gulf of mexico , and that its shores to the north and the southeast extend over a sort of arctic sea . """,14,"('rich', 'riche', 'rico')",0
"this sea - weed , which belongs to the order of fucacae , of the genus sargassum , produces , when dry , a gelatinous matter , rich and nutritious .",27,"('rich', 'riche', 'rico')",0
""" you notice my ring ? "" said the gascon , proud to display so rich a gift in the eyes of his friends .",15,"('rich', 'riche', 'rico')",0
""" what ! "" sharply replied the professor , "" a translation ! what should i do with a translation ? this _ is _ the icelandic original , in the magnificent idiomatic vernacular , which is both rich and simple , and admits of an infinite variety of grammatical combinations and verbal modifications . """,38,"('rich', 'riche', 'rico')",0
""" spain had to withstand these allies . but the country had practically no army or navy . yet it was n't short of money , provided that its galleons , laden with gold and silver from america , could enter its ports . now then , late in 1702 spain was expecting a rich convoy , which france ventured to escort with a fleet of twenty - three vessels under the command of admiral de chateau - renault , because by that time the allied navies were roving the atlantic .",54,"('rich', 'riche', 'rico')",0
"said candide to cacambo , "" you see , my dear friend , how perishable the riches of this world are ; there is nothing solid but virtue . """,16,"('rich', 'richesse', 'riqueza')",1
"but he was never to be found at home ; he never invited anybody to go up with him , and no one could form an idea of what his sumptuous apartment contained in the shape of real riches .",38,"('rich', 'richesse', 'riqueza')",1
"the millions lost in the bay of vigo , in 1702 , by the galleons of spain , furnished him with a mine of inexhaustible riches which he devoted always , anonymously , in favor of those nations who fought for the independence of their country .",25,"('rich', 'richesse', 'riqueza')",1
""" ho , ho ! "" said the cunning vanderdendur to himself , "" this stranger must be very rich ; he agrees to give me ten thousand piastres without hesitation . """,19,"('rich', 'riche', 'rico')",0
""" right , "" the captain replied , "" this tobacco comes from neither havana nor the orient . it 's a kind of nicotine - rich seaweed that the ocean supplies me , albeit sparingly . do you still miss your cubans , sir ? """,26,"('rich', 'riche', 'rico')",0
""" and the rich caparison , is that mine , too ? """,3,"('rich', 'riche', 'rico')",0
"the mercer had said that he was rich ; the young man might easily guess that with so weak a man as m. bonacieux ; and interest was almost foreign to this commencement of love , which had been the consequence of it .",7,"('rich', 'riche', 'rico')",0
"we say almost , for the idea that a young , handsome , kind , and witty woman is at the same time rich takes nothing from the beginning of love , but on the contrary strengthens it .",23,"('rich', 'riche', 'rico')",0
"at least , when the woman is rich and the lover is not , that which he can not offer she offers to herself ; and although it is generally with her husband ’s money that she procures herself this indulgence , the gratitude for it seldom reverts to him .",7,"('rich', 'riche', 'rico')",0
"the immense riches which this villain had amassed , were buried with him in the deep , and only this one sheep saved out of the whole .",2,"('rich', 'richesse', 'riqueza')",1
""" sir charles had the reputation of being rich , but we did not know how very rich he was until we came to examine his securities . the total value of the estate was close on to a million . """,8,"('rich', 'riche', 'rico')",0
""" is he rich ? """,3,"('rich', 'riche', 'rico')",0
"the effect of these replies upon the already suspicious and excited detective may be imagined . the hasty departure from london soon after the robbery ; the large sum carried by mr . fogg ; his eagerness to reach distant countries ; the pretext of an eccentric and foolhardy bet -- all confirmed fix in his theory . he continued to pump poor passepartout , and learned that he really knew little or nothing of his master , who lived a solitary existence in london , was said to be rich , though no one knew whence came his riches , and was mysterious and impenetrable in his affairs and habits . fix felt sure that phileas fogg would not land at suez , but was really going on to bombay .",90,"('rich', 'riche', 'rico')",0
""" admirable ! you are rich then , my dear monsieur bonacieux ? """,5,"('rich', 'riche', 'rico')",0
"at that moment buckingham was throwing upon a couch a rich toilet robe , worked with gold , in order to put on a blue velvet doublet embroidered with pearls .",10,"('rich', 'riche', 'rico')",0
the destruction of the brig had been a new source of riches .,11,"('rich', 'richesse', 'riqueza')",1
"i am not precisely rich , though i am pretty well off . """,4,"('rich', 'riche', 'rico')",0
"the colony was rich in corn , for ten bushels alone were sufficient for sowing every year to produce an ample crop for the food both of men and beasts .",3,"('rich', 'riche', 'rico')",0
"he dreamed of canals facilitating the transport of the riches of the ground ; workings of quarries and mines ; machines for every industrial manufacture ; railroads ; yes , railroads ! of which a network would certainly one day cover lincoln island .",9,"('rich', 'richesse', 'riqueza')",1
"as i had once done thus in my breaking away from my parents , so i could not be content now , but i must go and leave the happy view i had of being a rich and thriving man in my new plantation , only to pursue a rash and immoderate desire of rising faster than the nature of the thing admitted ; and thus i cast myself down again into the deepest gulf of human misery that ever man fell into , or perhaps could be consistent with life and a state of health in the world .",36,"('rich', 'riche', 'rico')",0
""" yes , hell has resuscitated you , "" continued athos . "" hell has made you rich , hell has given you another name , hell has almost made you another face ; but it has neither effaced the stains from your soul nor the brand from your body . """,17,"('rich', 'riche', 'rico')",0
"if cyrus harding was not mistaken in his calculation , the island had almost the extent of malta or zante , in the mediterranean , but it was at the same time much more irregular and less rich in capes , promontories , points , bays , or creeks .",37,"('rich', 'riche', 'rico')",0
"this woody islet did not offer the varied aspects of lincoln island , arid and wild in one part , but fertile and rich in the other .",23,"('rich', 'riche', 'rico')",0
""" but i wonder no wealthy nobleman or gentleman has taken a fancy to her : mr . rochester , for instance . he is rich , is he not ? """,25,"('rich', 'riche', 'rico')",0
"then wisdom altered its method and spoke of espial and discovery . this young man might be rich . if so , marriage should be thought of . against the shell of her ear broke the waves of worldly cunning . the arrows of craft shot by her . she saw the thin lips moving , and smiled .",17,"('rich', 'riche', 'rico')",0
"but it was not necessary to wait for the tide to bring up these riches , and ayrton and pencroft jumped into the boat with the intention of towing the pieces of wreck either to the beach or to the islet .",14,"('rich', 'richesse', 'riqueza')",1
