text,sense,label,ind,new_label
"cyrus harding smiled at the sailor 's idea , and , yielding to his wish , he opened exactly at a place where the leaves were separated by a marker .","('exactly', 'précisément', 'precisamente')",0,18,0
"she was now not more than two miles off , and exactly opposite the plateau of prospect heights , for after having tacked off claw cape , she had drifted towards the north in the current of the rising tide .","('exactly', 'précisément', 'precisamente')",0,11,0
"in a few minutes the explorers arrived at the angle formed by the mercy and exactly at the place where , seven months before , pencroft had made his first raft of wood .","('exactly', 'précisément', 'precisamente')",0,15,0
""" exactly so , "" answered the engineer .","('exactly', 'précisément', 'precisamente')",0,1,0
""" i use only my chronometer , "" captain nemo answered me . "" at noon tomorrow , march 21 , if , after accounting for refraction , the sun 's disk is cut exactly in half by the northern horizon , that will mean i 'm at the south pole . ""","('exactly', 'exactement', 'exactamente')",1,34,1
""" nothing uselessly , certainly , "" replied the engineer , "" but this is how the necessity of new continents for the future , and exactly on the tropical zone occupied by the coral islands , may be explained .","('exactly', 'précisément', 'precisamente')",0,26,0
""" ned land 's thoughts are exactly the opposite of mine , "" conseil replied . "" he has a practical mind and a demanding stomach . he 's tired of staring at fish and eating them day in and day out . this shortage of wine , bread , and meat is n't suitable for an upstanding anglo - saxon , a man accustomed to beefsteak and unfazed by regular doses of brandy or gin ! ""","('exactly', 'exactement', 'exactamente')",1,6,1
""" exactly . ""","('exactly', 'exactement', 'exactamente')",1,1,1
""" my friends , that ’s exactly like me !","('exactly', 'exactement', 'exactamente')",1,6,1
"in seeking to put our cargo into somewhat better order , i found that the greater part of the articles embarked had disappeared at the moment of the explosion , when the sea broke in upon us with such violence . i wanted to know exactly what we had saved , and with the lantern in my hand i began my examination . of our instruments none were saved but the compass and the chronometer ; our stock of ropes and ladders was reduced to the bit of cord rolled round the stump of the mast ! not a spade , not a pickaxe , not a hammer was left us ; and , irreparable disaster ! we had only one day 's provisions left .","('exactly', 'exactement', 'exactamente')",1,45,1
""" i am much obliged to monsieur for the crown he had given me , and i promise him to follow his instructions exactly ; but it is not the less true that letters which come in this way into shut - up houses-- ""","('exactly', 'exactement', 'exactamente')",1,23,1
"the two horizontal distances were found out by means of the pole , whose length above the sand was exactly ten feet .","('exactly', 'exactement', 'exactamente')",1,19,1
"phileas fogg took a chair , and sat down near the fireplace , opposite aouda . no emotion was visible on his face . fogg returned was exactly the fogg who had gone away ; there was the same calm , the same impassibility .","('exactly', 'exactement', 'exactamente')",1,27,1
"he measured , very exactly , the opening of this angle on a circumference which he divided into 360 equal parts .","('exactly', 'exactement', 'exactamente')",1,4,1
""" i may not know exactly where he is , but i am quite sure that i could help the police to lay their hands on him . has it never struck you that the way to catch that man was to find out where he got his food , and so trace it to him ? ""","('exactly', 'exactement', 'exactamente')",1,5,1
""" humph ! not exactly . your witch 's skill is rather at fault sometimes . ""","('exactly', 'précisément', 'precisamente')",0,4,0
""" he hailed me at half - past nine in trafalgar square . he said that he was a detective , and he offered me two guineas if i would do exactly what he wanted all day and ask no questions . i was glad enough to agree . first we drove down to the northumberland hotel and waited there until two gentlemen came out and took a cab from the rank . we followed their cab until it pulled up somewhere near here . ""","('exactly', 'exactement', 'exactamente')",1,31,1
""" indeed , "" said herbert , "" it is a fortunate chance that the ' bonadventure ' passed exactly where the bottle was still floating ! ""","('exactly', 'précisément', 'precisamente')",0,19,0
"on the ninth day after leaving yokohama , phileas fogg had traversed exactly one half of the terrestrial globe . the general grant passed , on the 23rd of november , the one hundred and eightieth meridian , and was at the very antipodes of london . mr . fogg had , it is true , exhausted fifty - two of the eighty days in which he was to complete the tour , and there were only twenty - eight left . but , though he was only half - way by the difference of meridians , he had really gone over two - thirds of the whole journey ; for he had been obliged to make long circuits from london to aden , from aden to bombay , from calcutta to singapore , and from singapore to yokohama . could he have followed without deviation the fiftieth parallel , which is that of london , the whole distance would only have been about twelve thousand miles ; whereas he would be forced , by the irregular methods of locomotion , to traverse twenty - six thousand , of which he had , on the 23rd of november , accomplished seventeen thousand five hundred . and now the course was a straight one , and fix was no longer there to put obstacles in their way !","('exactly', 'exactement', 'exactamente')",1,12,1
the second gave exactly : in longitude : 150deg . 30 ' in south latitude : 34deg . 57 ',"('exactly', 'exactement', 'exactamente')",1,3,1
"placed between life and death , as bernajoux was , he had no idea for a moment of concealing the truth ; and he described to the two nobles the affair exactly as it had passed . this was all that m. de treville wanted .","('exactly', 'exactement', 'exactamente')",1,31,1
""" we are exactly in that part of the pacific which english and american whalemen call the whale field , and it is here , between new zealand and south america , that the whales of the southern hemisphere are met with in the greatest numbers . ""","('exactly', 'précisément', 'precisamente')",0,3,0
"exactly two hundred feet behind the angle formed by the river , the wall , terminated by a fall of rocks , died away in a gentle slope to the edge of the forest .","('exactly', 'précisément', 'precisamente')",0,0,0
"but the next day , by taking the exact hour of the rising and setting of the sun , and by marking its position between this rising and setting , he reckoned to fix the north of the island exactly , for , in consequence of its situation in the southern hemisphere , the sun , at the precise moment of its culmination , passed in the north and not in the south , as , in its apparent movement , it seems to do , to those places situated in the northern hemisphere .","('exactly', 'exactement', 'exactamente')",1,39,1
"it was probable that they would find a little of everything , and they agreed that it was exactly what was necessary for the colony of lincoln island .","('exactly', 'précisément', 'precisamente')",0,18,0
""" my dear fellow , you must trust me implicitly and do exactly what i tell you . you can tell your friends that we should have been happy to have come with you , but that urgent business required us to be in town . we hope very soon to return to devonshire . will you remember to give them that message ? ""","('exactly', 'exactement', 'exactamente')",1,12,1
the engineer 's shoe fitted exactly to the footmarks .,"('exactly', 'exactement', 'exactamente')",1,5,1
"he was particularly anxious to avoid marring the freshness of the magnificent baldric we are acquainted with ; but on timidly opening his eyes , he found himself with his nose fixed between the two shoulders of porthos -- that is to say , exactly upon the baldric .","('exactly', 'précisément', 'precisamente')",0,44,0
"over the ensuing days and weeks , captain nemo was very frugal with his visits . i saw him only at rare intervals . his chief officer regularly fixed the positions i found reported on the chart , and in such a way that i could exactly plot the nautilus 's course .","('exactly', 'exactement', 'exactamente')",1,46,1
""" i believe that he would do exactly what you now suggest , "" said i. "" he would follow barrymore and see what he did . ""","('exactly', 'exactement', 'exactamente')",1,7,1
""" it can only be explained in that way , my friends , "" replied harding quickly , "" and i understand now how ayrton was able to point out exactly the situation of tabor island , since the events which had preceded his being left on the island had made it known to him . ""","('exactly', 'exactement', 'exactamente')",1,30,1
