text,sense,label,ind,new_label
""" when once i had pressed the frail shoulder , something new -- a fresh sap and sense -- stole into my frame .","('shoulder', 'épaule', 'hombro')",0,8,0
"dreadful to hear , captain nemo was even more dreadful to see . his face was pale from some spasm of his heart , which must have stopped beating for an instant . his pupils were hideously contracted . his voice was no longer speaking , it was bellowing . bending from the waist , he shook the canadian by the shoulders .","('shoulder', 'épaule', 'hombro')",0,61,0
"all the city was agitated by an extraordinary movement . four large vessels , recently built , had just been launched . at the end of the jetty , his clothes richly laced with gold , glittering , as was customary with him , with diamonds and precious stones , his hat ornamented with a white feather which drooped upon his shoulder , buckingham was seen surrounded by a staff almost as brilliant as himself .","('shoulder', 'épaule', 'hombro')",0,61,0
"captain nemo shrugged his shoulders . then , addressing me :","('shoulder', 'épaule', 'hombro')",0,4,0
""" but the fleur - de - lis on her shoulder ? ""","('shoulder', 'épaule', 'hombro')",0,10,0
""" _ färja , _ "" said the guide , touching his shoulder .","('shoulder', 'épaule', 'hombro')",0,12,0
"he shrugged his shoulders . "" you are ill , i suppose . when you are ill you should n't act . you make yourself ridiculous . my friends were bored . i was bored . ""","('shoulder', 'épaule', 'hombro')",0,3,0
"athos then shrugged his shoulders , and , without putting himself in a passion , thrashed grimaud .","('shoulder', 'épaule', 'hombro')",0,4,0
""" that head i see now on your shoulders ? ""","('shoulder', 'épaule', 'hombro')",0,8,0
but athos only replied to this proposal by shrugging his shoulders .,"('shoulder', 'épaule', 'hombro')",0,10,0
"now , i entertain a ridiculous partiality for my head , it seems to suit my shoulders so correctly .","('shoulder', 'épaule', 'hombro')",0,16,0
""" yes , "" replied my uncle , shrugging his shoulders ; "" but , in addition to all this , the icelandic has three numbers like the greek , and irregular declensions of nouns proper like the latin . ""","('shoulder', 'épaule', 'hombro')",0,10,0
"' come , my head 's free at last ! ' said alice in a tone of delight , which changed into alarm in another moment , when she found that her shoulders were nowhere to be found : all she could see , when she looked down , was an immense length of neck , which seemed to rise like a stalk out of a sea of green leaves that lay far below her .","('shoulder', 'épaule', 'hombro')",0,32,0
"' what can all that green stuff be ? ' said alice . ' and where have my shoulders got to ? and oh , my poor hands , how is it i ca n't see you ? ' she was moving them about as she spoke , but no result seemed to follow , except a little shaking among the distant green leaves .","('shoulder', 'épaule', 'hombro')",0,18,0
"only , after carefully examining them , pencroft found on the forehead of one , on the chest of another , on the back of this one , on the shoulder of that , a little red spot , a sort of scarcely visible bruise , the cause of which it was impossible to conjecture .","('shoulder', 'épaule', 'hombro')",0,30,0
"lord henry went out to the garden and found dorian gray burying his face in the great cool lilac - blossoms , feverishly drinking in their perfume as if it had been wine . he came close to him and put his hand upon his shoulder . "" you are quite right to do that , "" he murmured . "" nothing can cure the soul but the senses , just as nothing can cure the senses but the soul . ""","('shoulder', 'épaule', 'hombro')",0,45,0
"but cyrus harding approaching , placed his hand on his shoulder with a gesture full of authority , and looked at him with infinite tenderness .","('shoulder', 'épaule', 'hombro')",0,10,0
"ah , s’blood , how you have hurt me ! my shoulder quite burns . ""","('shoulder', 'épaule', 'hombro')",0,11,0
"i shrugged my shoulders . "" if he were safely out of the country it would relieve the tax - payer of a burden . ""","('shoulder', 'épaule', 'hombro')",0,3,0
"a coat was thrown over his shoulders , and the settlers all came round him to press his hand .","('shoulder', 'épaule', 'hombro')",0,6,0
"she was pale and fair , with long curls falling in profusion over her shoulders , had large , blue , languishing eyes , rosy lips , and hands of alabaster .","('shoulder', 'épaule', 'hombro')",0,14,0
"the canadian stared at conseil , then he shrugged his shoulders . the seaman in him was talking now .","('shoulder', 'épaule', 'hombro')",0,10,0
"lord henry shrugged his shoulders . "" it is the real dorian gray-- that is all . ""","('shoulder', 'épaule', 'hombro')",0,4,0
""" they repent ! "" exclaimed the sailor , shrugging his shoulders .","('shoulder', 'épaule', 'hombro')",0,11,0
"i was not reprimanded for leaving my bed ; people had something else to think about ; no explanation was afforded then to my many questions ; but a day or two afterwards i learned that miss temple , on returning to her own room at dawn , had found me laid in the little crib ; my face against helen burns 's shoulder , my arms round her neck .","('shoulder', 'épaule', 'hombro')",0,63,0
"on her left shoulder sparkled the diamond studs , on a bow of the same color as the plumes and the petticoat .","('shoulder', 'épaule', 'hombro')",0,3,0
"athos shrugged his shoulders , and followed his guards silently , while m. bonacieux uttered lamentations enough to break the heart of a tiger .","('shoulder', 'épaule', 'hombro')",0,3,0
"i sat up in bed by way of arousing this said brain : it was a chilly night ; i covered my shoulders with a shawl , and then i proceeded _ to think _ again with all my might .","('shoulder', 'épaule', 'hombro')",0,22,0
""" i , monseigneur , knowing that dueling is prohibited -- i seized a bench , and gave one of those brigands such a blow that i believe his shoulder is broken . ""","('shoulder', 'épaule', 'hombro')",0,29,0
""" oh , pardon me , pardon me ! "" cried she , sinking upon the shoulders of milady . "" pardon me , i love him so much ! ""","('shoulder', 'épaule', 'hombro')",0,16,0
"after a few moments -- that were to him , in his perturbed state , like endless hours of pain -- he felt a hand laid on his shoulder . he started and looked round .","('shoulder', 'épaule', 'hombro')",0,28,0
""" ass ! "" replied the detective , shrugging his shoulders and turning on his heel .","('shoulder', 'épaule', 'hombro')",0,10,0
"in fact the king counted them , and the twelve studs were all on her majesty ’s shoulder .","('shoulder', 'épaule', 'hombro')",0,17,0
""" your head , except for a few bruises , is all right ; and it is on your shoulders , where it ought to be . ""","('shoulder', 'épaule', 'hombro')",0,19,0
"the queen had just regained her chamber , and d’artagnan was about to retire , when he felt his shoulder lightly touched . he turned and saw a young woman , who made him a sign to follow her .","('shoulder', 'épaule', 'hombro')",0,19,0
