text,ind,sense,label
"the reader hushed herself instantly . all the ladies rose , and there was a profound silence .",9,"('rise', 'lever', 'levantar')",0
"he rose and came towards me , and i saw his face all kindled , and his full falcon - eye flashing , and tenderness and passion in every lineament .",1,"('rise', 'lever', 'levantar')",0
"they rose up and sauntered down the walk together . two green - and - white butterflies fluttered past them , and in the pear - tree at the corner of the garden a thrush began to sing .",1,"('rise', 'lever', 'levantar')",0
"two hours after leaving the nautilus , we had cleared the timberline , and 100 feet above our heads stood the mountain peak , forming a dark silhouette against the brilliant glare that came from its far slope . petrified shrubs rambled here and there in sprawling zigzags . fish rose in a body at our feet like birds startled in tall grass . the rocky mass was gouged with impenetrable crevices , deep caves , unfathomable holes at whose far ends i could hear fearsome things moving around . my blood would curdle as i watched some enormous antenna bar my path , or saw some frightful pincer snap shut in the shadow of some cavity ! a thousand specks of light glittered in the midst of the gloom . they were the eyes of gigantic crustaceans crouching in their lairs , giant lobsters rearing up like spear carriers and moving their claws with a scrap - iron clanking , titanic crabs aiming their bodies like cannons on their carriages , and hideous devilfish intertwining their tentacles like bushes of writhing snakes .",50,"('rise', 'lever', 'levantar')",0
"i looked back down the side we had just cleared . there the mountain rose only 700 to 800 feet above the plains ; but on its far slope it crowned the receding bottom of this part of the atlantic by a height twice that . my eyes scanned the distance and took in a vast area lit by intense flashes of light . in essence , this mountain was a volcano . fifty feet below its peak , amid a shower of stones and slag , a wide crater vomited torrents of lava that were dispersed in fiery cascades into the heart of the liquid mass . so situated , this volcano was an immense torch that lit up the lower plains all the way to the horizon .",14,"('rise', 'élever', 'elevar')",1
"lord de winter rose , saluted her ironically , and went out .",3,"('rise', 'lever', 'levantar')",0
""" can you picture , "" i asked them , "" what this funnel must have been like when it was filled with boiling lava , and the level of that incandescent liquid rose right to the mountain 's mouth , like cast iron up the insides of a furnace ? """,33,"('rise', 'élever', 'elevar')",1
"she felt by intuition the flame of the opposing passions which burned with the blood in the veins of the young fanatic . as a skillful general , seeing the enemy ready to surrender , marches toward him with a cry of victory , she rose , beautiful as an antique priestess , inspired like a christian virgin , her arms extended , her throat uncovered , her hair disheveled , holding with one hand her robe modestly drawn over her breast , her look illumined by that fire which had already created such disorder in the veins of the young puritan , and went toward him , crying out with a vehement air , and in her melodious voice , to which on this occasion she communicated a terrible energy :",45,"('rise', 'lever', 'levantar')",0
"we had risen to depart when baskerville gave a cry , of triumph , and diving into one of the corners of the room he drew a brown boot from under a cabinet .",2,"('rise', 'lever', 'levantar')",0
"i rose , and with the help of such precise instructions could not fail to find the required atlas . my uncle opened it and said :",1,"('rise', 'lever', 'levantar')",0
"d’artagnan , in fact , heard a great noise on the side next the cellar . he rose , and preceded by the host wringing his hands , and followed by planchet with his musketoon ready for use , he approached the scene of action .",17,"('rise', 'lever', 'levantar')",0
"but soon these last representatives of animal life vanished , and three vertical leagues down , the nautilus passed below the limits of underwater existence just as an air balloon rises above the breathable zones in the sky . we reached a depth of 16,000 meters-- four vertical leagues -- and by then the nautilus 's plating was tolerating a pressure of 1,600 atmospheres , in other words , 1,600 kilograms per each square centimeter on its surface !",30,"('rise', 'élever', 'elevar')",1
"this second stage of the mountain rose on a base of rocks , among which it would be easy to find a retreat .",6,"('rise', 'élever', 'elevar')",1
"phileas fogg , as self - composed as if the judgment did not in the least concern him , did not even lift his eyebrows while it was being pronounced . just as the clerk was calling the next case , he rose , and said , "" i offer bail . """,42,"('rise', 'lever', 'levantar')",0
"to the south , ten miles from the nautilus , a solitary islet rose to a height of 200 meters . we proceeded toward it , but cautiously , because this sea could have been strewn with reefs .",13,"('rise', 'élever', 'elevar')",1
""" here , "" said milady , rising with the majesty of a queen , "" here , felton , behold the new martyrdom invented for a pure young girl , the victim of the brutality of a villain .",7,"('rise', 'lever', 'levantándose')",2
"this apparatus , similar in shape to an enormous whale , was about 250 feet long , and rose about ten or twelve above the water .",18,"('rise', 'élever', 'elevar')",1
the engineer and the reporter rose .,5,"('rise', 'lever', 'levantar')",0
"they ordered two bottles of port , to which the frenchman did ample justice , whilst fix observed him with close attention . they chatted about the journey , and passepartout was especially merry at the idea that fix was going to continue it with them . when the bottles were empty , however , he rose to go and tell his master of the change in the time of the sailing of the carnatic .",56,"('rise', 'lever', 'levantar')",0
""" it can not be too early to commence the task i have to fulfil , "" thought i. i rose : i was dressed ; for i had taken off nothing but my shoes .",20,"('rise', 'lever', 'levantar')",0
"with this announcement he rose from his chair , and stood , leaning his arm on the marble mantelpiece : in that attitude his shape was seen plainly as well as his face ; his unusual breadth of chest , disproportionate almost to his length of limb .",4,"('rise', 'lever', 'levantar')",0
"they rose about eight o’clock in the winter , about six in summer , and went to take the countersign and see how things went on at m. de treville ’s .",1,"('rise', 'lever', 'levantar')",0
"the sun rising above a clear horizon , announced a magnificent day , one of those beautiful autumn days which are like the last farewells of the warm season .",2,"('rise', 'lever', 'levantándose')",2
""" yes , i thought you would like it , "" replied his host , rising from his chair .",15,"('rise', 'lever', 'levantándose')",2
"the head of my bed was near the door , and i thought at first the goblin - laugher stood at my bedside -- or rather , crouched by my pillow : but i rose , looked round , and could see nothing ; while , as i still gazed , the unnatural sound was reiterated : and i knew it came from behind the panels .",34,"('rise', 'lever', 'levantar')",0
"the next day , april 1 , when the nautilus rose to the surface of the waves a few minutes before noon , we raised land to the west . it was tierra del fuego , the land of fire , a name given it by early navigators after they saw numerous curls of smoke rising from the natives ' huts . this land of fire forms a huge cluster of islands over thirty leagues long and eighty leagues wide , extending between latitude 53 degrees and 56 degrees south , and between longitude 67 degrees 50 ' and 77 degrees 15 ' west . its coastline looked flat , but high mountains rose in the distance . i even thought i glimpsed mt . sarmiento , whose elevation is 2,070 meters above sea level : a pyramid - shaped block of shale with a very sharp summit , which , depending on whether it 's clear or veiled in vapor , "" predicts fair weather or foul , "" as ned land told me .",55,"('rise', 'élever', 'elevar')",1
"but now the vapors were replaced by a thick smoke , rising in the form of a grayish column , more than three hundred feet in width at its base , and which spread like an immense mushroom to a height of from seven to eight hundred feet above the summit of the mountain .",11,"('rise', 'élever', 'elevar')",1
""" the old gentleman with the telescope , no doubt . i could not make it out when first i saw the light flashing upon the lens . "" he rose and peeped into the hut . "" ha , i see that cartwright has brought up some supplies . what 's this paper ? so you have been to coombe tracey , have you ? """,30,"('rise', 'lever', 'levantar')",0
"sense would resist delirium : judgment would warn passion . too feverish to rest , i rose as soon as day dawned .",16,"('rise', 'lever', 'levantar')",0
"he drew close to my uncle , laid his hand upon his shoulder , and gently woke him . my uncle rose up .",21,"('rise', 'lever', 'levantar')",0
"he rose and took the lamp . i followed him . he moved towards the wall . i looked on . he applied his ear against the dry stone , and moved it slowly to and fro , listening intently . i perceived at once that he was examining to find the exact place where the torrent could be heard the loudest . he met with that point on the left side of the tunnel , at three feet from the ground .",1,"('rise', 'lever', 'levantar')",0
"at eleven o'clock the locomotive 's whistle announced that they were approaching plum creek station . mr . fogg rose , and , followed by fix , went out upon the platform . passepartout accompanied him , carrying a pair of revolvers . aouda remained in the car , as pale as death .",19,"('rise', 'lever', 'levantar')",0
"adrian singleton rose up wearily and followed dorian to the bar . a half - caste , in a ragged turban and a shabby ulster , grinned a hideous greeting as he thrust a bottle of brandy and two tumblers in front of them . the women sidled up and began to chatter . dorian turned his back on them and said something in a low voice to adrian singleton .",2,"('rise', 'lever', 'levantar')",0
"thrown in the air by some unknown power , he rose ten feet above the surface of the lake , fell again into the midst of the agitated waters , and then soon gained the shore , without any severe wounds , miraculously saved .",10,"('rise', 'élever', 'levantar')",3
"thus the night passed . at dawn , the half - extinguished disc of the sun rose above a misty horizon ; but it was now possible to recognise objects two miles off . phileas fogg and the squad had gone southward ; in the south all was still vacancy . it was then seven o'clock .",16,"('rise', 'lever', 'levantar')",0
"he rose and walked through the room . standing still , he again looked at me . he shook his head .",1,"('rise', 'lever', 'levantar')",0
"but you have been traveling these four days , as you told me yourself . this morning you rose at five o’clock ; you must stand in need of repose .",18,"('rise', 'lever', 'levantar')",0
"i therefore rose ; i rather dragged myself than walked . the slope was rapid , and i slid down .",2,"('rise', 'lever', 'levantar')",0
"the clerks gone , mme . coquenard rose and took from a buffet a piece of cheese , some preserved quinces , and a cake which she had herself made of almonds and honey .",7,"('rise', 'lever', 'levantar')",0
"the colonists , who were together in the dining - room , rose at neb 's call , who was then in jup 's room .",12,"('rise', 'lever', 'levantar')",0
