text,ind,sense,label
"the note burned the hand of d’artagnan . he wished to hasten their steps ; but athos took his arm and passed it under his own , and the young man was forced to regulate his pace by that of his friend .",2,"('burn', 'brûler', 'arder')",0
""" you do n't mean to say , captain , "" interrupted pencroft , "" that we burn diamonds in our stoves in the shape of coal ? """,17,"('burn', 'brûler', 'quemar')",1
"this parlour looked gloomy : a neglected handful of fire burnt low in the grate ; and , leaning over it , with his head supported against the high , old - fashioned mantelpiece , appeared the blind tenant of the room .",10,"('burn', 'brûler', 'arder')",0
""" and what will they burn instead of coal ? """,5,"('burn', 'brûler', 'quemar')",1
"some day the coalrooms of steamers and the tenders of locomotives will , instead of coal , be stored with these two condensed gases , which will burn in the furnaces with enormous calorific power .",27,"('burn', 'brûler', 'arder')",0
"pencroft , who was bearing too much to the north , altered his course and steered towards the fire , which burned brightly above the horizon like a star of the first magnitude .",21,"('burn', 'briller', 'brillar')",2
""" because to influence a person is to give him one 's own soul . he does not think his natural thoughts , or burn with his natural passions . his virtues are not real to him . his sins , if there are such things as sins , are borrowed . he becomes an echo of some one else 's music , an actor of a part that has not been written for him . the aim of life is self - development . to realize one 's nature perfectly -- that is what each of us is here for .",24,"('burn', 'brûle', 'arder')",3
"a large quantity of these plants was collected , first dried , then burnt in holes in the open air .",13,"('burn', 'brûler', 'quemar')",1
"the bed , which she had kept from prudence and that they might believe her seriously wounded , burned her like a bed of fire .",18,"('burn', 'brûler', 'quemar')",1
"a shock is therefore needed to produce the explosion , for , simply lighted , this substance would burn without exploding .",18,"('burn', 'brûler', 'quemar')",1
""" very well , young man , "" returned mr . fogg , coolly ; "" it will burn -- at your expense . """,18,"('burn', 'brûle', 'seguir')",4
"the fiber was intended to burn five and twenty minutes , and , in fact , five and twenty minutes afterwards a most tremendous explosion was heard .",5,"('burn', 'brûler', 'arder')",0
""" burn the henrietta ! """,1,"('burn', 'brûler', 'quemar')",1
""" if we are neither drowned , nor shattered to pieces , nor starved to death , there is still the chance that we may be burned alive and reduced to ashes . """,26,"('burn', 'brûler', 'quemar')",1
""" burn my vessel ! "" cried captain speedy , who could scarcely pronounce the words . "" a vessel worth fifty thousand dollars ! """,1,"('burn', 'brûler', 'quemar')",1
""" surely your memory deceives you , "" said i. "" i could even quote a passage of your letter . it ran ' please , please , as you are a gentleman , burn this letter , and be at the gate by ten o'clock . ' """,34,"('burn', 'brûler', 'quemar')",1
"she felt by intuition the flame of the opposing passions which burned with the blood in the veins of the young fanatic . as a skillful general , seeing the enemy ready to surrender , marches toward him with a cry of victory , she rose , beautiful as an antique priestess , inspired like a christian virgin , her arms extended , her throat uncovered , her hair disheveled , holding with one hand her robe modestly drawn over her breast , her look illumined by that fire which had already created such disorder in the veins of the young puritan , and went toward him , crying out with a vehement air , and in her melodious voice , to which on this occasion she communicated a terrible energy :",11,"('burn', 'brûler', 'arder')",0
"as the glasses had been returned to the watches of the engineer and reporter , pencroft burned a little linen to serve as tinder .",16,"('burn', 'brûler', 'quemar')",1
"first of all , the worthy fellow had gone up to his room , and had extinguished the gas burner , which had been burning for eighty days . he had found in the letter - box a bill from the gas company , and he thought it more than time to put a stop to this expense , which he had been doomed to bear .",24,"('burn', 'brûler', 'arder')",0
"candide was flogged to some tune , while the anthem was being sung ; the biscayan and the two men who would not eat bacon were burned , and pangloss was hanged , which is not a common custom at these solemnities .",26,"('burn', 'brûler', 'quemáron')",5
"lord de winter , d’artagnan , athos , porthos , and aramis , went out close behind her . the lackeys followed their masters , and the chamber was left solitary , with its broken window , its open door , and its smoky lamp burning sadly on the table .",45,"('burn', 'brûler', 'arder')",0
""" a suttee , "" returned the general , "" is a human sacrifice , but a voluntary one . the woman you have just seen will be burned to - morrow at the dawn of day . """,28,"('burn', 'brûler', 'quemar')",1
