text,sense,label,ind,new_label
"with the winter , work had been resumed in the interior of granite house , mending clothes and different occupations , among others making the sails for their vessel , which were cut from the inexhaustible balloon - case .","('among', 'entre', 'entrar')",0,21,0
"most of these seals were sleeping on the rocks or the sand . among those properly termed seals -- which have no external ears , unlike sea lions whose ears protrude -- i observed several varieties of the species stenorhynchus , three meters long , with white hair , bulldog heads , and armed with ten teeth in each jaw : four incisors in both the upper and lower , plus two big canines shaped like the fleur - de - lis . among them slithered some sea elephants , a type of seal with a short , flexible trunk ; these are the giants of the species , with a circumference of twenty feet and a length of ten meters . they did n't move as we approached .","('among', 'parmi', 'entrar')",1,13,1
"most of these seals were sleeping on the rocks or the sand . among those properly termed seals -- which have no external ears , unlike sea lions whose ears protrude -- i observed several varieties of the species stenorhynchus , three meters long , with white hair , bulldog heads , and armed with ten teeth in each jaw : four incisors in both the upper and lower , plus two big canines shaped like the fleur - de - lis . among them slithered some sea elephants , a type of seal with a short , flexible trunk ; these are the giants of the species , with a circumference of twenty feet and a length of ten meters . they did n't move as we approached .","('among', 'entre', 'entrar')",0,83,0
"extending over an expanse of 100 leagues north to south , and over 90 leagues east to west , this island group lies between latitude 2 degrees and 6 degrees south , and between longitude 174 degrees and 179 degrees west . it consists of a number of islands , islets , and reefs , among which we noted the islands of viti levu , vanua levu , and kadavu .","('among', 'parmi', 'entrar')",1,55,1
""" i am content to rank this incident among those which i have not been able to explain to this day ! ""","('among', 'parmi', 'entrar')",1,8,1
"a week later dorian gray was sitting in the conservatory at selby royal , talking to the pretty duchess of monmouth , who with her husband , a jaded - looking man of sixty , was amongst his guests . it was tea- time , and the mellow light of the huge , lace - covered lamp that stood on the table lit up the delicate china and hammered silver of the service at which the duchess was presiding . her white hands were moving daintily among the cups , and her full red lips were smiling at something that dorian had whispered to her . lord henry was lying back in a silk - draped wicker chair , looking at them . on a peach - coloured divan sat lady narborough , pretending to listen to the duke 's description of the last brazilian beetle that he had added to his collection . three young men in elaborate smoking - suits were handing tea - cakes to some of the women . the house - party consisted of twelve people , and there were more expected to arrive on the next day .","('among', 'parmi', 'entrar')",1,86,1
"arriving at the topmost ridge of this promontory , i could see vast white plains covered with walruses . these animals were playing among themselves . they were howling not in anger but in glee .","('among', 'entre', 'entrar')",0,23,0
"the matter was all explained to him , and the friends gave him to understand that among all his high connections he must find a place for kitty .","('among', 'parmi', 'entrar')",1,16,1
"so things happened on board that were quite odd to say the least , things never to be seen by people not placing themselves beyond society 's laws ! among all the surprises the future had in store for me , this would not be the mildest .","('among', 'entre', 'entrar')",0,29,0
"then there were numerous groups belonging to the same family , among others one in particular , the fruit of which produces a very useful oil .","('among', 'entre', 'entrar')",0,11,0
"a sound of quick steps broke the silence of the moor . crouching among the stones we stared intently at the silver - tipped bank in front of us . the steps grew louder , and through the fog , as through a curtain , there stepped the man whom we were awaiting . he looked round him in surprise as he emerged into the clear , starlit night . then he came swiftly along the path , passed close to where we lay , and went on up the long slope behind us . as he walked he glanced continually over either shoulder , like a man who is ill at ease .","('among', 'parmi', 'entrar')",1,13,1
"meanwhile the passengers and some of the wounded , among them colonel proctor , whose injuries were serious , had taken their places in the train . the buzzing of the over - heated boiler was heard , and the steam was escaping from the valves . the engineer whistled , the train started , and soon disappeared , mingling its white smoke with the eddies of the densely falling snow .","('among', 'entre', 'entrar')",0,9,0
"you know the rest . the day after tomorrow he banishes me , he transports me ; the day after tomorrow he exiles me among the infamous .","('among', 'parmi', 'entrar')",1,24,1
""" now , allow me to finish what i have to tell you . i 've heard of you , professor aronnax . you , if not your companions , wo n't perhaps complain too much about the stroke of fate that has brought us together . among the books that make up my favorite reading , you 'll find the work you 've published on the great ocean depths . i 've pored over it . you 've taken your studies as far as terrestrial science can go . but you do n't know everything because you have n't seen everything . let me tell you , professor , you wo n't regret the time you spend aboard my vessel . you 're going to voyage through a land of wonders . stunned amazement will probably be your habitual state of mind . it will be a long while before you tire of the sights constantly before your eyes . i 'm going to make another underwater tour of the world-- perhaps my last , who knows?--and i 'll review everything i 've studied in the depths of these seas that i 've crossed so often , and you can be my fellow student . starting this very day , you 'll enter a new element , you 'll see what no human being has ever seen before-- since my men and i no longer count -- and thanks to me , you 're going to learn the ultimate secrets of our planet . ""","('among', 'parmi', 'entrar')",1,47,1
"there are many stories related of him , and among them this . after a wild youth , he had retired into a convent , there to expiate , at least for some time , the follies of adolescence .","('among', 'entre', 'entrar')",0,9,0
""" pardon , my dear monsieur bonacieux , if i do n’t stand upon ceremony , "" said d’artagnan , "" but nothing makes one so thirsty as want of sleep . i am parched with thirst . allow me to take a glass of water in your apartment ; you know that is never refused among neighbors . ""","('among', 'entre', 'entrar')",0,56,0
"pencroft then twisted the piece of paper into the shape of a cone , as smokers do in a high wind , and poked it in among the moss .","('among', 'entre', 'entrar')",0,26,0
""" oh , as to his name , i know nothing about it ; but if i were ever to meet him , i should recognize him in an instant , i will answer for it , were he among a thousand persons . ""","('among', 'entre', 'entrar')",0,39,0
""" you should recognize him among a thousand , say you ? "" continued he .","('among', 'entre', 'entrar')",0,5,0
""" if , on the other hand , we do know every living species , we must look for the animal in question among those marine creatures already cataloged , and in this event i would be inclined to accept the existence of a giant narwhale .","('among', 'parmi', 'entrar')",1,23,1
"i would have been deeply interested in visiting this long , 360-league reef , against which the ever - surging sea broke with the fearsome intensity of thunderclaps . but just then the nautilus 's slanting fins took us to great depths , and i could see nothing of those high coral walls . i had to rest content with the various specimens of fish brought up by our nets . among others i noted some long - finned albacore , a species in the genus scomber , as big as tuna , bluish on the flanks , and streaked with crosswise stripes that disappear when the animal dies . these fish followed us in schools and supplied our table with very dainty flesh . we also caught a large number of yellow - green gilthead , half a decimeter long and tasting like dorado , plus some flying gurnards , authentic underwater swallows that , on dark nights , alternately streak air and water with their phosphorescent glimmers . among mollusks and zoophytes , i found in our trawl 's meshes various species of alcyonarian coral , sea urchins , hammer shells , spurred - star shells , wentletrap snails , horn shells , glass snails . the local flora was represented by fine floating algae : sea tangle , and kelp from the genus macrocystis , saturated with the mucilage their pores perspire , from which i selected a wonderful nemastoma geliniaroidea , classifying it with the natural curiosities in the museum .","('among', 'entre', 'entrar')",0,71,0
"we were both swift runners and in fairly good training , but we soon found that we had no chance of overtaking him . we saw him for a long time in the moonlight until he was only a small speck moving swiftly among the boulders upon the side of a distant hill . we ran and ran until we were completely blown , but the space between us grew ever wider . finally we stopped and sat panting on two rocks , while we watched him disappearing in the distance .","('among', 'parmi', 'entrar')",1,43,1
"it was a library . tall , black - rosewood bookcases , inlaid with copperwork , held on their wide shelves a large number of uniformly bound books . these furnishings followed the contours of the room , their lower parts leading to huge couches upholstered in maroon leather and curved for maximum comfort . light , movable reading stands , which could be pushed away or pulled near as desired , allowed books to be positioned on them for easy study . in the center stood a huge table covered with pamphlets , among which some newspapers , long out of date , were visible . electric light flooded this whole harmonious totality , falling from four frosted half globes set in the scrollwork of the ceiling . i stared in genuine wonderment at this room so ingeniously laid out , and i could n't believe my eyes .","('among', 'entre', 'entrar')",0,94,0
"the english , repulsed foot by foot , beaten in all encounters , and defeated in the passage of the isle of loie , were obliged to re - embark , leaving on the field of battle two thousand men , among whom were five colonels , three lieutenant colonels , two hundred and fifty captains , twenty gentlemen of rank , four pieces of cannon , and sixty flags , which were taken to paris by claude de st . simon , and suspended with great pomp in the arches of notre dame .","('among', 'parmi', 'entrar')",1,41,1
"mr . fogg left the hotel alone , after giving passepartout instructions to await his return , and inform aouda to be ready at an instant 's notice . he proceeded to the banks of the hudson , and looked about among the vessels moored or anchored in the river , for any that were about to depart . several had departure signals , and were preparing to put to sea at morning tide ; for in this immense and admirable port there is not one day in a hundred that vessels do not set out for every quarter of the globe . but they were mostly sailing vessels , of which , of course , phileas fogg could make no use .","('among', 'parmi', 'entrar')",1,41,1
"the regiment of the guards was recruited among the first gentlemen of the kingdom ; and d’artagnan , followed by a lackey , and traveling with four magnificent horses , despite the simplicity of his uniform , could not fail to make a sensation .","('among', 'parmi', 'entrar')",1,7,1
