text,sense,label,ind,new_label
"before i could reply , white smoke streamed from the battleship 's bow . then , a few seconds later , the waters splashed astern of the nautilus , disturbed by the fall of a heavy object . soon after , an explosion struck my ears .","('later', 'tard', 'tardar')",0,19,1
"aramis , after a journey into lorraine , disappeared all at once , and ceased to write to his friends ; they learned at a later period through mme . de chevreuse , who told it to two or three of her intimates , that , yielding to his vocation , he had retired into a convent -- only into which , nobody knew .","('later', 'tard', 'tardar')",1,25,1
"and so it turned out . the nautilus took full advantage of this countercurrent . it advanced swiftly through this narrow passageway . for an instant i could glimpse the wonderful ruins of the temple of hercules , buried undersea , as pliny and avianus have mentioned , together with the flat island they stand on ; and a few minutes later , we were floating on the waves of the atlantic .","('later', 'tard', 'tardar')",1,61,1
"neb rushed after him , and soon saw top eagerly devouring a quadruped , which ten seconds later would have been past recognizing in top 's stomach .","('later', 'tard', 'tardar')",0,17,1
"three hours later , still treading on the colourless grass of the pasture land , we had to work round the kolla fiord , a longer way but an easier one than across that inlet . we soon entered into a ' pingstaoer ' or parish called ejulberg , from whose steeple twelve o'clock would have struck , if icelandic churches were rich enough to possess clocks . but they are like the parishioners who have no watches and do without .","('later', 'tard', 'tardar')",1,2,1
"we are in the condition of passengers whose ship is devoured by a conflagration which they can not extinguish , and who know that sooner or later the flames must reach the powder - magazine .","('later', 'tard', 'tardar')",1,26,1
""" amen ! "" said athos , "" and we will return to that subject later , if such be your pleasure ; but what for the moment engaged my attention most earnestly , and i am sure you will understand me , d’artagnan , was the getting from this woman a kind of carte blanche which she had extorted from the cardinal , and by means of which she could with impunity get rid of you and perhaps of us . ""","('later', 'tard', 'tardar')",1,15,1
"half an hour later the land was not more than a mile off , but the balloon , exhausted , flabby , hanging in great folds , had gas in its upper part alone .","('later', 'tard', 'tardar')",1,3,1
"i hesitated to interrupt him . but some moments later , when he turned to me , i threw back at him a phrase he had used in the torres strait :","('later', 'tard', 'tardar')",1,9,1
"at last , two minutes later , it reproached obliquely , and finally fell on a sandy beach , out of the reach of the waves .","('later', 'tard', 'tardar')",1,5,1
""" master , "" asked neb , a few days later , "" do you think all this could have happened if captain nemo had been still alive ? ""","('later', 'tard', 'tardar')",0,10,1
""" later , "" said athos . "" i have measures to take . ""","('later', 'tard', 'tardar')",1,1,1
""" that ’s true , "" said m. de treville ; "" i believed it later .","('later', 'tard', 'tardar')",1,15,1
"the operation was successfully completed , and on the 20th of may , twelve days after commencing it , the engineer was the possessor of the agent which later he hoped to use in so many different ways .","('later', 'tard', 'tardar')",0,28,1
"he drew the screen back into its former place in front of the picture , smiling as he did so , and passed into his bedroom , where his valet was already waiting for him . an hour later he was at the opera , and lord henry was leaning over his chair .","('later', 'tard', 'tardar')",0,38,1
"but for the moment , let us do as did the amorous gascon ; we will see after the worthy mercer later .","('later', 'tard', 'tardar')",1,21,1
"i thought i had n't heard him right , but i could n't repeat my comment because the captain 's head had already disappeared into its metal covering . i finished harnessing myself , i felt an alpenstock being placed in my hand , and a few minutes later , after the usual procedures , we set foot on the floor of the atlantic , 300 meters down .","('later', 'tard', 'tardar')",0,48,1
"either he has already returned to tabor island , since ayrton has been with us , that is to say , during the last five months and has left again ; or he will not come till later , and it will be time enough in the first fine october days to go to tabor island , and leave a notice there . ""","('later', 'tard', 'tardar')",1,37,1
"an instant later the capybara , dragged to the bank , was killed by a blow from neb 's stick .","('later', 'tard', 'tardar')",0,2,1
"for the time being , ned land was content to chop these trunks into pieces , as if he were making firewood ; later he would extract the flour by sifting it through cloth to separate it from its fibrous ligaments , let it dry out in the sun , and leave it to harden inside molds .","('later', 'tard', 'tardar')",1,23,1
"the longboat flew over the waves . a few minutes later we encountered the shark 's corpse again , floating .","('later', 'tard', 'tardar')",0,10,1
"a month later they commemorated , on the 25th of march , the third anniversary of their arrival on lincoln island .","('later', 'tard', 'tardar')",0,2,1
"in this unnerved , in this pitiable , condition i feel that the period will sooner or later arrive when i must abandon life and reason together , in some struggle with the grim phantasm , fear . ”","('later', 'tard', 'tardar')",0,17,1
"top quickly started them , but his master soon called him back , for the time had not come to commence hunting ; that would be attended to later .","('later', 'tard', 'tardar')",1,28,1
"in a few moments harding and herbert on one side , the reporter and neb on the other , had disappeared behind the rocks , and five minutes later ayrton and pencroft , having without difficulty crossed the channel , disembarked on the islet and concealed themselves in the clefts of its eastern shore .","('later', 'tard', 'tardar')",1,28,1
"it was passepartout ; and what had happened to him was as follows : shortly after fix left the opium den , two waiters had lifted the unconscious passepartout , and had carried him to the bed reserved for the smokers . three hours later , pursued even in his dreams by a fixed idea , the poor fellow awoke , and struggled against the stupefying influence of the narcotic . the thought of a duty unfulfilled shook off his torpor , and he hurried from the abode of drunkenness . staggering and holding himself up by keeping against the walls , falling down and creeping up again , and irresistibly impelled by a kind of instinct , he kept crying out , "" the carnatic ! the carnatic ! ""","('later', 'tard', 'tardar')",1,44,1
"twenty minutes later we boarded ship . the hatches were open . after mooring the skiff , we reentered the nautilus 's interior .","('later', 'tard', 'tardar')",1,2,1
"having uttered these words with a cool , careless air , the detective took leave of the consul , and repaired to the telegraph office , whence he sent the dispatch which we have seen to the london police office . a quarter of an hour later found fix , with a small bag in his hand , proceeding on board the mongolia ; and , ere many moments longer , the noble steamer rode out at full steam upon the waters of the red sea .","('later', 'tard', 'tardar')",1,46,1
"my eyes flew back to the pressure gauge . the instrument indicated a depth of 6,000 meters . our submergence had been going on for an hour . the nautilus slid downward on its slanting fins , still sinking . these deserted waters were wonderfully clear , with a transparency impossible to convey . an hour later we were at 13,000 meters-- about three and a quarter vertical leagues -- and the ocean floor was nowhere in sight .","('later', 'tard', 'tardar')",1,56,1
"he followed the clown , and soon found himself once more in the japanese quarter . a quarter of an hour later he stopped before a large cabin , adorned with several clusters of streamers , the exterior walls of which were designed to represent , in violent colours and without perspective , a company of jugglers .","('later', 'tard', 'tardar')",1,21,1
""" remember at a later period and at a certain moment , if any mischance should happen to you , "" said richelieu , significantly , "" that it was i who came to seek you , and that i did all in my power to prevent this misfortune befalling you . ""","('later', 'tard', 'tardar')",1,4,1
"the trip was being accomplished most successfully , and passepartout was enchanted with the congenial companion which chance had secured him in the person of the delightful fix . on sunday , october 20th , towards noon , they came in sight of the indian coast : two hours later the pilot came on board . a range of hills lay against the sky in the horizon , and soon the rows of palms which adorn bombay came distinctly into view . the steamer entered the road formed by the islands in the bay , and at half - past four she hauled up at the quays of bombay .","('later', 'tard', 'tardar')",1,49,1
""" all this will be cleared up at a later period , "" murmured the young woman ; "" no , monsieur , be silent . ""","('later', 'tard', 'tardar')",1,9,1
""" or , at least , i will go -- later . "" he drew kitty to him .","('later', 'tard', 'tardar')",1,10,1
half an hour later cyrus harding and herbert had returned to the encampment .,"('later', 'tard', 'tardar')",0,3,1
"three hours later at low tide , the greater part of the sand forming the bed of the channel was uncovered .","('later', 'tard', 'tardar')",1,2,1
"and the cardinal began to examine with the greatest attention the map of la rochelle , which , as we have said , lay open on the desk , tracing with a pencil the line in which the famous dyke was to pass which , eighteen months later , shut up the port of the besieged city .","('later', 'tard', 'tardar')",1,47,1
"however , herbert , who had gone forward a little more to the left , soon came upon rocks covered with sea - weed , which , some hours later , would be hidden by the high tide .","('later', 'tard', 'tardar')",1,29,1
he had just passed by the pavilion in which ten years later louis xiv was born .,"('later', 'tard', 'tardar')",1,11,1
""" later ! later !","('later', 'tard', 'tardar')",0,1,1
""" later ! later !","('later', 'tard', 'tardar')",0,3,1
"a few moments later the needle , moving on the alphabetic dial , gave this reply to the tenants of granite house:--","('later', 'tard', 'tardar')",0,3,1
