text,ind,sense,label
""" have you noticed , mr . spilett , how deeply sunk his eyes are ? "" asked herbert .",3,"('notice', 'remarquer', 'observar')",0
"but how had i left the course of the stream ? for it was a terrible fact that it no longer ran at my side . then i understood the reason of that fearful , silence , when for the last time i listened to hear if any sound from my companions could reach my ears . at the moment when i left the right road i had not noticed the absence of the stream . it is evident that at that moment a deviation had presented itself before me , whilst the hansbach , following the caprice of another incline , had gone with my companions away into unknown depths .",69,"('notice', 'remarquer', 'notar')",1
"just then my eye was caught by some etchings hanging on the wall , which i had n't noticed during my first visit . they were portraits of great men of history who had spent their lives in perpetual devotion to a great human ideal : thaddeus kosciusko , the hero whose dying words had been finis poloniae ; markos botzaris , for modern greece the reincarnation of sparta 's king leonidas ; daniel o'connell , ireland 's defender ; george washington , founder of the american union ; daniele manin , the italian patriot ; abraham lincoln , dead from the bullet of a believer in slavery ; and finally , that martyr for the redemption of the black race , john brown , hanging from his gallows as victor hugo 's pencil has so terrifyingly depicted .",18,"('notice', 'remarquer', 'observar')",0
"it might be , indeed , that their only intention was to obtain fresh water from the mercy , and it was not impossible that the bridge , thrown across a mile and a half from the mouth , and the manufactory at the chimneys might escape their notice .",48,"('notice', 'regard', 'mirar')",2
she looked at him with an expression of kindness which it was impossible to mistake ; but d’artagnan was so preoccupied by the mistress that he noticed absolutely nothing but her .,26,"('notice', 'remarquer', 'fijar')",3
everybody noticed that the king looked dull and preoccupied .,1,"('notice', 'remarquer', 'observar')",0
""" it is necessary to carry a notice there to point out the position of our island and say that ayrton is here in case the scotch yacht should come to take him off .",7,"('notice', 'notice', 'noticiar')",4
"my uncle raised his spectacles , took up a strong lens , and carefully examined the blank pages of the book . on the front of the second , the title - page , he noticed a sort of stain which looked like an ink blot . but in looking at it very closely he thought he could distinguish some half - effaced letters . my uncle at once fastened upon this as the centre of interest , and he laboured at that blot , until by the help of his microscope he ended by making out the following runic characters which he read without difficulty .",35,"('notice', 'découvrir', 'descubrir')",5
""" well , sir , i took no particular notice of his letters . i should not have noticed this one , only it happened to come alone . """,18,"('notice', 'remarquer', 'fijar')",3
"it was scarcely probable ; and , besides , supposing she should come there , as the colonists had not been able to deposit a notice pointing out ayrton 's change of abode , the commander of the yacht , after having explored tabor island without results , would again set sail and return to lower latitudes .",25,"('notice', 'notice', 'noticiar')",4
""" certainly , "" answered the reporter , "" and nothing is easier than to place in the hut , which was captain grant 's and ayrton 's dwelling , a notice which lord glenarvan and his crew can not help finding , giving the position of our island . """,31,"('notice', 'notice', 'noticiar')",4
"either he has already returned to tabor island , since ayrton has been with us , that is to say , during the last five months and has left again ; or he will not come till later , and it will be time enough in the first fine october days to go to tabor island , and leave a notice there . """,60,"('notice', 'notice', 'noto')",6
""" let us sit down , dorian , "" said the painter , looking troubled . "" let us sit down . and just answer me one question . have you noticed in the picture something curious?--something that probably at first did not strike you , but that revealed itself to you suddenly ? """,31,"('notice', 'remarquer', 'notar')",1
""" it is captain nemo ! "" cried cyrus harding , after having read the notice , and recognized that the handwriting was similar to that of the paper found at the corral .",15,"('notice', 'notice', 'noto')",6
""" in order to leave this notice , "" added herbert .",6,"('notice', 'notice', 'noto')",6
""" notice , "" answered the engineer , "" that the inclination of mount franklin favors the flow of water towards the valleys which we are exploring just now .",1,"('notice', 'remarquez', 'embargar')",7
"right off , i detected an odor permeating the compartment that was sui generis . captain nemo noticed the negative impression it made on me .",17,"('notice', 'apercevoir', 'advertir')",8
"noticing these things , i rode over a short causeway to the house .",0,"('notice', 'remarquer', 'observar')",0
