text,sense,label,ind,new_label
"he took a quill , wrote the name of d’artagnan in the commission , and returned it to him .","('name', 'nom', 'nombrar')",0,7,0
""" exactly . i fancy the yew alley , though not marked under that name , must stretch along this line , with the moor , as you perceive , upon the right of it . this small clump of buildings here is the hamlet of grimpen , where our friend dr . mortimer has his headquarters . within a radius of five miles there are , as you see , only a very few scattered dwellings . here is lafter hall , which was mentioned in the narrative . there is a house indicated here which may be the residence of the naturalist -- stapleton , if i remember right , was his name . here are two moorland farm - houses , high tor and foulmire . then fourteen miles away the great convict prison of princetown . between and around these scattered points extends the desolate , lifeless moor . this , then , is the stage upon which tragedy has been played , and upon which we may help to play it again . ""","('name', 'nom', 'nombrar')",0,14,0
""" where i heard the name of dorian gray . ""","('name', 'nom', 'nombrar')",0,5,0
"herbert rightly gave them the name of tinamous , and it was resolved that they should be the first tenants of their future poultry - yard .","('name', 'nom', 'nombrar')",0,5,0
""" the bird which escaped us on our first excursion , and from which we gave the name to that part of the forest . ""","('name', 'nom', 'nombrar')",0,17,0
"the name of liedenbrock was honourably mentioned in colleges and learned societies . humphry davy , [ 2 ] humboldt , captain sir john franklin , general sabine , never failed to call upon him on their way through hamburg . becquerel , ebelman , brewster , dumas , milne - edwards , saint - claire - deville frequently consulted him upon the most difficult problems in chemistry , a science which was indebted to him for considerable discoveries , for in 1853 there had appeared at leipzig an imposing folio by otto liedenbrock , entitled , "" a treatise upon transcendental chemistry , "" with plates ; a work , however , which failed to cover its expenses .","('name', 'nom', 'nombrar')",0,1,0
""" to make , madame , in the name of the king , and without prejudice to the respect which i have the honor to owe to your majesty a close examination into all your papers . ""","('name', 'nom', 'nombrar')",0,8,0
""" professor , "" captain nemo went on , "" if you 're amenable , we 'll go back in time to 1702 . you 're aware of the fact that in those days your king louis xiv thought an imperial gesture would suffice to humble the pyrenees in the dust , so he inflicted his grandson , the duke of anjou , on the spaniards . reigning more or less poorly under the name king philip v , this aristocrat had to deal with mighty opponents abroad .","('name', 'nom', 'nombrar')",0,74,0
"everything incited them to discover the answer to this enigma , an answer which would only be the name of a man endowed with a truly inexplicable , and in some degree superhuman power .","('name', 'nom', 'nombrar')",0,18,0
""" i am therefore led to imagine , "" continued my uncle , "" that some possessor of this book wrote these mysterious letters . but who was that possessor ? is his name nowhere to be found in the manuscript ? ""","('name', 'nom', 'nombrar')",0,33,0
""" that order does not concern me , "" replied milady , coldly , "" since it bears another name than mine . ""","('name', 'nom', 'nombrar')",0,19,0
""" a name ?","('name', 'nom', 'nombrar')",0,2,0
""" let me have the hotel directory , "" said holmes . "" thank you ! now , cartwright , there are the names of twenty - three hotels here , all in the immediate neighbourhood of charing cross . do you see ? ""","('name', 'nom', 'nombre')",1,23,1
"tell me his name , and i will put it in the place of the name of charlotte backson .","('name', 'nom', 'nombrar')",0,3,0
"tell me his name , and i will put it in the place of the name of charlotte backson .","('name', 'nom', 'nombrar')",0,15,0
""" and i reply to you , sir , that this abuse of power , this exile under a fictitious name , are infamous ! ""","('name', 'nom', 'nombrar')",0,20,0
""" would you like better to be hanged in your true name , milady ?","('name', 'nom', 'nombrar')",0,11,0
""" the name of this creek , my friends ?","('name', 'nom', 'nombrar')",0,2,0
"j.e . is requested to send references , name , address , and all particulars to the direction:-- "" mrs . fairfax , thornfield , near millcote , ---shire . ""","('name', 'nom', 'nombrar')",0,8,0
"of course , st . john rivers ' name came in frequently in the progress of my tale .","('name', 'nom', 'nombrar')",0,8,0
"i thought , sir , that you were on the road a long way before me ; and i strained every nerve to overtake you , and made effort on effort to utter your name and entreat you to stop -- but my movements were fettered , and my voice still died away inarticulate ; while you , i felt , withdrew farther and farther every moment . ""","('name', 'nom', 'nombrar')",0,34,0
it was settled that the name of falls river should be given to this stream .,"('name', 'nom', 'nombrar')",0,5,0
""" but do you understand the mission you are fulfilling ? cruel enough , if i am guilty ; but what name can you give it , what name will the lord give it , if i am innocent ? ""","('name', 'nom', 'nombrar')",0,21,0
""" but do you understand the mission you are fulfilling ? cruel enough , if i am guilty ; but what name can you give it , what name will the lord give it , if i am innocent ? ""","('name', 'nom', 'nombrar')",0,28,0
""" yes , "" continued mme . bonacieux , "" yes , there are traitors here ; but by the holy name of the virgin , i swear that no one is more devoted to your majesty than i am .","('name', 'nom', 'nombrar')",0,21,0
"monsieur your friend ( pardon for not calling him by the honorable name which no doubt he bears , but we do not know that name ) , monsieur your friend , having disabled two men with his pistols , retreated fighting with his sword , with which he disabled one of my men , and stunned me with a blow of the flat side of it . ""","('name', 'nom', 'nombrar')",0,12,0
"monsieur your friend ( pardon for not calling him by the honorable name which no doubt he bears , but we do not know that name ) , monsieur your friend , having disabled two men with his pistols , retreated fighting with his sword , with which he disabled one of my men , and stunned me with a blow of the flat side of it . ""","('name', 'nom', 'nombrar')",0,25,0
"half an hour after the canadian 's latest exploits , we were back on the inner beach . there the local flora was represented by a wide carpet of samphire , a small umbelliferous plant that keeps quite nicely , which also boasts the names glasswort , saxifrage , and sea fennel . conseil picked a couple bunches . as for the local fauna , it included thousands of crustaceans of every type : lobsters , hermit crabs , prawns , mysid shrimps , daddy longlegs , rock crabs , and a prodigious number of seashells , such as cowries , murex snails , and limpets .","('name', 'nom', 'nombre')",1,44,1
