text,ind,sense,label
"miss temple told helen burns to be seated in a low arm - chair on one side of the hearth , and herself taking another , she called me to her side .",13,"('chair', 'fauteuil', 'butaca')",0
""" exactly . my body has remained in this arm - chair and has , i regret to observe , consumed in my absence two large pots of coffee and an incredible amount of tobacco . after you left i sent down to stamford 's for the ordnance map of this portion of the moor , and my spirit has hovered over it all day . i flatter myself that i could find my way about . """,11,"('chair', 'fauteuil', 'sillón')",1
"two guards attended the mercer who made him traverse a court and enter a corridor in which were three sentinels , opened a door and pushed him unceremoniously into a low room , where the only furniture was a table , a chair , and a commissary .",42,"('chair', 'chaise', 'silla')",2
"the commissary was seated in the chair , and was writing at the table .",6,"('chair', 'chaise', 'silla')",2
"i laid my hand on the back of a chair for support : i shook , i feared -- but i resolved .",9,"('chair', 'chaise', 'silla')",2
"he threw himself into a chair and began to think . suddenly there flashed across his mind what he had said in basil hallward 's studio the day the picture had been finished . yes , he remembered it perfectly . he had uttered a mad wish that he himself might remain young , and the portrait grow old ; that his own beauty might be untarnished , and the face on the canvas bear the burden of his passions and his sins ; that the painted image might be seared with the lines of suffering and thought , and that he might keep all the delicate bloom and loveliness of his then just conscious boyhood . surely his wish had not been fulfilled ? such things were impossible . it seemed monstrous even to think of them . and , yet , there was the picture before him , with the touch of cruelty in the mouth .",5,"('chair', 'fauteuil', 'silla')",3
""" the brute ! "" cried holmes . "" here , lestrade , your brandy - bottle ! put her in the chair ! she has fainted from ill - usage and exhaustion . """,22,"('chair', 'chaise', 'silla')",2
"the servants were called in , the dining - room tables wheeled away , the lights otherwise disposed , the chairs placed in a semicircle opposite the arch .",20,"('chair', 'chaise', 'silla')",2
""" yes , of course , "" answered lord henry , sinking into a chair and slowly pulling off his yellow gloves . "" it is dreadful , from one point of view , but it was not your fault . tell me , did you go behind and see her , after the play was over ? """,14,"('chair', 'fauteuil', 'silla')",3
""" sorry indeed to hear it ! she and i must have some talk ; "" and bending from the perpendicular , he installed his person in the arm - chair opposite mrs . reed 's .",30,"('chair', 'fauteuil', 'sillón')",1
""" yes , there is your ' boite ' at last : take it into a corner , you genuine daughter of paris , and amuse yourself with disembowelling it , "" said the deep and rather sarcastic voice of mr . rochester , proceeding from the depths of an immense easy - chair at the fireside .",53,"('chair', 'fauteuil', 'butaca')",0
""" we are cousins , it appears , monsieur porthos ? "" said the procurator , rising , yet supporting his weight upon the arms of his cane chair .",28,"('chair', 'fauteuil', 'sillón')",1
"in an instant all the strength of mind of this creature , though drawn from the most vigorous sources , abandoned her ; she sank into a large easy chair , with her arms crossed , her head lowered , and expecting every instant to see a judge enter to interrogate her .",29,"('chair', 'fauteuil', 'sillón')",1
"athos then arose from his chair , girded on his sword , enveloped himself in his cloak , and left the hotel . it was nearly ten o’clock . at ten o’clock in the evening , it is well known , the streets in provincial towns are very little frequented .",5,"('chair', 'chaise', 'silla')",2
"he drew the screen back into its former place in front of the picture , smiling as he did so , and passed into his bedroom , where his valet was already waiting for him . an hour later he was at the opera , and lord henry was leaning over his chair .",52,"('chair', 'fauteuil', 'silla')",3
"milady thought she recognized this shadow in the gloom ; she supported herself with one hand upon the arm of the chair , and advanced her head as if to meet a certainty .",21,"('chair', 'fauteuil', 'sillón')",1
i jumped up in my chair . my latin memories rose in revolt against the notion that these barbarous words could belong to the sweet language of virgil .,5,"('chair', 'chaise', 'silla')",2
"there was no want of wood , cut up into planks , in the storeroom , and little by little they completed their furnishing ; constructing the most solid of tables and chairs , for material was not spared .",32,"('chair', 'chaise', 'silla')",2
"she was seated . lord de winter took a chair , drew it toward her , and sat down close beside her . then taking a paper out of his pocket , he unfolded it slowly .",9,"('chair', 'fauteuil', 'sillón')",1
"sitting on a low stool , a few yards from her arm - chair , i examined her figure ; i perused her features .",13,"('chair', 'fauteuil', 'butaca')",0
"as he spoke there was a sharp ring at the bell . sherlock holmes rose softly and moved his chair in the direction of the door . we heard the servant pass along the hall , and the sharp click of the latch as she opened it .",19,"('chair', 'chaise', 'silla')",2
"during the time which lord de winter took to shut the door , close a shutter , and draw a chair near to his sister - in - law ’s fauteuil , milady , anxiously thoughtful , plunged her glance into the depths of possibility , and discovered all the plan , of which she could not even obtain a glance as long as she was ignorant into whose hands she had fallen .",20,"('chair', 'fauteuil', 'sillón')",1
