text,sense,label,ind,new_label
""" strike me dumb if it ai n't so . he is the worst one that comes here . they say he has sold himself to the devil for a pretty face . it 's nigh on eighteen years since i met him . he has n't changed much since then . i have , though , "" she added , with a sickly leer .","('devil', 'diable', 'diablo')",0,27,0
""" the devil ! "" said d’artagnan , becoming angry again .","('devil', 'diable', 'diablo')",0,2,0
""" the devil ! my dear athos , you view things on the dark side , methinks . ""","('devil', 'diable', 'diablo')",0,2,0
""" the devil ! "" cried d’artagnan .","('devil', 'diable', 'diablo')",0,2,0
""" my faith , "" said aramis , "" i must confess i feel a great repugnance to fire on these poor devils of civilians . ""","('devil', 'diable', 'diablo')",0,22,0
what the devil !,"('devil', 'diable', 'diablo')",0,2,0
""" ye gods , sir ! "" ned land told me . "" your captain nemo -- the devil take him -- has just made us a very pleasant proposition ! ""","('devil', 'diable', 'diablo')",0,18,0
"he conjured the evil spirit with abundance of prayers offered up by the monks . but the devil does not suffer himself to be easily dispossessed from a place in which he has fixed his garrison . in proportion as they redoubled the exorcisms he redoubled the temptations ; so that day and night the bell was ringing full swing , announcing the extreme desire for mortification which the penitent experienced .","('devil', 'diable', 'diablo')",0,17,0
"it is not known whether it was the devil who gave way , or the monks who grew tired ; but within three months the penitent reappeared in the world with the reputation of being the most terrible possessed that ever existed .","('devil', 'diable', 'diablo')",0,8,0
""" the devil ! all this is very sad which you tell me . ""","('devil', 'diable', 'diablo')",0,2,0
""" why , this fellow must be the devil in person ! "" cried the stranger .","('devil', 'diable', 'diablo')",0,8,0
""" oh , no , your excellency , he is not the devil , "" replied the host , with a grin of contempt ; "" for during his fainting we rummaged his valise and found nothing but a clean shirt and eleven crowns -- which however , did not prevent his saying , as he was fainting , that if such a thing had happened in paris , you should have cause to repent of it at a later period . ""","('devil', 'diable', 'diablo')",0,12,0
""" but suppose we all go , "" said d’artagnan ; "" what the devil ! they wo n’t devour us all four , four lackeys , horses , arms , and all ! ""","('devil', 'diable', 'diablo')",0,14,0
""" the devil ! "" murmured he , between his teeth . "" can treville have set this gascon upon me ?","('devil', 'diable', 'diablo')",0,2,0
"there 's sense in the suggestion ; not a doubt of it . adele , as you say , must go to school ; and you , of course , must march straight to -- the devil ? ""","('devil', 'diable', 'diablo')",0,36,0
""" do you know , "" said porthos , "" that to twist that damned milady ’s neck would be a smaller sin than to twist those of these poor devils of huguenots , who have committed no other crime than singing in french the psalms we sing in latin ? ""","('devil', 'diable', 'diablo')",0,30,0
""" but what the devil ! you are not a priest , you are a musketeer ! ""","('devil', 'diable', 'diablo')",0,4,0
""" the devil ! "" said athos ; "" here ’s a rendezvous much more serious than the other . ""","('devil', 'diable', 'diablo')",0,2,0
""" surely the devil must be in you , "" said candide .","('devil', 'diable', 'diablo')",0,3,0
""" the devil ! "" cried aramis , "" you have a magnificent horse there , porthos . ""","('devil', 'diable', 'diablo')",0,2,0
"god has punished the knave , and the devil has drowned the rest . ""","('devil', 'diable', 'diablo')",0,8,0
""" the devil ! "" cried the host , at his wit ’s end .","('devil', 'diable', 'diablo')",0,2,0
a ray of light all at once broke upon the mind of the host as he was giving himself to the devil upon finding nothing .,"('devil', 'diable', 'diablo')",0,21,0
""" the devil ! "" thought d’artagnan . "" the note is changed .","('devil', 'diable', 'diablo')",0,2,0
""" what the devil could that handkerchief signify ? ""","('devil', 'diable', 'diablo')",0,3,0
""" the devil ! ""","('devil', 'diable', 'diablo')",0,2,0
"what the devil ! d’artagnan is too good a comrade to leave his brothers in embarrassment while he wears the ransom of a king on his finger . ""","('devil', 'diable', 'diablo')",0,2,0
""" what the devil do you see so bad in it ? "" said d’artagnan .","('devil', 'diable', 'diablo')",0,3,0
