text,sense,label,ind,new_label
"d’artagnan , be it remembered , was only twenty years old , and at that age sleep has its imprescriptible rights which it imperiously insists upon , even with the saddest hearts .","('remember', 'rappeler', 'recordar')",0,4,0
i remember you very well : you used to give me a ride sometimes on miss georgiana 's bay pony .,"('remember', 'rappeler', 'recordar')",0,1,0
"theodore , do you remember those merry days ? ""","('remember', 'rappeler', 'recordar')",0,4,0
"fortunately , the reader may remember , or may not remember -- fortunately we have promised not to lose sight of him .","('remember', 'rappeler', 'recordar')",0,5,0
"fortunately , the reader may remember , or may not remember -- fortunately we have promised not to lose sight of him .","('remember', 'rappeler', 'recordar')",0,10,0
"' i 'm afraid i am , sir , ' said alice ; ' i ca n't remember things as i used -- and i do n't keep the same size for ten minutes together ! '","('remember', 'souvenir', 'acordar')",1,17,1
' ca n't remember what things ? ' said the caterpillar .,"('remember', 'souvenir', 'acordar')",1,3,1
"oh , tomorrow , tomorrow , i must have some pledge from you which will prove that you think of me ; and that you may not forget me , take this ! "" and she slipped a ring from her finger onto d’artagnan ’s . d’artagnan remembered having seen this ring on the finger of milady ; it was a magnificent sapphire , encircled with brilliants .","('remember', 'rappeler', 'recordar')",2,47,0
it was one of those rare and beautiful days in winter when england remembers that there is a sun .,"('remember', 'souvenir', 'acordar')",1,13,1
""" oh , i remember ! "" said mme . bonacieux , "" the comtesse de winter . ""","('remember', 'souvenir', 'acordar')",1,4,1
"he threw himself into a chair and began to think . suddenly there flashed across his mind what he had said in basil hallward 's studio the day the picture had been finished . yes , he remembered it perfectly . he had uttered a mad wish that he himself might remain young , and the portrait grow old ; that his own beauty might be untarnished , and the face on the canvas bear the burden of his passions and his sins ; that the painted image might be seared with the lines of suffering and thought , and that he might keep all the delicate bloom and loveliness of his then just conscious boyhood . surely his wish had not been fulfilled ? such things were impossible . it seemed monstrous even to think of them . and , yet , there was the picture before him , with the touch of cruelty in the mouth .","('remember', 'souvenir', 'recordar')",3,37,3
"as to zinc , it may be remembered that the case found at flotsam point was lined with this metal , which could not be better utilized than for this purpose .","('remember', 'souvenir', 'recordar')",3,7,3
"d’artagnan , who , as we have said , was exceedingly prudent for a young man of twenty , then remembered his suspicions regarding milady . he launched into a eulogy of his eminence , and said that he should not have failed to enter into the guards of the cardinal instead of the king ’s guards if he had happened to know m. de cavois instead of m. de treville .","('remember', 'souvenir', 'acordar')",1,20,1
i had prepared an occupation for him ; for i was determined not to spend the whole time in a _ tete - a - tete _ conversation . i remembered his fine voice ; i knew he liked to sing -- good singers generally do .,"('remember', 'rappeler', 'recordar')",0,30,0
"it puzzles me now to remember with what absurd sincerity i doated on this little toy , half fancying it alive and capable of sensation . i could not sleep unless it was folded in my night - gown ; and when it lay there safe and warm , i was comparatively happy , believing it to be happy likewise .","('remember', 'rappeler', 'recordar')",0,5,0
