text,ind,sense,label
"the pleasure of riding on horseback over an unknown country made me easy to be pleased at our first start . i threw myself wholly into the pleasure of the trip , and enjoyed the feeling of freedom and satisfied desire . i was beginning to take a real share in the enterprise .",9,"('country', 'pays', 'país')",0
""" the king 's children in this country must have an excellent education , since they are taught to show such a contempt for gold and precious stones . """,7,"('country', 'pays', 'pais')",1
"we were advancing at a rapid pace . the country was already almost a desert . here and there was a lonely farm , called a boër built either of wood , or of sods , or of pieces of lava , looking like a poor beggar by the wayside . these ruinous huts seemed to solicit charity from passers - by ; and on very small provocation we should have given alms for the relief of the poor inmates . in this country there were no roads and paths , and the poor vegetation , however slow , would soon efface the rare travellers ' footsteps .",9,"('country', 'pays', 'país')",0
"we were advancing at a rapid pace . the country was already almost a desert . here and there was a lonely farm , called a boër built either of wood , or of sods , or of pieces of lava , looking like a poor beggar by the wayside . these ruinous huts seemed to solicit charity from passers - by ; and on very small provocation we should have given alms for the relief of the poor inmates . in this country there were no roads and paths , and the poor vegetation , however slow , would soon efface the rare travellers ' footsteps .",83,"('country', 'pays', 'país')",0
""" what sort of a country is this , "" said the one to the other , "" that is unknown to all the world ; and in which nature has everywhere so different an appearance to what she has in ours ?",5,"('country', 'pays', 'pais')",1
what they saw in the country of el dorado,5,"('country', 'pays', 'pais')",1
"this , then , was the explanation of the stealthy expeditions at night and the light at the window . sir henry and i both stared at the woman in amazement . was it possible that this stolidly respectable person was of the same blood as one of the most notorious criminals in the country ?",54,"('country', 'pays', 'país')",0
""" it appears to me that the present extent of habitable countries is sufficient for humanity .",11,"('country', 'contrée', 'país')",2
""" you do n't like your country , then ? "" she asked .",6,"('country', 'pays', 'país')",0
""" well , but where can he fly to ? "" asked ralph . "" no country is safe for him . """,16,"('country', 'pays', 'país')",0
""" might i trouble you for it -- the inside page , please , with the leading articles ? "" he glanced swiftly over it , running his eyes up and down the columns . "" capital article this on free trade . permit me to give you an extract from it . ' you may be cajoled into imagining that your own special trade or your own industry will be encouraged by a protective tariff , but it stands to reason that such legislation must in the long run keep away wealth from the country , diminish the value of our imports , and lower the general conditions of life in this island . ' what do you think of that , watson ? "" cried holmes in high glee , rubbing his hands together with satisfaction . "" do n't you think that is an admirable sentiment ? """,95,"('country', 'pays', 'país')",0
"this small piece of wood , of which so many in an inhabited country are wasted with indifference and are of no value , must here be used with the greatest caution .",13,"('country', 'pays', 'país')",0
""" yes , "" continued athos , "" four times only ; once at the house of monsieur crequy ; another time at my own house in the country , in my chateau at -- when i had a chateau ; a third time at monsieur de treville ’s where it surprised us all ; and the fourth time at a cabaret , where it fell to my lot , and where i lost a hundred louis and a supper on it . """,28,"('country', 'campagne', 'campar')",3
"even if he knew it by heart , a man in my disturbed , befuddled condition could n't have quoted a syllable of his own country 's history .",25,"('country', 'pays', 'país')",0
""" all we shall ask of your majesty , "" said cacambo , "" is only a few sheep laden with provisions , pebbles , and the clay of your country . """,30,"('country', 'pays', 'pais')",1
"he immediately gave orders to his engineers to make a machine to hoist these two extraordinary men out of the kingdom . three thousand good machinists went to work and finished it in about fifteen days , and it did not cost more than twenty millions sterling of that country 's money .",49,"('country', 'pays', 'pais')",1
"candide and cacambo were placed on this machine , and they took with them two large red sheep , bridled and saddled , to ride upon , when they got on the other side of the mountains ; twenty others to serve as sumpters for carrying provisions ; thirty laden with presents of whatever was most curious in the country , and fifty with gold , diamonds , and other precious stones .",59,"('country', 'pays', 'pais')",1
"the millions lost in the bay of vigo , in 1702 , by the galleons of spain , furnished him with a mine of inexhaustible riches which he devoted always , anonymously , in favor of those nations who fought for the independence of their country .",45,"('country', 'pays', 'país')",0
""" we will make it , pencroft , "" replied harding . "" while you were carrying me yesterday , did i not see in the west a mountain which commands the country ? """,32,"('country', 'contrée', 'país')",2
""" well , uncle , we are going to resume the northern route , and to pass under the north countries of europe -- under sweden , russia , siberia : who knows where?--instead of burrowing under the deserts of africa , or perhaps the waves of the atlantic ; and that is all i want to know . """,20,"('country', 'contrée', 'país')",2
"i 'll fit out another ship and go to venice , where i will wait for you . venice is a free country , where we shall have nothing to fear from bulgarians , abares , jews or inquisitors . """,22,"('country', 'pays', 'pais')",1
"i shrugged my shoulders . "" if he were safely out of the country it would relieve the tax - payer of a burden . """,13,"('country', 'pays', 'país')",0
