text,ind,sense,label
"as d’artagnan had presumed , on receiving his letter , milady in a delirium of joy had told her servant everything ; and by way of recompense for the manner in which she had this time executed the commission , she had given kitty a purse .",29,"('manner', 'manière', 'formar')",0
"i shook my head : i could not see how poor people had the means of being kind ; and then to learn to speak like them , to adopt their manners , to be uneducated , to grow up like one of the poor women i saw sometimes nursing their children or washing their clothes at the cottage doors of the village of gateshead : no , i was not heroic enough to purchase liberty at the price of caste .",31,"('manner', 'manière', 'modal')",1
"hallward got up from the seat and walked up and down the garden . after some time he came back . "" harry , "" he said , "" dorian gray is to me simply a motive in art . you might see nothing in him . i see everything in him . he is never more present in my work than when no image of him is there . he is a suggestion , as i have said , of a new manner . i find him in the curves of certain lines , in the loveliness and subtleties of certain colours . that is all . """,83,"('manner', 'manière', 'manera')",2
""" but i am speaking to you ! "" replied the young man , additionally exasperated with this mixture of insolence and good manners , of politeness and scorn .",23,"('manner', 'manière', 'manera')",2
"but with his simple musketeer ’s uniform and nothing but the manner in which he threw back his head and advanced his foot , athos instantly took the place which was his due and consigned the ostentatious porthos to the second rank .",11,"('manner', 'façon', 'formar')",3
""" which means that i have just been duped - sixty louis for a horse which by the manner of his gait can do at least five leagues an hour . """,18,"('manner', 'manière', 'manera')",2
after the soup the maid brought a boiled fowl -- a piece of magnificence which caused the eyes of the diners to dilate in such a manner that they seemed ready to burst .,26,"('manner', 'façon', 'formar')",3
"ten paces from the door the cardinal made a sign to his esquire and the three musketeers to halt . a saddled horse was fastened to the window shutter . the cardinal knocked three times , and in a peculiar manner .",40,"('manner', 'façon', 'manera')",4
"the king , attacked in a manner so direct , did not know what to answer ; and he thought that this was the moment for expressing the desire which he was not going to have made until the evening before the fete .",6,"('manner', 'manière', 'manera')",2
"he found the door of his passage open , sprang up the stairs and knocked softly in a manner agreed upon between him and his lackey .",18,"('manner', 'façon', 'formar')",3
"finally , the rest of the equipment was successively debated in the same manner ; and the result of the sitting was that the procurator ’s wife should give eight hundred livres in money , and should furnish the horse and the mule which should have the honor of carrying porthos and mousqueton to glory .",13,"('manner', 'manière', 'manera')",2
""" his manners , i think , you said are not to your taste?--priggish and parsonic ? """,2,"('manner', 'manière', 'modal')",1
in the manner of my friend i was at once struck with an incoherence — an inconsistency ; and i soon found this to arise from a series of feeble and futile struggles to overcome an habitual trepidancy — an excessive nervous agitation .,2,"('manner', 'manière', 'manera')",2
"yet these whispered scandals only increased in the eyes of many his strange and dangerous charm . his great wealth was a certain element of security . society -- civilized society , at least-- is never very ready to believe anything to the detriment of those who are both rich and fascinating . it feels instinctively that manners are of more importance than morals , and , in its opinion , the highest respectability is of much less value than the possession of a good chef . and , after all , it is a very poor consolation to be told that the man who has given one a bad dinner , or poor wine , is irreproachable in his private life . even the cardinal virtues can not atone for half - cold entrées , as lord henry remarked once , in a discussion on the subject , and there is possibly a good deal to be said for his view . for the canons of good society are , or should be , the same as the canons of art . form is absolutely essential to it . it should have the dignity of a ceremony , as well as its unreality , and should combine the insincere character of a romantic play with the wit and beauty that make such plays delightful to us . is insincerity such a terrible thing ? i think not . it is merely a method by which we can multiply our personalities .",57,"('manner', 'manière', 'modal')",1
"the ease of his manner freed me from painful restraint : the friendly frankness , as correct as cordial , with which he treated me , drew me to him .",4,"('manner', 'manière', 'manera')",2
"the siege of la rochelle is about to be resumed , monseigneur . i shall serve under the eye of your eminence , and if i have the good fortune to conduct myself at the siege in such a manner as merits your attention , then i shall at least leave behind me some brilliant action to justify the protection with which you honor me .",39,"('manner', 'façon', 'formar')",3
"sometimes when the cardinal , always on horseback , like the lowest gendarme of the army , cast a pensive glance over those works , so slowly keeping pace with his wishes , which the engineers , brought from all the corners of france , were executing under his orders , if he met a musketeer of the company of treville , he drew near and looked at him in a peculiar manner , and not recognizing in him one of our four companions , he turned his penetrating look and profound thoughts in another direction .",72,"('manner', 'façon', 'formar')",3
"top , at that moment , barked in a strange manner .",10,"('manner', 'façon', 'modo')",5
his ordinary manner had vanished .,2,"('manner', 'manière', 'manera')",2
"if you repent of the manner in which you have acted toward me , the young girl who brings you this will tell you how a man of spirit may obtain his pardon .",5,"('manner', 'façon', 'formar')",3
to this reproach there is always one response which deludes women . d’artagnan replied in such a manner that kitty remained in her great delusion .,17,"('manner', 'manière', 'formar')",0
"d’artagnan , who was accustomed to his friend ’s manner of acting , and who perceived immediately , by a word , a gesture , or a sign from him , that the circumstances were serious , took athos ’s arm , and went out without saying anything . porthos followed , chatting with aramis .",9,"('manner', 'manière', 'manera')",2
"the worthy indian then gave some account of the victim , who , he said , was a celebrated beauty of the parsee race , and the daughter of a wealthy bombay merchant . she had received a thoroughly english education in that city , and , from her manners and intelligence , would be thought an european . her name was aouda . left an orphan , she was married against her will to the old rajah of bundelcund ; and , knowing the fate that awaited her , she escaped , was retaken , and devoted by the rajah 's relatives , who had an interest in her death , to the sacrifice from which it seemed she could not escape .",49,"('manner', 'manière', 'modal')",1
"when the mormon had recovered his breath , passepartout ventured to ask him politely how many wives he had ; for , from the manner in which he had decamped , it might be thought that he had twenty at least .",24,"('manner', 'façon', 'modo')",5
athos spoke this in so natural a manner that d’artagnan was shaken in his conviction .,7,"('manner', 'façon', 'formar')",3
the critic is he who can translate into another manner or a new material his impression of beautiful things . the highest as the lowest form of criticism is a mode of autobiography .,9,"('manner', 'manière', 'manera')",2
""" ’ well , ’ said a voice which vibrated in too terrible a manner in my ear not to be recognized , ’ well ! are we softened a little ? will we not pay for our liberty with a single promise of silence ?",14,"('manner', 'façon', 'formar')",3
"the goldsmith cast a glance at the elegant manner in which they were set , calculated , one with another , what the diamonds were worth , and without hesitation said , "" fifteen hundred pistoles each , my lord . """,8,"('manner', 'façon', 'formar')",3
"this grave , phlegmatic , and silent individual was called hans bjelke ; and he came recommended by m. fridrikssen . he was our future guide . his manners were a singular contrast with my uncle 's .",28,"('manner', 'manière', 'manera')",2
"freed from the usual formalities by the affable smile and gallant manners of an old governor of the port , who kissed her hand , she only remained long enough at boulogne to put into the post a letter , conceived in the following terms :",11,"('manner', 'manière', 'manera')",2
"he began to reflect upon the events that had passed ; they were numerous and inauspicious . it was scarcely eleven o’clock in the morning , and yet this morning had already brought him into disgrace with m. de treville , who could not fail to think the manner in which d’artagnan had left him a little cavalier .",48,"('manner', 'façon', 'formar')",3
""" sire , i can assert that they have hitherto discovered no gold mines in their mountains ; though the lord owes them this miracle in recompense for the manner in which they supported the pretensions of the king your father . """,29,"('manner', 'manière', 'formar')",0
he remembered in what a strange manner this woman had hitherto been mixed up in his destiny .,6,"('manner', 'façon', 'manera')",4
