text,ind,sense,label
"only , after carefully examining them , pencroft found on the forehead of one , on the chest of another , on the back of this one , on the shoulder of that , a little red spot , a sort of scarcely visible bruise , the cause of which it was impossible to conjecture .",23,"('back', 'dos', 'espalda')",0
"in a few moments we had put on our equipment . air tanks , abundantly charged , were placed on our backs , but the electric lamps were not in readiness . i commented on this to the captain .",21,"('back', 'dos', 'espalda')",0
"at the back of this creek some violent convulsion had torn up the rocky border , and a cutting , by a gentle slope , gave access to an upper plateau , which might be situated at least ten miles from claw cape , and consequently four miles in a straight line from prospect heights .",2,"('back', 'fond', 'centrar')",1
"ned land whistled "" yankee doodle "" between his teeth , stuffed his hands in his pockets , and turned his back on us .",21,"('back', 'dos', 'espalda')",0
"but there was no question now . we were stretched out on the back of some kind of underwater boat that , as far as i could judge , boasted the shape of an immense steel fish . ned land had clear views on the issue . conseil and i could only line up behind him .",13,"('back', 'dos', 'superficie')",2
"a longer stay in this dangerous spot would have been useless imprudence . d’artagnan and his two companions turned their backs , and commenced a retreat which resembled a flight .",20,"('back', 'dos', 'espalda')",0
""" go away , harry , "" cried the lad . "" i want to be alone . basil , you must go . ah ! ca n't you see that my heart is breaking ? "" the hot tears came to his eyes . his lips trembled , and rushing to the back of the box , he leaned up against the wall , hiding his face in his hands .",53,"('back', 'fond', 'fondo')",3
"but i did not try to back out of it . hans with perfect coolness resumed the lead , and i followed him without a word .",6,"('back', 'reculer', 'retroceder')",4
""" now , "" said my uncle , after having completed these preparations , "" now let us look to our loads . i will divide them into three lots ; each of us will strap one upon his back . i mean only fragile articles . """,39,"('back', 'dos', 'espalda')",0
"this logic , backed up by figures , left me without a single objection .",3,"('back', 'appuyer', 'objetar')",5
""" eighty chances ! "" replied the passenger , turning his back on him .",11,"('back', 'dos', 'espalda')",0
"adrian singleton rose up wearily and followed dorian to the bar . a half - caste , in a ragged turban and a shabby ulster , grinned a hideous greeting as he thrust a bottle of brandy and two tumblers in front of them . the women sidled up and began to chatter . dorian turned his back on them and said something in a low voice to adrian singleton .",57,"('back', 'dos', 'espalda')",0
""" he is in the most favorable position for the wounds in his back and chest to suppurate easily , and absolute rest is necessary . """,13,"('back', 'dos', 'espalda')",0
"alice thought the whole thing very absurd , but they all looked so grave that she did not dare to laugh ; and , as she could not think of anything to say , she simply bowed , and took the thimble , looking as solemn as she could . the next thing was to eat the comfits : this caused some noise and confusion , as the large birds complained that they could not taste theirs , and the small ones choked and had to be patted on the back . however , it was over at last , and they sat down again in a ring , and begged the mouse to tell them something more .",90,"('back', 'dos', 'espalda')",0
"he remained on the bench , with his back leaning against the wall and his hands hanging down , exactly on the spot where the guards placed him .",8,"('back', 'dos', 'espalda')",0
"i was convinced that when captain nemo reached this point , he would back out again ; but i was mistaken , and much to my surprise , he did nothing of the sort .",13,"('back', 'revenir', 'retroceder')",6
"holmes was sitting with his back to me , and i had given him no sign of my occupation .",5,"('back', 'dos', 'espalda')",0
"i heard its teeth grind on sheet iron , and the dugong disappeared , taking our harpoon along with it . but the barrel soon popped up on the surface , and a few moments later the animal 's body appeared and rolled over on its back . our skiff rejoined it , took it in tow , and headed to the nautilus .",46,"('back', 'dos', 'espalda')",0
""" i thought , captain , "" said herbert , "" that turtles , once placed on their backs , could not regain their feet , especially when they are of a large size ? '",18,"('back', 'dos', 'caparazón')",7
""" yes , master , "" replied neb ; "" here , at the entrance , at the back of the mound , in a place sheltered from the rain and wind .",18,"('back', 'revers', 'volver')",8
""" bless me ! "" cried porthos , making strong efforts to disembarrass himself of d’artagnan , who was wriggling about his back ; "" you must be mad to run against people in this manner . """,22,"('back', 'dos', 'espalda')",0
""" ah , pardieu ! i know full well that you do n’t turn your back to yours . """,15,"('back', 'dos', 'espalda')",0
