text,ind
"miss temple told helen burns to be seated in a low arm - chair on one side of the hearth , and herself taking another , she called me to her side .",7
"phileas fogg was seated squarely in his armchair , his feet close together like those of a grenadier on parade , his hands resting on his knees , his body straight , his head erect ; he was steadily watching a complicated clock which indicated the hours , the minutes , the seconds , the days , the months , and the years . at exactly half - past eleven mr . fogg would , according to his daily habit , quit saville row , and repair to the reform .",3
"a rap at this moment sounded on the door of the cosy apartment where phileas fogg was seated , and james forster , the dismissed servant , appeared .",17
"at this word she , athos , who had seated himself quietly , started up .",9
"the commissary was seated in the chair , and was writing at the table .",3
"miss ingram , who had now seated herself with proud grace at the piano , spreading out her snowy robes in queenly amplitude , commenced a brilliant prelude ; talking meantime .",6
"miss temple got up , took her hand and examined her pulse ; then she returned to her own seat : as she resumed it , i heard her sigh low .",19
"the captain had resumed his position on the divan , and leaning on his arm , he regarded the engineer , seated near him .",21
""" pray take a seat , sir henry . do i understand you to say that you have yourself had some remarkable experience since you arrived in london ? """,4
""" take them off to the other table , mrs . fairfax , "" said he , "" and look at them with adele;--you "" ( glancing at me ) "" resume your seat , and answer my questions .",33
"it seems to me that he must be handsome , tall , strong , with a splendid beard , radiant hair , and that he must be seated on clouds , a great ball in his hands ! """,27
"then , before retiring to rest , harding and his companions seated round their table , discussed those plans , the execution of which was most pressing .",11
"my favourite seat was a smooth and broad stone , rising white and dry from the very middle of the beck , and only to be got at by wading through the water ; a feat i accomplished barefoot .",2
"the captain stretched out on a couch , and i mechanically took a seat near him , but half in the shadows .",13
""" be seated , "" he told me , "" and eat like the famished man you must be . """,2
"he looked at me : i happened to be near him , as i had been fastening the clasp of mrs . dent 's bracelet , which had got loose . "" will you play ? "" he asked . i shook my head . he did not insist , which i rather feared he would have done ; he allowed me to return quietly to my usual seat .",68
"passepartout , at this , looked attentively at his companion . fix 's face seemed to have a singular expression . he resumed his seat .",24
"to come in the capacity of a cousin , and seat himself every day at a good table ; to smooth the yellow , wrinkled brow of the old procurator ; to pluck the clerks a little by teaching them bassette , passe - dix , and lansquenet , in their utmost nicety , and winning from them , by way of fee for the lesson he would give them in an hour , their savings of a month -- all this was enormously delightful to porthos .",10
"athos , who still suffered grievously from his wound , though it had been dressed anew by m. de treville ’s surgeon , was seated on a post and waiting for his adversary with hat in hand , his feather even touching the ground .",24
"taking advantage of this situation , my two companions and i found seats on the ever - deserted platform . in front of us stood the pilothouse , and unless i 'm extremely mistaken , captain nemo must have been inside , steering his nautilus himself .",12
"the train passed rapidly across the state of iowa , by council bluffs , des moines , and iowa city . during the night it crossed the mississippi at davenport , and by rock island entered illinois . the next day , which was the 10th , at four o'clock in the evening , it reached chicago , already risen from its ruins , and more proudly seated than ever on the borders of its beautiful lake michigan .",67
"and as the other party withdrew , he and his band took the vacated seats . miss ingram placed herself at her leader 's right hand ; the other diviners filled the chairs on each side of him and her .",14
""" what can it matter ? "" cried dorian gray , laughing , as he sat down on the seat at the end of the garden .",19
"i am afraid he sent that soup to where it would boil away to nothing , and martha took to her heels for safety . i followed her , and hardly knowing how i got there i found myself seated in my usual place .",39
""" is miss eyre there ? "" now demanded the master , half rising from his seat to look round to the door , near which i still stood .",16
"from a distance they perceived aramis , seated in a melancholy manner at his window , looking out , like sister anne , at the dust in the horizon .",7
"rance resumed his seat , without however losing his mystified expression . "" i went back to the gate and sounded my whistle . that brought murcher and two more to the spot . """,3
""" there is no necessity , "" rejoined his companion . "" life has always poppies in her hands . of course , now and then things linger . i once wore nothing but violets all through one season , as a form of artistic mourning for a romance that would not die . ultimately , however , it did die . i forget what killed it . i think it was her proposing to sacrifice the whole world for me . that is always a dreadful moment . it fills one with the terror of eternity . well -- would you believe it?--a week ago , at lady hampshire 's , i found myself seated at dinner next the lady in question , and she insisted on going over the whole thing again , and digging up the past , and raking up the future . i had buried my romance in a bed of asphodel . she dragged it out again and assured me that i had spoiled her life .",115
i was seated in a trice .,2
"it was verging on dusk , and the clock had already given warning of the hour to dress for dinner , when little adele , who knelt by me in the drawing - room window - seat , suddenly exclaimed--",36
i took a seat : st . john stood near me .,3
"the next day , january 5 , after its deck paneling was opened , the skiff was wrenched from its socket and launched to sea from the top of the platform . two men were sufficient for this operation . the oars were inside the longboat and we had only to take our seats .",53
"mme . coquenard smiled , and upon a sign from her everyone eagerly took his seat .",15
""" it was magnificent , "" he said , as he took his seat . "" do you remember what darwin says about music ? he claims that the power of producing and appreciating it existed among the human race long before the power of speech was arrived at . perhaps that is why we are so subtly influenced by it . there are vague memories in our souls of those misty centuries when the world was in its childhood . """,13
""" my ' bonadventure ' exists no longer ! "" shouted pencroft , bounding from his seat .",16
"phileas fogg and his servant seated themselves in a first - class carriage at twenty minutes before nine ; five minutes later the whistle screamed , and the train slowly glided out of the station .",5
"they found him up , less pale than when d’artagnan left him after his first visit , and seated at a table on which , though he was alone , was spread enough for four persons . this dinner consisted of meats nicely dressed , choice wines , and superb fruit .",18
""" kindly be seated , "" he told me .",3
"i strolled for a little while from the lounge into the library . my companions kept their seats and did n't move . soon i threw myself down on a couch and picked up a book , which my eyes skimmed mechanically .",17
"she was seated . lord de winter took a chair , drew it toward her , and sat down close beside her . then taking a paper out of his pocket , he unfolded it slowly .",2
"captain nemo , conseil , ned land , and i found seats in the stern of the skiff . the longboat 's coxswain took the tiller ; his four companions leaned into their oars ; the moorings were cast off and we pulled clear .",11
"when we were again alone , i stirred the fire , and then took a low seat at my master 's knee .",16
"seated on the afterdeck , ned land and i chatted about one thing and another , staring at that mysterious sea whose depths to this day are beyond the reach of human eyes . quite naturally , i led our conversation around to the giant unicorn , and i weighed our expedition 's various chances for success or failure . then , seeing that ned just let me talk without saying much himself , i pressed him more closely .",0
"at the bottom of the crater were three chimneys , through which , in its eruptions , snæfell had driven forth fire and lava from its central furnace . each of these chimneys was a hundred feet in diameter . they gaped before us right in our path . i had not the courage to look down either of them . but professor liedenbrock had hastily surveyed all three ; he was panting , running from one to the other , gesticulating , and uttering incoherent expressions . hans and his comrades , seated upon loose lava rocks , looked at him with as much wonder as they knew how to express , and perhaps taking him for an escaped lunatic .",93
"i was certainly feeling very weary , so i obeyed his injunction . i left holmes seated in front of the smouldering fire , and long into the watches of the night i heard the low , melancholy wailings of his violin , and knew that he was still pondering over the strange problem which he had set himself to unravel .",16
"d’artagnan dismissed planchet , and requested his visitor to be seated .",10
i made no answer ; and i returned in silence to my lava seat in a state of utter speechless consternation . here was crushing evidence .,13
"i sought a seat for him in a hidden and lovely spot , a dry stump of a tree ; nor did i refuse to let him , when seated , place me on his knee .",29
""" she told us such things ! she knows all about us ! "" and they sank breathless into the various seats the gentlemen hastened to bring them .",21
"disappointed in the expectation of a customer , she coolly acceded to my request . she pointed to a seat ; i sank into it .",19
""" very well . have the interior seats , bunks , and frames pulled down , and burn them . """,7
""" take a seat , and try one of these cigars , "" he said . "" we are anxious to know how you managed it . will you have some whiskey and water ? """,3
"the sails and the english flag were hoisted at ten minutes past three . mr . fogg and aouda , who were seated on deck , cast a last glance at the quay , in the hope of espying passepartout . fix was not without his fears lest chance should direct the steps of the unfortunate servant , whom he had so badly treated , in this direction ; in which case an explanation the reverse of satisfactory to the detective must have ensued . but the frenchman did not appear , and , without doubt , was still lying under the stupefying influence of the opium .",22
"felton turned his eyes toward the part of the wall of the apartment before which he had found milady standing in the armchair in which she was now seated , and over her head he perceived a gilt - headed screw , fixed in the wall for the purpose of hanging up clothes or weapons .",28
"a moment later we were seated on a couch in the lounge , cigars between our lips . the captain placed before my eyes a working drawing that gave the ground plan , cross section , and side view of the nautilus . then he began his description as follows :",5
"d’artagnan , mute with anger and anxiety , took a seat in the threatening attitude of a judge .",10
"phileas fogg , with body erect and legs wide apart , standing like a sailor , gazed without staggering at the swelling waters . the young woman , who was seated aft , was profoundly affected as she looked out upon the ocean , darkening now with the twilight , on which she had ventured in so frail a vessel . above her head rustled the white sails , which seemed like great white wings . the boat , carried forward by the wind , seemed to be flying in the air .",30
"he traversed a corridor , crossed a grand saloon , entered a library , and found himself in the presence of a man seated at a desk and writing .",23
""" a mean nutriment for the spirit to exist on : and sitting in that window- seat ( you see i know your habits ) -- "" "" you have learned them from the servants . """,16
"by the light of a lamp he saw a woman , wrapped in a dark mantle , seated upon a stool near a dying fire . her elbows were placed upon a mean table , and she leaned her head upon her two hands , which were white as ivory .",17
"finding himself too wretched to remain alone , he knocked at aouda 's door , went into her room , seated himself , without speaking , in a corner , and looked ruefully at the young woman . aouda was still pensive .",20
"a gentleman , who had just arrived by the route of dammartin , was seated at the same table , and was breakfasting .",14
"a distant bell tinkled : immediately three ladies entered the room , each walked to a table and took her seat .",20
""" i would n't give up my four thousand of the bet , "" said andrew stuart , as he took his seat , "" for three thousand nine hundred and ninety - nine . """,22
""" well , she must be at her country seat , for she has not answered me . """,9
the players rose from their seats .,5
""" silence ! to your seats ! """,5
"ere i had gathered my wits , the classes were again seated : but as all eyes were now turned to one point , mine followed the general direction , and encountered the personage who had received me last night .",11
"athos entered without the least mistrust , and took out two pistoles to pay the bill . the host was alone , seated before his desk , one of the drawers of which was partly open .",22
"as soon as they were seated , two very pretty girls , neatly dressed , brought in chocolate , which was extremely well prepared .",5
"the superintendent of lowood ( for such was this lady ) having taken her seat before a pair of globes placed on one of the tables , summoned the first class round her , and commenced giving a lesson on geography ; the lower classes were called by the teachers : repetitions in history , grammar , & c. , went on for an hour ; writing and arithmetic succeeded , and music lessons were given by miss temple to some of the elder girls .",14
"we were seated on the platform next to a tranquil sea . the month of march , since it 's the equivalent of october in these latitudes , was giving us some fine autumn days . it was the canadian-- on this topic he was never mistaken -- who sighted a baleen whale on the eastern horizon . if you looked carefully , you could see its blackish back alternately rise and fall above the waves , five miles from the nautilus .",2
"the thing was still seated in the chair , straining over the table with bowed head , and humped back , and long fantastic arms . had it not been for the red jagged tear in the neck and the clotted black pool that was slowly widening on the table , one would have said that the man was simply asleep .",4
"all , towards the evening after dinner , were seated under the veranda on the edge of prospect heights , and they were watching the darkness creeping up from the horizon .",9
"in a few minutes the settlers , seated under a clump of fine sea - pines , were devouring the provisions which neb produced from his bag .",7
"on this note i was about to withdraw ; but captain nemo detained me and invited me to take a seat next to him . he questioned me with interest on our excursions ashore and on our hunting , but seemed not to understand the canadian 's passionate craving for red meat . then our conversation skimmed various subjects , and without being more forthcoming , captain nemo proved more affable .",20
he did me the honor to invite me to the ceremony . i had a very good seat ; and refreshments of all kinds were offered the ladies between mass and the execution .,17
"be seated somewhere ; and until you can speak pleasantly , remain silent . """,1
"i mounted into the window- seat : gathering up my feet , i sat cross - legged , like a turk ; and , having drawn the red moreen curtain nearly close , i was shrined in double retirement .",5
"just then , as mute and emotionless as ever , seven crewmen climbed onto the platform . one carried a harpoon and line similar to those used in whale fishing . its deck paneling opened , the skiff was wrenched from its socket and launched to sea . six rowers sat on the thwarts , and the coxswain took the tiller . ned , conseil , and i found seats in the stern .",69
""" she is in the window - seat , to be sure , jack . """,7
he seated me and himself .,1
"after a strained moment of silence , he leaned across and said , very quietly , but watching the effect of each word upon the face of him he had sent for , "" alan , in a locked room at the top of this house , a room to which nobody but myself has access , a dead man is seated at a table . he has been dead ten hours now . do n't stir , and do n't look at me like that . who the man is , why he died , how he died , are matters that do not concern you . what you have to do is this-- """,61
""" she shall have a month to choose , "" said young , rising from his seat . "" at the end of that time she shall give her answer . """,16
"herbert offered a seat in his vehicle to jup , who accepted it without ceremony .",3
"“ you must not — you shall not behold this ! ” said i , shuddering , to usher , as i led him , with a gentle violence , from the window to a seat . “ these appearances , which bewilder you , are merely electrical phenomena not uncommon — or it may be that they have their ghastly origin in the rank miasma of the tarn .",35
""" meantime , night came on rapidly , and with night my terrors increased . i did not know but i had better remain where i was seated . it appeared that i was surrounded with unknown dangers into which i was about to fall at every instant .",27
"cyrus harding and spilett , seated on the bank , waited till their companions were ready for their help , while herbert roamed about , though without going to any distance .",5
