text,ind,sense,label
"the scene was the hall of capulet 's house , and romeo in his pilgrim 's dress had entered with mercutio and his other friends . the band , such as it was , struck up a few bars of music , and the dance began . through the crowd of ungainly , shabbily dressed actors , sibyl vane moved like a creature from a finer world . her body swayed , while she danced , as a plant sways in the water . the curves of her throat were the curves of a white lily . her hands seemed to be made of cool ivory .",59,"('move', 'mouvoir', 'mover')",0
"they therefore waited impatiently for the moment when herbert might be moved without danger from his wound , and they were determined to make this move , although the communication through jacamar wood was very difficult .",11,"('move', 'transporter', 'trasladar')",1
' off with her head ! ' the queen shouted at the top of her voice . nobody moved .,18,"('move', 'bouger', 'mover')",2
"at the moment when he was about to retire , she was cheered with a ray of hope , for she thought he was about to speak ; but his lips moved without any sound leaving his mouth , and making a powerful effort to control himself , he sent back to his heart the words that were about to escape from his lips , and went out .",31,"('move', 'remuer', 'mover')",3
"the painter laughed . "" i do n't think there will be any difficulty about that . sit down again , harry . and now , dorian , get up on the platform , and do n't move about too much , or pay any attention to what lord henry says . he has a very bad influence over all his friends , with the single exception of myself . """,37,"('move', 'bouger', 'mover')",2
"it really appeared as if it formed the central point of vast cyclones , which beat it perpetually as the whip does the top , only here it was the top which was motionless and the whip which moved .",38,"('move', 'tourner', 'girar')",4
"' what can all that green stuff be ? ' said alice . ' and where have my shoulders got to ? and oh , my poor hands , how is it i ca n't see you ? ' she was moving them about as she spoke , but no result seemed to follow , except a little shaking among the distant green leaves .",41,"('move', 'agiter', 'mover')",5
"in the midst of the stone mazes furrowing this atlantic seafloor , captain nemo moved forward without hesitation . he knew this dark path . no doubt he had often traveled it and was incapable of losing his way . i followed him with unshakeable confidence . he seemed like some spirit of the sea , and as he walked ahead of me , i marveled at his tall figure , which stood out in black against the glowing background of the horizon .",14,"('move', 'avancer', 'avanzar')",6
"as he spoke there was a sharp ring at the bell . sherlock holmes rose softly and moved his chair in the direction of the door . we heard the servant pass along the hall , and the sharp click of the latch as she opened it .",17,"('move', 'tourner', 'poner')",7
a man was moving about in the midst of the smoke .,3,"('move', 'agiter', 'mover')",5
and he moved out of the way to let the mercer pass .,2,"('move', 'effacer', 'echar')",8
""" in order to steer this boat to port or starboard , in short , to make turns on a horizontal plane , i use an ordinary , wide - bladed rudder that 's fastened to the rear of the sternpost and worked by a wheel and tackle . but i can also move the nautilus upward and downward on a vertical plane by the simple method of slanting its two fins , which are attached to its sides at its center of flotation ; these fins are flexible , able to assume any position , and can be operated from inside by means of powerful levers . if these fins stay parallel with the boat , the latter moves horizontally . if they slant , the nautilus follows the angle of that slant and , under its propeller 's thrust , either sinks on a diagonal as steep as it suits me , or rises on that diagonal . and similarly , if i want to return more swiftly to the surface , i throw the propeller in gear , and the water 's pressure makes the nautilus rise vertically , as an air balloon inflated with hydrogen lifts swiftly into the skies . """,53,"('move', 'mouvoir', 'mover')",0
"it was evident that the vessel had been moved , more or less , since pencroft had brought her to port balloon .",8,"('move', 'déplacer', 'navegar')",9
about thirty pirates could be seen moving on the deck .,6,"('move', 'venir', 'ver')",10
"i obliged the professor to move his lamp over the walls of the gallery . i expected some signs of astonishment ; but he spoke not a word , and went on .",5,"('move', 'promener', 'pasear')",11
"there was a stifled groan and the horrible sound of some one choking with blood . three times the outstretched arms shot up convulsively , waving grotesque , stiff - fingered hands in the air . he stabbed him twice more , but the man did not move . something began to trickle on the floor . he waited for a moment , still pressing the head down . then he threw the knife on the table , and listened .",47,"('move', 'bouger', 'mover')",2
""" he must not be moved . "" said gideon spilett .",5,"('move', 'remue', 'mover')",12
neb did not move .,3,"('move', 'bouger', 'mover')",2
"a few moments later the needle , moving on the alphabetic dial , gave this reply to the tenants of granite house:--",7,"('move', 'mouvoir', 'mover')",0
"in spite of my irritation i was moved with these words , as well as with the violence my uncle was doing to his own wishes in making so hazardous a proposal .",7,"('move', 'émouvoir', 'conmover')",13
"this time the descent commenced by the new gallery . hans walked first as was his custom . we had not gone a hundred yards when the professor , moving his lantern along the walls , cried :",29,"('move', 'promener', 'pasear')",11
"it was bringing fellow - creatures to them , and it may be conceived how deeply their hearts were moved at the sight !",19,"('move', 'tressaillir', 'latir')",14
""" you are right , "" said felton , after having looked at milady from the spot on which he stood without moving a step toward her . "" go and tell lord de winter that his prisoner has fainted -- for this event not having been foreseen , i do n’t know what to do . """,22,"('move', 'faire', 'dar')",15
""" because it is the place of danger . that is sir henry 's nature . i fear that unless you can give me some more definite information than this it would be impossible to get him to move . """,38,"('move', 'éloigner', 'marchar')",16
"where harding 's engineering qualifications now came into play was in the construction of the machine for pressing the wool ; for he knew how to turn ingeniously to profit the mechanical force , hitherto unused , which the waterfall on the beach possessed to move a fulling - mill .",45,"('move', 'mouvoir', 'mover')",0
"it was during the night of december 9 - 10 that the nautilus encountered this army of distinctly nocturnal mollusks . they numbered in the millions . they were migrating from the temperate zones toward zones still warmer , following the itineraries of herring and sardines . we stared at them through our thick glass windows : they swam backward with tremendous speed , moving by means of their locomotive tubes , chasing fish and mollusks , eating the little ones , eaten by the big ones , and tossing in indescribable confusion the ten feet that nature has rooted in their heads like a hairpiece of pneumatic snakes . despite its speed , the nautilus navigated for several hours in the midst of this school of animals , and its nets brought up an incalculable number , among which i recognized all nine species that professor orbigny has classified as native to the pacific ocean .",64,"('move', 'mouvoir', 'moviéndose')",17
