text,sense,label,ind,new_label
"after the door to my stateroom was closed , he sat and stared at me silently .","('sit', 'asseoir', 'sentar')",0,10,0
"he tried to stagger to his feet ; but he was still ghastly pale and trembling in every limb . we helped him to a rock , where he sat shivering with his face buried in his hands .","('sit', 'asseoir', 'sentar')",0,29,0
"as soon as he was dressed , he went into the library and sat down to a light french breakfast that had been laid out for him on a small round table close to the open window . it was an exquisite day . the warm air seemed laden with spices . a bee flew in and buzzed round the blue - dragon bowl that , filled with sulphur - yellow roses , stood before him . he felt perfectly happy .","('sit', 'asseoir', 'sentar')",0,13,0
the novice sat down .,"('sit', 'asseoir', 'sentar')",0,2,0
i sat down in despair . my uncle strode from side to side in the narrow passage .,"('sit', 'asseoir', 'sentar')",0,1,0
"i sat , and he began speaking as follows :","('sit', 'asseoir', 'sentar')",0,1,0
"i sat down near him , but told him i could not eat .","('sit', 'asseoir', 'sentar')",0,1,0
"athos cast a cold and indifferent glance upon the objects we have described , and at the invitation of him whom he came to seek sat down near him .","('sit', 'asseoir', 'sentar')",0,25,0
"she was seated . lord de winter took a chair , drew it toward her , and sat down close beside her . then taking a paper out of his pocket , he unfolded it slowly .","('sit', 'asseoir', 'sentar')",0,17,0
"i sat up in bed by way of arousing this said brain : it was a chilly night ; i covered my shoulders with a shawl , and then i proceeded _ to think _ again with all my might .","('sit', 'asseoir', 'sentar')",0,1,0
"he sat in his armchair , and pen in hand he began what looked very much like algebraic formula :","('sit', 'asseoir', 'sentar')",0,1,0
all three then sat down with their heads together and their ears on the alert .,"('sit', 'asseoir', 'sentar')",0,3,0
"yes ; it was an interesting background . it posed the lad , made him more perfect , as it were . behind every exquisite thing that existed , there was something tragic . worlds had to be in travail , that the meanest flower might blow . . . . and how charming he had been at dinner the night before , as with startled eyes and lips parted in frightened pleasure he had sat opposite to him at the club , the red candleshades staining to a richer rose the wakening wonder of his face . talking to him was like playing upon an exquisite violin . he answered to every touch and thrill of the bow . . . .","('sit', 'asseoir', 'sentar')",0,75,0
"i imagine he did not think i was a beggar , but only an eccentric sort of lady , who had taken a fancy to his brown loaf . as soon as i was out of sight of his house , i sat down and ate it .","('sit', 'asseoir', 'sentar')",0,42,0
""" yes ; the back parlour was both his study and ours : he sat near the window , and we by the table . ""","('sit', 'asseoir', 'sentar')",0,14,0
"dorian said nothing , but rose from the table , and passing into the next room , sat down to the piano and let his fingers stray across the white and black ivory of the keys . after the coffee had been brought in , he stopped , and looking over at lord henry , said , "" harry , did it ever occur to you that basil was murdered ? ""","('sit', 'asseoir', 'sentar')",0,17,0
"phileas fogg took a chair , and sat down near the fireplace , opposite aouda . no emotion was visible on his face . fogg returned was exactly the fogg who had gone away ; there was the same calm , the same impassibility .","('sit', 'asseoir', 'sentar')",0,7,0
"i obeyed ; he sat at one end of his table , i at the other .","('sit', 'asseoir', 'sentar')",0,4,0
"i wished i had kept my candle burning : the night was drearily dark ; my spirits were depressed . i rose and sat up in bed , listening . the sound was hushed .","('sit', 'asseoir', 'sentar')",0,23,0
he sat down .,"('sit', 'asseoir', 'sentar')",0,1,0
"he sat down and began to think . every year -- every month , almost-- men were strangled in england for what he had done . there had been a madness of murder in the air . some red star had come too close to the earth . . . . and yet , what evidence was there against him ? basil hallward had left the house at eleven . no one had seen him come in again . most of the servants were at selby royal . his valet had gone to bed .... paris ! yes . it was to paris that basil had gone , and by the midnight train , as he had intended . with his curious reserved habits , it would be months before any suspicions would be roused . months ! everything could be destroyed long before then .","('sit', 'asseoir', 'sentar')",0,1,0
"milady , under the influence of inexpressible terror , sat down without uttering a word .","('sit', 'asseoir', 'sentar')",0,9,0
"after he had drunk his cup of black coffee , he wiped his lips slowly with a napkin , motioned to his servant to wait , and going over to the table , sat down and wrote two letters . one he put in his pocket , the other he handed to the valet .","('sit', 'asseoir', 'sentar')",0,33,0
"campbell took a chair by the table , and dorian sat opposite to him . the two men 's eyes met . in dorian 's there was infinite pity . he knew that what he was going to do was dreadful .","('sit', 'asseoir', 'sentar')",0,10,0
"as he , however , had no other hat , he picked up this as he ran , and arrived at his quarters very pale and quite out of breath . he sat down without saying a word to anybody , and began to reflect .","('sit', 'asseoir', 'sentar')",0,32,0
"so they sat down , and nobody spoke for some minutes . alice thought to herself , ' i do n't see how he can even finish , if he does n't begin . ' but she waited patiently .","('sit', 'asseoir', 'sentar')",0,2,0
""" now , "" thought i , "" i can perhaps get her to talk . "" i sat down by her on the floor .","('sit', 'asseoir', 'sentar')",0,18,0
"the soldier went out to obey the orders of his officer . felton sat down upon an armchair which happened to be near the door , and waited without speaking a word , without making a gesture .","('sit', 'asseoir', 'sentar')",0,13,0
