text,ind,sense,label
"the temperate zones , at a more or less distant period , will not be more habitable than the polar regions now are .",9,"('distant', 'éloigné', 'lejano')",0
"we were both swift runners and in fairly good training , but we soon found that we had no chance of overtaking him . we saw him for a long time in the moonlight until he was only a small speck moving swiftly among the boulders upon the side of a distant hill . we ran and ran until we were completely blown , but the space between us grew ever wider . finally we stopped and sat panting on two rocks , while we watched him disappearing in the distance .",51,"('distant', 'éloigné', 'distante')",1
"the king trembled with joy and the cardinal with vexation ; although , distant as they were from the queen , they could not count the studs . the queen had them . the only question was , had she ten or twelve ?",13,"('distant', 'distant', 'distante')",2
"gideon spilett , who accompanied him , also heard these distant mutterings , which indicated a revivification of the subterranean fires .",10,"('distant', 'lointain', 'lejano')",3
"in fact , at this hour , the rising tide would have turned back the current of the creek , if its mouth had only been a few miles distant .",29,"('distant', 'seulement', 'ya')",4
""" since rodger baskerville , sir charles 's younger brother died unmarried , the estate would descend to the desmonds , who are distant cousins . james desmond is an elderly clergyman in westmoreland . """,23,"('distant', 'éloigné', 'lejano')",0
""" well , "" replied cyrus harding , "" that will be exactly the most favorable time for undertaking a voyage of any importance , either to tabor island or to a more distant land . """,33,"('distant', 'éloigné', 'lejano')",0
"but that distant echo was the only response produced by neb 's shouts , while a heavy gloom hung over all the part east of the island .",2,"('distant', 'lointain', 'lejano')",3
"in fact , since the sun is nearer to this hemisphere during the summer , it is necessarily more distant during the winter .",19,"('distant', 'éloigné', 'lejos')",5
"pencroft listened more attentively , and really thought he heard , during a lull , distant barking .",15,"('distant', 'éloigné', 'lejano')",0
"at six o'clock , sometimes afloat and sometimes submerged , the nautilus passed well out from el tur , which sat at the far end of a bay whose waters seemed to be dyed red , as captain nemo had already mentioned . then night fell in the midst of a heavy silence occasionally broken by the calls of pelicans and nocturnal birds , by the sound of surf chafing against rocks , or by the distant moan of a steamer churning the waves of the gulf with noisy blades .",76,"('distant', 'lointain', 'lejano')",3
about noon a distant noise is heard . i note the fact without being able to explain it . it is a continuous roar .,3,"('distant', 'éloigné', 'lejano')",0
"here again i paused abruptly , and now with a feeling of wild amazement — for there could be no doubt whatever that , in this instance , i did actually hear ( although from what direction it proceeded i found it impossible to say ) a low and apparently distant , but harsh , protracted , and most unusual screaming or grating sound — the exact counterpart of what my fancy had already conjured up for the dragon ’s unnatural shriek as described by the romancer .",50,"('distant', 'lointain', 'lejano')",3
"a few lightning flashes , reflections from a distant storm , illuminated the horizon .",8,"('distant', 'lointain', 'lejano')",3
"then i began to hear distinctly quite a new sound of something running within the thickness of the granite wall , a kind of dull , dead rumbling , like distant thunder . during the first part of our walk , not meeting with the promised spring , i felt my agony returning ; but then my uncle acquainted me with the cause of the strange noise .",30,"('distant', 'éloigné', 'lejano')",0
"the sullen murmur of the bees shouldering their way through the long unmown grass , or circling with monotonous insistence round the dusty gilt horns of the straggling woodbine , seemed to make the stillness more oppressive . the dim roar of london was like the bourdon note of a distant organ .",50,"('distant', 'éloigné', 'lejano')",0
"but at the moment the glass touched her lips , her hand remained suspended ; she heard something on the road which sounded like the rattling of a distant gallop . then it grew nearer , and it seemed to her , almost at the same time , that she heard the neighing of horses .",28,"('distant', 'lointain', 'lejano')",3
"i rushed up onto the platform . yes , open sea ! barely a few sparse floes , some moving icebergs ; a sea stretching into the distance ; hosts of birds in the air and myriads of fish under the waters , which varied from intense blue to olive green depending on the depth . the thermometer marked 3 degrees centigrade . it was as if a comparative springtime had been locked up behind that ice bank , whose distant masses were outlined on the northern horizon .",80,"('distant', 'éloigné', 'lejano')",0
