text,ind
"i was surly ; but the thing would not go : it stood by me with strange perseverance , and looked and spoke with a sort of authority . i must be aided , and by that hand : and aided i was .",16
ah ! that ’s strange !,4
i made you talk : ere long i found you full of strange contrasts .,12
""" my friends , then , "" said cyrus harding , "" we can no longer be in doubt as to the presence of a mysterious being , a castaway like us , perhaps , abandoned on our island , and i say this in order that ayrton may be acquainted with all the strange events which have occurred during these two years .",54
""" yes , it was pronounced in my hearing once . stop -- but -- it is very strange -- oh , my god , my head swims !",18
"these thoughts swiftly crossed my mind while this strange individual fell silent , like someone completely self - absorbed . i regarded him with a mixture of fear and fascination , in the same way , no doubt , that oedipus regarded the sphinx .",8
""" does that person want you ? "" she inquired of mr . rochester ; and mr . rochester turned to see who the "" person "" was . he made a curious grimace -- one of his strange and equivocal demonstrations -- threw down his cue and followed me from the room .",38
"the gentleman raised his eyes slowly from the nag to his cavalier , as if he required some time to ascertain whether it could be to him that such strange reproaches were addressed ; then , when he could not possibly entertain any doubt of the matter , his eyebrows slightly bent , and with an accent of irony and insolence impossible to be described , he replied to d’artagnan , "" i was not speaking to you , sir . """,29
""" let us go , basil , "" said lord henry with a strange tenderness in his voice , and the two young men passed out together .",13
"' wake up , alice dear ! ' said her sister ; ' why , what a long sleep you 've had ! ' ' oh , i 've had such a curious dream ! ' said alice , and she told her sister , as well as she could remember them , all these strange adventures of hers that you have just been reading about ; and when she had finished , her sister kissed her , and said ,",55
"first , she dreamed of little alice herself , and once again the tiny hands were clasped upon her knee , and the bright eager eyes were looking up into hers -- she could hear the very tones of her voice , and see that queer little toss of her head to keep back the wandering hair that would always get into her eyes -- and still as she listened , or seemed to listen , the whole place around her became alive the strange creatures of her little sister 's dream .",84
all these ideas and a thousand others assaulted me at the same time . in these strange circumstances the scope for conjecture was unlimited . i felt an unbearable queasiness . this day of waiting seemed endless . the hours struck too slowly to keep up with my impatience .,16
"mrs . reed was rather a stout woman ; but , on hearing this strange and audacious declaration , she ran nimbly up the stair , swept me like a whirlwind into the nursery , and crushing me down on the edge of my crib , dared me in an emphatic voice to rise from that place , or utter one syllable during the remainder of the day .",14
"but the incredulous stuart was not convinced , and when the hand was finished , said eagerly : "" you have a strange way , ralph , of proving that the world has grown smaller . so , because you can go round it in three months-- """,22
but there was no sign within it of that desperate and defiant villain whom we expected to see . instead we were faced by an object so strange and so unexpected that we stood for a moment staring at it in amazement .,27
"captain nemo called out . a steward appeared . the captain gave him his orders in that strange language i could n't even identify . then , turning to the canadian and conseil :",17
""" well , this is strange ! """,5
""" good heavens , conseil , it 's just like old times in my office at the botanical gardens in paris ! i accept your kind wishes and i thank you for them . only , i 'd like to know what you mean by a ' happy year ' under the circumstances in which we 're placed . is it a year that will bring our imprisonment to an end , or a year that will see this strange voyage continue ? """,79
""" stapleton was with me when i heard it last . he said that it might be the calling of a strange bird . """,21
why did he utter such strange barks when a sort of uneasiness seemed to draw him towards this well ?,5
"during many years this strange being visited every ocean , from pole to pole .",4
"stapi is a village consisting of about thirty huts , built of lava , at the south side of the base of the volcano . it extends along the inner edge of a small fiord , inclosed between basaltic walls of the strangest construction .",42
"the two friends met her in the corridor , greatly troubled and much upset by such strange events ; she called some of the nuns , who against all monastic custom found themselves in the presence of five men .",16
""" that was a strange question to be put by his darling jane . """,4
"so strange a reception naturally gave milady ample matter for reflection ; so seeing that the young officer did not seem at all disposed for conversation , she reclined in her corner of the carriage , and one after the other passed in review all the surmises which presented themselves to her mind .",1
"here is the exact facsimile . i think it important to let these strange signs be publicly known , for they were the means of drawing on professor liedenbrock and his nephew to undertake the most wonderful expedition of the nineteenth century .",13
"even a few feet from the wall i could hear distinctly . i succeeded in catching uncertain , strange , undistinguishable words . they came as if pronounced in low murmured whispers . the word ' _ forlorad _ ' was several times repeated in a tone of sympathy and sorrow .",18
"he was unaware that the frenchman and his two companions had been miraculously cast on shore , that the fishermen of the lofoten islands had rendered them assistance , and that the professor , on his return to france , had published that work in which seven months of the strange and eventful navigation of the "" nautilus "" were narrated and exposed to the curiosity of the public .",50
"neither top nor jup , who accompanied him , ever betrayed by their behavior that there was anything strange there , and yet more than once again the dog barked at the mouth of the well , which the engineer had before explored without result .",18
"but heaven had reserved them for a strange destiny , and after having , on the 20th of march , escaped from richmond , besieged by the troops of general ulysses grant , they found themselves seven thousand miles from the capital of virginia , which was the principal stronghold of the south , during the terrible war of secession .",7
"i was transported in thought to the scenes of childhood : i dreamt i lay in the red - room at gateshead ; that the night was dark , and my mind impressed with strange fears . the light that long ago had struck me into syncope , recalled in this vision , seemed glidingly to mount the wall , and tremblingly to pause in the centre of the obscured ceiling .",34
""" so i have murdered sibyl vane , "" said dorian gray , half to himself , "" murdered her as surely as if i had cut her little throat with a knife . yet the roses are not less lovely for all that . the birds sing just as happily in my garden . and to - night i am to dine with you , and then go on to the opera , and sup somewhere , i suppose , afterwards . how extraordinarily dramatic life is ! if i had read all this in a book , harry , i think i would have wept over it . somehow , now that it has happened actually , and to me , it seems far too wonderful for tears . here is the first passionate love - letter i have ever written in my life . strange , that my first passionate love - letter should have been addressed to a dead girl . can they feel , i wonder , those white silent people we call the dead ? sibyl ! can she feel , or know , or listen ? oh , harry , how i loved her once ! it seems years ago to me now . she was everything to me .",147
"from that day forward , who knows where the nautilus took us in the north atlantic basin ? always at incalculable speed ! always amid the high arctic mists ! did it call at the capes of spitzbergen or the shores of novaya zemlya ? did it visit such uncharted seas as the white sea , the kara sea , the gulf of ob , the lyakhov islands , or those unknown beaches on the siberian coast ? i 'm unable to say . i lost track of the passing hours . time was in abeyance on the ship 's clocks . as happens in the polar regions , it seemed that night and day no longer followed their normal sequence . i felt myself being drawn into that strange domain where the overwrought imagination of edgar allan poe was at home . like his fabled arthur gordon pym , i expected any moment to see that "" shrouded human figure , very far larger in its proportions than any dweller among men , "" thrown across the cataract that protects the outskirts of the pole !",129
""" professor , "" this strange man then said , "" you must excuse the informality with which i receive you , and the disorder reigning in this lounge . """,5
"i shut the closet to conceal the strange , wraith - like apparel it contained ; which , at this evening hour -- nine o'clock -- gave out certainly a most ghostly shimmer through the shadow of my apartment .",7
"captain nemo fell silent and seemed lost in reverie . i regarded him with intense excitement , silently analyzing his strange facial expression . leaning his elbow on the corner of a valuable mosaic table , he no longer saw me , he had forgotten my very presence .",20
"d’artagnan , following the strange custom of the times , considered himself at paris as on a campaign , neither more nor less than if he had been in flanders -- spain yonder , woman here .",4
strange words of a strange love !,4
"presentiments are strange things ! and so are sympathies ; and so are signs ; and the three combined make one mystery to which humanity has not yet found the key . i never laughed at presentiments in my life , because i have had strange ones of my own . sympathies , i believe , exist ( for instance , between far - distant , long - absent , wholly estranged relatives asserting , notwithstanding their alienation , the unity of the source to which each traces his origin ) whose workings baffle mortal comprehension . and signs , for aught we know , may be but the sympathies of nature with man .",45
"it seems strange to me that all round me do not burn to enlist under the same banner,--to join in the same enterprise . """,2
"it was an insane idea . fortunately i controlled myself and stretched out on the bed to soothe my bodily agitation . my nerves calmed a little , but with my brain so aroused , i did a swift review of my whole existence aboard the nautilus , every pleasant or unpleasant incident that had crossed my path since i went overboard from the abraham lincoln : the underwater hunting trip , the torres strait , our running aground , the savages of papua , the coral cemetery , the suez passageway , the island of santorini , the cretan diver , the bay of vigo , atlantis , the ice bank , the south pole , our imprisonment in the ice , the battle with the devilfish , the storm in the gulf stream , the avenger , and that horrible scene of the vessel sinking with its crew . . . ! all these events passed before my eyes like backdrops unrolling upstage in a theater . in this strange setting captain nemo then grew fantastically . his features were accentuated , taking on superhuman proportions . he was no longer my equal , he was the man of the waters , the spirit of the seas .",171
"meanwhile the reddish light guiding us had expanded and inflamed the horizon . the presence of this furnace under the waters had me extremely puzzled . was it some sort of electrical discharge ? was i approaching some natural phenomenon still unknown to scientists on shore ? or , rather ( and this thought did cross my mind ) , had the hand of man intervened in that blaze ? had human beings fanned those flames ? in these deep strata would i meet up with more of captain nemo 's companions , friends he was about to visit who led lives as strange as his own ? would i find a whole colony of exiles down here , men tired of the world 's woes , men who had sought and found independence in the ocean 's lower depths ? all these insane , inadmissible ideas dogged me , and in this frame of mind , continually excited by the series of wonders passing before my eyes , i would n't have been surprised to find on this sea bottom one of those underwater towns captain nemo dreamed about !",103
"there the obsessive fears in my brain left me . i became surprisingly calm again . the ease with which i could move increased my confidence , and the many strange sights captivated my imagination .",30
""" to exhibit it ! you want to exhibit it ? "" exclaimed dorian gray , a strange sense of terror creeping over him . was the world going to be shown his secret ? were people to gape at the mystery of his life ? that was impossible . something -- he did not know what -- had to be done at once .",17
"i was certainly feeling very weary , so i obeyed his injunction . i left holmes seated in front of the smouldering fire , and long into the watches of the night i heard the low , melancholy wailings of his violin , and knew that he was still pondering over the strange problem which he had set himself to unravel .",52
milady smiled with a strange smile .,4
"ere i had finished this reply , my soul began to expand , to exult , with the strangest sense of freedom , of triumph , i ever felt .",18
""" a strange wish , mrs . reed ; why do you hate her so ? """,2
"these were the historical memories that captain nemo 's scrawl sent rushing through my mind . thus , led by the strangest of fates , i was treading underfoot one of the mountains of that continent ! my hands were touching ruins many thousands of years old , contemporary with prehistoric times ! i was walking in the very place where contemporaries of early man had walked ! my heavy soles were crushing the skeletons of animals from the age of fable , animals that used to take cover in the shade of these trees now turned to stone !",21
""" surprised ? "" replied martin , "" not in the least . i see nothing strange in this passion . i have seen so many extraordinary things that there is nothing extraordinary to me now . """,16
"dorian gray drew a long breath . the colour came back to his cheeks , and a smile played about his lips . the peril was over . he was safe for the time . yet he could not help feeling infinite pity for the painter who had just made this strange confession to him , and wondered if he himself would ever be so dominated by the personality of a friend . lord henry had the charm of being very dangerous . but that was all . he was too clever and too cynical to be really fond of . would there ever be some one who would fill him with a strange idolatry ? was that one of the things that life had in store ?",113
"sherlock holmes had , in a very remarkable degree , the power of detaching his mind at will . for two hours the strange business in which we had been involved appeared to be forgotten , and he was entirely absorbed in the pictures of the modern belgian masters . he would talk of nothing but art , of which he had the crudest ideas , from our leaving the gallery until we found ourselves at the northumberland hotel .",23
"and it might have been for this reason only , that , when i again uplifted my eyes to the house itself , from its image in the pool , there grew in my mind a strange fancy — a fancy so ridiculous , indeed , that i but mention it to show the vivid force of the sensations which oppressed me .",36
"i was glad when it ceased . on sleeping , i continued in dreams the idea of a dark and gusty night . i continued also the wish to be with you , and experienced a strange , regretful consciousness of some barrier dividing us .",36
"as he left the room , dorian gray smiled to himself . poor basil ! how little he knew of the true reason ! and how strange it was that , instead of having been forced to reveal his own secret , he had succeeded , almost by chance , in wresting a secret from his friend ! how much that strange confession explained to him ! the painter 's absurd fits of jealousy , his wild devotion , his extravagant panegyrics , his curious reticences-- he understood them all now , and he felt sorry . there seemed to him to be something tragic in a friendship so coloured by romance .",26
"as he left the room , dorian gray smiled to himself . poor basil ! how little he knew of the true reason ! and how strange it was that , instead of having been forced to reveal his own secret , he had succeeded , almost by chance , in wresting a secret from his friend ! how much that strange confession explained to him ! the painter 's absurd fits of jealousy , his wild devotion , his extravagant panegyrics , his curious reticences-- he understood them all now , and he felt sorry . there seemed to him to be something tragic in a friendship so coloured by romance .",61
"the communications were renewed from day to day : they always ran on the same theme -- herself , her loves , and woes . it was strange she never once adverted either to her mother 's illness , or her brother 's death , or the present gloomy state of the family prospects . her mind seemed wholly taken up with reminiscences of past gaiety , and aspirations after dissipations to come .",27
this strange and sonorous cry was produced by a game bird called grouse in the united states .,1
