text,ind,sense,label
""" where do your brothers and sisters live ? "" "" i have no brothers or sisters . """,4,"('brother', 'frère', 'hermano')",0
""" where do your brothers and sisters live ? "" "" i have no brothers or sisters . """,14,"('brother', 'frère', 'hermano')",0
""" and much less than a friend . a sort of brother , i suppose ? """,11,"('brother', 'frère', 'hermanar')",1
""" oh , brothers ! i do n't care for brothers . my elder brother wo n't die , and my younger brothers seem never to do anything else . """,3,"('brother', 'frère', 'hermano')",0
bazin became a lay brother .,4,"('brother', 'frère', 'hermanar')",1
""" my unhappy brother is starving on the moor . we can not let him perish at our very gates . the light is a signal to him that food is ready for him , and his light out yonder is to show the spot to which to bring it . """,3,"('brother', 'frère', 'hermanar')",1
"the brother did not perceive this ; he had turned round to play with milady ’s favorite monkey , which had pulled him by the doublet .",1,"('brother', 'frère', 'hermanar')",1
"her voice , of immense power and sublime expression , gave to the rude , unpolished poetry of these psalms a magic and an effect which the most exalted puritans rarely found in the songs of their brethren , and which they were forced to ornament with all the resources of their imagination . felton believed he heard the singing of the angel who consoled the three hebrews in the furnace .",37,"('brother', 'frère', 'hermano')",0
""" then your brother is -- """,3,"('brother', 'frère', 'hermanar')",1
""" lord de winter died without revealing anything to his brother .",10,"('brother', 'frère', 'hermanar')",1
""" mr . reed was my uncle -- my mother 's brother . """,11,"('brother', 'frère', 'hermanar')",1
"she told d’artagnan that lord de winter was her brother - in - law , and not her brother . she had married a younger brother of the family , who had left her a widow with one child .",18,"('brother', 'frère', 'hermanar')",1
"at the denunciating sound , the monks would be rendered aware that temptation was besieging a brother , and all the community would go to prayers .",16,"('brother', 'frère', 'hermanar')",1
""" his _ elder _ brother ? """,5,"('brother', 'frère', 'hermanar')",1
""" nine years is a tolerable time . was he so very fond of his brother as to be still inconsolable for his loss ? """,15,"('brother', 'frère', 'hermanar')",1
diana and mary rivers became more sad and silent as the day approached for leaving their brother and their home .,16,"('brother', 'frère', 'hermanar')",1
"mm bassompierre and schomberg were marshals of france , and claimed their right of commanding the army under the orders of the king ; but the cardinal , who feared that bassompierre , a huguenot at heart , might press but feebly the english and rochellais , his brothers in religion , supported the duc d’angouleme , whom the king , at his instigation , had named lieutenant general .",48,"('brother', 'frère', 'hermano')",0
""" my inquiries show beyond all question that the family portrait did not lie , and that this fellow was indeed a baskerville . he was a son of that rodger baskerville , the younger brother of sir charles , who fled with a sinister reputation to south america , where he was said to have died unmarried . he did , as a matter of fact , marry , and had one child , this fellow , whose real name is the same as his father 's . he married beryl garcia , one of the beauties of costa rica , and , having purloined a considerable sum of public money , he changed his name to vandeleur and fled to england , where he established a school in the east of yorkshire . his reason for attempting this special line of business was that he had struck up an acquaintance with a consumptive tutor upon the voyage home , and that he had used this man 's ability to make the undertaking a success . fraser , the tutor , died however , and the school which had begun well sank from disrepute into infamy . the vandeleurs found it convenient to change their name to stapleton , and he brought the remains of his fortune , his schemes for the future , and his taste for entomology to the south of england . i learned at the british museum that he was a recognized authority upon the subject , and that the name of vandeleur has been permanently attached to a certain moth which he had , in his yorkshire days , been the first to describe .",35,"('brother', 'frère', 'hermanar')",1
she riveted a searching gaze on her brother 's face .,7,"('brother', 'frère', 'hermanar')",1
he was my mother 's brother . my father and he quarrelled long ago .,5,"('brother', 'frère', 'hermanar')",1
"then when she had no longer any doubt , she cried , in a state of stupor , "" what , my brother , is it you ? """,22,"('brother', 'frère', 'hermanar')",1
"at the corner of the pine - wood he caught sight of sir geoffrey clouston , the duchess 's brother , jerking two spent cartridges out of his gun . he jumped from the cart , and having told the groom to take the mare home , made his way towards his guest through the withered bracken and rough undergrowth .",19,"('brother', 'frère', 'hermanar')",1
""" no high - sounding words ! let us sit down and chat quietly , as brother and sister ought to do . """,16,"('brother', 'frère', 'hermanar')",1
""" i bear that of your brother . """,6,"('brother', 'frère', 'hermanar')",1
""" ay , but you are mistaken . my brother is only your second husband ; and your first is still living .",9,"('brother', 'frère', 'hermanar')",1
""" yes , let us chat , brother , "" said she , with a kind of cheerfulness , decided as she was to draw from the conversation , in spite of all the dissimulation lord de winter could bring , the revelations of which she stood in need to regulate her future conduct .",7,"('brother', 'frère', 'hermanar')",1
"it is impossible that your majesty can make all this ado about a letter written to my brother . """,17,"('brother', 'frère', 'hermanar')",1
"john does not at all resemble his father , and i am glad of it : john is like me and like my brothers -- he is quite a gibson .",23,"('brother', 'frère', 'hermano')",0
""" st . john , "" i returned , "" i regard you as a brother -- you , me as a sister : so let us continue . """,15,"('brother', 'frère', 'hermanar')",1
""" my brother , "" continued she , "" was not that my lord buckingham whom i saw on the jetty this evening as we arrived ? """,2,"('brother', 'frère', 'hermanar')",1
"the communications were renewed from day to day : they always ran on the same theme -- herself , her loves , and woes . it was strange she never once adverted either to her mother 's illness , or her brother 's death , or the present gloomy state of the family prospects . her mind seemed wholly taken up with reminiscences of past gaiety , and aspirations after dissipations to come .",41,"('brother', 'frère', 'hermanar')",1
"diana rivers had designated her brother "" inexorable as death . "" she had not exaggerated .",5,"('brother', 'frère', 'hermanar')",1
""" yes , your french husband . i do n’t speak of my brother .",13,"('brother', 'frère', 'hermanar')",1
"what the devil ! d’artagnan is too good a comrade to leave his brothers in embarrassment while he wears the ransom of a king on his finger . """,13,"('brother', 'frère', 'hermano')",0
""" not if it were my own brother ! "" cried d’artagnan , as if carried away by his enthusiasm .",7,"('brother', 'frère', 'hermanar')",1
"he looked quite a gentleman , and i believe he was your father 's brother . """,14,"('brother', 'frère', 'hermanar')",1
""" since rodger baskerville , sir charles 's younger brother died unmarried , the estate would descend to the desmonds , who are distant cousins . james desmond is an elderly clergyman in westmoreland . """,9,"('brother', 'frère', 'hermanar')",1
"anne of austria ran to her jewel case . "" here , "" said she , "" here is a ring of great value , as i have been assured . it came from my brother , the king of spain . it is mine , and i am at liberty to dispose of it .",35,"('brother', 'frère', 'hermanar')",1
""" to me , to a brother ? "" said felton .",6,"('brother', 'frère', 'hermanar')",1
""" well , then , "" said milady , "" i confide in my brother ; i will dare to-- """,14,"('brother', 'frère', 'hermanar')",1
""" assassin of buckingham , assassin of felton , assassin of my brother , i demand justice upon you , and i swear that if it be not granted to me , i will execute it myself . """,12,"('brother', 'frère', 'hermanar')",1
"felton took leave of milady as a brother about to go for a mere walk takes leave of his sister , kissing her hand .",7,"('brother', 'frère', 'hermanar')",1
"he began again with a bit of a heaviness in his head the next day -- that is , a fortnight sin'--and he went to sleep and niver wakened : he wor a'most stark when your brother went into t ' chamber and fand him .",36,"('brother', 'frère', 'hermanar')",1
"my parents obliged me , at the age of fifteen , to put on this detestable habit only to increase the fortune of an elder brother of mine , whom god confound ! jealousy , discord , and fury , reside in our monastery .",25,"('brother', 'frère', 'hermanar')",1
"i had two elder brothers , one of whom was lieutenant - colonel to an english regiment of foot in flanders , formerly commanded by the famous colonel lockhart , and was killed at the battle near dunkirk against the spaniards . what became of my second brother i never knew , any more than my father or mother knew what became of me .",4,"('brother', 'frère', 'hermano')",0
"i observed in this last part of his discourse , which was truly prophetic , though i suppose my father did not know it to be so himself — i say , i observed the tears run down his face very plentifully , especially when he spoke of my brother who was killed : and that when he spoke of my having leisure to repent , and none to assist me , he was so moved that he broke off the discourse , and told me his heart was so full he could say no more to me .",49,"('brother', 'frère', 'hermanar')",1
""" no , felton , no , my brother , "" said she ; "" the sacrifice is too great , and i feel what it must cost you .",8,"('brother', 'frère', 'hermanar')",1
"i was obliged to brand the guilty one ; and he , gentlemen , was my brother !",16,"('brother', 'frère', 'hermanar')",1
"i suspected where she was concealed . i followed her , i caught her , i bound her ; and i imprinted the same disgraceful mark upon her that i had imprinted upon my poor brother .",35,"('brother', 'frère', 'hermanar')",1
""" the day after my return to lille , my brother in his turn succeeded in making his escape ; i was accused of complicity , and was condemned to remain in his place till he should be again a prisoner .",10,"('brother', 'frère', 'hermanar')",1
"my poor brother was ignorant of this sentence . he rejoined this woman ; they fled together into berry , and there he obtained a little curacy .",2,"('brother', 'frère', 'hermanar')",1
""" then , "" resumed he , "" mad , desperate , determined to get rid of an existence from which she had stolen everything , honor and happiness , my poor brother returned to lille , and learning the sentence which had condemned me in his place , surrendered himself , and hanged himself that same night from the iron bar of the loophole of his prison .",32,"('brother', 'frère', 'hermanar')",1
""" and your brother ? """,3,"('brother', 'frère', 'hermanar')",1
""" and my brother also . """,3,"('brother', 'frère', 'hermanar')",1
"one day he was surprised in a lonely road between a huguenot and a catholic , with both of whom he had before had business , and who both knew him again ; so they united against him and hanged him on a tree . then they came and boasted of their fine exploit in the cabaret of the next village , where my brother and i were drinking . """,64,"('brother', 'frère', 'hermanar')",1
and again she earnestly conjured me to give up all thoughts of going out with her brother .,16,"('brother', 'frère', 'hermanar')",1
"i was in bed , and fast asleep , when it pleased heaven to send the bulgarians to our delightful castle of thunder - ten - tronckh , where they murdered my father and brother , and cut my mother in pieces .",34,"('brother', 'frère', 'hermanar')",1
""" then , as in leaving the cabaret they took different directions , my brother went and hid himself on the road of the catholic , and i on that of the huguenot .",14,"('brother', 'frère', 'hermanar')",1
"mistrust everybody , your friend , your brother , your mistress -- your mistress above all . """,7,"('brother', 'frère', 'hermanar')",1
"the brother had been led to his resolution ( so he told me ) by consideration of the unusual character of the malady of the deceased , of certain obtrusive and eager inquiries on the part of her medical men , and of the remote and exposed situation of the burial - ground of the family .",1,"('brother', 'frère', 'hermanar')",1
"the two ladies , their brother , mr . st . john , the old servant , were all gazing at me .",5,"('brother', 'frère', 'hermanar')",1
""" she is now living at thornfield hall , "" said mason , in more articulate tones : "" i saw her there last april . i am her brother . """,29,"('brother', 'frère', 'hermanar')",1
""" yes , go , go ! "" said she to her brother ; "" the effects are drawing near , on the contrary ; but you , weak fool , will not see them until it is too late to shun them . "" silence was re - established .",12,"('brother', 'frère', 'hermanar')",1
"a striking similitude between the brother and sister now first arrested my attention ; and usher , divining , perhaps , my thoughts , murmured out some few words from which i learned that the deceased and himself had been twins , and that sympathies of a scarcely intelligible nature had always existed between them .",5,"('brother', 'frère', 'hermanar')",1
""" thus agitated and perplexed , now distracted and lost , now half dead with grief , i revolved in my mind the murder of my father , mother , and brother , committed before my eyes ; the insolence of the rascally bulgarian soldier ; the wound he gave me in the groin ; my servitude ; my being a cook - wench to my bulgarian captain ; my subjection to the hateful jew , and my cruel inquisitor ; the hanging of doctor pangloss ; the miserere sung while you were being whipped ; and particularly the kiss i gave you behind the screen , the last day i ever beheld you .",31,"('brother', 'frère', 'hermanar')",1
""" you were in a cloister , "" said the executioner , "" and you left it to ruin my brother . """,20,"('brother', 'frère', 'hermanar')",1
"cacambo 's master then began , with great gravity , to deliver himself thus in italian : "" i am not joking in the least , my name is achmet iii . i was grand sultan for many years ; i dethroned my brother , my nephew dethroned me , my viziers lost their heads , and i am condemned to end my days in the old seraglio . my nephew , the grand sultan mahomet , gives me permission to travel sometimes for my health , and i am come to spend the carnival at venice . """,43,"('brother', 'frère', 'hermanar')",1
""" i pardon you , "" said he , "" for the poisoning of my brother , and the assassination of his grace , lord buckingham . i pardon you for the death of poor felton ; i pardon you for the attempts upon my own person .",15,"('brother', 'frère', 'hermanar')",1
""" that man , "" said milady , lowering her voice , "" is my brother . """,15,"('brother', 'frère', 'hermanar')",1
""" your brother ! "" cried mme . bonacieux .",2,"('brother', 'frère', 'hermanar')",1
""" listen . this is what has happened : my brother , who was coming to my assistance to take me away by force if it were necessary , met with the emissary of the cardinal , who was coming in search of me .",10,"('brother', 'frère', 'hermanar')",1
"he followed him . at a solitary and retired part of the road he drew his sword , and required the messenger to deliver up to him the papers of which he was the bearer . the messenger resisted ; my brother killed him . """,41,"('brother', 'frère', 'hermanar')",1
"then my brother determined to substitute cunning for force . he took the papers , and presented himself here as the emissary of the cardinal , and in an hour or two a carriage will come to take me away by the orders of his eminence . "" "" i understand .",2,"('brother', 'frère', 'hermanar')",1
"it is your brother who sends this carriage . "" "" exactly ; but that is not all .",3,"('brother', 'frère', 'hermanar')",1
"there were two slaves among the crew of the galley , who rowed very ill , and to whose bare backs the master of the vessel frequently applied a lash . candide , from natural sympathy , looked at these two slaves more attentively than at any of the rest , and drew near them with an eye of pity . their features , though greatly disfigured , appeared to him to bear a strong resemblance with those of pangloss and the unhappy baron jesuit , miss cunegund 's brother .",89,"('brother', 'frère', 'hermanar')",1
""" my brother met some emissaries of the cardinal in the uniform of musketeers .",2,"('brother', 'frère', 'hermanar')",1
"the lowest or the least known of them , as soon as he assumed the uniform of the company , was as sure of his aid and support as if he had been his own brother .",35,"('brother', 'frère', 'hermanar')",1
""" i hear a horse ’s steps ; it is my brother setting off again . i should like to offer him a last salute . come ! """,11,"('brother', 'frère', 'hermanar')",1
""" adieu , brother ! "" cried milady .",3,"('brother', 'frère', 'hermanar')",1
"for a moment she remained trembling and reeling to and fro upon the threshold — then , with a low moaning cry , fell heavily inward upon the person of her brother , and in her violent and now final death - agonies , bore him to the floor a corpse , and a victim to the terrors he had anticipated .",31,"('brother', 'frère', 'hermanar')",1
"through the ingenuousness of her age beamed an ardent mind , not of the woman , but of the poet . she did not please ; she intoxicated . she lived in a small town with her brother , who was a curate .",37,"('brother', 'frère', 'hermanar')",1
"both had recently come into the country . they came nobody knew whence ; but when seeing her so lovely and her brother so pious , nobody thought of asking whence they came .",22,"('brother', 'frère', 'hermanar')",1
""" oh , there is no difficulty in that . i shall stop and conceal myself a few leagues hence until my brother can rejoin me . well , i take you with me ; we conceal ourselves , and wait together . """,22,"('brother', 'frère', 'hermanar')",1
""" well ! the carriage is at the door ; you bid me adieu ; you mount the step to embrace me a last time ; my brother ’s servant , who comes to fetch me , is told how to proceed ; he makes a sign to the postillion , and we set off at a gallop . """,27,"('brother', 'frère', 'hermanar')",1
"mary 's is a clergyman , a college friend of her brother 's , and , from his attainments and principles , worthy of the connection .",11,"('brother', 'frère', 'hermanar')",1
"we will send my brother ’s servant back to bethune , whom , as i told you , we can trust . he shall assume a disguise , and place himself in front of the convent . if the emissaries of the cardinal arrive , he will take no notice ; if it is monsieur d’artagnan and his friends , he will bring them to us . """,4,"('brother', 'frère', 'hermanar')",1
""" come , sibyl , "" said her brother impatiently . he hated his mother 's affectations .",8,"('brother', 'frère', 'hermanar')",1
"at the first word milady turned , looking at the young man with astonishment ; and when he had finished , she said in very good french , "" monsieur , i should with great confidence place myself under your protection if the person with whom i quarrel were not my brother . """,51,"('brother', 'frère', 'hermanar')",1
"she embraced candide and her brother ; they embraced the old woman , and candide ransomed them both .",5,"('brother', 'frère', 'hermanar')",1
""" my brother ’s carriage will be here first . """,2,"('brother', 'frère', 'hermanar')",1
"you are madame ’s brother , i learn -- be it so ; but fortunately you are not mine . """,4,"('brother', 'frère', 'hermanar')",1
""" be punished alone , for the first , miserable man ! "" said lord de winter to felton , who was being dragged away with his eyes turned toward the sea ; "" but i swear to you by the memory of my brother whom i have loved so much that your accomplice is not saved . """,44,"('brother', 'frère', 'hermanar')",1
