text,sense,label,ind,new_label
one day he had the imprudence to recall himself to the memory of the cardinal . the cardinal had him informed that he would provide for him so that he should never want for anything in future .,"('anything', 'rien', 'nadar')",0,34,0
""" he did n't tell you anything else ? ""","('anything', 'rien', 'nadar')",0,6,0
"neither top nor jup , who accompanied him , ever betrayed by their behavior that there was anything strange there , and yet more than once again the dog barked at the mouth of the well , which the engineer had before explored without result .","('anything', 'rien', 'nadar')",0,17,0
"the cardinal was left free to carry on the siege , without having , at least at the present , anything to fear on the part of the english .","('anything', 'rien', 'nadar')",0,20,0
"to judge by his appearance this miserable being had no longer anything human about him , and yet harding , as had the reporter already , observed in his look an indefinable trace of intelligence .","('anything', 'rien', 'nadar')",0,11,0
"but why did she return to tours without telling me anything ? ""","('anything', 'rien', 'nadar')",0,10,0
""" but about this stranger , "" said i. "" can you tell me anything about him ? what did selden say ? did he find out where he hid , or what he was doing ? ""","('anything', 'rien', 'nadar')",0,14,0
"this mysterious shade , spread over his whole person , rendered still more interesting the man whose eyes or mouth , even in the most complete intoxication , had never revealed anything , however skillfully questions had been put to him .","('anything', 'rien', 'nadar')",0,31,0
"at first i could hardly see anything . my eyes , unaccustomed to the light , quickly closed . when i was able to reopen them , i stood more stupefied even than surprised .","('anything', 'rien', 'nadar')",0,6,0
but i will not believe it to be anything important . i warn you of incredulity beforehand .,"('anything', 'rien', 'nadar')",0,8,0
""" eat away , my jup , "" said he , "" and do n't spare anything ; you have shed your blood for us , and it is the least i can do to make you strong again ! ""","('anything', 'rien', 'nadar')",0,16,0
"yesterday the sun set in a very red - looking horizon , and now , this morning , those mares - tails do n't forbode anything good . ""","('anything', 'rien', 'nadar')",0,25,0
"there are moments when the odour of lilas blanc passes suddenly across me , and i have to live the strangest month of my life over again . i wish i could change places with you , dorian . the world has cried out against us both , but it has always worshipped you . it always will worship you . you are the type of what the age is searching for , and what it is afraid it has found . i am so glad that you have never done anything , never carved a statue , or painted a picture , or produced anything outside of yourself ! life has been your art . you have set yourself to music . your days are your sonnets . ""","('anything', 'rien', 'nadar')",0,91,0
""" a very fair comparison , my lad . now do you see anything upon that knee bone ? ""","('anything', 'rien', 'nadar')",0,13,0
""" thanks , i wo n't have anything more , "" said the painter , taking his cap and coat off and throwing them on the bag that he had placed in the corner . "" and now , my dear fellow , i want to speak to you seriously . do n't frown like that . you make it so much more difficult for me . ""","('anything', 'rien', 'nadar')",0,7,0
""" i am not particular about anything at all , "" retorted the sailor , who was rather vexed by the engineer 's opposition , but who did not wish to cause him anxiety .","('anything', 'rien', 'nadar')",0,6,0
"hallward started back . "" this is blasphemy , dorian ! "" he cried . "" you must not say things like that . they are horrible , and they do n't mean anything . ""","('anything', 'rien', 'nadar')",0,33,0
""" yes , captain , although since i 've been aboard your vessel , i should have formed the habit of not being amazed by anything ! ""","('anything', 'rien', 'nadar')",0,25,0
""" my dear boy , no woman is a genius . women are a decorative sex . they never have anything to say , but they say it charmingly . women represent the triumph of matter over mind , just as men represent the triumph of mind over morals . ""","('anything', 'rien', 'nadar')",0,20,0
"harding also reminded his companions of the singular behavior of top and jup when they prowled round the mouth of the well , which placed granite house in communication with the sea , and he told them that he had explored the well , without discovering anything suspicious .","('anything', 'rien', 'nadar')",0,46,0
neither in the forests of the far west was anything to be seen .,"('anything', 'rien', 'nadar')",0,9,0
""" de wardes can not boast of anything . ""","('anything', 'rien', 'nadar')",0,7,0
""" stop , gray . i do n't want to know anything further . whether what you have told me is true or not true does n't concern me . i entirely decline to be mixed up in your life . keep your horrible secrets to yourself . they do n't interest me any more . ""","('anything', 'rien', 'nadar')",0,11,0
"this time it was not a host but a hostess who received him . d’artagnan was a physiognomist . his eye took in at a glance the plump , cheerful countenance of the mistress of the place , and he at once perceived there was no occasion for dissembling with her , or of fearing anything from one blessed with such a joyous physiognomy .","('anything', 'rien', 'nadar')",0,55,0
he tried in vain to remember the faces or dress of the assassins ; he had escaped so rapidly that he had not had leisure to notice anything .,"('anything', 'rien', 'nadar')",0,27,0
""" briggs is in london . i should doubt his knowing anything at all about mr . rochester ; it is not in mr . rochester he is interested .","('anything', 'rien', 'nadar')",0,11,0
""" do n't let us say anything to pencroft yet ; we will prepare these leaves , and one fine day we will present him with a pipe already filled ! ""","('anything', 'rien', 'nadar')",0,6,0
""" oh , mr . spilett , that does n't prove anything ! "" replied pencroft .","('anything', 'rien', 'nadar')",0,11,0
""" she will not dare to say anything ; that would be to denounce herself . ""","('anything', 'rien', 'nadar')",0,7,0
"as to the other , he knows me , he fears me , and knows what he has to expect of me if ever i escape from his hands . it is useless , then , to attempt anything with him .","('anything', 'rien', 'nadar')",0,38,0
"he took them with him , without encouraging them or promising them anything , and without concealing from them that their luck , and even his own , depended upon the cast of the dice .","('anything', 'rien', 'nadar')",0,12,0
""" i have looked in vain for anything that 's worth the trouble of stooping for . ""","('anything', 'rien', 'nadar')",0,7,0
""" i do n't want anything , "" murmured the young man .","('anything', 'rien', 'nadar')",0,5,0
"the great question certainly was , what ? alice looked all round her at the flowers and the blades of grass , but she did not see anything that looked like the right thing to eat or drink under the circumstances . there was a large mushroom growing near her , about the same height as herself ; and when she had looked under it , and on both sides of it , and behind it , it occurred to her that she might as well look and see what was on the top of it .","('anything', 'rien', 'nadar')",0,27,0
