text,ind,sense,label
"with the winter , work had been resumed in the interior of granite house , mending clothes and different occupations , among others making the sails for their vessel , which were cut from the inexhaustible balloon - case .",18,"('different', 'divers', 'diverso')",0
"we knew all these details , but we were not aware that since our departure the question had advanced to farther stages . other similar maxillaries , though belonging to individuals of various types and different nations , were found in the loose grey soil of certain grottoes in france , switzerland , and belgium , as well as weapons , tools , earthen utensils , bones of children and adults . the existence therefore of man in the quaternary period seemed to become daily more certain .",35,"('different', 'différent', 'diverso')",1
"i went looking in the library for a book about this island , one of the most fertile in the world . sure enough , i found a volume entitled ceylon and the singhalese by h. c. sirr , esq . reentering the lounge , i first noted the bearings of ceylon , on which antiquity lavished so many different names . it was located between latitude 5 degrees 55 ' and 9 degrees 49 ' north , and between longitude 79 degrees 42 ' and 82 degrees 4 ' east of the meridian of greenwich ; its length is 275 miles ; its maximum width , 150 miles ; its circumference , 900 miles ; its surface area , 24,448 square miles , in other words , a little smaller than that of ireland .",59,"('different', 'divers', 'diverso')",0
""" if we were at granite house , "" answered the engineer , "" the case would be very different .",19,"('different', 'différent', 'diferente')",2
""" therefore , "" i wrote , "" after examining these different hypotheses one by one , we are forced , every other supposition having been refuted , to accept the existence of an extremely powerful marine animal .",11,"('different', 'divers', 'diverso')",0
""" if you had told us of your own free will it would have been a different thing , "" said the baronet , "" you only told us , or rather your wife only told us , when it was forced from you and you could not help yourself . """,16,"('different', 'différent', 'distinto')",3
"however flattering this compliment , the officer made no reply ; but drawing from his belt a little silver whistle , such as boatswains use in ships of war , he whistled three times , with three different modulations . immediately several men appeared , who unharnessed the smoking horses , and put the carriage into a coach house .",37,"('different', 'différent', 'diferente')",2
"possessed by one single thought -- that of the promise he had made , and of the responsibility he had taken -- he retired last to his chamber , begged the host to procure him a map of the province , bent over it , examined every line traced upon it , perceived that there were four different roads from bethune to armentieres , and summoned the lackeys .",57,"('different', 'différent', 'diferente')",2
"the ceiling lights were off , yet the lounge was still brightly lit . this was due to the reflecting power of the walls of ice , which threw the beams of our beacon right back at us . words can not describe the effects produced by our galvanic rays on these huge , whimsically sculpted blocks , whose every angle , ridge , and facet gave off a different glow depending on the nature of the veins running inside the ice . it was a dazzling mine of gems , in particular sapphires and emeralds , whose jets of blue and green crisscrossed . here and there , opaline hues of infinite subtlety raced among sparks of light that were like so many fiery diamonds , their brilliance more than any eye could stand . the power of our beacon was increased a hundredfold , like a lamp shining through the biconvex lenses of a world - class lighthouse .",69,"('different', 'différent', 'diferente')",2
"they must set out the next morning at daybreak , and go to armentieres -- each by a different route .",18,"('different', 'différent', 'diferente')",2
"athos set the lackeys to work first because , since these men had been in the service of himself and his friends he had discovered in each of them different and essential qualities . then , lackeys who ask questions inspire less mistrust than masters , and meet with more sympathy among those to whom they address themselves .",29,"('different', 'différent', 'diferente')",2
""" they 're thermometric sounding lines that report water temperatures in the different strata . """,12,"('different', 'divers', 'diferente')",4
""" no , "" said dorian gray , "" there is nothing fearful about it . it is one of the great romantic tragedies of the age . as a rule , people who act lead the most commonplace lives . they are good husbands , or faithful wives , or something tedious . you know what i mean -- middle - class virtue and all that kind of thing . how different sibyl was ! she lived her finest tragedy . she was always a heroine . the last night she played-- the night you saw her -- she acted badly because she had known the reality of love . when she knew its unreality , she died , as juliet might have died . she passed again into the sphere of art . there is something of the martyr about her . her death has all the pathetic uselessness of martyrdom , all its wasted beauty .",72,"('different', 'différent', 'diferente')",2
"but i do n't mean to flatter you : if you are cast in a different mould to the majority , it is no merit of yours : nature did it .",15,"('different', 'différent', 'diferente')",2
"i started , or rather ( for like other defaulters , i like to lay half the blame on ill fortune and adverse circumstances ) was thrust on to a wrong tack at the age of one - and - twenty , and have never recovered the right course since : but i might have been very different ; i might have been as good as you -- wiser -- almost as stainless . i envy you your peace of mind , your clean conscience , your unpolluted memory .",57,"('different', 'différent', 'diferente')",2
""" here , professor aronnax , are the different dimensions of this boat now transporting you . it 's a very long cylinder with conical ends . it noticeably takes the shape of a cigar , a shape already adopted in london for several projects of the same kind . the length of this cylinder from end to end is exactly seventy meters , and its maximum breadth of beam is eight meters . so it is n't quite built on the ten - to - one ratio of your high - speed steamers ; but its lines are sufficiently long , and their tapering gradual enough , so that the displaced water easily slips past and poses no obstacle to the ship 's movements .",8,"('different', 'divers', 'diferente')",4
"in this way , shots being fired from four different points at once , the convicts would be led to believe that the island was both largely peopled and strongly defended .",9,"('different', 'différent', 'diferente')",2
""" your eminence is right , "" replied milady ; "" and i have been wrong in seeing in the mission with which you honor me anything but that which it really is -- that is , to announce to his grace , on the part of your eminence , that you are acquainted with the different disguises by means of which he succeeded in approaching the queen during the fete given by madame the constable ; that you have proofs of the interview granted at the louvre by the queen to a certain italian astrologer who was no other than the duke of buckingham ; that you have ordered a little romance of a satirical nature to be written upon the adventures of amiens , with a plan of the gardens in which those adventures took place , and portraits of the actors who figured in them ; that montague is in the bastille , and that the torture may make him say things he remembers , and even things he has forgotten ; that you possess a certain letter from madame de chevreuse , found in his grace ’s lodging , which singularly compromises not only her who wrote it , but her in whose name it was written .",56,"('different', 'différent', 'diferente')",2
"lord henry looked over at mr . erskine . "" humanity takes itself too seriously . it is the world 's original sin . if the caveman had known how to laugh , history would have been different . """,37,"('different', 'différent', 'distinto')",3
"two hours after , all was over ; we had done the business of both , admiring the foresight of our poor father , who had taken the precaution to bring each of us up in a different religion . """,37,"('different', 'différent', 'diferente')",2
"is it in any way different from other schools ? """,5,"('different', 'différent', 'diferente')",2
"ordinary women never appeal to one 's imagination . they are limited to their century . no glamour ever transfigures them . one knows their minds as easily as one knows their bonnets . one can always find them . there is no mystery in any of them . they ride in the park in the morning and chatter at tea - parties in the afternoon . they have their stereotyped smile and their fashionable manner . they are quite obvious . but an actress ! how different an actress is ! harry ! why did n't you tell me that the only thing worth loving is an actress ? """,87,"('different', 'différent', 'diferente')",2
"i hastened to drive from my mind the hateful notion i had been conceiving respecting grace poole ; it disgusted me . i compared myself with her , and found we were different .",32,"('different', 'différent', 'diferente')",2
"lord henry watched him with a subtle sense of pleasure . how different he was now from the shy frightened boy he had met in basil hallward 's studio ! his nature had developed like a flower , had borne blossoms of scarlet flame . out of its secret hiding - place had crept his soul , and desire had come to meet it on the way .",12,"('different', 'différent', 'diferente')",2
"i mounted to my chamber ; locked myself in ; fell on my knees ; and prayed in my way -- a different way to st . john 's , but effective in its own fashion . i seemed to penetrate very near a mighty spirit ; and my soul rushed out in gratitude at his feet .",22,"('different', 'différent', 'diferente')",2
"as fast as we descended , the succession of beds forming the primitive foundation came out with increasing distinctness . geologists consider this primitive matter to be the base of the mineral crust of the earth , and have ascertained it to be composed of three different formations , schist , gneiss , and mica schist , resting upon that unchangeable foundation , the granite .",46,"('different', 'différent', 'diferente')",2
""" that comes , "" i told him , "" from the water temperature of the gulf stream , which , as it leaves the gulf of mexico , is barely different from your blood temperature . this gulf stream is a huge heat generator that enables the coasts of europe to be decked in eternal greenery . and if commander maury is correct , were one to harness the full warmth of this current , it would supply enough heat to keep molten a river of iron solder as big as the amazon or the missouri . """,31,"('different', 'différent', 'diferente')",2
"this was formed of granite rocks , capriciously distributed , very different from the cliff at prospect heights , and of an extremely wild aspect .",11,"('different', 'différent', 'diferente')",2
"she laughed and took his arm . "" you dear old jim , you talk as if you were a hundred . some day you will be in love yourself . then you will know what it is . do n't look so sulky . surely you should be glad to think that , though you are going away , you leave me happier than i have ever been before . life has been hard for us both , terribly hard and difficult . but it will be different now . you are going to a new world , and i have found one . here are two chairs ; let us sit down and see the smart people go by . """,88,"('different', 'différent', 'diferente')",2
""" you do n't understand me , harry , "" answered the artist . "" of course i am not like him . i know that perfectly well . indeed , i should be sorry to look like him . you shrug your shoulders ? i am telling you the truth . there is a fatality about all physical and intellectual distinction , the sort of fatality that seems to dog through history the faltering steps of kings . it is better not to be different from one 's fellows . the ugly and the stupid have the best of it in this world . they can sit at their ease and gape at the play . if they know nothing of victory , they are at least spared the knowledge of defeat . they live as we all should live -- undisturbed , indifferent , and without disquiet . they neither bring ruin upon others , nor ever receive it from alien hands . your rank and wealth , harry ; my brains , such as they are -- my art , whatever it may be worth ; dorian gray 's good looks -- we shall all suffer for what the gods have given us , suffer terribly . """,85,"('different', 'différent', 'diferente')",2
"this accident , which appeared so very serious to pencroft , produced different effects on the companions of the honest sailor .",12,"('different', 'divers', 'diverso')",0
