text,ind,sense,label
""" you say , watson , that the lady is not there ? "" holmes asked , when i had finished my report .",22,"('report', 'rapport', 'relatar')",0
six seconds elapsed between the flash and the report .,8,"('report', 'coup', 'ruido')",1
"but till then the guns had not spoken , and the first report which awoke the echoes of the forest of the far west was provoked by the appearance of a beautiful bird , resembling the kingfisher .",12,"('report', 'détonation', 'detonación')",2
"the city carpenters had erected scaffolds upon which the invited ladies were to be placed ; the city grocer had ornamented the chambers with two hundred flambeaux of white wax , a piece of luxury unheard of at that period ; and twenty violins were ordered , and the price for them fixed at double the usual rate , upon condition , said the report , that they should be played all night .",64,"('report', 'rapport', 'informar')",3
"a tremendous report was heard , but the piece had held good , and the colonists rushing to the windows , saw the shot graze the rocks of mandible cape , nearly five miles from granite house , and disappear in shark gulf .",2,"('report', 'détonation', 'detonación')",2
""" well , captain , "" exclaimed pencroft , whose cheers might have rivaled the reports themselves , "" what do you say of our battery ?",15,"('report', 'détonation', 'detonación')",2
"the four muskets made but one report , but four men fell .",6,"('report', 'détonation', 'detonación')",2
"what were pencroft 's feelings , sheltered under a rock on the islet ! what were those of harding , the reporter , herbert , and neb , crouched in the chimneys , when they heard the reports on board the brig !",37,"('report', 'détonation', 'detonación')",2
the sailor reported these words to his companions .,2,"('report', 'rapporter', 'referir')",4
""" without doubt . and you will tell him i will publish the report of bois - robert and the marquis de beautru , upon the interview which the duke had at the residence of madame the constable with the queen on the evening madame the constable gave a masquerade . you will tell him , in order that he may not doubt , that he came there in the costume of the great mogul , which the chevalier de guise was to have worn , and that he purchased this exchange for the sum of three thousand pistoles . """,13,"('report', 'rapport', 'informar')",3
"he frowned , and tearing the paper in two , went across the room and flung the pieces away . how ugly it all was ! and how horribly real ugliness made things ! he felt a little annoyed with lord henry for having sent him the report . and it was certainly stupid of him to have marked it with red pencil . victor might have read it . the man knew more than enough english for that .",47,"('report', 'reportage', 'noticiar')",5
"two cable lengths off the abraham lincoln 's starboard quarter , the sea seemed to be lit up from underneath . this was no mere phosphorescent phenomenon , that much was unmistakable . submerged some fathoms below the surface of the water , the monster gave off that very intense but inexplicable glow that several captains had mentioned in their reports . this magnificent radiance had to come from some force with a great illuminating capacity . the edge of its light swept over the sea in an immense , highly elongated oval , condensing at the center into a blazing core whose unbearable glow diminished by degrees outward .",60,"('report', 'rapport', 'informe')",6
herbert reported to the colonists the questions and answers which had been made .,1,"('report', 'rapporter', 'referir')",4
he reported in a few words the most important parts of his conversation with passepartout .,1,"('report', 'rapporter', 'referir')",4
