text,sense,label,ind,new_label
"questioning the natives , captain dumont d'urville also learned that after la pérouse 's two ships had miscarried on the island 's reefs , the count had built a smaller craft , only to go off and miscarry a second time . where ? nobody knew .","('build', 'construire', 'construir')",0,27,0
""" but do you know , "" returned pencroft , "" that it will take at least five or six months to build a vessel of from thirty to forty tons ? ""","('build', 'construire', 'construir')",0,22,0
""" decidedly we have only one way , "" said spilett , "" one single way for leaving lincoln island , and that is , to build a vessel large enough to sail several hundred miles .","('build', 'construire', 'construir')",0,26,0
"on the 26th nothing yet . rain mingled with snow was falling all day long . hans built a hut of pieces of lava . i felt a malicious pleasure in watching the thousand rills and cascades that came tumbling down the sides of the cone , and the deafening continuous din awaked by every stone against which they bounded .","('build', 'construire', 'construir')",0,17,0
""" in fact , "" said the reporter , "" instead of building a house it would be more important to build a boat , if by chance we are not more than a hundred miles from an inhabited coast . ""","('build', 'construire', 'construir')",0,12,0
""" in fact , "" said the reporter , "" instead of building a house it would be more important to build a boat , if by chance we are not more than a hundred miles from an inhabited coast . ""","('build', 'construire', 'construir')",0,21,0
"will it not then be best to build a ship which , if necessary , could take us either to the polynesian archipelago or to new zealand ?","('build', 'construire', 'construir')",0,7,0
""" but how were you able to build this wonderful nautilus in secret ? ""","('build', 'construire', 'construir')",0,7,0
"all this timber was piled up under a large shed , built near the chimneys , and there awaited the time for use .","('build', 'construire', 'construir')",0,11,0
""" captain , "" asked the sailor , "" would it not be a good plan , before setting out , to build a canoe in which we could either ascend the river , or , if we liked , coast round the inland ?","('build', 'construire', 'construir')",0,22,0
"now he wished to visit tabor island , and as a boat of a certain size was necessary for this voyage , he determined to build one .","('build', 'construire', 'construir')",0,25,0
""" then , captain , "" replied the sailor , "" let us build a house on the edge of the lake .","('build', 'construire', 'construir')",0,13,0
