text,sense,label,ind,new_label
"d’artagnan himself was frightened by the change in her countenance . she joined her hands with a suppliant air , but without venturing to speak a word .","('countenance', 'visage', 'rostro')",0,9,0
"it was not that the sight of the wretched pony did not excite numerous smiles on the countenances of passers - by ; but as against the side of this pony rattled a sword of respectable length , and as over this sword gleamed an eye rather ferocious than haughty , these passers - by repressed their hilarity , or if hilarity prevailed over prudence , they endeavored to laugh only on one side , like the masks of the ancients .","('countenance', 'visage', 'rostro')",0,17,0
"at these words the reclining figure rose , and the electric light fell upon his countenance ; a magnificent head , the forehead high , the glance commanding , beard white , hair abundant and falling over the shoulders .","('countenance', 'visage', 'rostro')",0,15,0
she tried to give her countenance an appearance of perfect candor .,"('countenance', 'visage', 'rostro')",0,5,0
"as for me , i shall be deceived all my life perhaps , but i shall always have faith in a person whose countenance inspires me with sympathy . ""","('countenance', 'visage', 'rostro')",0,23,0
"now , as at the moment in which d’artagnan fixed his eyes upon the gentleman in the violet doublet , the gentleman made one of his most knowing and profound remarks respecting the bearnese pony , his two auditors laughed even louder than before , and he himself , though contrary to his custom , allowed a pale smile ( if i may allowed to use such an expression ) to stray over his countenance .","('countenance', 'visage', 'rostro')",0,74,0
"an expression of unspeakable joy lightened the countenance of milady ; but this expression was fleeting as the reflection of lightning . without appearing to have heard the dialogue , of which she had not lost a word , she began again , giving to her voice all the charm , all the power , all the seduction the demon had bestowed upon it :","('countenance', 'visage', 'rostro')",0,7,0
""" i do not often laugh , sir , "" replied the stranger , "" as you may perceive by the expression of my countenance ; but nevertheless i retain the privilege of laughing when i please . ""","('countenance', 'visage', 'rostro')",0,24,0
"at the first glance , and by the joy which was painted on his countenance , the worthy captain plainly perceived that something new was on foot .","('countenance', 'visage', 'rostro')",0,14,0
"at that moment the countenance of mme . bonacieux became livid ; a fearful agony pervaded her frame , and she sank panting into the arms of porthos and aramis .","('countenance', 'visage', 'rostro')",0,4,0
"her countenance , with surprising mobility , had recovered its gracious expression ; but some little red spots on her handkerchief indicated that she had bitten her lips till the blood came .","('countenance', 'visage', 'rostro')",0,1,0
"however , the revolution which appeared upon his countenance was so visible that bonacieux was terrified at it , and he endeavored to draw back a step or two ; but as he was standing before the half of the door which was shut , the obstacle compelled him to keep his place .","('countenance', 'visage', 'rostro')",0,8,0
"but however great was the power of this woman with eyes of flame in reading the hearts of those whose secrets she wished to divine , she met this time with a countenance of such impassivity that no discovery followed her investigation .","('countenance', 'visage', 'rostro')",0,32,0
"the three friends remained mute -- for although the voice as well as the countenance reminded them of someone they had seen , they could not remember under what circumstances .","('countenance', 'visage', 'rostro')",0,14,0
"their anxiety about their outfits had all disappeared , and each countenance only preserved the expression of its own secret disquiet -- for behind all present happiness is concealed a fear for the future .","('countenance', 'visage', 'rostro')",0,11,0
"aramis made a bound , seized the letter , read it , or rather devoured it , his countenance radiant .","('countenance', 'visage', 'rostro')",0,18,0
"milady looked at the officer with one of those terrible expressions peculiar to her countenance , and which so rarely failed of their effect ; anger made her eyes flash in the darkness .","('countenance', 'visage', 'rostro')",0,14,0
"still further , he had seldom seen the young musketeer ; but every time he had seen him , he had remarked a deep sadness imprinted on his countenance .","('countenance', 'visage', 'rostro')",0,28,0
"she , with a still - smiling countenance , took his arm , and passed with him under a low arched door , which by a vaulted passage , lighted only at the farther end , led to a stone staircase around an angle of stone . they then came to a massive door , which after the introduction into the lock of a key which the young man carried with him , turned heavily upon its hinges , and disclosed the chamber destined for milady .","('countenance', 'visage', 'rostro')",0,7,0
"a fete was so rare a thing for poor anne of austria that at this announcement , as the cardinal had predicted , the last trace of her resentment disappeared , if not from her heart at least from her countenance .","('countenance', 'visage', 'rostro')",0,40,0
"sometimes the expression of his countenance was deeply sorrowful , a proof that he suffered mentally , for his face could not be mistaken ; but he did not speak , although at different times , however , they almost thought that words were about to issue from his lips .","('countenance', 'visage', 'rostro')",0,5,0
"neither was it , as with our neighbors , the english , an atmospheric influence which darkened his countenance ; for the sadness generally became more intense toward the fine season of the year . june and july were the terrible months with athos .","('countenance', 'visage', 'rostro')",0,18,0
"all their countenances were melancholy and gloomy , even the mild countenance of aramis .","('countenance', 'visage', 'rostro')",0,2,0
"all their countenances were melancholy and gloomy , even the mild countenance of aramis .","('countenance', 'visage', 'rostro')",0,11,0
""" withdraw , young man , "" cried jussac , who doubtless , by his gestures and the expression of his countenance , had guessed d’artagnan ’s design .","('countenance', 'visage', 'rostro')",0,21,0
"at seven o’clock in the morning he arose and called planchet , who at the second summons opened the door , his countenance not yet quite freed from the anxiety of the preceding night .","('countenance', 'visage', 'rostro')",0,22,0
milady received this look like a resigned victim ; it was impossible to imagine a more submissive or a more mild expression than that which prevailed on her beautiful countenance .,"('countenance', 'visage', 'rostro')",0,29,0
"he could not distinguish her countenance , but a sinister smile passed over the lips of athos . he was not deceived ; it was she whom he sought .","('countenance', 'visage', 'rostro')",0,5,0
""" confide my shame to you , "" cried milady , with the blush of modesty upon her countenance , "" for often the crime of one becomes the shame of another -- confide my shame to you , a man , and i a woman ?","('countenance', 'visage', 'rostro')",0,18,0
""" oh , you love her still , "" said kitty , who had not taken her eyes off the young man ’s countenance for an instant .","('countenance', 'visage', 'rostro')",0,23,0
"milady saw by the contraction of his countenance that the trigger was about to be pulled ; she reached her hand quickly to her bosom , drew out a paper , and held it toward athos .","('countenance', 'visage', 'rostro')",0,7,0
"it is not true , "" said milady , in a tone of voice so firm , and with a countenance so unchanged , that if d’artagnan had not been in such perfect possession of the fact , he would have doubted .","('countenance', 'visage', 'rostro')",0,20,0
despair had completely changed his countenance .,"('countenance', 'visage', 'rostro')",0,5,0
"the four countenances expressed four different feelings : that of porthos , tranquillity ; that of d’artagnan , hope ; that of aramis , uneasiness ; that of athos , carelessness .","('countenance', 'visage', 'rostro')",0,2,0
""" the good george ! "" said she , closing the window with an expression of countenance full of affection and melancholy .","('countenance', 'visage', 'rostro')",0,16,0
""" i see i must come to an explanation . i do n't know what sphynx - like expression is forming in your countenance .","('countenance', 'visage', 'rostro')",0,23,0
"while he was listening to this recital , delivered with the greatest simplicity , the duke looked from time to time at the young man with astonishment , as if he could not comprehend how so much prudence , courage , and devotedness could be allied with a countenance which indicated not more than twenty years .","('countenance', 'visage', 'rostro')",0,48,0
"i could not see the expression of his countenance , but i felt the arm tremble upon which my hand was placed .","('countenance', 'visage', 'rostro')",0,8,0
