text,sense,label,ind,new_label
"the succeeding week seemed long : it came to an end at last , however , like all sublunary things , and once more , towards the close of a pleasant autumn day , i found myself afoot on the road to lowton .","('seem', 'sembler', 'parecer')",0,3,0
""" ah , that settles it . mrs . oldmore , too ; i seem to remember the name . excuse my curiosity , but often in calling upon one friend one finds another . ""","('seem', 'semble', 'parecer')",1,14,1
"ceasing all movement for an instant , we listened . and it may have been a ringing in my ear , from this organ filling with impeded blood , but it seemed to me that conseil 's shout had received an answer back .","('seem', 'sembler', 'parecer')",0,31,0
""" we must ask about this right away . "" he rang the bell and asked barrymore whether he could account for our experience . it seemed to me that the pallid features of the butler turned a shade paler still as he listened to his master 's question .","('seem', 'sembler', 'parecer')",0,26,0
""" like a log , professor . but i must be imagining things , because it seems like i 'm breathing a sea breeze ! ""","('seem', 'semble', 'parecer')",1,16,1
"phileas fogg gazed at the tempestuous sea , which seemed to be struggling especially to delay him , with his habitual tranquillity . he never changed countenance for an instant , though a delay of twenty hours , by making him too late for the yokohama boat , would almost inevitably cause the loss of the wager . but this man of nerve manifested neither impatience nor annoyance ; it seemed as if the storm were a part of his programme , and had been foreseen . aouda was amazed to find him as calm as he had been from the first time she saw him .","('seem', 'sembler', 'parecer')",0,70,0
""" oh , i do n’t doubt that , "" replied d’artagnan ; "" but it seems to me that you are tolerably familiar with coats of arms -- a certain embroidered handkerchief , for instance , to which i owe the honor of your acquaintance ? ""","('seem', 'semble', 'parecer')",1,16,1
"speaking very slowly , he told him to tell the house - keeper that he wanted to see her , and then to go to the frame - maker and ask him to send two of his men round at once . it seemed to him that as the man left the room his eyes wandered in the direction of the screen . or was that merely his own fancy ?","('seem', 'sembler', 'parecer')",0,43,0
""" but perhaps this passage runs to a very great depth . it seems to me that we have made no great progress vertically . ""","('seem', 'semble', 'parecer')",1,13,1
"it seems to me that the giant is not content with breathing ; he must smoke ! ""","('seem', 'semble', 'parecer')",1,1,1
""" it seems to me , "" said ayrton , who had reclined so as to place his ear to the ground , "" it seems to me that i can hear a dull , rumbling sound , like that of a wagon loaded with bars of iron . ""","('seem', 'semble', 'parecer')",1,2,1
"in fact , the substances thrown up fell back again in to the abyss , and it did not seem that the lava , though swollen by the internal pressure , had yet risen to the orifice of the crater .","('seem', 'sembler', 'parecer')",0,19,0
""" but you are wounded , it seems , "" said planchet .","('seem', 'semble', 'parecer')",1,7,1
""" that proctor on this train ! "" cried fix . "" well , reassure yourself , madam ; before he settles with mr . fogg ; he has got to deal with me ! it seems to me that i was the more insulted of the two . ""","('seem', 'semble', 'parecer')",1,36,1
""" it seems , nevertheless-- ""","('seem', 'semble', 'parecer')",1,2,1
""" but it seems to me that in this semidarkness , amid this liquid that 's so dense in comparison to the atmosphere , a gunshot could n't carry far and would prove fatal only with difficulty ! ""","('seem', 'semble', 'parecer')",1,3,1
"it seems as if the ship had rather foundered than blown up . ""","('seem', 'sembler', 'parecer')",0,1,0
""" it seems like a woman ! they search her ; she resists ; they use force -- the scoundrels ! ""","('seem', 'semble', 'parecer')",1,2,1
""" well , cyrus , "" said the reporter , "" there seems to be nothing suspicious in this water . ""","('seem', 'semble', 'parecer')",1,12,1
""" yes , the most precious indeed , "" replied the engineer ; "" and it would seem that nature wished to prove that it was so by making the diamond , which is simply pure carbon crystallized . ""","('seem', 'semble', 'parecer')",1,17,1
"it seems to me that he must be handsome , tall , strong , with a splendid beard , radiant hair , and that he must be seated on clouds , a great ball in his hands ! ""","('seem', 'semble', 'parecer')",1,1,1
"dorian watched them as they plunged into the alder - clump , brushing the lithe swinging branches aside . in a few moments they emerged , dragging a body after them into the sunlight . he turned away in horror . it seemed to him that misfortune followed wherever he went . he heard sir geoffrey ask if the man was really dead , and the affirmative answer of the keeper . the wood seemed to him to have become suddenly alive with faces . there was the trampling of myriad feet and the low buzz of voices . a great copper- breasted pheasant came beating through the boughs overhead .","('seem', 'sembler', 'parecer')",0,42,0
"it seemed as if the violent storm had produced a truce between the besiegers and the besieged , and that the cannon were silenced by the louder detonations of the storm .","('seem', 'sembler', 'parecer')",0,1,0
""" yet it seems to me your life is hardly secure while she stays . ""","('seem', 'semble', 'parecer')",1,3,1
"but it seems to me that something may be learned from the incident . ""","('seem', 'semble', 'parecer')",1,2,1
""" but it seems you had not much reason to complain of your fortune in your contest with him . ""","('seem', 'semble', 'parecer')",1,3,1
""" i have given you proof of that , it seems to me . ""","('seem', 'semble', 'parecer')",1,10,1
"from eight to nine o'clock , the nautilus stayed a few meters beneath the waters . according to my calculations , we had to be quite close to suez . through the panels in the lounge , i spotted rocky bottoms brightly lit by our electric rays . it seemed to me that the strait was getting narrower and narrower .","('seem', 'sembler', 'parecer')",0,49,0
""" to which you attach more value , it seems , than i do to mine ; at least , i have thought so . ""","('seem', 'semble', 'parecer')",1,9,1
"it seems to me that it is neither your majesty nor myself who can charge himself with such a mission . ""","('seem', 'semble', 'parecer')",1,1,1
