text,ind,sense,label
"during the month of july the cold was intense , but there was no lack of either wood or coal .",6,"('cold', 'froids', 'frío')",0
""" i wish she were ill , "" he rejoined . "" but she seems to me to be simply callous and cold . she has entirely altered . last night she was a great artist . this evening she is merely a commonplace mediocre actress . """,22,"('cold', 'froid', 'frío')",1
"meanwhile the cold became very severe , and unhappily they had no means of defending themselves from it .",2,"('cold', 'froid', 'freír')",2
"the air they breathed was heavy , damp , and cold .",10,"('cold', 'froid', 'freír')",2
""" what ? "" said mrs . reed under her breath : her usually cold composed grey eye became troubled with a look like fear ; she took her hand from my arm , and gazed at me as if she really did not know whether i were child or fiend .",14,"('cold', 'froid', 'frío')",1
"the next day , march 22 , at six o'clock in the morning , preparations for departure began . the last gleams of twilight were melting into night . the cold was brisk . the constellations were glittering with startling intensity . the wonderful southern cross , polar star of the antarctic regions , twinkled at its zenith .",30,"('cold', 'froid', 'freír')",2
"when we had laid aside our travelling wraps the voice of the host was heard inviting us to the kitchen , the only room where a fire was lighted even in the severest cold .",33,"('cold', 'froids', 'frío')",0
"besides , there were fewer to feed ; the sick could eat little ; our breakfast - basins were better filled ; when there was no time to prepare a regular dinner , which often happened , she would give us a large piece of cold pie , or a thick slice of bread and cheese , and this we carried away with us to the wood , where we each chose the spot we liked best , and dined sumptuously .",45,"('cold', 'froid', 'freír')",2
it was as cold as a block of marble .,3,"('cold', 'froid', 'frío')",1
"on a sign from the engineer , neb and pencroft examined the bodies , already stiffened by the cold .",18,"('cold', 'froid', 'freír')",2
"this intense cold lasted till the 15th of august , without , however , passing the degree of fahrenheit already mentioned .",2,"('cold', 'froid', 'frío')",1
"the cold season was now almost at an end , and it appeared as if this second winter was to pass without any unusual occurrence , when on the night of the 11th of august , the plateau of prospect heights was menaced with complete destruction .",1,"('cold', 'froid', 'frío')",1
"well built , he was inured to all climates , like a bar of steel hardened in cold water .",17,"('cold', 'froid', 'frío')",1
"doing nothing , expecting nothing ; merging night in day ; feeling but the sensation of cold when i let the fire go out , of hunger when i forgot to eat : and then a ceaseless sorrow , and , at times , a very delirium of desire to behold my jane again . yes : for her restoration i longed , far more than for that of my lost sight .",16,"('cold', 'froid', 'freír')",2
such words from the lips of this emotionless flemish boy showed that our enthusiasm was near the boiling point . but the canadian did n't fail to throw his dram of cold water over us .,31,"('cold', 'froid', 'frío')",1
"yet hans did not think it prudent to spend the night upon the sides of the cone . we continued our zigzag climb . the fifteen hundred remaining feet took us five hours to clear ; the circuitous route , the diagonal and the counter marches , must have measured at least three leagues . i could stand it no longer . i was yielding to the effects of hunger and cold . the rarefied air scarcely gave play to the action of my lungs .",71,"('cold', 'froid', 'freír')",2
"athos cast a cold and indifferent glance upon the objects we have described , and at the invitation of him whom he came to seek sat down near him .",3,"('cold', 'froid', 'frío')",1
"on the 13th they passed the edge of the banks of newfoundland , a dangerous locality ; during the winter , especially , there are frequent fogs and heavy gales of wind . ever since the evening before the barometer , suddenly falling , had indicated an approaching change in the atmosphere ; and during the night the temperature varied , the cold became sharper , and the wind veered to the south - east .",62,"('cold', 'froid', 'freír')",2
"about the 25th , after another change from snow to rain , the wind shifted to the southeast , and the cold became , suddenly , very severe .",21,"('cold', 'froid', 'freír')",2
"the water struck me as unusually cold , but i warmed up promptly while wielding my pick . my movements were quite free , although they were executed under a pressure of thirty atmospheres .",6,"('cold', 'froid', 'frío')",1
"the cold continued to the middle of september , and the prisoners in granite house began to find their captivity rather tedious .",1,"('cold', 'froid', 'freír')",2
"aouda and he had remained , despite the cold , under the portico of the custom house . neither wished to leave the place ; both were anxious to see mr . fogg again .",8,"('cold', 'froid', 'freír')",2
at last the cold ceased .,3,"('cold', 'froids', 'frío')",0
"to me , he was in reality become no longer flesh , but marble ; his eye was a cold , bright , blue gem ; his tongue a speaking instrument -- nothing more .",19,"('cold', 'froid', 'frío')",1
