text,sense,label,ind,new_label
"milady concealed her face in her hands , as if she could not endure the shame which this name recalled to her .","('conceal', 'cacher', 'ocultar')",0,1,0
"for the rest this vengeance was very easy ; for milady , doubtless to conceal her blushes from her lover , had ordered kitty to extinguish all the lights in the apartment , and even in the little chamber itself .","('conceal', 'cacher', 'ocultar')",0,14,0
"milady listened with the greatest attention , and yet it was easily to be perceived , whatever effort she made to conceal her impressions , that this recital was not agreeable to her .","('conceal', 'cacher', 'ocultar')",0,21,0
"d’artagnan concealed his face in the bosom of athos , and sobbed aloud .","('conceal', 'cacher', 'ocultar')",0,1,0
"then d’artagnan , as the reader , from whom we have not concealed the state of his fortune , very well knows -- d’artagnan was not a millionaire ; he hoped to become one someday , but the time which in his own mind he fixed upon for this happy change was still far distant .","('conceal', 'cacher', 'ocultar')",0,12,0
"louis xiii was struck with this insistence , and began to fancy that this recommendation concealed some mystery .","('conceal', 'cacher', 'ocultar')",0,15,0
the joy she felt at this discovery was so great she could not conceal it .,"('conceal', 'cacher', 'ocultar')",0,13,0
"the next day , when felton entered milady ’s apartment he found her standing , mounted upon a chair , holding in her hands a cord made by means of torn cambric handkerchiefs , twisted into a kind of rope one with another , and tied at the ends . at the noise felton made in entering , milady leaped lightly to the ground , and tried to conceal behind her the improvised cord she held in her hand .","('conceal', 'cacher', 'ocultar')",0,68,0
"dorian started . "" it would not interest you , mr . hubbard , "" he said , keeping his eye on the man . he felt ready to leap upon him and fling him to the ground if he dared to lift the gorgeous hanging that concealed the secret of his life . "" i sha n't trouble you any more now . i am much obliged for your kindness in coming round . ""","('conceal', 'cacher', 'ocultar')",0,47,0
"in a few moments harding and herbert on one side , the reporter and neb on the other , had disappeared behind the rocks , and five minutes later ayrton and pencroft , having without difficulty crossed the channel , disembarked on the islet and concealed themselves in the clefts of its eastern shore .","('conceal', 'cacher', 'ocultar')",0,45,0
""" my faith ! "" said the young man , laughing , "" i confess it , and so much more the readily , my dear bonacieux , as i see there is no concealing anything from you .","('conceal', 'cacher', 'ocultar')",0,34,0
"mme . bonacieux kissed the hands of the queen , concealed the paper in the bosom of her dress , and disappeared with the lightness of a bird .","('conceal', 'cacher', 'ocultar')",0,10,0
"in fact , it required all the courage which he concealed beneath his elegant form and polished manners to bear him so far .","('conceal', 'cacher', 'ocultar')",0,10,0
""" do you know , mr . passepartout , that this pretended tour in eighty days may conceal some secret errand -- perhaps a diplomatic mission ? ""","('conceal', 'cacher', 'ocultar')",0,17,0
"d’artagnan shuddered to the marrow at hearing this suave creature reproach him , with that sharp voice which she took such pains to conceal in conversation , for not having killed a man whom he had seen load her with kindnesses .","('conceal', 'cacher', 'ocultar')",0,23,0
"phileas fogg had not concealed from sir francis his design of going round the world , nor the circumstances under which he set out ; and the general only saw in the wager a useless eccentricity and a lack of sound common sense . in the way this strange gentleman was going on , he would leave the world without having done any good to himself or anybody else .","('conceal', 'cacher', 'ocultar')",0,4,0
""" ah , you gentlemen of policy ! "" replied the cardinal , knitting his brow in his turn , "" the secret of many unknown things might perhaps be found in your brains , if we could read them as you read that letter which you concealed as soon as you saw me coming . ""","('conceal', 'cacher', 'ocultar')",0,47,0
""" what was that letter you were about to read , monsieur aramis , and which you so promptly concealed ? ""","('conceal', 'cacher', 'ocultar')",0,19,0
""" you believed me to be dead , did you not , as i believed you to be ? and the name of athos as well concealed the comte de la fere , as the name milady clarik concealed anne de breuil .","('conceal', 'cacher', 'ocultar')",0,26,0
""" you believed me to be dead , did you not , as i believed you to be ? and the name of athos as well concealed the comte de la fere , as the name milady clarik concealed anne de breuil .","('conceal', 'cacher', 'ocultar')",0,38,0
"sleeplessness inflamed my eyes ; i had not dared to sleep a single instant . the light of day reassured me ; i went and threw myself on the bed , without parting with the emancipating knife , which i concealed under my pillow . "" when i awoke , a fresh meal was served .","('conceal', 'cacher', 'ocultar')",0,40,0
""" only i concealed a glass of water , which remained after my breakfast , thirst having been the chief of my sufferings when i remained forty - eight hours without eating or drinking .","('conceal', 'cacher', 'ocultar')",0,3,0
to reveal art and conceal the artist is art 's aim .,"('conceal', 'cacher', 'ocultar')",0,4,0
i turned my face away to conceal a smile i could not suppress : there was something ludicrous as well as painful in the little parisienne 's earnest and innate devotion to matters of dress .,"('conceal', 'cacher', 'ocultar')",0,6,0
"in fact , mousqueton had not concealed from his master that he had met d’artagnan and aramis , and that d’artagnan in the yellow horse had recognized the bearnese pony upon which he had come to paris , and which he had sold for three crowns .","('conceal', 'cacher', 'ocultar')",0,6,0
""" i fancy i begin to see my way , "" murmured milady , with a savage joy , burying herself under the clothes to conceal from anybody who might be watching her this burst of inward satisfaction .","('conceal', 'cacher', 'ocultar')",0,25,0
"pencroft could not prevent a large tear from rolling down his cheek , nor did he attempt to conceal it .","('conceal', 'cacher', 'ocultar')",0,18,0
""" and of what religion are you , then , madame ? "" asked felton , with an astonishment which in spite of the empire he held over himself he could not entirely conceal .","('conceal', 'cacher', 'ocultar')",0,33,0
