text,sense,label,ind,new_label
"towards midday the balloon was hovering above the sea at a height of only 2,000 feet . it contained 50,000 cubic feet of gas , and , thanks to its capacity , it could maintain itself a long time in the air , although it should reach a great altitude or might be thrown into a horizontal position .","('height', 'hauteur', 'altura')",0,11,0
"i will add that it was he who guided that chest , provided with everything we wanted , and stranded it on flotsam point ; that it was he who lighted that fire on the heights of the island , which permitted you to land ; that it was he who fired that bullet found in the body of the peccary ; that it was he who plunged that torpedo into the channel , which destroyed the brig ; in a word , that all those inexplicable events , for which we could not assign a reason , are due to this mysterious being .","('height', 'hauteur', 'altura')",0,35,0
"the vapor whirled in the air to an immeasurable height , as if the valves of an immense boiler had been suddenly opened .","('height', 'hauteur', 'altura')",0,9,0
"she was now not more than two miles off , and exactly opposite the plateau of prospect heights , for after having tacked off claw cape , she had drifted towards the north in the current of the rising tide .","('height', 'grande-vue', 'vestir')",1,17,1
each day cyrus harding and gideon spilett ascended the plateau of prospect heights .,"('height', 'grande-vue', 'vestir')",1,12,1
"i perfectly understood the necessity of abiding a particular moment of the tide to undertake the crossing of the fiord , when , the sea having reached its greatest height , it should be slack water . then the ebb and flow have no sensible effect , and the boat does not risk being carried either to the bottom or out to sea .","('height', 'hauteur', 'altura')",0,29,0
"it was not without difficulty that they broke a path through the thickets and brushwood which had never been put aside by the hand of men , and they thus went towards the shore , so as to arrive at the north of prospect heights .","('height', 'grande-vue', 'vestir')",1,44,1
"according to him , a cavity , more or less considerable , must exist in the mass of granite which supported prospect heights , and he intended to penetrate into it .","('height', 'grande-vue', 'vestir')",1,22,1
"after this event , and during all the time that the colonists , detained by herbert 's illness , remained in the corral , the pirates did not leave their cavern , and even after they had pillaged the plateau of prospect heights , they did not think it prudent to abandon it .","('height', 'grande-vue', 'vestir')",1,42,1
"the waves rebounded in dazzling foam , the beach entirely disapppearing under the raging flood , and the cliff appearing to emerge from the sea itself , the spray rising to a height of more than a hundred feet .","('height', 'hauteur', 'altura')",0,32,0
"the return to the plateau of prospect heights would , therefore , be followed by extensive agricultural labors , interrupted only by the projected expedition through the island .","('height', 'grande-vue', 'vestir')",1,7,1
"the road between prospect heights and the sources of the stream was already partly beaten , and with a better cart than the first , the material could be easily conveyed to the spot , especially if they could manage to capture some animals to draw it .","('height', 'grande-vue', 'vestir')",1,4,1
from this height they commanded all union bay .,"('height', 'hauteur', 'altura')",0,2,0
"in the meanwhile , herbert , pencroft , and the reporter occupied themselves with making traps on prospect heights and at the border of the forest .","('height', 'grande-vue', 'vestir')",1,18,1
"the stream , flowing this time towards the southwest shore of lake grant , stretched beyond creek glycerine , and invaded the plateau of prospect heights .","('height', 'grande-vue', 'vestir')",1,25,1
"also , neb and pencroft having gone to examine into the state of things at port balloon , and reported that the stock of cloth would suffer no damage in the grotto where it was stored , it was decided that the work at prospect heights should not be discontinued .","('height', 'grande-vue', 'vestir')",1,45,1
but during the night of the 8th an enormous column of vapor escaping from the crater rose with frightful explosions to a height of more than three thousand feet .,"('height', 'hauteur', 'altura')",0,22,0
"by the end of the first fortnight of december these works were finished , and prospect heights -- that is to say , a sort of irregular pentagon , having a perimeter of nearly four miles , surrounded by a liquid belt -- was completely protected from depredators of every description .","('height', 'grande-vue', 'vestir')",1,16,1
"all around had disappeared in the abyss ; the inferior cone of mount franklin , rent asunder by the explosion ; the lava jaws of shark gulf , the plateau of prospect heights , safety islet , the granite rocks of port balloon , the basalts of dakkar grotto , the long serpentine peninsula , so distant nevertheless from the center of the eruption .","('height', 'grande-vue', 'vestir')",1,32,1
"they therefore followed the bank of the mercy , traversed prospect heights , and after a walk of five miles or more they reached a glade , situated two hundred feet from lake grant .","('height', 'grande-vue', 'vestir')",1,11,1
"the cold season was now almost at an end , and it appeared as if this second winter was to pass without any unusual occurrence , when on the night of the 11th of august , the plateau of prospect heights was menaced with complete destruction .","('height', 'grande-vue', 'vestir')",1,40,1
"the convicts on prospect heights ! that was disaster , devastation , ruin .","('height', 'grande-vue', 'vestir')",1,4,1
"if they had constructed a house of bricks and wood on prospect heights , it certainly would not have resisted the fury of this storm .","('height', 'grande-vue', 'vestir')",1,12,1
a rapid stream of water rushed foaming across the plateau and dashed down a height of three hundred feet on to the beach !,"('height', 'hauteur', 'altura')",0,14,0
cyrus harding and his companions climbed prospect heights .,"('height', 'grande-vue', 'vestir')",1,7,1
the forest here was composed for the most part of trees which had already been met with near the lake and on prospect heights .,"('height', 'grande-vue', 'vestir')",1,23,1
"i looked back down the side we had just cleared . there the mountain rose only 700 to 800 feet above the plains ; but on its far slope it crowned the receding bottom of this part of the atlantic by a height twice that . my eyes scanned the distance and took in a vast area lit by intense flashes of light . in essence , this mountain was a volcano . fifty feet below its peak , amid a shower of stones and slag , a wide crater vomited torrents of lava that were dispersed in fiery cascades into the heart of the liquid mass . so situated , this volcano was an immense torch that lit up the lower plains all the way to the horizon .","('height', 'hauteur', 'altura')",0,42,0
"but this forest was only composed of coniferae , such as deodaras , already recognized by herbert , and douglas pine , similar to those which grow on the northwest coast of america , and splendid firs , measuring a hundred and fifty feet in height .","('height', 'hauteur', 'altura')",0,45,0
"however , during the first week of april , after a sudden barometrical fall , a renewed rise was marked by a heavy gale of wind , lasting five or six days ; then the needle of the instrument remained stationary at a height of twenty - nine inches and nine - tenths , and the weather appeared propitious for an excursion .","('height', 'hauteur', 'altura')",0,43,0
"during the nine days which preceded their departure , it was agreed that the work on prospect heights should be finished off .","('height', 'grande-vue', 'vestir')",1,17,1
"pencroft hoisted the capybara on his shoulders , and judging by the height of the sun that it was about two o'clock , he gave the signal to return .","('height', 'hauteur', 'altura')",0,12,0
"the latter was then led towards the mouth of the mercy , and all climbing the left bank of the river , reached prospect heights .","('height', 'grande-vue', 'vestir')",1,24,1
"ten minutes after , cyrus harding , spilett , and pencroft were at the foot of the cliff , leaving neb to take the cart on to the plateau of prospect heights .","('height', 'grande-vue', 'vestir')",1,31,1
"at any rate , even if it should occur , i do not think prospect heights would be seriously threatened .","('height', 'grande-vue', 'vestir')",1,15,1
""" also , since the night is clear , i will try , this very evening , to obtain our latitude by calculating the height of the southern cross , that is , from the southern pole above the horizon .","('height', 'hauteur', 'altura')",0,24,0
"the colonists worked with a will , and the two dams which besides did not exceed eight feet in width by three in height , were rapidly erected by means of well - cemented blocks of stone .","('height', 'hauteur', 'altura')",0,23,0
"we were in reality shut up inside an immeasurable excavation . its width could not be estimated , since the shore ran widening as far as eye could reach , nor could its length , for the dim horizon bounded the new . as for its height , it must have been several leagues . where this vault rested upon its granite base no eye could tell ; but there was a cloud hanging far above , the height of which we estimated at 12,000 feet , a greater height than that of any terrestrial vapour , and no doubt due to the great density of the air .","('height', 'hauteur', 'altura')",0,46,0
"this evening by the height of the pole , the next day by the passing of the sun at the meridian , he would obtain the position of the island .","('height', 'hauteur', 'altura')",0,4,0
"this instrument finished , the engineer returned to the beach , but as it was necessary to take the height of the pole from above a clear horizon , that is , a sea horizon , and as claw cape hid the southern horizon , he was obliged to look for a more suitable station .","('height', 'hauteur', 'altura')",0,19,0
"harding resolved , in consequence , to make his observation from prospect heights , taking into consideration its height above the level of the sea -- a height which he intended to calculate next day by a simple process of elementary geometry .","('height', 'grande-vue', 'vestir')",1,12,1
"harding resolved , in consequence , to make his observation from prospect heights , taking into consideration its height above the level of the sea -- a height which he intended to calculate next day by a simple process of elementary geometry .","('height', 'hauteur', 'altura')",0,18,0
"harding resolved , in consequence , to make his observation from prospect heights , taking into consideration its height above the level of the sea -- a height which he intended to calculate next day by a simple process of elementary geometry .","('height', 'hauteur', 'altura')",0,27,0
"the colonists were then on the shore of an unimportant little harbor , which would scarcely have contained even two or three fishing - boats . it served as a neck to the new creek , of which the curious thing was that its waters , instead of joining the sea by a gentle slope , fell from a height of more than forty feet , which explained why the rising tide was not felt up the stream .","('height', 'hauteur', 'altura')",0,59,0
"this part of the plateau commanded the heights of the left bank , which sloped away to the extremity of claw cape , and to the southern side of the island .","('height', 'hauteur', 'altura')",0,7,0
"that done , there was only the angle to calculate by bringing back the observation to the level of the sea , taking into consideration the depression of the horizon , which would necessitate measuring the height of the cliff .","('height', 'hauteur', 'altura')",0,36,0
"the value of this angle would give the height of alpha , and consequently that of the pole above the horizon , that is to say , the latitude of the island , since the latitude of a point of the globe is always equal to the height of the pole above the horizon of this point .","('height', 'hauteur', 'altura')",0,8,0
"the value of this angle would give the height of alpha , and consequently that of the pole above the horizon , that is to say , the latitude of the island , since the latitude of a point of the globe is always equal to the height of the pole above the horizon of this point .","('height', 'hauteur', 'altura')",0,47,0
"from this point his eye , accustomed to estimate heights and distances , was fixed for a long time on the cone , the summit of which he wished to reach the next day .","('height', 'hauteur', 'altura')",0,9,0
"but the plateau of prospect heights was open to them , and not covered by the fire of granite house .","('height', 'grande-vue', 'vestir')",1,5,1
it was now necessary to complete the observations of the evening before by measuring the height of the cliff above the level of the sea .,"('height', 'hauteur', 'altura')",0,15,0
""" well , my boy , i have just constructed two similar right - angled triangles ; the first , the smallest , has for its sides the perpendicular pole , the distance which separates the little stick from the foot of the pole and my visual ray for hypothenuse ; the second has for its sides the perpendicular cliff , the height of which we wish to measure , the distance which separates the little stick from the bottom of the cliff , and my visual ray also forms its hypothenuse , which proves to be prolongation of that of the first triangle . ""","('height', 'hauteur', 'altura')",0,62,0
"after the heat of these warm summer days , in the evening when their work was finished and the sea - breeze began to blow , they liked to sit on the edge of prospect heights , in a sort of veranda , covered with creepers , which neb had made with his own hands .","('height', 'grande-vue', 'vestir')",1,35,1
""" as the distance from the stick to the pole is to the distance from the stick to the base of the cliff , so is the height of the pole to the height of the cliff . ""","('height', 'hauteur', 'altura')",0,27,0
""" as the distance from the stick to the pole is to the distance from the stick to the base of the cliff , so is the height of the pole to the height of the cliff . ""","('height', 'hauteur', 'altura')",0,33,0
""" just so , herbert , "" replied the engineer ; "" and when we have measured the two first distances , knowing the height of the pole , we shall only have a sum in proportion to do , which will give us the height of the cliff , and will save us the trouble of measuring it directly . ""","('height', 'hauteur', 'altura')",0,24,0
""" just so , herbert , "" replied the engineer ; "" and when we have measured the two first distances , knowing the height of the pole , we shall only have a sum in proportion to do , which will give us the height of the cliff , and will save us the trouble of measuring it directly . ""","('height', 'hauteur', 'altura')",0,45,0
"the mountain was composed of two cones ; the first , truncated at a height of about two thousand five hundred feet , was sustained by buttresses , which appeared to branch out like the talons of an immense claw set on the ground .","('height', 'hauteur', 'altura')",0,14,0
5000 / 15 = 333.3 from which it was proved that the granite cliff measured 333 feet in height .,"('height', 'hauteur', 'altura')",0,18,0
"now , this angle by adding to it the twenty - seven degrees which separated alpha from the antarctic pole , and by reducing to the level of the sea the height of the cliff on which the observation had been made , was found to be fifty - three degrees .","('height', 'hauteur', 'altura')",0,31,0
"at the same time other work was actively continued , and soon all trace of devastation disappeared from the plateau of prospect heights .","('height', 'grande-vue', 'vestir')",1,22,1
"near the middle of the platform , the skiff was half set in the ship 's hull , making a slight bulge . fore and aft stood two cupolas of moderate height , their sides slanting and partly inset with heavy biconvex glass , one reserved for the helmsman steering the nautilus , the other for the brilliance of the powerful electric beacon lighting his way .","('height', 'hauteur', 'altura')",0,31,0
"and yet no one was to be seen , neither on the shore , nor on the heights .","('height', 'hauteur', 'altura')",0,17,0
"indeed , how could he imagine that a dwelling was hollowed out , at that height , in the solid granite ?","('height', 'hauteur', 'altura')",0,15,0
"the animals which frequented these heights -- and there were numerous traces of them -- must necessarily belong to those races of sure foot and supple spine , chamois or goat .","('height', 'hauteur', 'altura')",0,5,0
"the colonists waited , therefore , for ayrton to appear on prospect heights .","('height', 'grande-vue', 'vestir')",1,12,1
"its fins set vertically , its propeller thrown in gear at the captain 's signal , the nautilus rose with lightning speed , shooting upward like an air balloon into the sky . vibrating resonantly , it knifed through the watery mass . not a single detail was visible . in four minutes it had cleared the four vertical leagues separating it from the surface of the ocean , and after emerging like a flying fish , it fell back into the sea , making the waves leap to prodigious heights .","('height', 'hauteur', 'altura')",0,90,0
"the colonists , after leaving the plateau of prospect heights , immediately took the road to the corral .","('height', 'grande-vue', 'vestir')",1,9,1
"it was on the 3rd of january that herbert , having ascended at daybreak to the plateau of prospect heights to harness one of the onagers , perceived an enormous hat - shaped cloud rolling from the summit of the volcano .","('height', 'grande-vue', 'vestir')",1,19,1
"but now the vapors were replaced by a thick smoke , rising in the form of a grayish column , more than three hundred feet in width at its base , and which spread like an immense mushroom to a height of from seven to eight hundred feet above the summit of the mountain .","('height', 'hauteur', 'altura')",0,40,0
"in the meanwhile , works of all sorts were continued , as well on prospect heights as at the corral , where harding intended to build a farm .","('height', 'grande-vue', 'vestir')",1,15,1
there was still a height of a thousand feet to overcome .,"('height', 'hauteur', 'altura')",0,4,0
"it was well worth while , besides , to turn prospect heights into a kitchen - garden , defended by its deep belt of creeks , and to remove them to the meadows , which had no need of protection against the depredations of quadrumana and quadrapeds .","('height', 'grande-vue', 'vestir')",1,11,1
"this mode of communication obliged them first to climb prospect heights , making a detour by the river 's bank , and then to descend two hundred feet through the passage , having to climb as far when they wished to return to the plateau .","('height', 'grande-vue', 'vestir')",1,10,1
"in consequence , therefore , a few days after , on the 25th of april , in the evening , when the settlers were all collected on prospect heights , cyrus harding began by saying,--","('height', 'grande-vue', 'vestir')",1,28,1
"landing at the foot of a high wall of granite , he shook himself vigorously ; and then , setting off running , soon disappeared behind a rocky point , which projected to nearly the height of the northern extremity of the islet .","('height', 'hauteur', 'altura')",0,35,0
"the "" bonadventure "" was already a quarter of a mile from the coast when the passengers perceived on the heights of granite house two men waving their farewells ; they were cyrus harding and neb .","('height', 'hauteur', 'altura')",0,20,0
"the second level was separated by a perpendicular granite cliff , terminated at the top by an unequal edge at a height of at least 300 feet .","('height', 'hauteur', 'altura')",0,21,0
