text,sense,label,ind,new_label
john 's wife opened for me .,"('wife', 'femme', 'mujer')",0,2,0
""" be satisfied , "" replied bonacieux ; "" my wife adores me , and there is yet time . ""","('wife', 'femme', 'mujer')",0,10,0
"as i looked at his lofty forehead , still and pale as a white stone -- at his fine lineaments fixed in study -- i comprehended all at once that he would hardly make a good husband : that it would be a trying thing to be his wife .","('wife', 'femme', 'esposo')",1,48,1
""" it was because i felt and knew this , that i resolved to marry you . to tell me that i had already a wife is empty mockery : you know now that i had but a hideous demon .","('wife', 'femme', 'esposo')",1,25,1
""" they are both simply forms of imitation , "" remarked lord henry . "" but do let us go . dorian , you must not stay here any longer . it is not good for one 's morals to see bad acting . besides , i do n't suppose you will want your wife to act , so what does it matter if she plays juliet like a wooden doll ? she is very lovely , and if she knows as little about life as she does about acting , she will be a delightful experience . there are only two kinds of people who are really fascinating-- people who know absolutely everything , and people who know absolutely nothing . good heavens , my dear boy , do n't look so tragic ! the secret of remaining young is never to have an emotion that is unbecoming . come to the club with basil and myself . we will smoke cigarettes and drink to the beauty of sibyl vane . she is beautiful . what more can you want ? ""","('wife', 'femme', 'esposo')",1,54,1
""" ’ hear me , ’ said he ; ’ this man has gone , and for the moment has consequently escaped my vengeance ; but let us be united , as we were to have been , and then leave it to lord de winter to maintain his own honor and that of his wife . ’ ""","('wife', 'femme', 'mujer')",0,55,0
"m bonacieux lived on very quietly , wholly ignorant of what had become of his wife , and caring very little about it .","('wife', 'femme', 'mujer')",0,15,0
"the love with which his young wife had inspired him was a secondary sentiment , and was not strong enough to contend with the primitive feelings we have just enumerated .","('wife', 'femme', 'mujer')",0,6,0
"it is true that when a man possesses a young and pretty wife , he has no need to seek happiness elsewhere . happiness comes to meet him , does it not , monsieur bonacieux ? ""","('wife', 'femme', 'mujer')",0,12,0
""" well , i can not blame you for standing by your own wife . forget what i have said . go to your room , you two , and we shall talk further about this matter in the morning . ""","('wife', 'femme', 'esposo')",1,13,1
""" monsieur bonacieux , "" said the commissary , looking at the accused as if his little eyes had the faculty of reading to the very depths of hearts , "" you have a wife ? ""","('wife', 'femme', 'mujer')",0,34,0
the husband had presided at the abduction of his wife .,"('wife', 'femme', 'mujer')",0,9,0
""" athos , she is your wife , i tell you , "" repeated d’artagnan ; "" only reflect how much the two descriptions resemble each other . ""","('wife', 'femme', 'mujer')",0,6,0
"oh , the devil ! that ’s unpardonable in a man of your age , and who besides , has such a pretty wife as yours . ""","('wife', 'femme', 'mujer')",0,23,0
""" i 'm the law , i 'm the tribunal ! i 'm the oppressed , and there are my oppressors ! thanks to them , i 've witnessed the destruction of everything i loved , cherished , and venerated -- homeland , wife , children , father , and mother ! there lies everything i hate ! not another word out of you ! ""","('wife', 'femme', 'esposo')",1,43,1
"if bonacieux knew where his wife was , one might , by extreme means , force the mercer to open his teeth and let his secret escape .","('wife', 'femme', 'mujer')",0,5,0
"he had doublets cut out of his old clothes and cast - off cloaks for mousqueton , and thanks to a very intelligent tailor , who made his clothes look as good as new by turning them , and whose wife was suspected of wishing to make porthos descend from his aristocratic habits , mousqueton made a very good figure when attending on his master .","('wife', 'femme', 'mujer')",0,40,0
""" i suspect , "" said he , "" a tall , dark man , of lofty carriage , who has the air of a great lord . he has followed us several times , as i think , when i have waited for my wife at the wicket of the louvre to escort her home . ""","('wife', 'femme', 'mujer')",0,45,0
"he had only been back an hour or two ; he had accompanied his wife to the place of her confinement , or else at least to the first relay .","('wife', 'femme', 'mujer')",0,14,0
""" you have answered that you should recognize him , "" said the commissary . "" that is all very well , and enough for today ; before we proceed further , someone must be informed that you know the ravisher of your wife . ""","('wife', 'femme', 'mujer')",0,43,0
"after him his wife pronounced the same words , accompanied with the same ceremonial ; then the two placing their hands upon their hearts , inclined profoundly before us .","('wife', 'femme', 'esposo')",1,3,1
"one thing , however , he felt that it had done for him . it had made him conscious how unjust , how cruel , he had been to sibyl vane . it was not too late to make reparation for that . she could still be his wife . his unreal and selfish love would yield to some higher influence , would be transformed into some nobler passion , and the portrait that basil hallward had painted of him would be a guide to him through life , would be to him what holiness is to some , and conscience to others , and the fear of god to us all . there were opiates for remorse , drugs that could lull the moral sense to sleep . but here was a visible symbol of the degradation of sin . here was an ever - present sign of the ruin men brought upon their souls .","('wife', 'femme', 'esposo')",1,48,1
"however brilliant had been the part played by porthos in the duel , it had not made him forget the dinner of the procurator ’s wife .","('wife', 'femme', 'mujer')",0,25,0
""" yes , harry , i know what you are going to say . something dreadful about marriage . do n't say it . do n't ever say things of that kind to me again . two days ago i asked sibyl to marry me . i am not going to break my word to her . she is to be my wife . ""","('wife', 'femme', 'esposo')",1,62,1
""" your wife ! dorian ! . . . did n't you get my letter ? i wrote to you this morning , and sent the note down by my own man . ""","('wife', 'femme', 'esposo')",1,2,1
""" where is your wife , in the first place ? ""","('wife', 'femme', 'mujer')",0,4,0
""" well , whatever i am , remember you are my wife ; we were married an hour since , in the presence of all these witnesses . ""","('wife', 'femme', 'mujer')",0,11,0
""" in my wife ’s chamber , on the first flight , where they are dressing his wounds . ""","('wife', 'femme', 'mujer')",0,3,0
""" my wife escaped ! "" cried bonacieux .","('wife', 'femme', 'mujer')",0,2,0
27 the wife of athos,"('wife', 'femme', 'mujer')",0,2,0
""" to beg him to assist me in finding my wife .","('wife', 'femme', 'mujer')",0,10,0
""" if you had told us of your own free will it would have been a different thing , "" said the baronet , "" you only told us , or rather your wife only told us , when it was forced from you and you could not help yourself . ""","('wife', 'femme', 'mujer')",0,33,0
""" it is possible that stapleton did not know of the existence of an heir in canada . in any case he would very soon learn it from his friend dr . mortimer , and he was told by the latter all details about the arrival of henry baskerville . stapleton 's first idea was that this young stranger from canada might possibly be done to death in london without coming down to devonshire at all . he distrusted his wife ever since she had refused to help him in laying a trap for the old man , and he dared not leave her long out of his sight for fear he should lose his influence over her . it was for this reason that he took her to london with him . they lodged , i find , at the mexborough private hotel , in craven street , which was actually one of those called upon by my agent in search of evidence . here he kept his wife imprisoned in her room while he , disguised in a beard , followed dr . mortimer to baker street and afterwards to the station and to the northumberland hotel . his wife had some inkling of his plans ; but she had such a fear of her husband -- a fear founded upon brutal ill - treatment -- that she dare not write to warn the man whom she knew to be in danger . if the letter should fall into stapleton 's hands her own life would not be safe . eventually , as we know , she adopted the expedient of cutting out the words which would form the message , and addressing the letter in a disguised hand . it reached the baronet , and gave him the first warning of his danger .","('wife', 'femme', 'esposo')",1,80,1
"i do not think she will manage it ; and yet it might be managed ; and his wife might , i verily believe , be the very happiest woman the sun shines on . ""","('wife', 'femme', 'esposo')",1,18,1
"unfortunately the legs began to refuse their service to this bony machine . during the last five or six months that this weakness had been felt , the worthy procurator had nearly become the slave of his wife .","('wife', 'femme', 'mujer')",0,37,0
