text,sense,label,ind,new_label
"yet this part of the province , at a very small distance from the capital , is reckoned among the inhabited and cultivated portions of iceland . what , then , must other tracts be , more desert than this desert ? in the first half mile we had not seen one farmer standing before his cabin door , nor one shepherd tending a flock less wild than himself , nothing but a few cows and sheep left to themselves . what then would be those convulsed regions upon which we were advancing , regions subject to the dire phenomena of eruptions , the offspring of volcanic explosions and subterranean convulsions ?","('region', 'région', 'región')",0,87,0
"yet this part of the province , at a very small distance from the capital , is reckoned among the inhabited and cultivated portions of iceland . what , then , must other tracts be , more desert than this desert ? in the first half mile we had not seen one farmer standing before his cabin door , nor one shepherd tending a flock less wild than himself , nothing but a few cows and sheep left to themselves . what then would be those convulsed regions upon which we were advancing , regions subject to the dire phenomena of eruptions , the offspring of volcanic explosions and subterranean convulsions ?","('region', 'région', 'región')",0,94,0
"the temperate zones , at a more or less distant period , will not be more habitable than the polar regions now are .","('region', 'région', 'región')",0,20,0
"who can say , that at this period , the equatorial regions will not be too small , to contain and nourish terrestrial humanity ?","('region', 'région', 'región')",0,11,0
"breakfast was finished , the exploration was continued , and the settlers arrived at the border of the marshy region .","('region', 'région', 'región')",0,19,0
"it opened clear on my comprehension that helen burns was numbering her last days in this world , and that she was going to be taken to the region of spirits , if such region there were .","('region', 'région', 'región')",0,28,0
"it opened clear on my comprehension that helen burns was numbering her last days in this world , and that she was going to be taken to the region of spirits , if such region there were .","('region', 'région', 'región')",0,34,0
"as you know , at the turn of the tide , the waters confined between the faroe and lofoten islands rush out with irresistible violence . they form a vortex from which no ship has ever been able to escape . monstrous waves race together from every point of the horizon . they form a whirlpool aptly called "" the ocean 's navel , "" whose attracting power extends a distance of fifteen kilometers . it can suck down not only ships but whales , and even polar bears from the northernmost regions .","('region', 'région', 'región')",0,92,0
"this was the stone - pine , which produces an excellent almond , very much esteemed in the temperate regions of america and europe .","('region', 'région', 'región')",0,19,0
"this tree is distinguished from other trees by a straight trunk forty feet high . to the naturalist 's eye , its gracefully rounded crown , formed of big multilobed leaves , was enough to denote the artocarpus that has been so successfully transplanted to the mascarene islands east of madagascar . from its mass of greenery , huge globular fruit stood out , a decimeter wide and furnished on the outside with creases that assumed a hexangular pattern . it 's a handy plant that nature gives to regions lacking in wheat ; without needing to be cultivated , it bears fruit eight months out of the year .","('region', 'région', 'región')",0,89,0
"from the 19th to the 20th of february the circle of investigation was extended to all the northern region of lincoln island , whose most secret nooks were explored .","('region', 'région', 'región')",0,18,0
"at noon the next day , november 5 , the agreed - upon delay expired . after a position fix , true to his promise , commander farragut would have to set his course for the southeast and leave the northerly regions of the pacific decisively behind .","('region', 'région', 'región')",0,41,0
"thus was i severed from bessie and gateshead ; thus whirled away to unknown , and , as i then deemed , remote and mysterious regions .","('region', 'région', 'región')",0,25,0
"such was the region our nautilus was visiting just then : a genuine prairie , a tightly woven carpet of algae , gulfweed , and bladder wrack so dense and compact a craft 's stempost could n't tear through it without difficulty . accordingly , not wanting to entangle his propeller in this weed - choked mass , captain nemo stayed at a depth some meters below the surface of the waves .","('region', 'région', 'región')",0,3,0
""" we will try , axel , for we must penetrate all secrets of these newly discovered regions . ""","('region', 'région', 'región')",0,17,0
""" what an experience ! "" i exclaimed . "" traveling these deep regions where no man has ever ventured before ! look , captain ! look at these magnificent rocks , these uninhabited caves , these last global haunts where life is no longer possible ! what unheard - of scenery , and why are we reduced to preserving it only as a memory ? ""","('region', 'région', 'región')",0,13,0
""" it has even been observed , "" remarked harding one day to his companions , "" that in equal latitudes the islands and coast regions are less tried by the cold than inland countries .","('region', 'région', 'región')",0,25,0
"having deposited our mournful burden upon tressels within this region of horror , we partially turned aside the yet unscrewed lid of the coffin , and looked upon the face of the tenant .","('region', 'région', 'región')",0,9,0
"the volcano did not occupy the central part ; it rose , on the contrary , in the northwestern region , and seemed to mark the boundary of the two zones .","('region', 'région', 'región')",0,19,0
