text,sense,label,ind,new_label
"take advantage of all , and live happily and long . i have but one word to add , and that is to propose an example to you -- not mine , for i myself have never appeared at court , and have only taken part in religious wars as a volunteer ; i speak of monsieur de treville , who was formerly my neighbor , and who had the honor to be , as a child , the play - fellow of our king , louis xiii , whom god preserve !","('child', 'enfant', 'niño')",0,76,0
"we knew all these details , but we were not aware that since our departure the question had advanced to farther stages . other similar maxillaries , though belonging to individuals of various types and different nations , were found in the loose grey soil of certain grottoes in france , switzerland , and belgium , as well as weapons , tools , earthen utensils , bones of children and adults . the existence therefore of man in the quaternary period seemed to become daily more certain .","('child', 'enfant', 'niño')",0,68,0
""" that 's all very well for children ! ""","('child', 'enfant', 'niño')",0,7,0
"i shook my head : i could not see how poor people had the means of being kind ; and then to learn to speak like them , to adopt their manners , to be uneducated , to grow up like one of the poor women i saw sometimes nursing their children or washing their clothes at the cottage doors of the village of gateshead : no , i was not heroic enough to purchase liberty at the price of caste .","('child', 'enfant', 'niño')",0,51,0
"morton , when i came to it two years ago , had no school : the children of the poor were excluded from every hope of progress .","('child', 'enfant', 'hijo')",1,16,1
""" god bless you , my children ! ""","('child', 'enfant', 'niño')",0,6,0
"she told d’artagnan that lord de winter was her brother - in - law , and not her brother . she had married a younger brother of the family , who had left her a widow with one child .","('child', 'enfant', 'hijo')",1,38,1
"this child was the only heir to lord de winter , if lord de winter did not marry .","('child', 'enfant', 'hijo')",1,1,1
""" i 'm the law , i 'm the tribunal ! i 'm the oppressed , and there are my oppressors ! thanks to them , i 've witnessed the destruction of everything i loved , cherished , and venerated -- homeland , wife , children , father , and mother ! there lies everything i hate ! not another word out of you ! ""","('child', 'enfant', 'hijo')",1,45,1
""" what ? "" said mrs . reed under her breath : her usually cold composed grey eye became troubled with a look like fear ; she took her hand from my arm , and gazed at me as if she really did not know whether i were child or fiend .","('child', 'enfant', 'niño')",0,48,0
"as soon as the meal was over the children disappeared , and their elders gathered round the peat fire , which also burnt such miscellaneous fuel as briars , cow - dung , and fishbones . after this little pinch of warmth the different groups retired to their respective rooms . our hostess hospitably offered us her assistance in undressing , according to icelandic usage ; but on our gracefully declining , she insisted no longer , and i was able at last to curl myself up in my mossy bed .","('child', 'enfant', 'niño')",0,8,0
""" well , it was up there . come now , watson , did n't you think yourself that it was the cry of a hound ? i am not a child . you need not fear to speak the truth . ""","('child', 'enfant', 'niño')",0,31,0
"on the rear paneling , beneath the portraits of his heroes , i saw the portrait of a still - youthful woman with two little children . captain nemo stared at them for a few moments , stretched out his arms to them , sank to his knees , and melted into sobs .","('child', 'enfant', 'niño')",0,25,0
""" my inquiries show beyond all question that the family portrait did not lie , and that this fellow was indeed a baskerville . he was a son of that rodger baskerville , the younger brother of sir charles , who fled with a sinister reputation to south america , where he was said to have died unmarried . he did , as a matter of fact , marry , and had one child , this fellow , whose real name is the same as his father 's . he married beryl garcia , one of the beauties of costa rica , and , having purloined a considerable sum of public money , he changed his name to vandeleur and fled to england , where he established a school in the east of yorkshire . his reason for attempting this special line of business was that he had struck up an acquaintance with a consumptive tutor upon the voyage home , and that he had used this man 's ability to make the undertaking a success . fraser , the tutor , died however , and the school which had begun well sank from disrepute into infamy . the vandeleurs found it convenient to change their name to stapleton , and he brought the remains of his fortune , his schemes for the future , and his taste for entomology to the south of england . i learned at the british museum that he was a recognized authority upon the subject , and that the name of vandeleur has been permanently attached to a certain moth which he had , in his yorkshire days , been the first to describe .","('child', 'enfant', 'hijo')",1,73,1
""" alas ! i know not whether i have made their fortunes ; but they have not made mine ; dogs , monkeys , and parrots are a thousand times less wretched than i. the dutch fetishes who converted me tell me every sunday that the blacks and whites are all children of one father , whom they call adam .","('child', 'enfant', 'hijo')",1,51,1
""" oh no , child ! it is not likely ; and now it is time for you to come in ; you 'll catch the fever if you stop out when the dew is falling . ""","('child', 'enfant', 'niño')",0,4,0
"the king , even while obeying him like a child , hated him as a child hates his master , and would abandon him to the personal vengeance of monsieur and the queen . he would then be lost , and france , perhaps , with him .","('child', 'enfant', 'niño')",0,9,0
"the king , even while obeying him like a child , hated him as a child hates his master , and would abandon him to the personal vengeance of monsieur and the queen . he would then be lost , and france , perhaps , with him .","('child', 'enfant', 'niño')",0,15,0
""" how can you keep in good health ? children younger than you die daily .","('child', 'enfant', 'niño')",0,9,0
"i buried a little child of five years old only a day or two since,--a good little child , whose soul is now in heaven . it is to be feared the same could not be said of you were you to be called hence . ""","('child', 'enfant', 'niño')",0,4,0
"i buried a little child of five years old only a day or two since,--a good little child , whose soul is now in heaven . it is to be feared the same could not be said of you were you to be called hence . ""","('child', 'enfant', 'niño')",0,17,0
""" deceit is , indeed , a sad fault in a child , "" said mr . brocklehurst ; "" it is akin to falsehood , and all liars will have their portion in the lake burning with fire and brimstone ; she shall , however , be watched , mrs . reed . i will speak to miss temple and the teachers . ""","('child', 'enfant', 'niño')",0,11,0
"robert here entered , and bessie laid her sleeping child in the cradle and went to welcome him : afterwards she insisted on my taking off my bonnet and having some tea ; for she said i looked pale and tired .","('child', 'enfant', 'niño')",0,9,0
""" my child , "" he said , "" may god bless you ! ""","('child', 'enfant', 'hijo')",1,2,1
"' oh , do n't bother me , ' said the duchess ; ' i never could abide figures ! ' and with that she began nursing her child again , singing a sort of lullaby to it as she did so , and giving it a violent shake at the end of every line :","('child', 'enfant', 'niño')",0,28,0
"so she set the little creature down , and felt quite relieved to see it trot away quietly into the wood . ' if it had grown up , ' she said to herself , ' it would have made a dreadfully ugly child : but it makes rather a handsome pig , i think . ' and she began thinking over other children she knew , who might do very well as pigs , and was just saying to herself , ' if one only knew the right way to change them-- ' when she was a little startled by seeing the cheshire cat sitting on a bough of a tree a few yards off .","('child', 'enfant', 'niño')",0,43,0
"so she set the little creature down , and felt quite relieved to see it trot away quietly into the wood . ' if it had grown up , ' she said to herself , ' it would have made a dreadfully ugly child : but it makes rather a handsome pig , i think . ' and she began thinking over other children she knew , who might do very well as pigs , and was just saying to herself , ' if one only knew the right way to change them-- ' when she was a little startled by seeing the cheshire cat sitting on a bough of a tree a few yards off .","('child', 'enfant', 'niño')",0,63,0
"pencroft at the beginning of the year had gone to richmond on business , with a young boy of fifteen from new jersey , son of a former captain , an orphan , whom he loved as if he had been his own child .","('child', 'enfant', 'hijo')",1,43,1
""" a young lady accustomed to tuition "" ( had i not been a teacher two years ? ) "" is desirous of meeting with a situation in a private family where the children are under fourteen ( i thought that as i was barely eighteen , it would not do to undertake the guidance of pupils nearer my own age ) .","('child', 'enfant', 'niño')",0,33,0
""" jane , you do n't understand these things : children must be corrected for their faults . ""","('child', 'enfant', 'niño')",0,10,0
"my dear child , hold yourself ready . our friend will see you soon , and he will only see you to release you from that imprisonment in which your safety required you should be concealed . prepare , then , for your departure , and never despair of us .","('child', 'enfant', 'niño')",0,2,0
"d’artagnan obeyed like a child , without the least resistance or objection , which proved that he was really in love .","('child', 'enfant', 'niño')",0,4,0
""" speak , my child , speak , "" said d’artagnan ; "" i listen . ""","('child', 'enfant', 'hijo')",1,4,1
""" where you please , my dear child . ""","('child', 'enfant', 'niño')",0,7,0
""" and whose room is this , my dear child ? ""","('child', 'enfant', 'niño')",0,9,0
"so that was the story of dorian gray 's parentage . crudely as it had been told to him , it had yet stirred him by its suggestion of a strange , almost modern romance . a beautiful woman risking everything for a mad passion . a few wild weeks of happiness cut short by a hideous , treacherous crime . months of voiceless agony , and then a child born in pain . the mother snatched away by death , the boy left to solitude and the tyranny of an old and loveless man .","('child', 'enfant', 'hijo')",1,69,1
"captain nemo spoke with winning eloquence . the fire in his eyes and the passion in his gestures transfigured him . yes , he loved his ship the same way a father loves his child !","('child', 'enfant', 'hijo')",1,34,1
"and then she would pout like a disappointed child ; a pensive cloud would soften her radiant vivacity ; she would withdraw her hand hastily from his , and turn in transient petulance from his aspect , at once so heroic and so martyr - like .","('child', 'enfant', 'niño')",0,8,0
"few children can eat when excited with the thoughts of a journey ; nor could i. bessie , having pressed me in vain to take a few spoonfuls of the boiled milk and bread she had prepared for me , wrapped up some biscuits in a paper and put them into my bag ; then she helped me on with my pelisse and bonnet , and wrapping herself in a shawl , she and i left the nursery .","('child', 'enfant', 'niño')",0,1,0
""" you believe , and still you are an accomplice of that child of belial who is called lord de winter !","('child', 'enfant', 'hijo')",1,12,1
""" away ! "" he cried harshly ; "" keep at a distance , child ; or go in to sophie ! ""","('child', 'enfant', 'niño')",0,14,0
""" that is true , that is true , my child , "" said the queen , "" you are right . ""","('child', 'enfant', 'hijo')",1,10,1
"we have said that athos loved d’artagnan like a child , and this somber and inflexible personage felt the anxiety of a parent for the young man .","('child', 'enfant', 'hijo')",1,9,1
""" you 'll be surprised to hear that his food is taken to him by a child . i see him every day through my telescope upon the roof . he passes along the same path at the same hour , and to whom should he be going except to the convict ? ""","('child', 'enfant', 'niño')",0,16,0
"here was luck indeed ! and yet i suppressed all appearance of interest . a child ! barrymore had said that our unknown was supplied by a boy . it was on his track , and not upon the convict 's , that frankland had stumbled . if i could get his knowledge it might save me a long and weary hunt . but incredulity and indifference were evidently my strongest cards .","('child', 'enfant', 'niño')",0,15,0
"in the daytime nobody was seen there but mendicants devouring their crusts , and children at play .","('child', 'enfant', 'niño')",0,14,0
"henry iv , when besieging paris , had loaves and provisions thrown over the walls . the cardinal had little notes thrown over in which he represented to the rochellais how unjust , selfish , and barbarous was the conduct of their leaders . these leaders had corn in abundance , and would not let them partake of it ; they adopted as a maxim -- for they , too , had maxims -- that it was of very little consequence that women , children , and old men should die , so long as the men who were to defend the walls remained strong and healthy .","('child', 'enfant', 'niño')",0,84,0
"he sometimes amused himself at the expense of his little pensioners by tweaking their tails ; but this was mischief , and not wickedness , for these little twisted tails amused him like a plaything , and his instinct was that of a child .","('child', 'enfant', 'niño')",0,43,0
"miss miller assumed the fourth vacant chair , which was that nearest the door , and around which the smallest of the children were assembled : to this inferior class i was called , and placed at the bottom of it .","('child', 'enfant', 'niño')",0,22,0
"' and who are these ? ' said the queen , pointing to the three gardeners who were lying round the rosetree ; for , you see , as they were lying on their faces , and the pattern on their backs was the same as the rest of the pack , she could not tell whether they were gardeners , or soldiers , or courtiers , or three of her own children .","('child', 'enfant', 'hijo')",1,72,1
"the king laid his hand upon her arm , and timidly said ' consider , my dear : she is only a child ! '","('child', 'enfant', 'niño')",0,22,0
the child made no answer .,"('child', 'enfant', 'niño')",0,1,0
""" have i though , "" the man answered penitently , "" i did n't go for to do it . "" as he spoke he unwrapped the grey shawl and extricated a pretty little girl of about five years of age , whose dainty shoes and smart pink frock with its little linen apron all bespoke a mother 's care . the child was pale and wan , but her healthy arms and legs showed that she had suffered less than her companion .","('child', 'enfant', 'niño')",0,63,0
"before three o'clock the large shed was invaded by the spectators , comprising europeans and natives , chinese and japanese , men , women and children , who precipitated themselves upon the narrow benches and into the boxes opposite the stage . the musicians took up a position inside , and were vigorously performing on their gongs , tam - tams , flutes , bones , tambourines , and immense drums .","('child', 'enfant', 'niño')",0,25,0
""" do you mean that we are going to die too ? "" asked the child , checking her sobs , and raising her tear - stained face .","('child', 'enfant', 'niño')",0,15,0
""" why do n't you say some yourself ? "" the child asked , with wondering eyes .","('child', 'enfant', 'niño')",0,11,0
