text,sense,label,ind,new_label
"a week later dorian gray was sitting in the conservatory at selby royal , talking to the pretty duchess of monmouth , who with her husband , a jaded - looking man of sixty , was amongst his guests . it was tea- time , and the mellow light of the huge , lace - covered lamp that stood on the table lit up the delicate china and hammered silver of the service at which the duchess was presiding . her white hands were moving daintily among the cups , and her full red lips were smiling at something that dorian had whispered to her . lord henry was lying back in a silk - draped wicker chair , looking at them . on a peach - coloured divan sat lady narborough , pretending to listen to the duke 's description of the last brazilian beetle that he had added to his collection . three young men in elaborate smoking - suits were handing tea - cakes to some of the women . the house - party consisted of twelve people , and there were more expected to arrive on the next day .","('duchess', 'duchesse', 'duque')",0,18,0
"a week later dorian gray was sitting in the conservatory at selby royal , talking to the pretty duchess of monmouth , who with her husband , a jaded - looking man of sixty , was amongst his guests . it was tea- time , and the mellow light of the huge , lace - covered lamp that stood on the table lit up the delicate china and hammered silver of the service at which the duchess was presiding . her white hands were moving daintily among the cups , and her full red lips were smiling at something that dorian had whispered to her . lord henry was lying back in a silk - draped wicker chair , looking at them . on a peach - coloured divan sat lady narborough , pretending to listen to the duke 's description of the last brazilian beetle that he had added to his collection . three young men in elaborate smoking - suits were handing tea - cakes to some of the women . the house - party consisted of twelve people , and there were more expected to arrive on the next day .","('duchess', 'duchesse', 'duque')",0,76,0
""" but i do n't want to be rechristened , harry , "" rejoined the duchess , looking up at him with her wonderful eyes . "" i am quite satisfied with my own name , and i am sure mr . gray should be satisfied with his . ""","('duchess', 'duchesse', 'duque')",0,15,0
""" i recognize him in a flash , "" exclaimed the duchess .","('duchess', 'duchesse', 'duque')",0,11,0
"one day , when he had an appointment with a duchess , he endeavored even to borrow it of athos .","('duchess', 'duchesse', 'duque')",0,10,0
""" why , by your marchioness , your duchess , your princess . she must have a long arm . ""","('duchess', 'duchesse', 'duque')",0,8,0
""" oh , from some heartbroken waiting woman , some desponding grisette ; from madame de chevreuse ’s chambermaid , perhaps , who was obliged to return to tours with her mistress , and who , in order to appear smart and attractive , stole some perfumed paper , and sealed her letter with a duchess ’s coronet . ""","('duchess', 'duchesse', 'duque')",0,55,0
""" our host is rather horrid this evening , "" answered the duchess , colouring . "" i believe he thinks that monmouth married me on purely scientific principles as the best specimen he could find of a modern butterfly . ""","('duchess', 'duchesse', 'duque')",0,12,0
""" well , i hope he wo n't stick pins into you , duchess , "" laughed dorian .","('duchess', 'duchesse', 'duque')",0,13,0
""" and what does she get annoyed with you about , duchess ? ""","('duchess', 'duchesse', 'duque')",0,11,0
""" not with women , "" said the duchess , shaking her head ; "" and women rule the world . i assure you we ca n't bear mediocrities . we women , as some one says , love with our ears , just as you men love with your eyes , if you ever love at all . ""","('duchess', 'duchesse', 'duque')",0,8,0
""" ah ! then , you never really love , mr . gray , "" answered the duchess with mock sadness .","('duchess', 'duchesse', 'duque')",0,17,0
""" even when one has been wounded by it , harry ? "" asked the duchess after a pause . "" especially when one has been wounded by it , "" answered lord henry .","('duchess', 'duchesse', 'duque')",0,15,0
"the duchess turned and looked at dorian gray with a curious expression in her eyes . "" what do you say to that , mr . gray ? "" she inquired .","('duchess', 'duchesse', 'duque')",0,1,0
"dorian hesitated for a moment . then he threw his head back and laughed . "" i always agree with harry , duchess . "" "" even when he is wrong ? ""","('duchess', 'duchesse', 'duque')",0,22,0
""" harry is never wrong , duchess . ""","('duchess', 'duchesse', 'duque')",0,6,0
"the fish - footman began by producing from under his arm a great letter , nearly as large as himself , and this he handed over to the other , saying , in a solemn tone , ' for the duchess . an invitation from the queen to play croquet . ' the frog - footman repeated , in the same solemn tone , only changing the order of the words a little , ' from the queen . an invitation for the duchess to play croquet . '","('duchess', 'duchesse', 'duque')",0,40,0
"the fish - footman began by producing from under his arm a great letter , nearly as large as himself , and this he handed over to the other , saying , in a solemn tone , ' for the duchess . an invitation from the queen to play croquet . ' the frog - footman repeated , in the same solemn tone , only changing the order of the words a little , ' from the queen . an invitation for the duchess to play croquet . '","('duchess', 'duchesse', 'duque')",0,83,0
"the duchess sighed . "" i am searching for peace , "" she said , "" and if i do n't go and dress , i shall have none this evening . ""","('duchess', 'duchesse', 'duque')",0,1,0
""" let me get you some orchids , duchess , "" cried dorian , starting to his feet and walking down the conservatory .","('duchess', 'duchesse', 'duque')",0,8,0
"the door led right into a large kitchen , which was full of smoke from one end to the other : the duchess was sitting on a three - legged stool in the middle , nursing a baby ; the cook was leaning over the fire , stirring a large cauldron which seemed to be full of soup .","('duchess', 'duchesse', 'duque')",0,22,0
"there was certainly too much of it in the air . even the duchess sneezed occasionally ; and as for the baby , it was sneezing and howling alternately without a moment 's pause . the only things in the kitchen that did not sneeze , were the cook , and a large cat which was sitting on the hearth and grinning from ear to ear .","('duchess', 'duchesse', 'duque')",0,13,0
"' it 's a cheshire cat , ' said the duchess , ' and that 's why . pig ! '","('duchess', 'duchesse', 'duquesa--')",1,10,1
"' they all can , ' said the duchess ; ' and most of 'em do . '","('duchess', 'duchesse', 'duquesa--')",1,8,1
"' you do n't know much , ' said the duchess ; ' and that 's a fact . '","('duchess', 'duchesse', 'duquesa--')",1,10,1
"alice did not at all like the tone of this remark , and thought it would be as well to introduce some other subject of conversation . while she was trying to fix on one , the cook took the cauldron of soup off the fire , and at once set to work throwing everything within her reach at the duchess and the baby --the fire - irons came first ; then followed a shower of saucepans , plates , and dishes . the duchess took no notice of them even when they hit her ; and the baby was howling so much already , that it was quite impossible to say whether the blows hurt it or not .","('duchess', 'duchesse', 'duque')",0,60,0
"alice did not at all like the tone of this remark , and thought it would be as well to introduce some other subject of conversation . while she was trying to fix on one , the cook took the cauldron of soup off the fire , and at once set to work throwing everything within her reach at the duchess and the baby --the fire - irons came first ; then followed a shower of saucepans , plates , and dishes . the duchess took no notice of them even when they hit her ; and the baby was howling so much already , that it was quite impossible to say whether the blows hurt it or not .","('duchess', 'duchesse', 'duque')",0,84,0
"' if everybody minded their own business , ' the duchess said in a hoarse growl , ' the world would go round a deal faster than it does . '","('duchess', 'duchesse', 'duque')",0,10,0
"' oh , do n't bother me , ' said the duchess ; ' i never could abide figures ! ' and with that she began nursing her child again , singing a sort of lullaby to it as she did so , and giving it a violent shake at the end of every line :","('duchess', 'duchesse', 'duquesa--')",1,11,1
""" women are not always allowed a choice , "" he answered , but hardly had he finished the sentence before from the far end of the conservatory came a stifled groan , followed by the dull sound of a heavy fall . everybody started up . the duchess stood motionless in horror . and with fear in his eyes , lord henry rushed through the flapping palms to find dorian gray lying face downwards on the tiled floor in a deathlike swoon .","('duchess', 'duchesse', 'duque')",0,48,0
"at the corner of the pine - wood he caught sight of sir geoffrey clouston , the duchess 's brother , jerking two spent cartridges out of his gun . he jumped from the cart , and having told the groom to take the mare home , made his way towards his guest through the withered bracken and rough undergrowth .","('duchess', 'duchesse', 'duque')",0,17,0
"' here ! you may nurse it a bit , if you like ! ' the duchess said to alice , flinging the baby at her as she spoke . ' i must go and get ready to play croquet with the queen , ' and she hurried out of the room . the cook threw a frying - pan after her as she went out , but it just missed her .","('duchess', 'duchesse', 'duque')",0,16,0
