text,sense,label,ind,new_label
"many natural excavations situated in the upper passage were enlarged either by pick - axe or mine , and granite house thus became a general warehouse , containing all the provisions , arms , tools , and spare utensils -- in a word , all the stores of the colony .","('mine', 'mine', 'minar')",0,16,0
"many traces we found of him in the bog - girt island where he had hid his savage ally . a huge driving - wheel and a shaft half - filled with rubbish showed the position of an abandoned mine . beside it were the crumbling remains of the cottages of the miners , driven away no doubt by the foul reek of the surrounding swamp . in one of these a staple and chain with a quantity of gnawed bones showed where the animal had been confined . a skeleton with a tangle of brown hair adhering to it lay among the debris .","('mine', 'mine', 'minar')",0,39,0
"the millions lost in the bay of vigo , in 1702 , by the galleons of spain , furnished him with a mine of inexhaustible riches which he devoted always , anonymously , in favor of those nations who fought for the independence of their country .","('mine', 'mine', 'minar')",0,22,0
""" to - morrow , as soon as we have dug a hole for the mine , replied the engineer . ""","('mine', 'mine', 'minar')",0,15,0
"but pencroft , relieved by neb , did so well , that towards four o'clock in the evening , the mine was finished .","('mine', 'mine', 'minar')",0,20,0
"another long fiber , previously impregnated with sulphur , was attached to the middle of the first , by one end , while the other lay on the ground several feet distant from the mine .","('mine', 'mine', 'minar')",0,34,0
"the professor 's calculations were quite correct . we had already attained a depth of six thousand feet beyond that hitherto reached by the foot of man , such as the mines of kitz bahl in tyrol , and those of wuttembourg in bohemia .","('mine', 'mine', 'minar')",0,31,0
"pencroft consoled himself by saying that with the help of a mine they could soon open out the cliff when that was necessary , and then , as there was evidently nothing to be done in the gulf , he steered his vessel towards the strait and passed out at about two o'clock in the afternoon .","('mine', 'mine', 'minar')",0,11,0
""" i mean to say , young man , that he who sleeps over a mine the match of which is already lighted , may consider himself in safety in comparison with you . ""","('mine', 'mine', 'minar')",0,15,0
"he dreamed of canals facilitating the transport of the riches of the ground ; workings of quarries and mines ; machines for every industrial manufacture ; railroads ; yes , railroads ! of which a network would certainly one day cover lincoln island .","('mine', 'mine', 'minar')",0,18,0
""" a coal mine ! "" i cried .","('mine', 'mine', 'minar')",0,3,0
""" he has given his consent , provided we get these mines working all right . i have no fear on that head . ""","('mine', 'mine', 'minar')",0,11,0
"to attack this mass of granite , even by a mine , was herculean work , and it was really vexing that nature could not help them at their need .","('mine', 'mine', 'minar')",0,10,0
"he was desirous of an explosion , because in that case the mine throws forth fire , and fire enlightens .","('mine', 'mine', 'minar')",0,12,0
""" of course , axel . what can be more natural ? at newcastle are there not coal mines extending far under the sea ? ""","('mine', 'mine', 'minar')",0,18,0
""" sire , i can assert that they have hitherto discovered no gold mines in their mountains ; though the lord owes them this miracle in recompense for the manner in which they supported the pretensions of the king your father . ""","('mine', 'mine', 'minar')",0,13,0
